pmid,year
26692334,2015
26692333,2015
26692332,2015
26657143,2015
26657142,2015
26657141,2015
26646499,2015
26646498,2015
26646497,2015
26646496,2015
26646494,2015
26646493,2015
26646492,2015
26642438,2015
26642437,2015
26618723,2015
26618722,2015
26594844,2015
26594843,2015
26569382,2015
26569381,2015
26569380,2015
26552009,2015
26552008,2015
26540387,2015
26540386,2015
26540385,2015
26540384,2015
26540383,2015
26523972,2015
26523971,2015
26523970,2015
26523969,2015
26501192,2015
26501191,2015
26479925,2015
26479924,2015
26479923,2015
26479922,2015
26479921,2015
26457759,2015
26457758,2015
26457757,2015
26457756,2015
26444637,2015
26444636,2015
26444635,2015
26444634,2015
26444633,2015
26444628,2015
26444624,2015
26437366,2015
26437365,2015
26413781,2015
26413780,2015
26398868,2015
26390244,2015
26390243,2015
26390242,2015
26390241,2015
26366712,2015
26366711,2015
26366710,2015
26343801,2015
26343800,2015
26340119,2015
26340118,2015
26340117,2015
26340116,2015
26322580,2015
26322579,2015
26301691,2015
26301690,2015
26301689,2015
26301688,2015
26280122,2015
26280121,2015
26280120,2015
26280119,2015
26259033,2015
26259032,2015
26248268,2015
26248267,2015
26248266,2015
26248265,2015
26248264,2015
26248263,2015
26236992,2015
26236991,2015
26236990,2015
26236989,2015
26214837,2015
26214836,2015
26193344,2015
26193343,2015
26193342,2015
26193341,2015
26168295,2015
26168294,2015
26168293,2015
26168292,2015
26168291,2015
26151327,2015
26151326,2015
26151325,2015
26151324,2015
26147761,2015
26147760,2015
26121198,2015
26121197,2015
26121196,2015
26121195,2015
26121194,2015
26121193,2015
26107252,2015
26099047,2015
26099046,2015
26099045,2015
26076038,2015
26076037,2015
26076036,2015
26076035,2015
26053625,2015
26053624,2015
26046573,2015
26046572,2015
26046571,2015
26046570,2015
26030179,2015
26030178,2015
26005855,2015
26005854,2015
25985365,2015
25985364,2015
25962123,2015
25962122,2015
25962121,2015
25962120,2015
25951530,2015
25951529,2015
25951528,2015
25951527,2015
25951526,2015
25951523,2015
25939064,2015
25939063,2015
25939062,2015
25939061,2015
25915832,2015
25915831,2015
25894829,2015
25894828,2015
25894827,2015
25894826,2015
25894825,2015
25849271,2015
25849270,2015
25849269,2015
25849268,2015
25849267,2015
25849135,2015
25849134,2015
25849133,2015
25849132,2015
25849131,2015
25849130,2015
25822590,2015
25822367,2015
25822366,2015
25799228,2015
25799227,2015
25799226,2015
25774850,2015
25774849,2015
25774848,2015
25751817,2015
25751816,2015
25751815,2015
25742458,2015
25742457,2015
25742456,2015
25742455,2015
25742454,2015
25742453,2015
25730264,2015
25730263,2015
25706875,2015
25706874,2015
25706873,2015
25686106,2015
25686105,2015
25686104,2015
25665180,2015
25665179,2015
25654603,2015
25654602,2015
25654601,2015
25654600,2015
25654599,2015
25654598,2015
25654597,2015
25642938,2015
25621899,2015
25599133,2015
25599132,2015
25581519,2015
25581518,2015
25581517,2015
25569546,2015
25569545,2015
25569544,2015
25569543,2015
25569542,2015
25569540,2015
25569539,2015
25559344,2015
25559343,2015
25531942,2015
25501908,2015
25501907,2015
25501906,2015
25501905,2015
25485912,2015
25485911,2015
25485910,2015
25485909,2015
25485908,2015
25419707,2015
25419705,2015
