pmid,year
28025984,2016
28025983,2016
28025982,2016
28025981,2016
28025980,2016
28024159,2016
28024158,2016
27991901,2016
27991900,2016
27991899,2016
27991898,2016
27991897,2016
27941790,2016
27941789,2016
27941788,2016
27918532,2016
27918531,2016
27918530,2016
27918529,2016
27898087,2016
27898086,2016
27898085,2016
27898084,2016
27898083,2016
27893727,2016
27893726,2016
27869801,2016
27869800,2016
27842071,2016
27820602,2016
27798633,2016
27798632,2016
27798631,2016
27798630,2016
27798629,2016
27775722,2016
27775721,2016
27775720,2016
27775719,2016
27749830,2016
27749829,2016
27749828,2016
27749827,2016
27749826,2016
27749825,2016
27723746,2016
27723745,2016
27723744,2016
27694993,2016
27694992,2016
27694991,2016
27694990,2016
27643432,2016
27643431,2016
27643429,2016
27618311,2016
27618310,2016
27618309,2016
27786188,2016
27786187,2016
27786186,2016
27786184,2016
27786183,2016
27786182,2016
27786181,2016
27786180,2016
27786179,2016
27694995,2016
27694994,2016
27668390,2016
27668389,2016
27643430,2016
27595386,2016
27571009,2016
27479844,2016
27428651,2016
27428650,2016
27669991,2016
27669990,2016
27669989,2016
27669988,2016
27669987,2016
27669986,2016
27669985,2016
27669984,2016
27669983,2016
27626910,2016
27595385,2016
27595384,2016
27571199,2016
27571198,2016
27571197,2016
27571196,2016
27571195,2016
27571194,2016
27571193,2016
27571192,2016
27571191,2016
27571190,2016
27571189,2016
27571010,2016
27571008,2016
27548245,2016
27526206,2016
27526205,2016
27526204,2016
27500407,2016
27500406,2016
27479843,2016
27459408,2016
27459407,2016
27459406,2016
27459405,2016
27459404,2016
27459403,2016
27459402,2016
27455110,2016
27455109,2016
27437910,2016
27428653,2016
27428652,2016
27399844,2016
27399843,2016
27399842,2016
27376765,2016
27351172,2016
27351171,2016
27351170,2016
27351169,2016
27348216,2016
27348215,2016
27348214,2016
27322420,2016
27322419,2016
27322418,2016
27322417,2016
27294513,2016
27294512,2016
27294511,2016
27294510,2016
27294509,2016
27294508,2016
27273769,2016
27273768,2016
27273767,2016
27273766,2016
27239940,2016
27239939,2016
27239938,2016
27239937,2016
27239936,2016
27227367,2016
27227366,2016
27227365,2016
27227364,2016
27227363,2016
27227362,2016
27214568,2016
27214567,2016
27182818,2016
27182817,2016
27159800,2016
27135217,2016
27135216,2016
27135215,2016
27116388,2016
27116387,2016
29323671,2016
29162973,2016
27110919,2016
27110918,2016
27110917,2016
27110916,2016
27089021,2016
27089020,2016
27089019,2016
27065365,2016
27065364,2016
27065363,2016
27043290,2016
27021943,2016
27021942,2016
27021941,2016
27021940,2016
27021939,2016
27021938,2016
27019015,2016
27019014,2016
27019013,2016
26998601,2016
26998600,2016
26974951,2016
26974950,2016
26950006,2016
26950005,2016
26950004,2016
26928066,2016
26928065,2016
26928064,2016
26928063,2016
26906510,2016
26906509,2016
26906508,2016
26906507,2016
26906506,2016
26906505,2016
26906504,2016
26906503,2016
26906502,2016
26906501,2016
26906500,2016
26906499,2016
26900927,2016
26900926,2016
26900925,2016
26900924,2016
26900923,2016
26878674,2016
26878673,2016
26878672,2016
26878671,2016
26854805,2016
26854804,2016
26854803,2016
26829649,2016
26814590,2016
26814589,2016
26814588,2016
26814587,2016
26814586,2016
26814585,2016
26814584,2016
26814583,2016
26814582,2016
26807952,2016
26807951,2016
26807950,2016
26780512,2016
26780511,2016
26780510,2016
26780509,2016
26780508,2016
26752162,2016
26752161,2016
26752160,2016
26752159,2016
26752158,2016
26752157,2016
26727549,2016
26727548,2016
26713746,2016
26713745,2016
26713744,2016
26713743,2016
26713742,2016
26713741,2016
26713740,2016
26713739,2016
26691834,2016
26691833,2016
26691832,2016
26691831,2016
26691830,2016
26691829,2016
26691828,2016
26656646,2016
26656645,2016
26656644,2016
26656643,2016
26642092,2016
26642091,2016
26642090,2016
26642089,2016
26642088,2016
26642087,2016
26619358,2016
26619357,2016
26595656,2016
26595655,2016
26595654,2016
26595653,2016
26595652,2016
26595651,2016
