pmid,year
25531942,2014
25531892,2014
25531891,2014
25531890,2014
25531779,2014
25531778,2014
25531777,2014
25531751,2014
25517385,2014
25517384,2014
25513782,2014
25503928,2014
25503927,2014
25503565,2014
25503564,2014
25503384,2014
25503383,2014
25503382,2014
25501908,2014
25501907,2014
25501906,2014
25501905,2014
25501393,2014
25501392,2014
25489838,2014
25489836,2014
25489835,2014
25489834,2014
25489832,2014
25489831,2014
25489830,2014
25487280,2014
25485912,2014
25485911,2014
25485910,2014
25485909,2014
25485908,2014
25485838,2014
25485837,2014
25485836,2014
25485687,2014
25485686,2014
25485619,2014
25485618,2014
25485617,2014
25485616,2014
25473919,2014
25473918,2014
25473917,2014
25473916,2014
25438055,2014
25438054,2014
25437882,2014
25436858,2014
25436857,2014
25436519,2014
25436518,2014
25434465,2014
25434464,2014
25434463,2014
25420146,2014
25420145,2014
25420144,2014
25419851,2014
25419850,2014
25419849,2014
25419848,2014
25419847,2014
25419741,2014
25419740,2014
25419739,2014
25419710,2014
25419709,2014
25419708,2014
25419707,2014
25419706,2014
25419705,2014
25418745,2014
25418744,2014
25418743,2014
25402772,2014
25402771,2014
25402770,2014
25402769,2014
25402768,2014
25402767,2014
25402766,2014
25402684,2014
25402683,2014
25402682,2014
25402616,2014
25402615,2014
25402614,2014
25402613,2014
25401693,2014
25401692,2014
25401691,2014
25401301,2014
25401300,2014
25401299,2014
25401298,2014
25393493,2014
25393492,2014
25393491,2014
25384087,2014
25384086,2014
25384085,2014
25384084,2014
25383972,2014
25383970,2014
25383969,2014
25383968,2014
25383759,2014
25383758,2014
25383757,2014
25383756,2014
25383660,2014
25383599,2014
25380447,2014
25380446,2014
25380445,2014
25380444,2014
25380442,2014
25380436,2014
25375928,2014
25375923,2014
25375922,2014
25375921,2014
25375920,2014
25362486,2014
25362485,2014
25362484,2014
25362483,2014
25362482,2014
25362360,2014
25362359,2014
25362358,2014
25362352,2014
25362351,2014
25362255,2014
25362254,2014
25362253,2014
25362245,2014
25362244,2014
25362243,2014
25358351,2014
25358350,2014
25357182,2014
25352100,2014
25352099,2014
25352098,2014
25344815,2014
25344814,2014
25344813,2014
25344812,2014
25344811,2014
25344756,2014
25344755,2014
25344754,2014
25344753,2014
25344740,2014
25344739,2014
25344728,2014
25344692,2014
25344691,2014
25344690,2014
25329329,2014
25327288,2014
25326897,2014
25326804,2014
25326803,2014
25326802,2014
25326801,2014
25326800,2014
25326799,2014
25326798,2014
25326703,2014
25326702,2014
25326701,2014
25326666,2014
25326665,2014
25325702,2014
25325701,2014
25325700,2014
25325699,2014
25325698,2014
25325697,2014
25325696,2014
25325687,2014
25325686,2014
25325685,2014
25306443,2014
25306442,2014
25306441,2014
25306246,2014
25306245,2014
25306244,2014
25306233,2014
25305757,2014
25305756,2014
25305755,2014
25299924,2014
25299922,2014
25299921,2014
25299920,2014
25299918,2014
25299917,2014
25299916,2014
25299913,2014
25299912,2014
25295945,2014
25295940,2014
25295939,2014
25295938,2014
25295937,2014
25295936,2014
25295935,2014
25295934,2014
25283994,2014
25283993,2014
25282505,2014
