pmid,year
11163282,2000
11163281,2000
11163280,2000
11163279,2000
11163278,2000
11163277,2000
11163276,2000
11163275,2000
11163274,2000
11163273,2000
11163272,2000
11163271,2000
11163270,2000
11163269,2000
11163268,2000
11163267,2000
11163266,2000
11163265,2000
11163264,2000
11163263,2000
11163262,2000
11163261,2000
11163260,2000
11163259,2000
11163258,2000
11163257,2000
11163256,2000
11163255,2000
11163254,2000
11163253,2000
11163252,2000
11163251,2000
11144369,2000
11144368,2000
11144367,2000
11144366,2000
11144365,2000
11144364,2000
11144363,2000
11144362,2000
11144361,2000
11144360,2000
11144359,2000
11144358,2000
11144357,2000
11144356,2000
11144355,2000
11144354,2000
11144353,2000
11144352,2000
11144351,2000
11144350,2000
11144349,2000
11144348,2000
11144346,2000
11144345,2000
11144344,2000
11144343,2000
11144342,2000
11144341,2000
11144340,2000
11144339,2000
11144338,2000
11144337,2000
11144336,2000
11087002,2000
11087001,2000
11087000,2000
11086999,2000
11086998,2000
11086997,2000
11086996,2000
11086995,2000
11086994,2000
11086993,2000
11086992,2000
11086991,2000
11086990,2000
11086989,2000
11086988,2000
11086987,2000
11086986,2000
11086985,2000
11086984,2000
11086983,2000
11086982,2000
11086981,2000
11086979,2000
11086978,2000
11086977,2000
11086976,2000
11086975,2000
11086974,2000
11086973,2000
11055445,2000
11055444,2000
11055443,2000
11055442,2000
11055441,2000
11055440,2000
11055439,2000
11055438,2000
11055437,2000
11055436,2000
11055435,2000
11055434,2000
11055433,2000
11055432,2000
11055431,2000
11055430,2000
11055429,2000
11055428,2000
11055427,2000
11055425,2000
11055424,2000
11055423,2000
11055422,2000
11055421,2000
11055420,2000
11055419,2000
10985358,2000
10985357,2000
10985356,2000
10985355,2000
10985354,2000
10985353,2000
10985352,2000
10985351,2000
10985350,2000
10985349,2000
10985348,2000
10985347,2000
10985346,2000
10985345,2000
10985344,2000
10985343,2000
10985342,2000
10985341,2000
10985340,2000
10985339,2000
10985338,2000
10985337,2000
10939341,2000
10939340,2000
10939339,2000
10939338,2000
10939337,2000
10939336,2000
10939335,2000
10939334,2000
10939333,2000
10939332,2000
10939331,2000
10939330,2000
10939329,2000
10939328,2000
10939326,2000
10939325,2000
10939324,2000
10939323,2000
10939322,2000
10939321,2000
10896169,2000
10896168,2000
10896167,2000
10896166,2000
10896165,2000
10896164,2000
10896163,2000
10896162,2000
10896161,2000
10896160,2000
10896159,2000
10896158,2000
10896157,2000
10896156,2000
10896155,2000
10896154,2000
10896153,2000
10896152,2000
10896151,2000
10896150,2000
10896149,2000
10896148,2000
10896147,2000
10896146,2000
10839371,2000
10839370,2000
10839369,2000
10839368,2000
10839367,2000
10839366,2000
10839365,2000
10839364,2000
10839363,2000
10839362,2000
10839361,2000
10839360,2000
10839359,2000
10839358,2000
10839357,2000
10839356,2000
10839355,2000
10839354,2000
10839353,2000
10839352,2000
10839351,2000
10839350,2000
10839349,2000
10839348,2000
10839347,2000
10839346,2000
10839345,2000
10839344,2000
10839343,2000
10798410,2000
10798409,2000
10798408,2000
10798407,2000
10798406,2000
10798405,2000
10798404,2000
10798403,2000
10798402,2000
10798401,2000
10798400,2000
10798399,2000
10798398,2000
10798397,2000
10798396,2000
10798395,2000
10798394,2000
10798393,2000
10798392,2000
10798391,2000
10798390,2000
10798388,2000
10798387,2000
10798386,2000
10798385,2000
10798384,2000
10774738,2000
10774737,2000
10774736,2000
10774735,2000
10774734,2000
10774733,2000
10774732,2000
10774731,2000
10774730,2000
10774729,2000
10774728,2000
10774727,2000
10774726,2000
10774725,2000
10774724,2000
10774723,2000
10774721,2000
10774720,2000
10774719,2000
10774718,2000
10774717,2000
10774716,2000
10719902,2000
10719901,2000
10719900,2000
10719899,2000
10719898,2000
10719897,2000
10719896,2000
10719895,2000
10719894,2000
10719893,2000
10719892,2000
10719891,2000
10719890,2000
10719889,2000
10719888,2000
10719887,2000
10719886,2000
10719885,2000
10719884,2000
10719883,2000
10719882,2000
10719881,2000
10719880,2000
10719879,2000
10719878,2000
10718192,2000
10707987,2000
10707986,2000
10707985,2000
10707984,2000
10707983,2000
10707982,2000
10707981,2000
10707980,2000
10707979,2000
10707978,2000
10707977,2000
10707976,2000
10707975,2000
10707974,2000
10707973,2000
10707972,2000
10707971,2000
10707970,2000
10707969,2000
10707968,2000
10707967,2000
10707966,2000
10707965,2000
10707964,2000
10707963,2000
