pmid,year
32667144,2015
26686095,2015
26686094,2015
26686093,2015
26686092,2015
26686091,2015
26686090,2015
26686089,2015
26686088,2015
26686087,2015
26686086,2015
26686085,2015
26686084,2015
26686083,2015
26657156,2015
26657155,2015
26657154,2015
26657153,2015
26657152,2015
26657151,2015
26657150,2015
26640152,2015
26640151,2015
26640150,2015
26640149,2015
26640148,2015
26640147,2015
26640146,2015
26640145,2015
26640144,2015
26640143,2015
26640142,2015
26640141,2015
26640140,2015
26616862,2015
26616861,2015
26616860,2015
26616859,2015
26616858,2015
26616857,2015
26616856,2015
26616855,2015
26616854,2015
26616853,2015
26592450,2015
26592449,2015
26592448,2015
26592447,2015
26592446,2015
26592445,2015
26568304,2015
26568303,2015
26568302,2015
26568301,2015
26549034,2015
26549033,2015
26549032,2015
26549031,2015
26549030,2015
26549029,2015
26549028,2015
26549027,2015
26549026,2015
26549025,2015
26549024,2015
26549023,2015
26549022,2015
26549021,2015
26522729,2015
26522728,2015
26522727,2015
26522726,2015
26522725,2015
26522724,2015
26522723,2015
26522722,2015
26522721,2015
26522720,2015
26522719,2015
26500063,2015
26500062,2015
26500061,2015
26500060,2015
26500059,2015
26500058,2015
26500057,2015
26500056,2015
26477319,2015
26477318,2015
26477317,2015
26477316,2015
26477315,2015
26477314,2015
26477313,2015
26477312,2015
26477311,2015
26477310,2015
26477309,2015
26477308,2015
26477307,2015
26477306,2015
26473949,2015
26455327,2015
26455326,2015
26455325,2015
26455324,2015
26455323,2015
26455322,2015
26455321,2015
26455320,2015
26455319,2015
26455318,2015
26455317,2015
26434595,2015
26434594,2015
26434593,2015
26434592,2015
26434591,2015
26434590,2015
26434589,2015
26434588,2015
26434587,2015
26434586,2015
26434585,2015
26434584,2015
26434583,2015
26411369,2015
26411368,2015
26411367,2015
26411366,2015
26411365,2015
26411364,2015
26411363,2015
26387547,2015
26387546,2015
26387545,2015
26387544,2015
26387543,2015
26387542,2015
26387541,2015
26387540,2015
26387539,2015
26387538,2015
26387537,2015
26387536,2015
26364616,2015
26364615,2015
26364614,2015
26364613,2015
26364612,2015
26364611,2015
26364610,2015
26364609,2015
26364608,2015
26364607,2015
26364606,2015
26364605,2015
26364604,2015
26364603,2015
26364602,2015
26364601,2015
26364600,2015
26364599,2015
26364598,2015
26364597,2015
26364596,2015
26364595,2015
26300007,2015
26300006,2015
26300005,2015
26300004,2015
26300003,2015
26300002,2015
26300001,2015
26300000,2015
26279304,2015
26279303,2015
26279302,2015
26279301,2015
26279300,2015
26279299,2015
26279298,2015
26279297,2015
26279296,2015
26279295,2015
26257067,2015
26257066,2015
26257065,2015
26257064,2015
26257063,2015
26257062,2015
26257061,2015
26257060,2015
26257059,2015
26257058,2015
26257057,2015
26234682,2015
26234681,2015
26234680,2015
26234679,2015
26234678,2015
26234677,2015
26234676,2015
26234675,2015
26234674,2015
26212015,2015
26212014,2015
26212013,2015
26212012,2015
26212011,2015
26212010,2015
26212009,2015
26212008,2015
26189798,2015
26189797,2015
26189796,2015
26189795,2015
26165844,2015
26165843,2015
26165842,2015
26165841,2015
26165840,2015
26165839,2015
26165838,2015
26165837,2015
26165836,2015
26165835,2015
26148240,2015
26148238,2015
26148237,2015
26148236,2015
26148235,2015
26148234,2015
26148233,2015
26148232,2015
26148231,2015
26148230,2015
26148229,2015
26119946,2015
26119945,2015
26119944,2015
26119943,2015
26119942,2015
26119941,2015
26119940,2015
26119939,2015
26119938,2015
26119937,2015
26119936,2015
26119935,2015
26119934,2015
26119933,2015
26119932,2015
26119931,2015
26119930,2015
26096938,2015
26096937,2015
26096936,2015
26096935,2015
26096934,2015
26096933,2015
26096932,2015
26096931,2015
26096930,2015
26096929,2015
26096928,2015
26073088,2015
26073087,2015
26073086,2015
26073085,2015
26073084,2015
26073083,2015
26073082,2015
26073081,2015
26073080,2015
26073079,2015
26073078,2015
26073077,2015
26050622,2015
26050621,2015
26050620,2015
26050619,2015
26050618,2015
26028036,2015
26028035,2015
26028034,2015
26028033,2015
26028032,2015
26028031,2015
26028030,2015
26028029,2015
26028028,2015
26028027,2015
26028026,2015
26028025,2015
26028024,2015
26028023,2015
25982283,2015
25982282,2015
25982281,2015
25982280,2015
25982279,2015
25982278,2015
25982277,2015
25982276,2015
25982275,2015
25982274,2015
25982273,2015
25982272,2015
25982271,2015
25961936,2015
25961935,2015
25961934,2015
25961933,2015
25961932,2015
25961931,2015
25961930,2015
25961929,2015
25961928,2015
25961927,2015
25961926,2015
25961925,2015
25961924,2015
25961923,2015
25961922,2015
25961921,2015
25961920,2015
25961919,2015
25961918,2015
25961917,2015
25961916,2015
25961915,2015
25961914,2015
25961913,2015
25961912,2015
25915850,2015
25915849,2015
25915848,2015
25915847,2015
25915846,2015
25915845,2015
25915844,2015
25915843,2015
25915842,2015
25915841,2015
25915840,2015
25915839,2015
25893308,2015
25893307,2015
25893306,2015
25893305,2015
25893304,2015
25893303,2015
25893302,2015
25893301,2015
25893300,2015
25893299,2015
25893298,2015
25893297,2015
25893296,2015
25893295,2015
25893294,2015
25893293,2015
25893292,2015
25893291,2015
25893290,2015
25893289,2015
25893288,2015
25893287,2015
25893286,2015
25893285,2015
25867073,2015
25867072,2015
25867071,2015
25867070,2015
25867069,2015
25867068,2015
25867067,2015
25867066,2015
25867065,2015
25867064,2015
25867063,2015
25867062,2015
25867061,2015
25867060,2015
25823029,2015
25823028,2015
25823027,2015
25823026,2015
25823025,2015
25823024,2015
25823023,2015
25823022,2015
25823021,2015
25823020,2015
25798844,2015
25798843,2015
25798842,2015
25798841,2015
25798840,2015
25798839,2015
25798838,2015
25798837,2015
25798836,2015
25798835,2015
25798834,2015
25798833,2015
25772247,2015
25772246,2015
25772245,2015
25772244,2015
25772243,2015
25772242,2015
25772241,2015
25772240,2015
25772239,2015
25772238,2015
25772237,2015
25772236,2015
25772235,2015
25772234,2015
25746006,2015
25746005,2015
25746004,2015
25746003,2015
25746002,2015
25746001,2015
25746000,2015
25745999,2015
25745998,2015
25745997,2015
25745996,2015
25745995,2015
25745994,2015
25745993,2015
25728682,2015
25728681,2015
25728680,2015
25728679,2015
25728678,2015
25728677,2015
25728676,2015
25728675,2015
25728674,2015
25728673,2015
25703332,2015
25703331,2015
25703330,2015
25703329,2015
25703328,2015
25703327,2015
25703326,2015
25684142,2015
25684141,2015
25684140,2015
25684139,2015
25684138,2015
25684137,2015
25659587,2015
25659586,2015
25659585,2015
25659584,2015
25659583,2015
25659582,2015
25659581,2015
25659580,2015
25659579,2015
25659578,2015
25659577,2015
25659576,2015
25639877,2015
25639876,2015
25639875,2015
25639874,2015
25639873,2015
25639872,2015
25639871,2015
25639870,2015
25639869,2015
25639868,2015
25639867,2015
25639866,2015
25619842,2015
25619841,2015
25619840,2015
25619839,2015
25619838,2015
25619836,2015
25619835,2015
25619834,2015
25619833,2015
25619832,2015
25619831,2015
25619830,2015
25619829,2015
25619828,2015
25597410,2015
25597409,2015
25597408,2015
25579178,2015
25579177,2015
25531332,2015
25531331,2015
25531330,2015
25531329,2015
25531328,2015
25531327,2015
25531326,2015
25531325,2015
25531324,2015
25531323,2015
25531322,2015
25531321,2015
25531320,2015
25531319,2015
25531318,2015
25531317,2015
25531316,2015
25531315,2015
25531314,2015
25531313,2015
25500545,2015
25500544,2015
25500543,2015
25500542,2015
25500541,2015
25500540,2015
25500539,2015
25486436,2015
25486435,2015
25486434,2015
25486433,2015
25486432,2015
25486431,2015
25486430,2015
25486429,2015
25486428,2015
25486427,2015
25486426,2015
25435374,2015
25435373,2015
25435372,2015
25435371,2015
25435370,2015
25435369,2015
25435368,2015
25435367,2015
25435366,2015
25435365,2015
25435364,2015
25417706,2015
25417705,2015
25417704,2015
25417703,2015
25417702,2015
25417701,2015
25417700,2015
25399696,2015
25399695,2015
25381825,2015
25381824,2015
25381823,2015
25381822,2015
25381821,2015
25381820,2015
25381819,2015
25381818,2015
25381817,2015
25381816,2015
25381815,2015
25381814,2015
25362856,2015
25362855,2015
25362854,2015
25362853,2015
25362852,2015
25362851,2015
25347747,2015
25347746,2015
25347745,2015
25347744,2015
25347743,2015
25347742,2015
25347741,2015
25347740,2015
25347739,2015
25347738,2015
25347737,2015
25347736,2015
25347735,2015
25347734,2015
25328138,2015
25328137,2015
25328136,2015
25328135,2015
25308476,2015
25284589,2015
25284588,2015
25284587,2015
25284586,2015
25284585,2015
25284584,2015
25284583,2015
25284582,2015
25263454,2015
25263453,2015
25263452,2015
25263451,2015
25263450,2015
25263449,2015
25263448,2015
25263447,2015
25263446,2015
25263445,2015
25263444,2015
25263443,2015
25263442,2015
25263441,2015
25263440,2015
25263439,2015
25263438,2015
25263437,2015
25241901,2015
25241900,2015
25241899,2015
25241898,2015
25241897,2015
25241896,2015
25241895,2015
25241894,2015
25241893,2015
25241892,2015
25220419,2015
25220418,2015
25220417,2015
25220416,2015
25220415,2015
25220414,2015
25195862,2015
25195861,2015
25195860,2015
25195859,2015
25195858,2015
25174405,2015
25174404,2015
25174403,2015
25174402,2015
25174401,2015
25174400,2015
25174399,2015
25174398,2015
25174397,2015
25174396,2015
25174395,2015
25151968,2015
25151967,2015
25151966,2015
25151965,2015
25151964,2015
25151963,2015
25151962,2015
25151961,2015
25132272,2015
25132271,2015
25132270,2015
25132269,2015
25132268,2015
25132267,2015
25132266,2015
25132265,2015
25132264,2015
25132263,2015
25132262,2015
25132261,2015
25132260,2015
25109337,2015
25109336,2015
25109335,2015
25109334,2015
25109333,2015
25109332,2015
25109331,2015
25109330,2015
25109329,2015
25088204,2015
25088203,2015
25088202,2015
25088201,2015
25088200,2015
25088199,2015
25088198,2015
25088197,2015
25088196,2015
25088195,2015
25088194,2015
25088193,2015
25065599,2015
25065598,2015
25065597,2015
25065596,2015
25065595,2015
25065594,2015
25065593,2015
25065592,2015
25065591,2015
25065590,2015
25043310,2015
25043309,2015
25043308,2015
25043307,2015
25043306,2015
25043305,2015
25043304,2015
25043303,2015
25043302,2015
25043301,2015
25043300,2015
25043299,2015
25043298,2015
25043297,2015
25043296,2015
25023704,2015
25023703,2015
25023702,2015
25023701,2015
25023700,2015
25023699,2015
25023698,2015
24998854,2015
24998853,2015
24998852,2015
24998851,2015
24998850,2015
24998849,2015
24998848,2015
24998847,2015
24998846,2015
24998845,2015
24998844,2015
24975577,2015
24975576,2015
24975575,2015
24954510,2015
24954509,2015
24954508,2015
24954507,2015
24954506,2015
24954505,2015
24954504,2015
24954503,2015
24954502,2015
24931170,2015
24931169,2015
24931168,2015
24931167,2015
24931166,2015
24931165,2015
24931164,2015
24931163,2015
24931162,2015
24909179,2015
24909178,2015
24909176,2015
24909175,2015
24909174,2015
24909172,2015
24909171,2015
24909170,2015
24909169,2015
24909168,2015
24909167,2015
24909166,2015
24909165,2015
24909164,2015
24909163,2015
24909162,2015
24909161,2015
24909160,2015
24882582,2015
24882581,2015
24882580,2015
24882579,2015
24882578,2015
24882577,2015
24882576,2015
24882575,2015
24882574,2015
24858047,2015
24858046,2015
24858045,2015
24858044,2015
24858042,2015
24858041,2015
24858040,2015
24858039,2015
24858038,2015
24837369,2015
24837368,2015
24837367,2015
24837366,2015
24837365,2015
24837364,2015
24837363,2015
24814516,2015
24793792,2015
24793791,2015
24793790,2015
24793789,2015
24769899,2015
24769898,2015
24769897,2015
24769896,2015
24747973,2015
24747971,2015
24747970,2015
24747969,2015
24747968,2015
24747967,2015
24747966,2015
24727895,2015
24727894,2015
24727893,2015
24727892,2015
24727891,2015
24704835,2015
24704834,2015
24704833,2015
24704832,2015
24704831,2015
24704830,2015
24704829,2015
24704828,2015
24704827,2015
24704826,2015
24704825,2015
24704824,2015
24681959,2015
24681958,2015
24681957,2015
24681956,2015
24681954,2015
24681953,2015
24681951,2015
24681950,2015
24681949,2015
24681948,2015
24681947,2015
24681946,2015
24662837,2015
24662836,2015
24662834,2015
24662832,2015
24662830,2015
24662829,2015
24662827,2015
24662826,2015
24662825,2015
24662824,2015
24662823,2015
24662822,2015
24662821,2015
24662820,2015
24662819,2015
24662818,2015
24662817,2015
24662816,2015
24632622,2015
24632621,2015
24632620,2015
24632619,2015
24632618,2015
24632617,2015
24632616,2015
24632615,2015
24632614,2015
24632613,2015
24632612,2015
24632611,2015
24632610,2015
24632609,2015
24632608,2015
24632607,2015
24632606,2015
24632605,2015
24632604,2015
24632603,2015
24608435,2015
24608433,2015
24608432,2015
24608431,2015
24608430,2015
24608429,2015
24608428,2015
24608427,2015
24608426,2015
24608425,2015
24561529,2015
24561528,2015
24561527,2015
24531716,2015
24531715,2015
24531713,2015
24531712,2015
24531711,2015
24531710,2015
24531709,2015
24509876,2015
24488013,2015
24488012,2015
24488011,2015
24488010,2015
24469061,2015
24469060,2015
24469059,2015
24469058,2015
24469057,2015
24469056,2015
24469054,2015
24469053,2015
24469052,2015
24469051,2015
24469050,2015
24469049,2015
24469048,2015
24469047,2015
24469046,2015
24469045,2015
24469044,2015
24469043,2015
24469042,2015
24469041,2015
24469040,2015
24469037,2015
24469036,2015
24469035,2015
24469034,2015
24469033,2015
24469032,2015
24441046,2015
24441045,2015
24441044,2015
24441043,2015
24441042,2015
24441040,2015
24441039,2015
24413084,2015
24413083,2015
24413082,2015
24413081,2015
24413080,2015
24413079,2015
24362534,2015
24362533,2015
24362532,2015
24362531,2015
24362529,2015
24362528,2015
24362527,2015
24362523,2015
24362522,2015
24362521,2015
24362520,2015
24336331,2015
24336330,2015
24336329,2015
24336327,2015
24336325,2015
24317514,2015
24292684,2015
24292682,2015
24292678,2015
24276244,2015
