pmid,year
22461913,2012
22461912,2012
22461911,2012
22461910,2012
22461909,2012
22461908,2012
22461907,2012
22461906,2012
22461905,2012
22461904,2012
22461903,2012
22461902,2012
22461901,2012
22461900,2012
22461899,2012
22461898,2012
22461897,2012
22461896,2012
22461895,2012
22461894,2012
22461893,2012
22461892,2012
22461891,2012
22461890,2012
22461889,2012
22461888,2012
22461887,2012
22461886,2012
22461885,2012
22461884,2012
22461883,2012
22457834,2012
22457833,2012
22457832,2012
22457831,2012
22457830,2012
22457829,2012
22457828,2012
22457827,2012
22457826,2012
22457825,2012
22457824,2012
22457823,2012
22457822,2012
22457821,2012
22457820,2012
22457819,2012
22457818,2012
22457817,2012
22457816,2012
22457815,2012
22457814,2012
22457813,2012
22457812,2012
22457811,2012
22457810,2012
22457809,2012
22457808,2012
22457807,2012
22457806,2012
22457805,2012
22457804,2012
22457803,2012
22457802,2012
22457801,2012
22457800,2012
22457799,2012
22457798,2012
22457797,2012
22457796,2012
22457795,2012
22457794,2012
22457793,2012
22457792,2012
22457791,2012
22457790,2012
22457789,2012
22457788,2012
22457787,2012
22457786,2012
22457785,2012
22457784,2012
22457783,2012
22457782,2012
22457781,2012
22457780,2012
22457779,2012
22457778,2012
22457777,2012
22457776,2012
22457775,2012
22457774,2012
22457773,2012
22457772,2012
22457771,2012
22457770,2012
22457769,2012
22457768,2012
22457767,2012
22457766,2012
22457765,2012
22457764,2012
22457763,2012
22457762,2012
22457761,2012
22457760,2012
22457759,2012
22457758,2012
22457757,2012
22457756,2012
22457755,2012
22457754,2012
22457753,2012
22457752,2012
22457751,2012
22457750,2012
22457749,2012
22457748,2012
22457747,2012
22457746,2012
22457745,2012
22457744,2012
22457743,2012
22457742,2012
22457741,2012
22457740,2012
22457739,2012
22457738,2012
22457737,2012
22457736,2012
22457735,2012
22457734,2012
22457733,2012
22457732,2012
22457731,2012
22457730,2012
22457729,2012
22457728,2012
22457727,2012
22457726,2012
22457725,2012
22457724,2012
22457723,2012
22457722,2012
22457721,2012
22457720,2012
22457719,2012
22457718,2012
22457717,2012
22457716,2012
22457715,2012
22457714,2012
22457713,2012
22457712,2012
22457711,2012
22457710,2012
22457709,2012
22457708,2012
22457705,2012
22448290,2012
22448289,2012
22448288,2012
22448287,2012
22448286,2012
22448285,2012
22448284,2012
22448283,2012
22448282,2012
22448281,2012
22448280,2012
22448279,2012
22448278,2012
22448277,2012
22448276,2012
22448275,2012
22448274,2012
22448273,2012
22448272,2012
22448271,2012
22448270,2012
22448269,2012
22448268,2012
22448267,2012
22448266,2012
22448265,2012
22448264,2012
22448263,2012
22448262,2012
22448261,2012
22448260,2012
22448259,2012
22448258,2012
22448257,2012
22448256,2012
22448255,2012
22448254,2012
22448253,2012
22448252,2012
22448251,2012
22448250,2012
22448249,2012
22448248,2012
22448247,2012
22448246,2012
22448245,2012
22448244,2012
22448243,2012
22448242,2012
22448241,2012
22448240,2012
22448239,2012
22448238,2012
22448237,2012
22448236,2012
22448235,2012
22448234,2012
22448233,2012
22448232,2012
22448231,2012
22448230,2012
22448229,2012
22448228,2012
22448227,2012
22448226,2012
22448225,2012
22448224,2012
22448223,2012
22448222,2012
22448221,2012
22448220,2012
22448219,2012
22448218,2012
22448217,2012
22448216,2012
22448215,2012
22448214,2012
22448213,2012
22448212,2012
22448211,2012
22442740,2012
22442739,2012
22442738,2012
22442737,2012
22442736,2012
22442735,2012
22442734,2012
22442733,2012
22442732,2012
22442731,2012
22442730,2012
22442729,2012
22442728,2012
22442727,2012
22442726,2012
22442725,2012
22442724,2012
22442723,2012
22442722,2012
22442721,2012
22442720,2012
22442719,2012
22442718,2012
22442717,2012
22442716,2012
22442715,2012
22442714,2012
22442713,2012
22442712,2012
22442711,2012
22442710,2012
22442709,2012
22442708,2012
22442707,2012
22442706,2012
22442705,2012
22442704,2012
22442703,2012
22442702,2012
22442701,2012
22442700,2012
22442699,2012
22442698,2012
22442697,2012
22442696,2012
22442695,2012
22442694,2012
22442693,2012
22442692,2012
22442691,2012
22442690,2012
22442689,2012
22442688,2012
22442687,2012
22442686,2012
22442685,2012
22442684,2012
22442683,2012
22442682,2012
22442681,2012
22442680,2012
22442679,2012
22442678,2012
22442677,2012
22442676,2012
22442675,2012
22442674,2012
22442673,2012
22442672,2012
22442671,2012
22442670,2012
22442669,2012
22442668,2012
22442667,2012
22442666,2012
22442665,2012
22442664,2012
22442663,2012
22442662,2012
22442661,2012
22442660,2012
22442659,2012
22442658,2012
22439016,2012
22439015,2012
22439014,2012
22439013,2012
22439012,2012
22439011,2012
22439010,2012
22439009,2012
22439008,2012
22439007,2012
22439006,2012
22439005,2012
22439004,2012
22439003,2012
22439002,2012
22439001,2012
22439000,2012
22438999,2012
22438998,2012
22438997,2012
22438996,2012
22438995,2012
22438994,2012
22438993,2012
22438992,2012
22438991,2012
22438990,2012
22438989,2012
22438988,2012
22438987,2012
22438986,2012
22438985,2012
22438984,2012
22438983,2012
22438982,2012
22438981,2012
22438980,2012
22438979,2012
22438978,2012
22438977,2012
22438976,2012
22438975,2012
22438974,2012
22438973,2012
22438972,2012
22438971,2012
22438970,2012
22438969,2012
22438968,2012
22438967,2012
22438966,2012
22438965,2012
22438964,2012
22438963,2012
22438962,2012
22438961,2012
22438960,2012
22438959,2012
22438958,2012
22438957,2012
22438956,2012
22438955,2012
22438954,2012
22438953,2012
22438952,2012
22438951,2012
22438950,2012
22438949,2012
22438948,2012
22438947,2012
22438946,2012
22438945,2012
22438944,2012
22438943,2012
22438942,2012
22438941,2012
22438940,2012
22438939,2012
22438938,2012
22438937,2012
22438936,2012
22438935,2012
22438934,2012
22438933,2012
22438932,2012
22438931,2012
22438930,2012
22438929,2012
22438928,2012
22438927,2012
22438926,2012
22438925,2012
22438924,2012
22438923,2012
