pmid,year
23263443,2012
23263442,2012
23260488,2012
23260487,2012
23259956,2012
23259955,2012
23259954,2012
23259953,2012
23259952,2012
23259951,2012
23259950,2012
23259949,2012
23259948,2012
23259947,2012
23259946,2012
23259945,2012
23259944,2012
23259943,2012
23259942,2012
23259941,2012
23259940,2012
23259939,2012
23246483,2012
23246482,2012
23242312,2012
23242311,2012
23242310,2012
23242309,2012
23222914,2012
23222913,2012
23222912,2012
23222911,2012
23217750,2012
23217749,2012
23217748,2012
23217747,2012
23217746,2012
23217745,2012
23217744,2012
23217743,2012
23217742,2012
23217741,2012
23217740,2012
23217739,2012
23217738,2012
23217737,2012
23217736,2012
23217735,2012
23217734,2012
23217733,2012
23217425,2012
23217424,2012
23217423,2012
23217421,2012
23217420,2012
23217419,2012
23217418,2012
23217417,2012
23217416,2012
23217415,2012
23217414,2012
23213647,2012
23201973,2012
23201972,2012
23201971,2012
23187693,2012
23187689,2012
23178975,2012
23178974,2012
23177967,2012
23177966,2012
23177965,2012
23177964,2012
23177963,2012
23177962,2012
23177961,2012
23177960,2012
23177959,2012
23177958,2012
23177957,2012
23177956,2012
23177955,2012
23177954,2012
23177953,2012
23177952,2012
23168164,2012
23168163,2012
23160045,2012
23160044,2012
23160043,2012
23160042,2012
23143522,2012
23143521,2012
23143520,2012
23143519,2012
23143518,2012
23143517,2012
23143516,2012
23143515,2012
23143514,2012
23143513,2012
23143512,2012
23143511,2012
23142521,2012
23142520,2012
23141075,2012
23141073,2012
23141072,2012
23141071,2012
23141070,2012
23141069,2012
23141068,2012
23141067,2012
23141066,2012
23141065,2012
23141064,2012
23141063,2012
23141062,2012
23141061,2012
23141060,2012
23141059,2012
23141058,2012
23141057,2012
23122294,2012
23122293,2012
23122292,2012
23122291,2012
23122290,2012
23122289,2012
23122287,2012
23122286,2012
23122285,2012
23122284,2012
23122283,2012
23122282,2012
23103965,2012
23103964,2012
23103054,2012
23086336,2012
23086335,2012
23086334,2012
23084023,2012
23083745,2012
23083744,2012
23083743,2012
23083742,2012
23083741,2012
23083740,2012
23083739,2012
23083738,2012
23083737,2012
23083736,2012
23083735,2012
23083734,2012
23083733,2012
23083732,2012
23083731,2012
23083730,2012
23083729,2012
23083728,2012
23064382,2012
23064381,2012
23064380,2012
23064379,2012
23064101,2012
23042082,2012
23042081,2012
23040818,2012
23040817,2012
23040816,2012
23040815,2012
23040814,2012
23040813,2012
23040812,2012
23040811,2012
23040810,2012
23040809,2012
23040808,2012
23040807,2012
23040806,2012
23040805,2012
23040804,2012
23040803,2012
23040802,2012
23040482,2012
23040481,2012
23040480,2012
23040479,2012
23040478,2012
23040477,2012
23040476,2012
23040475,2012
23040474,2012
23040473,2012
23040472,2012
23040471,2012
23040470,2012
23023294,2012
23023293,2012
23023292,2012
23007190,2012
23007189,2012
23007188,2012
23007187,2012
23007181,2012
23001062,2012
23001061,2012
23001060,2012
23001059,2012
22998879,2012
22998878,2012
22998877,2012
22998876,2012
22998875,2012
22998874,2012
22998873,2012
22998872,2012
22998871,2012
22998870,2012
22998869,2012
22998868,2012
22998867,2012
22998866,2012
22998865,2012
22998864,2012
22998863,2012
22998862,2012
22998861,2012
22998860,2012
22998859,2012
22998858,2012
22983211,2012
22983210,2012
22983209,2012
22983208,2012
22981823,2012
22960934,2012
22960933,2012
22960932,2012
22960931,2012
22958934,2012
22958933,2012
22958932,2012
22958931,2012
22958930,2012
22958929,2012
22958928,2012
22958927,2012
22958926,2012
22958925,2012
22958924,2012
22958830,2012
22958829,2012
22958828,2012
22958827,2012
22958826,2012
22958825,2012
22958824,2012
22958823,2012
22958822,2012
22958821,2012
22958820,2012
22958819,2012
22958818,2012
22958817,2012
22958816,2012
22958815,2012
22958814,2012
22941111,2012
22941110,2012
22941109,2012
22941108,2012
22941107,2012
22929913,2012
22922786,2012
22922785,2012
22922784,2012
22922783,2012
22922782,2012
22920262,2012
22920261,2012
22920260,2012
22920259,2012
22920258,2012
22920257,2012
22920256,2012
22920255,2012
22920254,2012
22920253,2012
22920252,2012
22920251,2012
22920250,2012
22920249,2012
22920248,2012
22920247,2012
22920246,2012
22920245,2012
22902720,2012
22902719,2012
22902718,2012
22902295,2012
22902294,2012
22885851,2012
22885850,2012
22885849,2012
22885848,2012
22884335,2012
22884334,2012
22884333,2012
22884332,2012
22884331,2012
22884330,2012
22884329,2012
22884328,2012
22884327,2012
22884325,2012
22884324,2012
22884323,2012
22884322,2012
22884321,2012
22884320,2012
22884319,2012
22884318,2012
22884317,2012
22864613,2012
22864612,2012
22864611,2012
22864610,2012
22863534,2012
22863533,2012
22863532,2012
22862949,2012
22862948,2012
22862947,2012
22862946,2012
22862945,2012
22862944,2012
22862943,2012
22862942,2012
22862941,2012
22862939,2012
22862938,2012
22862937,2012
22862936,2012
22842148,2012
22842147,2012
22842146,2012
22842145,2012
22842144,2012
22841318,2012
22841317,2012
22841316,2012
22841315,2012
22841314,2012
22841313,2012
22841312,2012
22841311,2012
22841310,2012
22841309,2012
22841308,2012
22841307,2012
22841306,2012
22841305,2012
22841304,2012
22841303,2012
22837040,2012
22837039,2012
22837038,2012
22837037,2012
22837036,2012
22837035,2012
22837034,2012
22837033,2012
22837032,2012
22837031,2012
22837030,2012
22820466,2012
22820465,2012
22797695,2012
22797694,2012
22794268,2012
22794267,2012
22794266,2012
22794265,2012
22794264,2012
22794263,2012
22794262,2012
22794261,2012
22794260,2012
22794259,2012
22794258,2012
22794257,2012
22794256,2012
22794255,2012
22794254,2012
22794253,2012
22772333,2012
22772332,2012
22770845,2012
22770246,2012
22770245,2012
22770244,2012
22770243,2012
22770242,2012
22770241,2012
22770240,2012
22770239,2012
22770238,2012
22770237,2012
22770236,2012
22770235,2012
22770234,2012
22751038,2012
22751037,2012
22751036,2012
22751035,2012
22748968,2012
22748967,2012
22735516,2012
22735515,2012
22729177,2012
22729176,2012
22729175,2012
22729174,2012
22726841,2012
22726840,2012
22726839,2012
22726838,2012
22726837,2012
22726836,2012
22726835,2012
22726834,2012
22726833,2012
22726832,2012
22726831,2012
22726830,2012
22726829,2012
22726828,2012
22726827,2012
22726826,2012
22726825,2012
22712067,2012
22706270,2012
22706269,2012
22706268,2012
22706267,2012
22706266,2012
22704518,2012
22704517,2012
22704516,2012
22704515,2012
22704514,2012
22704513,2012
22704512,2012
22704511,2012
22704510,2012
22704509,2012
22704508,2012
22704507,2012
22704506,2012
22704505,2012
22704504,2012
22704503,2012
22704502,2012
22704501,2012
22704500,2012
22704499,2012
22704498,2012
22704497,2012
22683683,2012
22683682,2012
22683681,2012
22683204,2012
22683203,2012
22681697,2012
22681696,2012
22681695,2012
22681694,2012
22681693,2012
22681692,2012
22681691,2012
22681690,2012
22681689,2012
22681688,2012
22681687,2012
22681686,2012
22681685,2012
22681684,2012
22681683,2012
22681682,2012
22681681,2012
22681680,2012
22681679,2012
22660480,2012
22660479,2012
22660478,2012
22660477,2012
22634731,2012
22634730,2012
22634729,2012
22634728,2012
22632732,2012
22632731,2012
22632730,2012
22632729,2012
22632728,2012
22632727,2012
22632726,2012
22632725,2012
22632724,2012
22632723,2012
22632722,2012
22632721,2012
22632720,2012
22632719,2012
22632718,2012
22632717,2012
22632716,2012
22632715,2012
22627792,2012
22627791,2012
22627790,2012
22627789,2012
22610069,2012
22610068,2012
22608532,2012
22581185,2012
22581184,2012
22581183,2012
22578508,2012
22578507,2012
22578506,2012
22578505,2012
22578504,2012
22578503,2012
22578502,2012
22578501,2012
22578500,2012
22578499,2012
22578497,2012
22578496,2012
22578495,2012
22578494,2012
22578493,2012
22578492,2012
22561455,2012
22561454,2012
22561453,2012
22561452,2012
22560082,2012
22560081,2012
22560080,2012
22560079,2012
22560078,2012
22560077,2012
22560076,2012
22560075,2012
22560074,2012
22560073,2012
22560072,2012
22560071,2012
22560070,2012
22560069,2012
22560068,2012
22560067,2012
22544313,2012
22544312,2012
22544311,2012
22544310,2012
22542192,2012
22542191,2012
22542190,2012
22542189,2012
22542188,2012
22542187,2012
22542186,2012
22542185,2012
22542184,2012
22542183,2012
22542182,2012
22542181,2012
22542180,2012
22542179,2012
22542178,2012
22542177,2012
22542176,2012
22542175,2012
22542174,2012
22542173,2012
22542160,2012
22542159,2012
22534579,2012
22534578,2012
22534577,2012
22534576,2012
22534575,2012
22534574,2012
22534573,2012
22522402,2012
22522401,2012
22522400,2012
22504349,2012
22504348,2012
22504347,2012
22504346,2012
22500640,2012
22500639,2012
22500638,2012
22500637,2012
22500636,2012
22500635,2012
22500634,2012
22500633,2012
22500632,2012
22500631,2012
22500630,2012
22500629,2012
22500628,2012
22500627,2012
22500626,2012
22500625,2012
22500624,2012
22500623,2012
22500622,2012
22486005,2012
22484572,2012
22484571,2012
22482508,2012
22482507,2012
22482506,2012
22482505,2012
22482504,2012
22482503,2012
22482502,2012
22482501,2012
22482500,2012
22482499,2012
22482498,2012
22482497,2012
22466506,2012
22466505,2012
22449960,2012
22446882,2012
22446881,2012
22446880,2012
22446879,2012
22446878,2012
22445518,2012
22445517,2012
22445349,2012
22445348,2012
22445347,2012
22445346,2012
22445345,2012
22445344,2012
22445343,2012
22445342,2012
22445341,2012
22445340,2012
22445339,2012
22445338,2012
22445337,2012
22445336,2012
22445335,2012
22445334,2012
22445333,2012
22445332,2012
22445331,2012
22426255,2012
22426254,2012
22426253,2012
22426252,2012
22424902,2012
22406552,2012
22406551,2012
22406550,2012
22406549,2012
22406548,2012
22406547,2012
22405212,2012
22405211,2012
22405210,2012
22405209,2012
22405208,2012
22405207,2012
22405206,2012
22405205,2012
22405204,2012
22405203,2012
22405202,2012
22405201,2012
22405200,2012
22405199,2012
22405198,2012
22405197,2012
22405196,2012
22388962,2012
22388961,2012
22388960,2012
22388959,2012
22388958,2012
22385660,2012
22385659,2012
22385658,2012
22385657,2012
22385656,2012
22385655,2012
22385654,2012
22385653,2012
22385651,2012
22385650,2012
22385649,2012
22385648,2012
22366760,2012
22366759,2012
22366758,2012
22366757,2012
22366756,2012
22365554,2012
22365553,2012
22365552,2012
22365551,2012
22365550,2012
22365549,2012
22365548,2012
22365547,2012
22365546,2012
22365545,2012
22365544,2012
22365543,2012
22365542,2012
22365541,2012
22365540,2012
22365539,2012
22365538,2012
22365537,2012
22365536,2012
22362104,2012
22362103,2012
22362102,2012
22362101,2012
22327474,2012
22327473,2012
22327472,2012
22325210,2012
22325209,2012
22325208,2012
22325207,2012
22325206,2012
22325205,2012
22325204,2012
22325203,2012
22325202,2012
22325201,2012
22325200,2012
22325199,2012
22325198,2012
22325197,2012
22325196,2012
22325195,2012
22325194,2012
22325193,2012
22306608,2012
22306607,2012
22306606,2012
22305571,2012
22305570,2012
22305569,2012
22305568,2012
22305567,2012
22305566,2012
22305565,2012
22305564,2012
22305563,2012
22305562,2012
22305561,2012
22305560,2012
22305559,2012
22305558,2012
22305557,2012
22305556,2012
22286176,2012
22286175,2012
