pmid,query_name
18371327,diseases_2007
18371365,diseases_2007
18371359,diseases_2007
18371353,diseases_2007
18371349,diseases_2007
18938746,diseases_2007
18938744,diseases_2007
18938743,diseases_2007
18938742,diseases_2007
18938740,diseases_2007
18371406,diseases_2007
18371398,diseases_2007
18371397,diseases_2007
18371394,diseases_2007
18371393,diseases_2007
18371377,diseases_2007
18371370,diseases_2007
18383625,diseases_2008
18371453,diseases_2008
18371440,diseases_2008
18371430,diseases_2008
18522850,diseases_2008
18522847,diseases_2008
18522842,diseases_2008
18462691,diseases_2008
18462688,diseases_2008
18397753,diseases_2008
18397752,diseases_2008
18786412,diseases_2008
18786408,diseases_2008
18682242,diseases_2008
18682240,diseases_2008
18593555,diseases_2008
19041782,diseases_2008
19041781,diseases_2008
19041780,diseases_2008
19041769,diseases_2008
19265662,diseases_2009
19265659,diseases_2009
19265655,diseases_2009
19265652,diseases_2009
19497285,diseases_2009
19497271,diseases_2009
19427294,diseases_2009
19427293,diseases_2009
19427284,diseases_2009
19341622,diseases_2009
19341621,diseases_2009
19341617,diseases_2009
19341614,diseases_2009
19733542,diseases_2009
19733533,diseases_2009
19733528,diseases_2009
19664992,diseases_2009
19664991,diseases_2009
19664981,diseases_2009
19631602,diseases_2009
19570515,diseases_2009
19570514,diseases_2009
19570513,diseases_2009
19570512,diseases_2009
19570506,diseases_2009
19570504,diseases_2009
19951692,diseases_2009
19951691,diseases_2009
19951690,diseases_2009
19896441,diseases_2009
19896439,diseases_2009
19796617,diseases_2009
19796612,diseases_2009
20144789,diseases_2010
20144787,diseases_2010
20085741,diseases_2010
20578344,diseases_2010
20578343,diseases_2010
20569697,diseases_2010
20569696,diseases_2010
20569695,diseases_2010
20569685,diseases_2010
20452319,diseases_2010
20452317,diseases_2010
20452314,diseases_2010
20452313,diseases_2010
20362542,diseases_2010
20804975,diseases_2010
20804973,diseases_2010
20804965,diseases_2010
20682443,diseases_2010
20621056,diseases_2010
21112565,diseases_2010
21112564,diseases_2010
21112563,diseases_2010
21040903,diseases_2010
21040901,diseases_2010
21040895,diseases_2010
20887957,diseases_2010
20887953,diseases_2010
21419747,diseases_2011
21295272,diseases_2011
21211780,diseases_2011
21549326,diseases_2011
21549324,diseases_2011
21549323,diseases_2011
21549322,diseases_2011
21549321,diseases_2011
21474104,diseases_2011
21474103,diseases_2011
21419747,diseases_2011
21885017,diseases_2011
21885015,diseases_2011
21816364,diseases_2011
21816361,diseases_2011
21816360,diseases_2011
21726833,diseases_2011
22056143,diseases_2011
22056141,diseases_2011
22056140,diseases_2011
22056139,diseases_2011
21982236,diseases_2011
21982235,diseases_2011
22424902,diseases_2012
22385653,diseases_2012
22305570,diseases_2012
22305568,diseases_2012
22305565,diseases_2012
22305563,diseases_2012
22226352,diseases_2012
22748968,diseases_2012
22748967,diseases_2012
22704516,diseases_2012
22704512,diseases_2012
22704509,diseases_2012
22704504,diseases_2012
22704498,diseases_2012
22683204,diseases_2012
22560081,diseases_2012
22560080,diseases_2012
22560078,diseases_2012
22542159,diseases_2012
22482506,diseases_2012
22482504,diseases_2012
22424902,diseases_2012
22958934,diseases_2012
22958933,diseases_2012
22958932,diseases_2012
22958930,diseases_2012
22958927,diseases_2012
22863534,diseases_2012
22862946,diseases_2012
22862942,diseases_2012
22770242,diseases_2012
22770237,diseases_2012
22748968,diseases_2012
22748967,diseases_2012
22683204,diseases_2012
23217424,diseases_2012
23168163,diseases_2012
23142520,diseases_2012
23084023,diseases_2012
23472874,diseases_2013
23472872,diseases_2013
23472869,diseases_2013
23472867,diseases_2013
23434393,diseases_2013
23395447,diseases_2013
23333150,diseases_2013
23333149,diseases_2013
23290139,diseases_2013
23770079,diseases_2013
23746982,diseases_2013
23746978,diseases_2013
23746977,diseases_2013
23746975,diseases_2013
23746971,diseases_2013
23746969,diseases_2013
23746968,diseases_2013
23665120,diseases_2013
23642368,diseases_2013
23602541,diseases_2013
23602540,diseases_2013
23561443,diseases_2013
23434393,diseases_2013
24035355,diseases_2013
24012366,diseases_2013
24012363,diseases_2013
23871605,diseases_2013
23850243,diseases_2013
23827711,diseases_2013
23827704,diseases_2013
23827702,diseases_2013
23770079,diseases_2013
24360883,diseases_2013
24315440,diseases_2013
24315439,diseases_2013
24209761,diseases_2013
24209757,diseases_2013
24095676,diseases_2013
24094325,diseases_2013
24094324,diseases_2013
24094322,diseases_2013
24094317,diseases_2013
24035355,diseases_2013
24607407,diseases_2014
24607406,diseases_2014
24607405,diseases_2014
24607404,diseases_2014
24607400,diseases_2014
24529595,diseases_2014
24506877,diseases_2014
24440599,diseases_2014
24360883,diseases_2014
24905164,diseases_2014
24905157,diseases_2014
24835569,diseases_2014
24726192,diseases_2014
24704494,diseases_2014
24704493,diseases_2014
24704492,diseases_2014
24702993,diseases_2014
24702991,diseases_2014
24529595,diseases_2014
25192459,diseases_2014
25105577,diseases_2014
25105576,diseases_2014
25105574,diseases_2014
25017722,diseases_2014
24996169,diseases_2014
24996164,diseases_2014
24996160,diseases_2014
24835569,diseases_2014
24726192,diseases_2014
25533131,diseases_2014
25517469,diseases_2014
25517465,diseases_2014
25517462,diseases_2014
25517456,diseases_2014
25515522,diseases_2014
25479752,diseases_2014
25479751,diseases_2014
25479750,diseases_2014
25479747,diseases_2014
25479746,diseases_2014
25479742,diseases_2014
25479741,diseases_2014
25467916,diseases_2014
25465115,diseases_2014
25465113,diseases_2014
25280219,diseases_2014
25280212,diseases_2014
25772073,diseases_2015
25772071,diseases_2015
25748932,diseases_2015
25748930,diseases_2015
25748928,diseases_2015
25732245,diseases_2015
25658372,diseases_2015
25658366,diseases_2015
25658364,diseases_2015
25575080,diseases_2015
25575078,diseases_2015
25575074,diseases_2015
25575073,diseases_2015
25533131,diseases_2015
25467916,diseases_2015
25465115,diseases_2015
25465113,diseases_2015
26119234,diseases_2015
26095047,diseases_2015
26095046,diseases_2015
26046761,diseases_2015
26046760,diseases_2015
26046755,diseases_2015
25957904,diseases_2015
25957903,diseases_2015
25957899,diseases_2015
25957896,diseases_2015
25936915,diseases_2015
25842979,diseases_2015
25842978,diseases_2015
25842976,diseases_2015
25842974,diseases_2015
25842973,diseases_2015
25842969,diseases_2015
25772073,diseases_2015
25772071,diseases_2015
26412561,diseases_2015
26387756,diseases_2015
26387755,diseases_2015
26340526,diseases_2015
26340524,diseases_2015
26321202,diseases_2015
26299573,diseases_2015
26279267,diseases_2015
26253202,diseases_2015
26253195,diseases_2015
