pmid,query_name
19128793,therapeutics_2009
21726829,therapeutics_2011
21726828,therapeutics_2011
22704514,therapeutics_2012
22704508,therapeutics_2012
22560075,therapeutics_2012
22542159,therapeutics_2012
23217418,therapeutics_2012
24012368,therapeutics_2013
27257759,therapeutics_2016
28041894,therapeutics_2016
28061355,therapeutics_2017
28061350,therapeutics_2017
28041894,therapeutics_2017
30595497,therapeutics_2018
30449714,therapeutics_2018
30595497,therapeutics_2019
31173708,therapeutics_2019
32726579,therapeutics_2020
33157044,therapeutics_2020
33128895,therapeutics_2020
33476575,therapeutics_2021
33476575,therapeutics_2021
35245466,therapeutics_2022
35508177,therapeutics_2022
36736287,therapeutics_2023
37541207,therapeutics_2023
37832549,therapeutics_2023
38306992,therapeutics_2024
38593797,therapeutics_2024
