pmid,query_name
3623000,fundamental_1987
3622999,fundamental_1987
3497834,fundamental_1987
3040505,fundamental_1987
3040504,fundamental_1987
2887478,fundamental_1987
2887477,fundamental_1987
2442057,fundamental_1987
3609611,fundamental_1987
3609610,fundamental_1987
3038647,fundamental_1987
3038646,fundamental_1987
2956146,fundamental_1987
2886390,fundamental_1987
2440752,fundamental_1987
3301499,fundamental_1987
3301498,fundamental_1987
3301496,fundamental_1987
3111927,fundamental_1987
3038645,fundamental_1987
2886389,fundamental_1987
2886388,fundamental_1987
3678703,fundamental_1987
3678702,fundamental_1987
3479371,fundamental_1987
3315809,fundamental_1987
3315808,fundamental_1987
3315807,fundamental_1987
3315806,fundamental_1987
3119415,fundamental_1987
3119414,fundamental_1987
2890549,fundamental_1987
3678699,fundamental_1987
3678698,fundamental_1987
2824270,fundamental_1987
2824269,fundamental_1987
2824267,fundamental_1987
2445614,fundamental_1987
3653583,fundamental_1987
3653582,fundamental_1987
3498658,fundamental_1987
3498657,fundamental_1987
3308611,fundamental_1987
3115856,fundamental_1987
2820824,fundamental_1987
2820823,fundamental_1987
2443413,fundamental_1987
3350237,fundamental_1988
3280376,fundamental_1988
3280375,fundamental_1988
2832233,fundamental_1988
3342968,fundamental_1988
3277888,fundamental_1988
3277887,fundamental_1988
3277886,fundamental_1988
3277885,fundamental_1988
3277884,fundamental_1988
3125082,fundamental_1988
2963778,fundamental_1988
3335280,fundamental_1988
3275561,fundamental_1988
2961646,fundamental_1988
2891579,fundamental_1988
2891578,fundamental_1988
2446942,fundamental_1988
3371593,fundamental_1988
3286349,fundamental_1988
3131174,fundamental_1988
3131173,fundamental_1988
2836254,fundamental_1988
2836252,fundamental_1988
2453389,fundamental_1988
3360240,fundamental_1988
3282961,fundamental_1988
3282960,fundamental_1988
2452113,fundamental_1988
2452111,fundamental_1988
3350243,fundamental_1988
3350242,fundamental_1988
3350241,fundamental_1988
3280379,fundamental_1988
3127264,fundamental_1988
2450802,fundamental_1988
3410198,fundamental_1988
3261700,fundamental_1988
3044906,fundamental_1988
3044905,fundamental_1988
3044904,fundamental_1988
3044903,fundamental_1988
2842214,fundamental_1988
2842213,fundamental_1988
2457532,fundamental_1988
2457531,fundamental_1988
3396808,fundamental_1988
3294078,fundamental_1988
3294077,fundamental_1988
3260881,fundamental_1988
3135223,fundamental_1988
2840318,fundamental_1988
2840317,fundamental_1988
2456243,fundamental_1988
2456242,fundamental_1988
3384239,fundamental_1988
3290025,fundamental_1988
3290024,fundamental_1988
2968288,fundamental_1988
2898411,fundamental_1988
2838364,fundamental_1988
2838363,fundamental_1988
2838362,fundamental_1988
2454864,fundamental_1988
3263930,fundamental_1988
3192042,fundamental_1988
3192041,fundamental_1988
3192040,fundamental_1988
2973423,fundamental_1988
2903839,fundamental_1988
2903838,fundamental_1988
2847950,fundamental_1988
2847949,fundamental_1988
2847948,fundamental_1988
2461326,fundamental_1988
3263291,fundamental_1988
3181654,fundamental_1988
3053307,fundamental_1988
2972578,fundamental_1988
2903106,fundamental_1988
2846396,fundamental_1988
3139485,fundamental_1988
3139484,fundamental_1988
3049204,fundamental_1988
2901994,fundamental_1988
2844617,fundamental_1988
2844615,fundamental_1988
2458984,fundamental_1988
2458983,fundamental_1988
2920878,fundamental_1989
2920877,fundamental_1989
2920876,fundamental_1989
2920875,fundamental_1989
2646163,fundamental_1989
2537775,fundamental_1989
2537774,fundamental_1989
2537773,fundamental_1989
2522071,fundamental_1989
2493406,fundamental_1989
2914628,fundamental_1989
2914627,fundamental_1989
2644146,fundamental_1989
2563346,fundamental_1989
2521610,fundamental_1989
2492478,fundamental_1989
2464518,fundamental_1989
2464517,fundamental_1989
2910737,fundamental_1989
2783412,fundamental_1989
2642868,fundamental_1989
2642867,fundamental_1989
2535990,fundamental_1989
2721855,fundamental_1989
2656357,fundamental_1989
2656356,fundamental_1989
2542113,fundamental_1989
2542112,fundamental_1989
2542111,fundamental_1989
2542110,fundamental_1989
2470631,fundamental_1989
2565840,fundamental_1989
2541039,fundamental_1989
2541038,fundamental_1989
2541037,fundamental_1989
2523832,fundamental_1989
2497041,fundamental_1989
2497040,fundamental_1989
2469615,fundamental_1989
2469614,fundamental_1989
2784773,fundamental_1989
2703106,fundamental_1989
2649403,fundamental_1989
2649401,fundamental_1989
2564831,fundamental_1989
2495232,fundamental_1989
2777006,fundamental_1989
2673900,fundamental_1989
2673899,fundamental_1989
2673898,fundamental_1989
2570725,fundamental_1989
2550304,fundamental_1989
2550303,fundamental_1989
2528494,fundamental_1989
2528493,fundamental_1989
2506093,fundamental_1989
2506092,fundamental_1989
2787766,fundamental_1989
2753269,fundamental_1989
2666233,fundamental_1989
2666232,fundamental_1989
2666231,fundamental_1989
2666230,fundamental_1989
2568962,fundamental_1989
2546848,fundamental_1989
2546847,fundamental_1989
2526771,fundamental_1989
2744305,fundamental_1989
2663583,fundamental_1989
2663581,fundamental_1989
2568301,fundamental_1989
2545497,fundamental_1989
2545496,fundamental_1989
2545495,fundamental_1989
2501132,fundamental_1989
2472993,fundamental_1989
2687069,fundamental_1989
2687068,fundamental_1989
2636872,fundamental_1989
2629743,fundamental_1989
2574120,fundamental_1989
2574119,fundamental_1989
2556314,fundamental_1989
2556311,fundamental_1989
2531691,fundamental_1989
2512193,fundamental_1989
2806779,fundamental_1989
2680705,fundamental_1989
2680704,fundamental_1989
2680703,fundamental_1989
2572501,fundamental_1989
2572500,fundamental_1989
2572499,fundamental_1989
2509275,fundamental_1989
2509274,fundamental_1989
2792647,fundamental_1989
2676681,fundamental_1989
2676680,fundamental_1989
2676679,fundamental_1989
2676677,fundamental_1989
2551762,fundamental_1989
2529160,fundamental_1989
2477295,fundamental_1989
2477294,fundamental_1989
2407591,fundamental_1990
2407590,fundamental_1990
2407589,fundamental_1990
2407588,fundamental_1990
2407587,fundamental_1990
2307330,fundamental_1990
2307329,fundamental_1990
2307328,fundamental_1990
2155150,fundamental_1990
2155149,fundamental_1990
2137805,fundamental_1990
1968408,fundamental_1990
1968407,fundamental_1990
2404819,fundamental_1990
