pmid,query_name
21005752,therapeutics_1945
21018747,therapeutics_1946
21024912,therapeutics_1946
21024905,therapeutics_1946
21024904,therapeutics_1946
21023638,therapeutics_1946
21001194,therapeutics_1946
21001192,therapeutics_1946
21001160,therapeutics_1946
21001147,therapeutics_1946
20989489,therapeutics_1946
20276179,therapeutics_1946
20276102,therapeutics_1946
20259090,therapeutics_1947
20251457,therapeutics_1947
20272094,therapeutics_1947
20272081,therapeutics_1947
18902406,therapeutics_1948
18865633,therapeutics_1948
18910720,therapeutics_1948
18100596,therapeutics_1948
18098587,therapeutics_1948
18098567,therapeutics_1948
18886169,therapeutics_1948
18112128,therapeutics_1949
18112112,therapeutics_1949
18112102,therapeutics_1949
18110460,therapeutics_1949
18119219,therapeutics_1949
18116994,therapeutics_1949
18116981,therapeutics_1949
18135805,therapeutics_1949
18135802,therapeutics_1949
18133403,therapeutics_1949
18133401,therapeutics_1949
18133400,therapeutics_1949
18133372,therapeutics_1949
18139198,therapeutics_1949
14778846,therapeutics_1950
14832219,therapeutics_1951
14824142,therapeutics_1951
14824135,therapeutics_1951
14841222,therapeutics_1951
14841203,therapeutics_1951
14841173,therapeutics_1951
14832288,therapeutics_1951
14907713,therapeutics_1951
14907708,therapeutics_1951
12981042,therapeutics_1952
12981041,therapeutics_1952
12980982,therapeutics_1952
13034770,therapeutics_1953
13129263,therapeutics_1953
13152102,therapeutics_1954
13233246,therapeutics_1955
13233232,therapeutics_1955
14381405,therapeutics_1955
14367393,therapeutics_1955
14367391,therapeutics_1955
13271357,therapeutics_1955
13278330,therapeutics_1956
13319361,therapeutics_1956
13319355,therapeutics_1956
13319315,therapeutics_1956
13345809,therapeutics_1956
13398405,therapeutics_1957
13438889,therapeutics_1957
13416266,therapeutics_1957
13449054,therapeutics_1957
13502342,therapeutics_1957
13549420,therapeutics_1958
13563532,therapeutics_1958
13610832,therapeutics_1958
13654379,therapeutics_1959
13673027,therapeutics_1959
13827472,therapeutics_1960
13825011,therapeutics_1960
14419378,therapeutics_1960
13850005,therapeutics_1960
13844855,therapeutics_1960
13821949,therapeutics_1960
13692276,therapeutics_1960
13842086,therapeutics_1960
13777069,therapeutics_1960
13742652,therapeutics_1961
13781169,therapeutics_1961
13915232,therapeutics_1961
14460461,therapeutics_1962
14498420,therapeutics_1962
14470593,therapeutics_1962
14002779,therapeutics_1963
13929708,therapeutics_1963
14001805,therapeutics_1963
13957484,therapeutics_1963
14154445,therapeutics_1964
14247649,therapeutics_1964
14245394,therapeutics_1964
14304826,therapeutics_1965
5646491,therapeutics_1968
5417259,therapeutics_1970
4694733,therapeutics_1973
4718738,therapeutics_1973
4822508,therapeutics_1974
1126954,therapeutics_1975
165199,therapeutics_1975
167022,therapeutics_1975
1194272,therapeutics_1975
170269,therapeutics_1975
932040,therapeutics_1976
185220,therapeutics_1976
838715,therapeutics_1977
833153,therapeutics_1977
193831,therapeutics_1977
16011,therapeutics_1977
332695,therapeutics_1977
198397,therapeutics_1977
197102,therapeutics_1977
632248,therapeutics_1978
624729,therapeutics_1978
348698,therapeutics_1978
205542,therapeutics_1978
209049,therapeutics_1978
670181,therapeutics_1978
447641,therapeutics_1979
438211,therapeutics_1979
220238,therapeutics_1979
429283,therapeutics_1979
479153,therapeutics_1979
156184,therapeutics_1979
489608,therapeutics_1979
226528,therapeutics_1979
6102091,therapeutics_1980
7354087,therapeutics_1980
7354086,therapeutics_1980
7356666,therapeutics_1980
7356661,therapeutics_1980
6766129,therapeutics_1980
6445360,therapeutics_1980
6102987,therapeutics_1980
6245090,therapeutics_1980
7410359,therapeutics_1980
7410345,therapeutics_1980
6251051,therapeutics_1980
7400149,therapeutics_1980
6253474,therapeutics_1980
7204372,therapeutics_1981
6780564,therapeutics_1981
7462218,therapeutics_1981
7193207,therapeutics_1981
7192710,therapeutics_1981
6935193,therapeutics_1981
6256348,therapeutics_1981
6263896,therapeutics_1981
6894594,therapeutics_1981
6894593,therapeutics_1981
7194340,therapeutics_1981
7194339,therapeutics_1981
6452452,therapeutics_1981
6163776,therapeutics_1981
7263694,therapeutics_1981
7309735,therapeutics_1981
6271781,therapeutics_1981
7275985,therapeutics_1981
7061453,therapeutics_1982
6460758,therapeutics_1982
6173382,therapeutics_1982
6895751,therapeutics_1982
7053382,therapeutics_1982
7053372,therapeutics_1982
7085620,therapeutics_1982
7085615,therapeutics_1982
6806262,therapeutics_1982
6177685,therapeutics_1982
6896054,therapeutics_1982
6279647,therapeutics_1982
6175644,therapeutics_1982
7061497,therapeutics_1982
7202007,therapeutics_1982
6286618,therapeutics_1982
6213606,therapeutics_1982
7085681,therapeutics_1982
7045115,therapeutics_1982
6815181,therapeutics_1982
6290474,therapeutics_1982
6826567,therapeutics_1983
6826563,therapeutics_1983
6338012,therapeutics_1983
6822576,therapeutics_1983
6687386,therapeutics_1983
6337146,therapeutics_1983
6217208,therapeutics_1983
6406483,therapeutics_1983
6406482,therapeutics_1983
6853531,therapeutics_1983
6833254,therapeutics_1983
6885790,therapeutics_1983
6411712,therapeutics_1983
6411708,therapeutics_1983
6863308,therapeutics_1983
6408090,therapeutics_1983
6408088,therapeutics_1983
6358213,therapeutics_1983
6685124,therapeutics_1983
6195158,therapeutics_1983
6688807,therapeutics_1983
6619152,therapeutics_1983
6199354,therapeutics_1984
6319397,therapeutics_1984
6229531,therapeutics_1984
6725262,therapeutics_1984
6325427,therapeutics_1984
6323480,therapeutics_1984
6323460,therapeutics_1984
6540779,therapeutics_1984
6540778,therapeutics_1984
6432780,therapeutics_1984
6746645,therapeutics_1984
6204974,therapeutics_1984
6392300,therapeutics_1984
6501322,therapeutics_1984
6389550,therapeutics_1984
6490659,therapeutics_1984
6480591,therapeutics_1984
2579071,therapeutics_1985
3838175,therapeutics_1985
3155739,therapeutics_1985
2981858,therapeutics_1985
3997889,therapeutics_1985
3997801,therapeutics_1985
3928625,therapeutics_1985
4066696,therapeutics_1985
2933401,therapeutics_1985
4055734,therapeutics_1985
3902814,therapeutics_1985
2995357,therapeutics_1985
2864337,therapeutics_1985
3949796,therapeutics_1986
3944128,therapeutics_1986
2416751,therapeutics_1986
3711083,therapeutics_1986
3084483,therapeutics_1986
3009460,therapeutics_1986
3514607,therapeutics_1986
3082875,therapeutics_1986
3007490,therapeutics_1986
2875071,therapeutics_1986
3017937,therapeutics_1986
3459728,therapeutics_1986
3536905,therapeutics_1986
3096992,therapeutics_1986
3023323,therapeutics_1986
2876989,therapeutics_1986
3558411,therapeutics_1987
3558410,therapeutics_1987
3818626,therapeutics_1987
3818591,therapeutics_1987
3818590,therapeutics_1987
3029069,therapeutics_1987
3543008,therapeutics_1987
3025196,therapeutics_1987
3025195,therapeutics_1987
3597370,therapeutics_1987
2952647,therapeutics_1987
3104321,therapeutics_1987
2442168,therapeutics_1987
3040735,therapeutics_1987
3038876,therapeutics_1987
3038866,therapeutics_1987
3654636,therapeutics_1987
3346225,therapeutics_1988
2448307,therapeutics_1988
3162734,therapeutics_1988
3350818,therapeutics_1988
2450874,therapeutics_1988
3137226,therapeutics_1988
2841315,therapeutics_1988
3182846,therapeutics_1988
2536703,therapeutics_1989
2910871,therapeutics_1989
2492020,therapeutics_1989
2768260,therapeutics_1989
2768240,therapeutics_1989
2570070,therapeutics_1989
2547761,therapeutics_1989
2474531,therapeutics_1989
2745435,therapeutics_1989
2663854,therapeutics_1989
2808348,therapeutics_1989
2793850,therapeutics_1989
2318890,therapeutics_1990
2155217,therapeutics_1990
1689312,therapeutics_1990
2303476,therapeutics_1990
1689289,therapeutics_1990
2152917,therapeutics_1990
2111323,therapeutics_1990
2335507,therapeutics_1990
2180944,therapeutics_1990
2156821,therapeutics_1990
2138608,therapeutics_1990
2144523,therapeutics_1990
2394741,therapeutics_1990
2380172,therapeutics_1990
2174042,therapeutics_1990
1900296,therapeutics_1991
1985909,therapeutics_1991
1939070,therapeutics_1991
1556097,therapeutics_1992
1537875,therapeutics_1992
1309769,therapeutics_1992
1577813,therapeutics_1992
1313025,therapeutics_1992
1527006,therapeutics_1992
1512239,therapeutics_1992
1644843,therapeutics_1992
1618841,therapeutics_1992
1464622,therapeutics_1992
1464610,therapeutics_1992
1447169,therapeutics_1992
7678407,therapeutics_1993
8419344,therapeutics_1993
7678246,therapeutics_1993
8509383,therapeutics_1993
8407937,therapeutics_1993
7907597,therapeutics_1994
8132524,therapeutics_1994
8132522,therapeutics_1994
8125954,therapeutics_1994
8106528,therapeutics_1994
8106354,therapeutics_1994
8206906,therapeutics_1994
8182058,therapeutics_1994
8182052,therapeutics_1994
8144605,therapeutics_1994
7982949,therapeutics_1994
7961759,therapeutics_1994
7929289,therapeutics_1994
7852404,therapeutics_1995
7829491,therapeutics_1995
7797586,therapeutics_1995
7541037,therapeutics_1995
7775436,therapeutics_1995
7744837,therapeutics_1995
7673210,therapeutics_1995
7665611,therapeutics_1995
7673111,therapeutics_1995
7642622,therapeutics_1995
7629130,therapeutics_1995
7629083,therapeutics_1995
8530492,therapeutics_1995
7499313,therapeutics_1995
7592898,therapeutics_1995
7592769,therapeutics_1995
7592722,therapeutics_1995
8632018,therapeutics_1996
8631954,therapeutics_1996
8900202,therapeutics_1996
8999949,therapeutics_1997
9188478,therapeutics_1997
9169429,therapeutics_1997
9169419,therapeutics_1997
9148928,therapeutics_1997
9092556,therapeutics_1997
9252415,therapeutics_1997
9252335,therapeutics_1997
9341159,therapeutics_1997
9624154,therapeutics_1998
9545270,therapeutics_1998
9722520,therapeutics_1998
9857049,therapeutics_1998
9837889,therapeutics_1998
9822670,therapeutics_1998
9765273,therapeutics_1998
10066816,therapeutics_1999
9915837,therapeutics_1999
10373441,therapeutics_1999
10187844,therapeutics_1999
10464237,therapeutics_1999
10446177,therapeutics_1999
10419496,therapeutics_1999
10383451,therapeutics_1999
10383389,therapeutics_1999
10585398,therapeutics_1999
10660587,therapeutics_2000
10770957,therapeutics_2000
10748181,therapeutics_2000
10748055,therapeutics_2000
10748001,therapeutics_2000
10918072,therapeutics_2000
10903312,therapeutics_2000
10896680,therapeutics_2000
10869356,therapeutics_2000
11114302,therapeutics_2000
11027675,therapeutics_2000
10982803,therapeutics_2000
10964929,therapeutics_2000
10918055,therapeutics_2000
11278526,therapeutics_2001
11278394,therapeutics_2001
11278320,therapeutics_2001
11278292,therapeutics_2001
11152467,therapeutics_2001
11114302,therapeutics_2001
11034999,therapeutics_2001
11027687,therapeutics_2001
11406618,therapeutics_2001
11390400,therapeutics_2001
11278526,therapeutics_2001
11278394,therapeutics_2001
11278320,therapeutics_2001
11278292,therapeutics_2001
11152467,therapeutics_2001
11579101,therapeutics_2001
11572877,therapeutics_2001
11517221,therapeutics_2001
11479285,therapeutics_2001
11459851,therapeutics_2001
11447231,therapeutics_2001
11406618,therapeutics_2001
11390400,therapeutics_2001
11748233,therapeutics_2001
11744711,therapeutics_2001
11707435,therapeutics_2001
11579101,therapeutics_2001
11572877,therapeutics_2001
11517221,therapeutics_2001
11479285,therapeutics_2001
11459851,therapeutics_2001
11867642,therapeutics_2002
11867618,therapeutics_2002
11864987,therapeutics_2002
11861640,therapeutics_2002
11836252,therapeutics_2002
11748233,therapeutics_2002
11744711,therapeutics_2002
11707435,therapeutics_2002
12072427,therapeutics_2002
12045201,therapeutics_2002
12021269,therapeutics_2002
11991956,therapeutics_2002
11937498,therapeutics_2002
11867642,therapeutics_2002
11867618,therapeutics_2002
11864987,therapeutics_2002
11861640,therapeutics_2002
11836252,therapeutics_2002
12351627,therapeutics_2002
12145282,therapeutics_2002
12110672,therapeutics_2002
12101183,therapeutics_2002
12072427,therapeutics_2002
12045201,therapeutics_2002
12021269,therapeutics_2002
11991956,therapeutics_2002
12496287,therapeutics_2002
12460990,therapeutics_2002
12424247,therapeutics_2002
12421806,therapeutics_2002
12409296,therapeutics_2002
12351627,therapeutics_2002
12145282,therapeutics_2002
12101183,therapeutics_2002
12006582,therapeutics_2002
12637551,therapeutics_2003
12590141,therapeutics_2003
12566446,therapeutics_2003
12562773,therapeutics_2003
12551939,therapeutics_2003
12496287,therapeutics_2003
12460990,therapeutics_2003
12424247,therapeutics_2003
12421806,therapeutics_2003
12409296,therapeutics_2003
12832400,therapeutics_2003
12816951,therapeutics_2003
12736267,therapeutics_2003
12730214,therapeutics_2003
12702728,therapeutics_2003
12682043,therapeutics_2003
12676941,therapeutics_2003
12637551,therapeutics_2003
12590141,therapeutics_2003
12566446,therapeutics_2003
12562773,therapeutics_2003
14506232,therapeutics_2003
14504293,therapeutics_2003
12865420,therapeutics_2003
12842884,therapeutics_2003
12832400,therapeutics_2003
12816951,therapeutics_2003
12736267,therapeutics_2003
12730214,therapeutics_2003
12702728,therapeutics_2003
14699161,therapeutics_2003
14665633,therapeutics_2003
14610090,therapeutics_2003
14557269,therapeutics_2003
14506232,therapeutics_2003
14504293,therapeutics_2003
15051716,therapeutics_2004
15020600,therapeutics_2004
15020599,therapeutics_2004
14709559,therapeutics_2004
14665633,therapeutics_2004
14610090,therapeutics_2004
15051716,therapeutics_2004
15020600,therapeutics_2004
15020599,therapeutics_2004
14709559,therapeutics_2004
14699161,therapeutics_2004
15347687,therapeutics_2004
15328339,therapeutics_2004
15302862,therapeutics_2004
15292274,therapeutics_2004
15252010,therapeutics_2004
15615727,therapeutics_2004
15596442,therapeutics_2004
15596441,therapeutics_2004
15583007,therapeutics_2004
15347687,therapeutics_2004
15328339,therapeutics_2004
15302862,therapeutics_2004
15292274,therapeutics_2004
15790560,therapeutics_2005
15722357,therapeutics_2005
15710601,therapeutics_2005
15632138,therapeutics_2005
15615727,therapeutics_2005
15596442,therapeutics_2005
15596441,therapeutics_2005
15583007,therapeutics_2005
15824119,therapeutics_2005
15790560,therapeutics_2005
15722357,therapeutics_2005
15710601,therapeutics_2005
16166095,therapeutics_2005
16109711,therapeutics_2005
16344549,therapeutics_2005
16166095,therapeutics_2005
16109711,therapeutics_2005
16551619,therapeutics_2006
16459336,therapeutics_2006
16407215,therapeutics_2006
16344549,therapeutics_2006
16751189,therapeutics_2006
16702219,therapeutics_2006
16618699,therapeutics_2006
16551619,therapeutics_2006
16459336,therapeutics_2006
16984914,therapeutics_2006
16984908,therapeutics_2006
16973608,therapeutics_2006
16899456,therapeutics_2006
16829520,therapeutics_2006
16751189,therapeutics_2006
16702219,therapeutics_2006
17107945,therapeutics_2006
16984914,therapeutics_2006
16984908,therapeutics_2006
16973608,therapeutics_2006
16899456,therapeutics_2006
17401142,therapeutics_2007
17360708,therapeutics_2007
17329250,therapeutics_2007
17311923,therapeutics_2007
17277313,therapeutics_2007
17107945,therapeutics_2007
17567586,therapeutics_2007
17565982,therapeutics_2007
17405877,therapeutics_2007
17401142,therapeutics_2007
17360708,therapeutics_2007
17329250,therapeutics_2007
17311923,therapeutics_2007
17277313,therapeutics_2007
17646168,therapeutics_2007
17644522,therapeutics_2007
17567586,therapeutics_2007
17565982,therapeutics_2007
18056997,therapeutics_2007
17993460,therapeutics_2007
18256025,therapeutics_2008
18056997,therapeutics_2008
18505730,therapeutics_2008
18256025,therapeutics_2008
18621738,therapeutics_2008
18505730,therapeutics_2008
19114707,therapeutics_2008
19103601,therapeutics_2008
18990685,therapeutics_2008
18952602,therapeutics_2008
18621738,therapeutics_2008
19289465,therapeutics_2009
19258320,therapeutics_2009
19147498,therapeutics_2009
19129199,therapeutics_2009
19114707,therapeutics_2009
19103601,therapeutics_2009
18990685,therapeutics_2009
18952602,therapeutics_2009
19542219,therapeutics_2009
19531480,therapeutics_2009
19525224,therapeutics_2009
19423711,therapeutics_2009
19289465,therapeutics_2009
19258320,therapeutics_2009
19710009,therapeutics_2009
19696024,therapeutics_2009
19542219,therapeutics_2009
19531480,therapeutics_2009
19525224,therapeutics_2009
19423711,therapeutics_2009
20042596,therapeutics_2009
19955177,therapeutics_2009
19907057,therapeutics_2009
19812037,therapeutics_2009
19710009,therapeutics_2009
19696024,therapeutics_2009
20231284,therapeutics_2010
20212044,therapeutics_2010
20177059,therapeutics_2010
20080975,therapeutics_2010
20053997,therapeutics_2010
20042596,therapeutics_2010
19907057,therapeutics_2010
20584905,therapeutics_2010
20551329,therapeutics_2010
20511224,therapeutics_2010
20460372,therapeutics_2010
20452979,therapeutics_2010
20231284,therapeutics_2010
20212044,therapeutics_2010
20177059,therapeutics_2010
19955177,therapeutics_2010
20801890,therapeutics_2010
20584905,therapeutics_2010
20551329,therapeutics_2010
20511224,therapeutics_2010
20460372,therapeutics_2010
20452979,therapeutics_2010
21156793,therapeutics_2010
21147771,therapeutics_2010
21118813,therapeutics_2010
21084305,therapeutics_2010
21059645,therapeutics_2010
21047788,therapeutics_2010
20801890,therapeutics_2010
21454504,therapeutics_2011
21343310,therapeutics_2011
21330371,therapeutics_2011
21156793,therapeutics_2011
21147771,therapeutics_2011
21118813,therapeutics_2011
21084305,therapeutics_2011
21059645,therapeutics_2011
21047788,therapeutics_2011
21719707,therapeutics_2011
21669871,therapeutics_2011
21665946,therapeutics_2011
21613209,therapeutics_2011
21586570,therapeutics_2011
21521688,therapeutics_2011
21478145,therapeutics_2011
21454504,therapeutics_2011
21343310,therapeutics_2011
21330371,therapeutics_2011
21835927,therapeutics_2011
21832058,therapeutics_2011
21719707,therapeutics_2011
21669871,therapeutics_2011
21665946,therapeutics_2011
21613209,therapeutics_2011
21586570,therapeutics_2011
22158865,therapeutics_2011
22134924,therapeutics_2011
22128151,therapeutics_2011
21998307,therapeutics_2011
21976680,therapeutics_2011
21832058,therapeutics_2011
22418443,therapeutics_2012
22371498,therapeutics_2012
22262865,therapeutics_2012
22158865,therapeutics_2012
22134924,therapeutics_2012
22128151,therapeutics_2012
22740696,therapeutics_2012
22692206,therapeutics_2012
22679018,therapeutics_2012
22648414,therapeutics_2012
22584577,therapeutics_2012
22577137,therapeutics_2012
22563099,therapeutics_2012
22418443,therapeutics_2012
22371498,therapeutics_2012
22896709,therapeutics_2012
22893704,therapeutics_2012
22872642,therapeutics_2012
22810224,therapeutics_2012
22778258,therapeutics_2012
22767608,therapeutics_2012
22740696,therapeutics_2012
22692206,therapeutics_2012
22679018,therapeutics_2012
22648414,therapeutics_2012
22584577,therapeutics_2012
23188827,therapeutics_2012
23184946,therapeutics_2012
23144451,therapeutics_2012
23135267,therapeutics_2012
22896709,therapeutics_2012
22893704,therapeutics_2012
22872642,therapeutics_2012
23508959,therapeutics_2013
23382380,therapeutics_2013
23293028,therapeutics_2013
23188827,therapeutics_2013
23184946,therapeutics_2013
23135267,therapeutics_2013
23779105,therapeutics_2013
23629653,therapeutics_2013
23508959,therapeutics_2013
23986445,therapeutics_2013
23946481,therapeutics_2013
23908350,therapeutics_2013
23897808,therapeutics_2013
23779105,therapeutics_2013
24337582,therapeutics_2013
24196959,therapeutics_2013
24108128,therapeutics_2013
24106273,therapeutics_2013
23986445,therapeutics_2013
23946481,therapeutics_2013
24644285,therapeutics_2014
24599950,therapeutics_2014
24558044,therapeutics_2014
24515114,therapeutics_2014
24451377,therapeutics_2014
24337582,therapeutics_2014
24711459,therapeutics_2014
24644285,therapeutics_2014
24599950,therapeutics_2014
24558044,therapeutics_2014
25202020,therapeutics_2014
25371202,therapeutics_2014
25274632,therapeutics_2014
25202020,therapeutics_2014
25371202,therapeutics_2015
26100629,therapeutics_2015
26381407,therapeutics_2015
26260789,therapeutics_2015
26100629,therapeutics_2015
26601953,therapeutics_2015
26598522,therapeutics_2015
26381407,therapeutics_2015
26260789,therapeutics_2015
27008862,therapeutics_2016
26917724,therapeutics_2016
26811337,therapeutics_2016
26601953,therapeutics_2016
26598522,therapeutics_2016
27189938,therapeutics_2016
27129273,therapeutics_2016
27008862,therapeutics_2016
26917724,therapeutics_2016
27629417,therapeutics_2016
27687726,therapeutics_2016
27573247,therapeutics_2016
27629417,therapeutics_2016
27687726,therapeutics_2016
27573247,therapeutics_2016
28283574,therapeutics_2017
28655760,therapeutics_2017
28623233,therapeutics_2017
28283574,therapeutics_2017
28916726,therapeutics_2017
28912267,therapeutics_2017
28821606,therapeutics_2017
28655760,therapeutics_2017
28623233,therapeutics_2017
28916726,therapeutics_2017
28912267,therapeutics_2017
29511086,therapeutics_2018
29440272,therapeutics_2018
29853634,therapeutics_2018
29739854,therapeutics_2018
29739850,therapeutics_2018
29511086,therapeutics_2018
29440272,therapeutics_2018
30237168,therapeutics_2018
30139748,therapeutics_2018
29853634,therapeutics_2018
29739854,therapeutics_2018
30409908,therapeutics_2018
30237168,therapeutics_2018
30139748,therapeutics_2018
30409908,therapeutics_2019
31171722,therapeutics_2019
30975902,therapeutics_2019
31481471,therapeutics_2019
31431501,therapeutics_2019
31171722,therapeutics_2019
31914417,therapeutics_2019
31811088,therapeutics_2019
31727740,therapeutics_2019
31431501,therapeutics_2019
32005661,therapeutics_2020
31914417,therapeutics_2020
31811088,therapeutics_2020
32605924,therapeutics_2020
32788213,therapeutics_2020
32727849,therapeutics_2020
32727846,therapeutics_2020
32605924,therapeutics_2020
31481471,therapeutics_2020
33277360,therapeutics_2020
33243834,therapeutics_2020
33172893,therapeutics_2020
33051208,therapeutics_2020
32788213,therapeutics_2020
32727846,therapeutics_2020
33891947,therapeutics_2021
33845046,therapeutics_2021
33819479,therapeutics_2021
33524391,therapeutics_2021
33277360,therapeutics_2021
33243834,therapeutics_2021
33172893,therapeutics_2021
34181950,therapeutics_2021
34562455,therapeutics_2021
34419448,therapeutics_2021
34416230,therapeutics_2021
34181950,therapeutics_2021
34756886,therapeutics_2021
34710374,therapeutics_2021
34562455,therapeutics_2021
34416230,therapeutics_2021
35231443,therapeutics_2022
35181340,therapeutics_2022
35101449,therapeutics_2022
35032551,therapeutics_2022
35732208,therapeutics_2022
35714773,therapeutics_2022
35660020,therapeutics_2022
35461811,therapeutics_2022
35231443,therapeutics_2022
35181340,therapeutics_2022
35732208,therapeutics_2022
35714773,therapeutics_2022
35660020,therapeutics_2022
36441025,therapeutics_2022
37031819,therapeutics_2023
37778733,therapeutics_2023
37599003,therapeutics_2023
38159863,therapeutics_2023
37797695,therapeutics_2023
37778733,therapeutics_2023
38336292,therapeutics_2024
38176653,therapeutics_2024
38159863,therapeutics_2024
