pmid,query_name
9630902,fundamental_1996
9630899,fundamental_1996
9630898,fundamental_1996
9630897,fundamental_1996
9630896,fundamental_1996
9630895,fundamental_1996
9630894,fundamental_1996
9630893,fundamental_1996
9630892,fundamental_1996
9630891,fundamental_1996
9630890,fundamental_1996
9630889,fundamental_1996
9630887,fundamental_1996
9630886,fundamental_1996
9630987,fundamental_1996
9630986,fundamental_1996
9630985,fundamental_1996
9630984,fundamental_1996
9630983,fundamental_1996
9630982,fundamental_1996
9630981,fundamental_1996
9630980,fundamental_1996
9630979,fundamental_1996
9630978,fundamental_1996
9630977,fundamental_1996
9630976,fundamental_1996
9630967,fundamental_1996
9630965,fundamental_1996
9630961,fundamental_1996
9630959,fundamental_1996
9630958,fundamental_1996
9630957,fundamental_1996
9630956,fundamental_1996
9630955,fundamental_1996
9630954,fundamental_1996
9630953,fundamental_1996
9630952,fundamental_1996
9630951,fundamental_1996
9630950,fundamental_1996
9630949,fundamental_1996
9630948,fundamental_1996
9630929,fundamental_1996
9630928,fundamental_1996
9630927,fundamental_1996
9630926,fundamental_1996
9630925,fundamental_1996
9630924,fundamental_1996
9630923,fundamental_1996
9630922,fundamental_1996
9630920,fundamental_1996
9630919,fundamental_1996
9631070,fundamental_1996
9631069,fundamental_1996
9631068,fundamental_1996
9631067,fundamental_1996
9631066,fundamental_1996
9631065,fundamental_1996
9631063,fundamental_1996
9631062,fundamental_1996
9631061,fundamental_1996
9631059,fundamental_1996
9631048,fundamental_1996
9631044,fundamental_1996
9631043,fundamental_1996
9631041,fundamental_1996
9631040,fundamental_1996
9631039,fundamental_1996
9631038,fundamental_1996
9631037,fundamental_1996
9631036,fundamental_1996
9631035,fundamental_1996
9631025,fundamental_1996
9631022,fundamental_1996
9631018,fundamental_1996
9631016,fundamental_1996
9631015,fundamental_1996
9631014,fundamental_1996
9631013,fundamental_1996
9631012,fundamental_1996
9631011,fundamental_1996
9631010,fundamental_1996
9631008,fundamental_1996
9631007,fundamental_1996
9630992,fundamental_1996
9630991,fundamental_1996
9634858,fundamental_1996
9634857,fundamental_1996
9634856,fundamental_1996
9634855,fundamental_1996
9634854,fundamental_1996
9634853,fundamental_1996
9634852,fundamental_1996
9634851,fundamental_1996
9634850,fundamental_1996
9634849,fundamental_1996
9634830,fundamental_1996
9634829,fundamental_1996
9634828,fundamental_1996
9634827,fundamental_1996
9634826,fundamental_1996
9634825,fundamental_1996
9634824,fundamental_1996
9634823,fundamental_1996
9634822,fundamental_1996
9634820,fundamental_1996
9631095,fundamental_1996
9631094,fundamental_1996
9631092,fundamental_1996
9631090,fundamental_1996
9631089,fundamental_1996
9631088,fundamental_1996
9631087,fundamental_1996
9631084,fundamental_1996
