pmid,query_name
10559883,diseases_1999
10559865,diseases_1999
10559946,diseases_1999
10559937,diseases_1999
10559919,diseases_1999
10587647,diseases_1999
10560000,diseases_1999
10559968,diseases_1999
10655587,diseases_2000
10980704,diseases_2000
10878819,diseases_2000
10878815,diseases_2000
11025665,diseases_2000
11025664,diseases_2000
11231578,diseases_2001
11175753,diseases_2001
11146624,diseases_2001
11146623,diseases_2001
11146619,diseases_2001
11283620,diseases_2001
11283611,diseases_2001
11533658,diseases_2001
11483960,diseases_2001
11781578,diseases_2001
11715023,diseases_2001
11715022,diseases_2001
11584280,diseases_2001
11813001,diseases_2002
11788820,diseases_2002
11780131,diseases_2002
11988758,diseases_2002
12198499,diseases_2002
12134161,diseases_2002
12105419,diseases_2002
12080349,diseases_2002
12479614,diseases_2002
12479613,diseases_2002
12360295,diseases_2002
12360291,diseases_2002
12360287,diseases_2002
12598901,diseases_2003
12563267,diseases_2003
12510195,diseases_2003
12771962,diseases_2003
12724771,diseases_2003
12717449,diseases_2003
12717441,diseases_2003
12692559,diseases_2003
12942086,diseases_2003
12907943,diseases_2003
12844144,diseases_2003
12833065,diseases_2003
12833064,diseases_2003
12833057,diseases_2003
12833056,diseases_2003
12819788,diseases_2003
12792650,diseases_2003
14688793,diseases_2003
15048125,diseases_2004
14688793,diseases_2004
15156151,diseases_2004
15146193,diseases_2004
15146192,diseases_2004
15048125,diseases_2004
15448696,diseases_2004
15322553,diseases_2004
15235609,diseases_2004
15592461,diseases_2004
15543137,diseases_2004
15543136,diseases_2004
15516999,diseases_2004
15516998,diseases_2004
15448696,diseases_2004
15654331,diseases_2005
15654330,diseases_2005
15632945,diseases_2005
15592461,diseases_2005
15965469,diseases_2005
15965466,diseases_2005
15867923,diseases_2005
15864305,diseases_2005
15834408,diseases_2005
15834407,diseases_2005
15834406,diseases_2005
16113679,diseases_2005
16113678,diseases_2005
16113677,diseases_2005
15965469,diseases_2005
15965466,diseases_2005
16531996,diseases_2006
16799551,diseases_2006
16783362,diseases_2006
16767081,diseases_2006
16699503,diseases_2006
16531996,diseases_2006
16964247,diseases_2006
16964246,diseases_2006
16921363,diseases_2006
16892055,diseases_2006
16862147,diseases_2006
16799551,diseases_2006
16783362,diseases_2006
16767081,diseases_2006
17187063,diseases_2006
17173041,diseases_2006
17128264,diseases_2006
17072303,diseases_2006
16964247,diseases_2006
16964246,diseases_2006
17384639,diseases_2007
17369820,diseases_2007
17220880,diseases_2007
17187063,diseases_2007
17173041,diseases_2007
17589499,diseases_2007
17515931,diseases_2007
17515930,diseases_2007
17496887,diseases_2007
17486118,diseases_2007
17450133,diseases_2007
17450132,diseases_2007
17417627,diseases_2007
17384639,diseases_2007
17369820,diseases_2007
17906618,diseases_2007
17891136,diseases_2007
17762893,diseases_2007
17762889,diseases_2007
17643117,diseases_2007
17643115,diseases_2007
17643114,diseases_2007
17643113,diseases_2007
17618273,diseases_2007
17589499,diseases_2007
18084281,diseases_2007
18037882,diseases_2007
17922004,diseases_2007
17906618,diseases_2007
17891136,diseases_2007
18344984,diseases_2008
18311132,diseases_2008
18264090,diseases_2008
18204439,diseases_2008
18193036,diseases_2008
18193033,diseases_2008
18084281,diseases_2008
18552834,diseases_2008
18454140,diseases_2008
18425116,diseases_2008
18425114,diseases_2008
18391941,diseases_2008
18391940,diseases_2008
18379596,diseases_2008
18344984,diseases_2008
18311132,diseases_2008
18604200,diseases_2008
18552834,diseases_2008
19079247,diseases_2008
19060894,diseases_2008
19011622,diseases_2008
18931663,diseases_2008
18830218,diseases_2008
19270694,diseases_2009
19255569,diseases_2009
19219035,diseases_2009
19198601,diseases_2009
19198599,diseases_2009
19182791,diseases_2009
19151708,diseases_2009
19151706,diseases_2009
19136966,diseases_2009
19079247,diseases_2009
19060894,diseases_2009
19525934,diseases_2009
19503072,diseases_2009
19465921,diseases_2009
19465920,diseases_2009
19448627,diseases_2009
19404331,diseases_2009
19350017,diseases_2009
19270694,diseases_2009
19767740,diseases_2009
19620968,diseases_2009
19525934,diseases_2009
19503072,diseases_2009
20010815,diseases_2009
20010814,diseases_2009
19966784,diseases_2009
19935649,diseases_2009
19898465,diseases_2009
19838175,diseases_2009
19838172,diseases_2009
19801974,diseases_2009
19801972,diseases_2009
19767740,diseases_2009
20305651,diseases_2010
20228809,diseases_2010
20228808,diseases_2010
20190740,diseases_2010
20173743,diseases_2010
20173741,diseases_2010
20173740,diseases_2010
20154679,diseases_2010
20118996,diseases_2010
20010815,diseases_2010
20010814,diseases_2010
19966784,diseases_2010
20418870,diseases_2010
20383141,diseases_2010
20364141,diseases_2010
20305651,diseases_2010
20228809,diseases_2010
20228808,diseases_2010
20228807,diseases_2010
20190740,diseases_2010
20818389,diseases_2010
20729838,diseases_2010
20711182,diseases_2010
21170034,diseases_2010
21170031,diseases_2010
21102440,diseases_2010
21102439,diseases_2010
21076414,diseases_2010
20818389,diseases_2010
21441927,diseases_2011
21336312,diseases_2011
21336309,diseases_2011
21336304,diseases_2011
21336303,diseases_2011
21317884,diseases_2011
21170034,diseases_2011
21170031,diseases_2011
21685891,diseases_2011
21642981,diseases_2011
21642980,diseases_2011
21499257,diseases_2011
21478858,diseases_2011
21441927,diseases_2011
21968997,diseases_2011
21947081,diseases_2011
21909099,diseases_2011
21909098,diseases_2011
21857669,diseases_2011
21841793,diseases_2011
21743465,diseases_2011
22138576,diseases_2011
22057101,diseases_2011
22020439,diseases_2011
21968989,diseases_2011
22407364,diseases_2012
22388891,diseases_2012
22388889,diseases_2012
22327365,diseases_2012
22743709,diseases_2012
22706160,diseases_2012
22609986,diseases_2012
22581054,diseases_2012
22561347,diseases_2012
22469826,diseases_2012
22945257,diseases_2012
22940906,diseases_2012
22922713,diseases_2012
22864477,diseases_2012
22854810,diseases_2012
22772081,diseases_2012
23263278,diseases_2012
23242215,diseases_2012
23196843,diseases_2012
23178882,diseases_2012
23131919,diseases_2012
23086238,diseases_2012
23064264,diseases_2012
23041974,diseases_2012
22940906,diseases_2012
23502315,diseases_2013
23449143,diseases_2013
23434823,diseases_2013
23396050,diseases_2013
23377028,diseases_2013
23354167,diseases_2013
23334500,diseases_2013
23263379,diseases_2013
23263282,diseases_2013
23263278,diseases_2013
23242215,diseases_2013
23792691,diseases_2013
23792690,diseases_2013
23748611,diseases_2013
23728460,diseases_2013
23728425,diseases_2013
23708000,diseases_2013
23666084,diseases_2013
23644467,diseases_2013
23604321,diseases_2013
23548926,diseases_2013
23502315,diseases_2013
23934216,diseases_2013
23907197,diseases_2013
23851489,diseases_2013
23831727,diseases_2013
23792691,diseases_2013
23792690,diseases_2013
23748611,diseases_2013
23728425,diseases_2013
23666084,diseases_2013
24335650,diseases_2013
24316671,diseases_2013
24270890,diseases_2013
24212090,diseases_2013
24189516,diseases_2013
24161934,diseases_2013
24161931,diseases_2013
24161930,diseases_2013
24658686,diseases_2014
24658685,diseases_2014
24576899,diseases_2014
24561623,diseases_2014
24561622,diseases_2014
24509793,diseases_2014
24441527,diseases_2014
24335650,diseases_2014
24316671,diseases_2014
24976383,diseases_2014
24952462,diseases_2014
24914434,diseases_2014
24880666,diseases_2014
24875740,diseases_2014
24875735,diseases_2014
24859003,diseases_2014
24859002,diseases_2014
24814514,diseases_2014
24747441,diseases_2014
24747440,diseases_2014
24747439,diseases_2014
24691258,diseases_2014
24691256,diseases_2014
24691255,diseases_2014
24658686,diseases_2014
24658685,diseases_2014
25266422,diseases_2014
25241036,diseases_2014
25218639,diseases_2014
25218638,diseases_2014
25173978,diseases_2014
25150980,diseases_2014
25086747,diseases_2014
25086746,diseases_2014
25082197,diseases_2014
25082194,diseases_2014
24976383,diseases_2014
24952462,diseases_2014
24880666,diseases_2014
25531779,diseases_2014
25531777,diseases_2014
25503565,diseases_2014
25438055,diseases_2014
25402683,diseases_2014
25362351,diseases_2014
25358351,diseases_2014
25344755,diseases_2014
25266422,diseases_2014
25241036,diseases_2014
25218639,diseases_2014
25218638,diseases_2014
25173978,diseases_2014
25799059,diseases_2015
25774835,diseases_2015
25774832,diseases_2015
25730471,diseases_2015
25720964,diseases_2015
25686251,diseases_2015
25633271,diseases_2015
25621950,diseases_2015
25580734,diseases_2015
25531779,diseases_2015
25531777,diseases_2015
25503565,diseases_2015
25438055,diseases_2015
26098574,diseases_2015
26022917,diseases_2015
25985394,diseases_2015
25961504,diseases_2015
25925584,diseases_2015
25915125,diseases_2015
25893917,diseases_2015
25866923,diseases_2015
25848746,diseases_2015
25812519,diseases_2015
25799059,diseases_2015
25774835,diseases_2015
25774832,diseases_2015
25730471,diseases_2015
26302407,diseases_2015
26280536,diseases_2015
26258633,diseases_2015
26237646,diseases_2015
26214134,diseases_2015
26214133,diseases_2015
26167768,diseases_2015
26147250,diseases_2015
26098574,diseases_2015
26689676,diseases_2015
26655835,diseases_2015
26619149,diseases_2015
26612572,diseases_2015
26595384,diseases_2015
26595383,diseases_2015
26479318,diseases_2015
26419800,diseases_2015
26999738,diseases_2016
26900751,diseases_2016
26820437,diseases_2016
26751287,diseases_2016
26689676,diseases_2016
26655835,diseases_2016
26619149,diseases_2016
26595384,diseases_2016
27350441,diseases_2016
27323328,diseases_2016
27230528,diseases_2016
27214280,diseases_2016
27183469,diseases_2016
27088857,diseases_2016
27088855,diseases_2016
27088854,diseases_2016
27027488,diseases_2016
27027486,diseases_2016
26999738,diseases_2016
27684506,diseases_2016
27642787,diseases_2016
27617932,diseases_2016
27595237,diseases_2016
27548915,diseases_2016
27548914,diseases_2016
27525719,diseases_2016
27501329,diseases_2016
27428308,diseases_2016
27323328,diseases_2016
28008180,diseases_2016
27918550,diseases_2016
27918549,diseases_2016
27820599,diseases_2016
27798604,diseases_2016
27784901,diseases_2016
27749822,diseases_2016
27723720,diseases_2016
27642787,diseases_2016
27617932,diseases_2016
27595237,diseases_2016
28263958,diseases_2017
28248308,diseases_2017
28218910,diseases_2017
28114271,diseases_2017
28114269,diseases_2017
28092655,diseases_2017
27918550,diseases_2017
27918549,diseases_2017
28650479,diseases_2017
28628081,diseases_2017
28581476,diseases_2017
28553938,diseases_2017
28553937,diseases_2017
28530660,diseases_2017
28530657,diseases_2017
28504705,diseases_2017
28481328,diseases_2017
28446818,diseases_2017
28436967,diseases_2017
28436965,diseases_2017
28436964,diseases_2017
28422952,diseases_2017
28414315,diseases_2017
28414314,diseases_2017
28263958,diseases_2017
28945232,diseases_2017
28945230,diseases_2017
28920955,diseases_2017
