pmid,query_name
17438546,therapeutics_2007
17417631,therapeutics_2007
17576417,therapeutics_2007
18936751,therapeutics_2008
21516114,therapeutics_2011
21460829,therapeutics_2011
21926994,therapeutics_2011
23023260,therapeutics_2012
22907085,therapeutics_2012
23023260,therapeutics_2012
25282504,therapeutics_2014
26322824,therapeutics_2015
26284668,therapeutics_2015
26595461,therapeutics_2015
26575241,therapeutics_2015
26322824,therapeutics_2015
26784844,therapeutics_2016
26595461,therapeutics_2016
27755526,therapeutics_2016
28346404,therapeutics_2017
28437395,therapeutics_2017
28346404,therapeutics_2017
28759014,therapeutics_2017
29200207,therapeutics_2017
29337964,therapeutics_2018
29200207,therapeutics_2018
30598545,therapeutics_2018
30598545,therapeutics_2019
31320759,therapeutics_2019
31636435,therapeutics_2019
32251407,therapeutics_2020
32807968,therapeutics_2020
32694636,therapeutics_2020
32251407,therapeutics_2020
32807968,therapeutics_2020
33686294,therapeutics_2021
33820990,therapeutics_2021
33686294,therapeutics_2021
34952934,therapeutics_2021
34931062,therapeutics_2021
34952934,therapeutics_2022
34934186,therapeutics_2022
34931062,therapeutics_2022
36076082,therapeutics_2022
35879545,therapeutics_2022
36253550,therapeutics_2022
36076082,therapeutics_2022
35879545,therapeutics_2022
36253550,therapeutics_2023
38491321,therapeutics_2024
