pmid,query_name
7585044,diseases_1995
7585042,diseases_1995
7585041,diseases_1995
7585040,diseases_1995
7585038,diseases_1995
7585037,diseases_1995
7585036,diseases_1995
7585035,diseases_1995
7585034,diseases_1995
7585033,diseases_1995
7585032,diseases_1995
7585030,diseases_1995
7585029,diseases_1995
7585015,diseases_1995
7585014,diseases_1995
7585013,diseases_1995
7585012,diseases_1995
7585011,diseases_1995
7585009,diseases_1995
7585008,diseases_1995
7585007,diseases_1995
7585006,diseases_1995
7585005,diseases_1995
7585004,diseases_1995
7585003,diseases_1995
7584960,diseases_1995
7584958,diseases_1995
7584956,diseases_1995
7584955,diseases_1995
7584954,diseases_1995
7584952,diseases_1995
7584949,diseases_1995
7584948,diseases_1995
7584946,diseases_1995
7584941,diseases_1995
7585124,diseases_1995
7585123,diseases_1995
7585122,diseases_1995
7585118,diseases_1995
7585115,diseases_1995
7585113,diseases_1995
7585110,diseases_1995
7585098,diseases_1995
7585097,diseases_1995
7585096,diseases_1995
7585094,diseases_1995
7585093,diseases_1995
7585092,diseases_1995
7585090,diseases_1995
7585086,diseases_1995
7585084,diseases_1995
7585083,diseases_1995
7585080,diseases_1995
7585070,diseases_1995
7585068,diseases_1995
7585067,diseases_1995
7585065,diseases_1995
7585064,diseases_1995
7585062,diseases_1995
7585061,diseases_1995
7585060,diseases_1995
7585059,diseases_1995
7585058,diseases_1995
7585057,diseases_1995
7585056,diseases_1995
7585054,diseases_1995
7585053,diseases_1995
7585052,diseases_1995
7585225,diseases_1995
7585224,diseases_1995
7585223,diseases_1995
7585222,diseases_1995
7585221,diseases_1995
7585219,diseases_1995
7585217,diseases_1995
7585216,diseases_1995
7585215,diseases_1995
7585211,diseases_1995
7585210,diseases_1995
7585205,diseases_1995
7585202,diseases_1995
7585189,diseases_1995
7585188,diseases_1995
7585187,diseases_1995
7585186,diseases_1995
7585185,diseases_1995
7585184,diseases_1995
7585183,diseases_1995
7585182,diseases_1995
7585181,diseases_1995
7585180,diseases_1995
7585179,diseases_1995
7585178,diseases_1995
7585177,diseases_1995
7585176,diseases_1995
7585175,diseases_1995
7585173,diseases_1995
7585172,diseases_1995
7585170,diseases_1995
7585169,diseases_1995
7585158,diseases_1995
7585157,diseases_1995
7585156,diseases_1995
7585155,diseases_1995
7585154,diseases_1995
7585153,diseases_1995
7585150,diseases_1995
7585149,diseases_1995
7585148,diseases_1995
7585147,diseases_1995
7585146,diseases_1995
7585145,diseases_1995
7585144,diseases_1995
7585143,diseases_1995
7585142,diseases_1995
7585141,diseases_1995
7585140,diseases_1995
7585138,diseases_1995
7585137,diseases_1995
7585136,diseases_1995
7585135,diseases_1995
7585134,diseases_1995
7489415,diseases_1995
7489414,diseases_1995
7489412,diseases_1995
7489411,diseases_1995
7489410,diseases_1995
7489408,diseases_1995
7489405,diseases_1995
7489404,diseases_1995
7489403,diseases_1995
7489402,diseases_1995
7489399,diseases_1995
7489398,diseases_1995
7489397,diseases_1995
7489395,diseases_1995
7584999,diseases_1995
7584997,diseases_1995
7584995,diseases_1995
7584993,diseases_1995
7584991,diseases_1995
7584990,diseases_1995
7584989,diseases_1995
7584988,diseases_1995
7584987,diseases_1995
7584985,diseases_1995
7584984,diseases_1995
7584983,diseases_1995
7584981,diseases_1995
7584978,diseases_1995
7584977,diseases_1995
7584976,diseases_1995
7489384,diseases_1995
7489383,diseases_1995
7489382,diseases_1995
7489381,diseases_1995
7489368,diseases_1995
7489365,diseases_1995
7489364,diseases_1995
7489361,diseases_1995
7489360,diseases_1995
7489359,diseases_1995
7489358,diseases_1995
7489357,diseases_1995
7489356,diseases_1995
7489355,diseases_1995
7489352,diseases_1995
7489351,diseases_1995
8612237,diseases_1996
8612236,diseases_1996
8612234,diseases_1996
8612233,diseases_1996
8612232,diseases_1996
8612230,diseases_1996
8612229,diseases_1996
8612227,diseases_1996
8612224,diseases_1996
8612223,diseases_1996
8612222,diseases_1996
8612221,diseases_1996
8612218,diseases_1996
8612217,diseases_1996
8612216,diseases_1996
8612215,diseases_1996
8574972,diseases_1996
8574971,diseases_1996
8574969,diseases_1996
8574967,diseases_1996
8574966,diseases_1996
8574963,diseases_1996
8574962,diseases_1996
8574961,diseases_1996
8574960,diseases_1996
8574959,diseases_1996
8574957,diseases_1996
8574956,diseases_1996
8574955,diseases_1996
8574954,diseases_1996
8574952,diseases_1996
8564851,diseases_1996
8564848,diseases_1996
8564847,diseases_1996
8564845,diseases_1996
8564842,diseases_1996
8564837,diseases_1996
8564835,diseases_1996
8564833,diseases_1996
8564831,diseases_1996
8564830,diseases_1996
8564829,diseases_1996
8564826,diseases_1996
8564824,diseases_1996
8640566,diseases_1996
8640562,diseases_1996
8640561,diseases_1996
8640560,diseases_1996
8640559,diseases_1996
8640556,diseases_1996
8640555,diseases_1996
8640549,diseases_1996
8640548,diseases_1996
8640546,diseases_1996
8640545,diseases_1996
8640544,diseases_1996
8616723,diseases_1996
8616722,diseases_1996
8616720,diseases_1996
8616718,diseases_1996
8616717,diseases_1996
8616716,diseases_1996
8616714,diseases_1996
8616712,diseases_1996
8616711,diseases_1996
8616710,diseases_1996
8616709,diseases_1996
8616708,diseases_1996
8616707,diseases_1996
8616705,diseases_1996
8616704,diseases_1996
8616703,diseases_1996
8616702,diseases_1996
8597963,diseases_1996
8597962,diseases_1996
8597960,diseases_1996
8597959,diseases_1996
8597958,diseases_1996
8597957,diseases_1996
8597956,diseases_1996
8597955,diseases_1996
8597953,diseases_1996
8597952,diseases_1996
8597951,diseases_1996
8597950,diseases_1996
8597948,diseases_1996
8597946,diseases_1996
8597944,diseases_1996
8597943,diseases_1996
8597942,diseases_1996
8597941,diseases_1996
8597940,diseases_1996
8597939,diseases_1996
8782465,diseases_1996
8782464,diseases_1996
8782463,diseases_1996
8782460,diseases_1996
8782457,diseases_1996
8782456,diseases_1996
8782452,diseases_1996
8782451,diseases_1996
8782450,diseases_1996
8782449,diseases_1996
8782446,diseases_1996
8782445,diseases_1996
8782444,diseases_1996
8705864,diseases_1996
8705863,diseases_1996
8705861,diseases_1996
8705860,diseases_1996
8705859,diseases_1996
8705858,diseases_1996
8705857,diseases_1996
8705855,diseases_1996
8705854,diseases_1996
8705853,diseases_1996
8705852,diseases_1996
8705851,diseases_1996
8705849,diseases_1996
8705848,diseases_1996
8705846,diseases_1996
8705845,diseases_1996
8705844,diseases_1996
8673930,diseases_1996
8673929,diseases_1996
8673928,diseases_1996
8673927,diseases_1996
8673925,diseases_1996
8673924,diseases_1996
8673923,diseases_1996
8673919,diseases_1996
8673918,diseases_1996
8673917,diseases_1996
8673916,diseases_1996
8673915,diseases_1996
8673914,diseases_1996
8673911,diseases_1996
8946840,diseases_1996
8946839,diseases_1996
8946838,diseases_1996
8946837,diseases_1996
8946836,diseases_1996
8946835,diseases_1996
8946834,diseases_1996
8946833,diseases_1996
8946832,diseases_1996
8946830,diseases_1996
8946829,diseases_1996
8946820,diseases_1996
8946819,diseases_1996
8898759,diseases_1996
8898758,diseases_1996
8898752,diseases_1996
8898750,diseases_1996
8898749,diseases_1996
8898748,diseases_1996
8898745,diseases_1996
8898735,diseases_1996
8898734,diseases_1996
8837617,diseases_1996
8837614,diseases_1996
8837613,diseases_1996
8837612,diseases_1996
8837611,diseases_1996
8837610,diseases_1996
8837608,diseases_1996
8837607,diseases_1996
8837606,diseases_1996
8837605,diseases_1996
8837604,diseases_1996
8837603,diseases_1996
8837601,diseases_1996
8837600,diseases_1996
8837599,diseases_1996
8837598,diseases_1996
8837597,diseases_1996
8837596,diseases_1996
8837595,diseases_1996
9055867,diseases_1997
9055866,diseases_1997
9055865,diseases_1997
9055864,diseases_1997
9055863,diseases_1997
9055862,diseases_1997
9055861,diseases_1997
9055860,diseases_1997
9055854,diseases_1997
9055846,diseases_1997
9055845,diseases_1997
9018247,diseases_1997
9018245,diseases_1997
9018244,diseases_1997
9018243,diseases_1997
9018242,diseases_1997
9018241,diseases_1997
9018240,diseases_1997
9018238,diseases_1997
9018237,diseases_1997
9018236,diseases_1997
9018235,diseases_1997
9018234,diseases_1997
9018233,diseases_1997
8986746,diseases_1997
8986745,diseases_1997
8986744,diseases_1997
8986743,diseases_1997
8986742,diseases_1997
8986741,diseases_1997
8986738,diseases_1997
8986736,diseases_1997
8986727,diseases_1997
9176499,diseases_1997
9176498,diseases_1997
9176496,diseases_1997
9176495,diseases_1997
9176494,diseases_1997
9176491,diseases_1997
9176490,diseases_1997
9176488,diseases_1997
9176487,diseases_1997
9176478,diseases_1997
9142130,diseases_1997
9142127,diseases_1997
9142126,diseases_1997
9142125,diseases_1997
9142123,diseases_1997
9142122,diseases_1997
9142121,diseases_1997
9142120,diseases_1997
9142119,diseases_1997
9142118,diseases_1997
9142117,diseases_1997
9142108,diseases_1997
9142107,diseases_1997
9095184,diseases_1997
9095183,diseases_1997
9095181,diseases_1997
9095180,diseases_1997
9095178,diseases_1997
9095177,diseases_1997
9095174,diseases_1997
9095173,diseases_1997
9095172,diseases_1997
9095171,diseases_1997
9095163,diseases_1997
9288735,diseases_1997
9288734,diseases_1997
9288731,diseases_1997
9288730,diseases_1997
9288729,diseases_1997
9288728,diseases_1997
9288726,diseases_1997
9288725,diseases_1997
9288724,diseases_1997
9256286,diseases_1997
9256285,diseases_1997
9256284,diseases_1997
9256282,diseases_1997
9256281,diseases_1997
9256280,diseases_1997
9256276,diseases_1997
9212112,diseases_1997
9212111,diseases_1997
9212110,diseases_1997
9212109,diseases_1997
9212107,diseases_1997
9212105,diseases_1997
9212103,diseases_1997
9212102,diseases_1997
9212101,diseases_1997
9212100,diseases_1997
9212098,diseases_1997
9212090,diseases_1997
9212089,diseases_1997
9396613,diseases_1997
9396611,diseases_1997
9396610,diseases_1997
9396607,diseases_1997
9396604,diseases_1997
9359707,diseases_1997
9359705,diseases_1997
9359704,diseases_1997
9359703,diseases_1997
9359702,diseases_1997
9359700,diseases_1997
9359699,diseases_1997
9359698,diseases_1997
9359696,diseases_1997
9359693,diseases_1997
9334733,diseases_1997
9334732,diseases_1997
9334731,diseases_1997
9334730,diseases_1997
9334729,diseases_1997
9334727,diseases_1997
9334726,diseases_1997
9334725,diseases_1997
9334721,diseases_1997
9334720,diseases_1997
9334719,diseases_1997
9334707,diseases_1997
9334706,diseases_1997
9500614,diseases_1998
9500612,diseases_1998
9500611,diseases_1998
9500610,diseases_1998
9500603,diseases_1998
9500602,diseases_1998
9500599,diseases_1998
9461201,diseases_1998
9461199,diseases_1998
