pmid,query_name
7585047,fundamental_1995
7585046,fundamental_1995
7585045,fundamental_1995
7585043,fundamental_1995
7585039,fundamental_1995
7585010,fundamental_1995
7584959,fundamental_1995
7584953,fundamental_1995
7584950,fundamental_1995
7584947,fundamental_1995
7584942,fundamental_1995
7584940,fundamental_1995
7585128,fundamental_1995
7585127,fundamental_1995
7585126,fundamental_1995
7585125,fundamental_1995
7585121,fundamental_1995
7585120,fundamental_1995
7585119,fundamental_1995
7585117,fundamental_1995
7585116,fundamental_1995
7585114,fundamental_1995
7585111,fundamental_1995
7585109,fundamental_1995
7585095,fundamental_1995
7585091,fundamental_1995
7585089,fundamental_1995
7585088,fundamental_1995
7585087,fundamental_1995
7585085,fundamental_1995
7585082,fundamental_1995
7585081,fundamental_1995
7585071,fundamental_1995
7585069,fundamental_1995
7585066,fundamental_1995
7585055,fundamental_1995
7585228,fundamental_1995
7585227,fundamental_1995
7585226,fundamental_1995
7585220,fundamental_1995
7585218,fundamental_1995
7585214,fundamental_1995
7585213,fundamental_1995
7585212,fundamental_1995
7585209,fundamental_1995
7585208,fundamental_1995
7585207,fundamental_1995
7585206,fundamental_1995
7585203,fundamental_1995
7585191,fundamental_1995
7585190,fundamental_1995
7585171,fundamental_1995
7585168,fundamental_1995
7585152,fundamental_1995
7585151,fundamental_1995
7489417,fundamental_1995
7489416,fundamental_1995
7489413,fundamental_1995
7489409,fundamental_1995
7489407,fundamental_1995
7489406,fundamental_1995
7489401,fundamental_1995
7489396,fundamental_1995
7584998,fundamental_1995
7584996,fundamental_1995
7584994,fundamental_1995
7584992,fundamental_1995
7584980,fundamental_1995
7584974,fundamental_1995
7489380,fundamental_1995
7489367,fundamental_1995
7489366,fundamental_1995
7489363,fundamental_1995
7489362,fundamental_1995
7489354,fundamental_1995
7489353,fundamental_1995
8612239,fundamental_1996
8612235,fundamental_1996
8612231,fundamental_1996
8612228,fundamental_1996
8612226,fundamental_1996
8612225,fundamental_1996
8612220,fundamental_1996
8612219,fundamental_1996
8612209,fundamental_1996
8574973,fundamental_1996
8574970,fundamental_1996
8574965,fundamental_1996
8574964,fundamental_1996
8574958,fundamental_1996
8574953,fundamental_1996
8564850,fundamental_1996
8564846,fundamental_1996
8564843,fundamental_1996
8564838,fundamental_1996
8564834,fundamental_1996
8564828,fundamental_1996
8564827,fundamental_1996
8564822,fundamental_1996
8640568,fundamental_1996
8640565,fundamental_1996
8640563,fundamental_1996
8640558,fundamental_1996
8640557,fundamental_1996
8640554,fundamental_1996
8640553,fundamental_1996
8640552,fundamental_1996
8640551,fundamental_1996
8640547,fundamental_1996
8616721,fundamental_1996
8616719,fundamental_1996
8616715,fundamental_1996
8616713,fundamental_1996
8616706,fundamental_1996
8597961,fundamental_1996
8597954,fundamental_1996
8597947,fundamental_1996
8597945,fundamental_1996
8597938,fundamental_1996
8782466,fundamental_1996
8782462,fundamental_1996
8782461,fundamental_1996
8782459,fundamental_1996
8782458,fundamental_1996
8782453,fundamental_1996
8782448,fundamental_1996
8782447,fundamental_1996
8705866,fundamental_1996
8705865,fundamental_1996
8705862,fundamental_1996
8705856,fundamental_1996
8705850,fundamental_1996
8705847,fundamental_1996
8673932,fundamental_1996
8673931,fundamental_1996
8673926,fundamental_1996
8673922,fundamental_1996
8673921,fundamental_1996
8673920,fundamental_1996
8946842,fundamental_1996
8946841,fundamental_1996
8946831,fundamental_1996
8898757,fundamental_1996
8898756,fundamental_1996
8898755,fundamental_1996
8898754,fundamental_1996
8898753,fundamental_1996
8898751,fundamental_1996
8898747,fundamental_1996
8898746,fundamental_1996
8837618,fundamental_1996
8837616,fundamental_1996
8837615,fundamental_1996
9055869,fundamental_1997
9055868,fundamental_1997
9055859,fundamental_1997
9055858,fundamental_1997
9055857,fundamental_1997
9055856,fundamental_1997
9055855,fundamental_1997
9018248,fundamental_1997
9018246,fundamental_1997
9018239,fundamental_1997
8986748,fundamental_1997
8986747,fundamental_1997
8986740,fundamental_1997
8986739,fundamental_1997
8986737,fundamental_1997
9176500,fundamental_1997
9176493,fundamental_1997
9176492,fundamental_1997
9176489,fundamental_1997
9176486,fundamental_1997
9142131,fundamental_1997
9142129,fundamental_1997
9142128,fundamental_1997
9142124,fundamental_1997
9095182,fundamental_1997
9095179,fundamental_1997
9095176,fundamental_1997
9095175,fundamental_1997
9288736,fundamental_1997
9288733,fundamental_1997
9288732,fundamental_1997
9288727,fundamental_1997
9288723,fundamental_1997
9288711,fundamental_1997
9256289,fundamental_1997
9256288,fundamental_1997
9256287,fundamental_1997
