pmid,query_name
7585037,therapeutics_1995
7585034,therapeutics_1995
7585031,therapeutics_1995
7585001,therapeutics_1995
7585180,therapeutics_1995
7585133,therapeutics_1995
7584994,therapeutics_1995
7584975,therapeutics_1995
8574956,therapeutics_1996
8640564,therapeutics_1996
8616717,therapeutics_1996
8597963,therapeutics_1996
8782461,therapeutics_1996
8673913,therapeutics_1996
8898754,therapeutics_1996
9055861,therapeutics_1997
9176495,therapeutics_1997
9256264,therapeutics_1997
9359694,therapeutics_1997
9701246,therapeutics_1998
10371512,therapeutics_1999
10581089,therapeutics_1999
11062537,therapeutics_2000
11062536,therapeutics_2000
11017153,therapeutics_2000
11017126,therapeutics_2000
11385492,therapeutics_2001
11479610,therapeutics_2001
11433353,therapeutics_2001
11433341,therapeutics_2001
12357234,therapeutics_2002
12612576,therapeutics_2003
12514743,therapeutics_2003
12847519,therapeutics_2003
12669051,therapeutics_2003
12894165,therapeutics_2003
12847519,therapeutics_2003
12835706,therapeutics_2003
12835699,therapeutics_2003
15122249,therapeutics_2004
15448685,therapeutics_2004
15340404,therapeutics_2004
15459706,therapeutics_2004
15448685,therapeutics_2004
15685169,therapeutics_2005
15852016,therapeutics_2005
16025125,therapeutics_2005
16474401,therapeutics_2006
16604087,therapeutics_2006
16998484,therapeutics_2006
17057710,therapeutics_2006
16998484,therapeutics_2006
17342145,therapeutics_2007
18066076,therapeutics_2007
18157142,therapeutics_2008
18066076,therapeutics_2008
18552857,therapeutics_2008
18660817,therapeutics_2008
18552857,therapeutics_2008
19057552,therapeutics_2008
19270709,therapeutics_2009
19396174,therapeutics_2009
19270709,therapeutics_2009
19584859,therapeutics_2009
19893548,therapeutics_2009
19893542,therapeutics_2009
20072130,therapeutics_2010
20376036,therapeutics_2010
20376034,therapeutics_2010
20376033,therapeutics_2010
20376032,therapeutics_2010
20376027,therapeutics_2010
20376025,therapeutics_2010
20376022,therapeutics_2010
20376021,therapeutics_2010
20376020,therapeutics_2010
20871610,therapeutics_2010
20711198,therapeutics_2010
21057494,therapeutics_2010
20871610,therapeutics_2010
21383744,therapeutics_2011
21383743,therapeutics_2011
21706027,therapeutics_2011
21873989,therapeutics_2011
21818090,therapeutics_2011
21785431,therapeutics_2011
22157680,therapeutics_2011
22057348,therapeutics_2011
21989013,therapeutics_2011
22344296,therapeutics_2012
22286306,therapeutics_2012
22983397,therapeutics_2012
22797811,therapeutics_2012
23178246,therapeutics_2012
23160239,therapeutics_2012
22983397,therapeutics_2012
23396206,therapeutics_2013
23652098,therapeutics_2013
24013748,therapeutics_2013
23921736,therapeutics_2013
24202392,therapeutics_2013
24562382,therapeutics_2014
24562381,therapeutics_2014
24901563,therapeutics_2014
24793238,therapeutics_2014
25100531,therapeutics_2014
25531942,therapeutics_2014
25569544,therapeutics_2015
25531942,therapeutics_2015
26121197,therapeutics_2015
26121196,therapeutics_2015
26121193,therapeutics_2015
26322579,therapeutics_2015
26121197,therapeutics_2015
26121196,therapeutics_2015
26121193,therapeutics_2015
26646496,therapeutics_2015
26444633,therapeutics_2015
26322579,therapeutics_2015
26845403,therapeutics_2016
26779815,therapeutics_2016
26779812,therapeutics_2016
27239760,therapeutics_2016
27149220,therapeutics_2016
27135741,therapeutics_2016
27050589,therapeutics_2016
27239760,therapeutics_2016
27923030,therapeutics_2016
27923023,therapeutics_2016
27869802,therapeutics_2016
27748747,therapeutics_2016
28067901,therapeutics_2017
27869802,therapeutics_2017
28886004,therapeutics_2017
28886003,therapeutics_2017
28714990,therapeutics_2017
29155426,therapeutics_2017
29509750,therapeutics_2018
29414934,therapeutics_2018
29155426,therapeutics_2018
29942093,therapeutics_2018
29892063,therapeutics_2018
29867234,therapeutics_2018
29867230,therapeutics_2018
29736026,therapeutics_2018
29686425,therapeutics_2018
29662200,therapeutics_2018
29634693,therapeutics_2018
30258217,therapeutics_2018
30250140,therapeutics_2018
30082860,therapeutics_2018
29942093,therapeutics_2018
29892063,therapeutics_2018
30559421,therapeutics_2018
30420754,therapeutics_2018
30401867,therapeutics_2018
30297911,therapeutics_2018
30297909,therapeutics_2018
30258217,therapeutics_2018
30250140,therapeutics_2018
30842670,therapeutics_2019
30833751,therapeutics_2019
30833750,therapeutics_2019
30728540,therapeutics_2019
30728533,therapeutics_2019
30643289,therapeutics_2019
30643286,therapeutics_2019
30559421,therapeutics_2019
31171878,therapeutics_2019
31171876,therapeutics_2019
31068712,therapeutics_2019
31068711,therapeutics_2019
31068704,therapeutics_2019
31036881,therapeutics_2019
31036879,therapeutics_2019
31011208,therapeutics_2019
30833751,therapeutics_2019
30833750,therapeutics_2019
31332389,therapeutics_2019
31270504,therapeutics_2019
31873309,therapeutics_2019
31792462,therapeutics_2019
31591600,therapeutics_2019
31591597,therapeutics_2019
31591594,therapeutics_2019
31591593,therapeutics_2019
31591590,therapeutics_2019
32152581,therapeutics_2020
32094924,therapeutics_2020
32042196,therapeutics_2020
32015558,therapeutics_2020
32015556,therapeutics_2020
31873309,therapeutics_2020
32601338,therapeutics_2020
32451495,therapeutics_2020
32405056,therapeutics_2020
32393803,therapeutics_2020
32251400,therapeutics_2020
32094924,therapeutics_2020
32908280,therapeutics_2020
32778826,therapeutics_2020
32601338,therapeutics_2020
33093683,therapeutics_2020
33077957,therapeutics_2020
33020649,therapeutics_2020
33020648,therapeutics_2020
33020646,therapeutics_2020
33020645,therapeutics_2020
33020644,therapeutics_2020
33737750,therapeutics_2021
33723456,therapeutics_2021
33603241,therapeutics_2021
33558721,therapeutics_2021
33526931,therapeutics_2021
33495604,therapeutics_2021
33462450,therapeutics_2021
33462447,therapeutics_2021
33990804,therapeutics_2021
33972794,therapeutics_2021
33941921,therapeutics_2021
33737750,therapeutics_2021
34480127,therapeutics_2021
34385702,therapeutics_2021
34341578,therapeutics_2021
34226737,therapeutics_2021
34140703,therapeutics_2021
34750554,therapeutics_2021
34608333,therapeutics_2021
34480127,therapeutics_2021
35322239,therapeutics_2022
35228755,therapeutics_2022
35132264,therapeutics_2022
35064248,therapeutics_2022
35046573,therapeutics_2022
35013615,therapeutics_2022
35662283,therapeutics_2022
35322239,therapeutics_2022
35228755,therapeutics_2022
36109641,therapeutics_2022
36097216,therapeutics_2022
35982307,therapeutics_2022
35970919,therapeutics_2022
35864255,therapeutics_2022
35864254,therapeutics_2022
36581750,therapeutics_2022
36097216,therapeutics_2022
36928820,therapeutics_2023
36807682,therapeutics_2023
36759673,therapeutics_2023
36707735,therapeutics_2023
36658418,therapeutics_2023
36604538,therapeutics_2023
37188783,therapeutics_2023
37024596,therapeutics_2023
37563240,therapeutics_2023
37429923,therapeutics_2023
37414899,therapeutics_2023
38071379,therapeutics_2023
37903504,therapeutics_2023
37794253,therapeutics_2023
38454127,therapeutics_2024
38291301,therapeutics_2024
38228914,therapeutics_2024
38200255,therapeutics_2024
38071379,therapeutics_2024
37903504,therapeutics_2024
38605165,therapeutics_2024
