pmid,query_name
8161452,therapeutics_1994
9581758,therapeutics_1998
9581755,therapeutics_1998
9728908,therapeutics_1998
10677041,therapeutics_1999
10798408,therapeutics_2000
12062028,therapeutics_2002
12597856,therapeutics_2003
12597851,therapeutics_2003
16157269,therapeutics_2005
19409273,therapeutics_2009
20399736,therapeutics_2010
21338880,therapeutics_2011
22681682,therapeutics_2012
23217740,therapeutics_2012
23664619,therapeutics_2013
24656247,therapeutics_2014
24853934,therapeutics_2014
25242222,therapeutics_2014
25447740,therapeutics_2014
25242222,therapeutics_2014
25789753,therapeutics_2015
26050032,therapeutics_2015
25905812,therapeutics_2015
26526393,therapeutics_2015
26948894,therapeutics_2016
27720487,therapeutics_2016
29566787,therapeutics_2018
29470968,therapeutics_2018
30269989,therapeutics_2018
30571942,therapeutics_2018
30269989,therapeutics_2018
30795900,therapeutics_2019
30790538,therapeutics_2019
30731057,therapeutics_2019
30653935,therapeutics_2019
31071287,therapeutics_2019
30795900,therapeutics_2019
32027830,therapeutics_2020
32791039,therapeutics_2020
32710819,therapeutics_2020
33181070,therapeutics_2020
32791039,therapeutics_2020
33957067,therapeutics_2021
33823138,therapeutics_2021
34293291,therapeutics_2021
36076337,therapeutics_2022
36076336,therapeutics_2022
35926452,therapeutics_2022
35858623,therapeutics_2022
37678164,therapeutics_2023
37442132,therapeutics_2023
37972595,therapeutics_2023
38330897,therapeutics_2024
38262415,therapeutics_2024
37972595,therapeutics_2024
