pmid,query_name
3325876,fundamental_1987
3125507,fundamental_1987
2963988,fundamental_1987
2830576,fundamental_1987
2449644,fundamental_1987
3438086,fundamental_1987
3330789,fundamental_1987
3330788,fundamental_1987
3330786,fundamental_1987
3330782,fundamental_1987
3330781,fundamental_1987
3330778,fundamental_1987
3330776,fundamental_1987
3330774,fundamental_1987
3330773,fundamental_1987
3325887,fundamental_1987
3325886,fundamental_1987
3133626,fundamental_1987
3133625,fundamental_1987
3133624,fundamental_1987
2963989,fundamental_1987
2838784,fundamental_1987
2838783,fundamental_1987
2838781,fundamental_1987
2830583,fundamental_1987
2830581,fundamental_1987
2455264,fundamental_1987
2455263,fundamental_1987
2455262,fundamental_1987
3501855,fundamental_1987
3325883,fundamental_1987
3325882,fundamental_1987
2830579,fundamental_1987
2449646,fundamental_1987
3353115,fundamental_1988
3353114,fundamental_1988
3281097,fundamental_1988
3281096,fundamental_1988
3281092,fundamental_1988
3285299,fundamental_1988
3285298,fundamental_1988
3285297,fundamental_1988
3285296,fundamental_1988
2835725,fundamental_1988
2835723,fundamental_1988
3387099,fundamental_1988
3290805,fundamental_1988
3290804,fundamental_1988
2838789,fundamental_1988
2838786,fundamental_1988
3287280,fundamental_1988
3287277,fundamental_1988
3131720,fundamental_1988
2836778,fundamental_1988
2453829,fundamental_1988
3283657,fundamental_1988
3283654,fundamental_1988
3283652,fundamental_1988
3283651,fundamental_1988
2834684,fundamental_1988
2452399,fundamental_1988
2452398,fundamental_1988
3205567,fundamental_1988
3144692,fundamental_1988
3060793,fundamental_1988
3060791,fundamental_1988
2849742,fundamental_1988
2849741,fundamental_1988
3412775,fundamental_1988
3412774,fundamental_1988
3412773,fundamental_1988
3045729,fundamental_1988
2970613,fundamental_1988
2842715,fundamental_1988
2842713,fundamental_1988
2457862,fundamental_1988
2457860,fundamental_1988
2578002,fundamental_1988
2577878,fundamental_1988
2577876,fundamental_1988
2577873,fundamental_1988
2577868,fundamental_1988
2577867,fundamental_1988
2577865,fundamental_1988
2485257,fundamental_1988
2485256,fundamental_1988
2485255,fundamental_1988
3078963,fundamental_1988
3078962,fundamental_1988
3078961,fundamental_1988
3078960,fundamental_1988
3078958,fundamental_1988
3078957,fundamental_1988
3078956,fundamental_1988
2978869,fundamental_1988
2978868,fundamental_1988
2856255,fundamental_1988
2856254,fundamental_1988
3274085,fundamental_1988
3274084,fundamental_1988
3152600,fundamental_1988
3152599,fundamental_1988
3078954,fundamental_1988
3078953,fundamental_1988
3078950,fundamental_1988
3078948,fundamental_1988
2978866,fundamental_1988
2856250,fundamental_1988
2856248,fundamental_1988
2649850,fundamental_1989
2649849,fundamental_1989
2649847,fundamental_1989
2539576,fundamental_1989
2495505,fundamental_1989
2468125,fundamental_1989
2468122,fundamental_1989
2927948,fundamental_1989
2927946,fundamental_1989
2927945,fundamental_1989
2648255,fundamental_1989
2648252,fundamental_1989
2538793,fundamental_1989
2494632,fundamental_1989
2494630,fundamental_1989
2467247,fundamental_1989
2915902,fundamental_1989
2915901,fundamental_1989
2783773,fundamental_1989
2644610,fundamental_1989
2536916,fundamental_1989
2521704,fundamental_1989
2464785,fundamental_1989
2464784,fundamental_1989
2464783,fundamental_1989
2786618,fundamental_1989
2660074,fundamental_1989
2660073,fundamental_1989
2660071,fundamental_1989
2660070,fundamental_1989
2660069,fundamental_1989
2543944,fundamental_1989
2543941,fundamental_1989
2543940,fundamental_1989
2525241,fundamental_1989
2499863,fundamental_1989
2657577,fundamental_1989
2657574,fundamental_1989
2566965,fundamental_1989
2542864,fundamental_1989
2498808,fundamental_1989
2498806,fundamental_1989
2498805,fundamental_1989
2471130,fundamental_1989
2471129,fundamental_1989
2785666,fundamental_1989
2717185,fundamental_1989
2654809,fundamental_1989
2654808,fundamental_1989
2524024,fundamental_1989
2470008,fundamental_1989
2789360,fundamental_1989
2789359,fundamental_1989
2780051,fundamental_1989
2674853,fundamental_1989
2674852,fundamental_1989
2674851,fundamental_1989
2674850,fundamental_1989
2571115,fundamental_1989
2550873,fundamental_1989
2550872,fundamental_1989
2761987,fundamental_1989
2668849,fundamental_1989
2668846,fundamental_1989
2668845,fundamental_1989
2548146,fundamental_1989
2503800,fundamental_1989
2474787,fundamental_1989
2666912,fundamental_1989
2666910,fundamental_1989
2666905,fundamental_1989
2666904,fundamental_1989
2502753,fundamental_1989
2502752,fundamental_1989
2687773,fundamental_1989
2687772,fundamental_1989
2687769,fundamental_1989
2687768,fundamental_1989
2687766,fundamental_1989
2687764,fundamental_1989
2512526,fundamental_1989
2480561,fundamental_1989
2682462,fundamental_1989
2682459,fundamental_1989
2682457,fundamental_1989
2573029,fundamental_1989
2554238,fundamental_1989
2554237,fundamental_1989
2554236,fundamental_1989
