pmid,query_name
21007649,diseases_1945
21007648,diseases_1945
21004255,diseases_1945
21004961,diseases_1945
21004957,diseases_1945
21004949,diseases_1945
21004948,diseases_1945
21017970,diseases_1946
21017969,diseases_1946
21017965,diseases_1946
21017963,diseases_1946
21017960,diseases_1946
21017954,diseases_1946
21017951,diseases_1946
21016885,diseases_1946
21016884,diseases_1946
21016879,diseases_1946
21015142,diseases_1946
21012245,diseases_1946
21012244,diseases_1946
21012242,diseases_1946
21012234,diseases_1946
21012231,diseases_1946
21012227,diseases_1946
21065741,diseases_1946
21012218,diseases_1946
21010561,diseases_1946
21009085,diseases_1946
21007670,diseases_1946
21007663,diseases_1946
21007653,diseases_1946
21064783,diseases_1946
21064782,diseases_1946
20987704,diseases_1946
20987698,diseases_1946
20985152,diseases_1946
20985149,diseases_1946
20984259,diseases_1946
21064397,diseases_1946
20982776,diseases_1946
21028153,diseases_1946
21028152,diseases_1946
21026150,diseases_1946
21026149,diseases_1946
21026148,diseases_1946
21026145,diseases_1946
21026142,diseases_1946
21026141,diseases_1946
21026834,diseases_1946
21026830,diseases_1946
21026828,diseases_1946
21026824,diseases_1946
21026820,diseases_1946
21026818,diseases_1946
21024295,diseases_1946
21024293,diseases_1946
21019889,diseases_1946
21019886,diseases_1946
21019880,diseases_1946
21065167,diseases_1946
20998450,diseases_1946
20998447,diseases_1946
20997608,diseases_1946
21065118,diseases_1946
20996356,diseases_1946
20996352,diseases_1946
20995512,diseases_1946
20995511,diseases_1946
21065087,diseases_1946
20995505,diseases_1946
20994561,diseases_1946
20994560,diseases_1946
20994559,diseases_1946
20994018,diseases_1946
20994016,diseases_1946
20994014,diseases_1946
20991775,diseases_1946
20991771,diseases_1946
20991768,diseases_1946
20991763,diseases_1946
20991762,diseases_1946
20991761,diseases_1946
20991760,diseases_1946
20990273,diseases_1946
20990269,diseases_1946
20990268,diseases_1946
17749271,diseases_1946
17749270,diseases_1946
17772324,diseases_1946
17840544,diseases_1946
17840540,diseases_1946
21002768,diseases_1946
21002764,diseases_1946
17734648,diseases_1946
21002758,diseases_1946
21002756,diseases_1946
21001961,diseases_1946
21001956,diseases_1946
21001955,diseases_1946
17819689,diseases_1946
21000553,diseases_1946
21000552,diseases_1946
21000546,diseases_1946
21000542,diseases_1946
21000541,diseases_1946
21000538,diseases_1946
21000537,diseases_1946
21000536,diseases_1946
21000534,diseases_1946
20999821,diseases_1946
20998466,diseases_1946
20998458,diseases_1946
20998453,diseases_1946
17836262,diseases_1947
17836257,diseases_1947
17836255,diseases_1947
17740568,diseases_1947
17740565,diseases_1947
17740563,diseases_1947
17740562,diseases_1947
17740558,diseases_1947
17835145,diseases_1947
17769488,diseases_1947
17769484,diseases_1947
17769482,diseases_1947
17775934,diseases_1947
17775930,diseases_1947
17737881,diseases_1947
17737877,diseases_1947
17737875,diseases_1947
