pmid,query_name
21065573,fundamental_1945
21007651,fundamental_1945
21007650,fundamental_1945
21007646,fundamental_1945
21004258,fundamental_1945
21004257,fundamental_1945
21004256,fundamental_1945
21065374,fundamental_1945
21004966,fundamental_1945
21004965,fundamental_1945
21004964,fundamental_1945
21004962,fundamental_1945
21004960,fundamental_1945
21004958,fundamental_1945
21004956,fundamental_1945
21004955,fundamental_1945
21004954,fundamental_1945
21004953,fundamental_1945
21004952,fundamental_1945
21004950,fundamental_1945
21004947,fundamental_1945
21004946,fundamental_1945
21066074,fundamental_1946
21017972,fundamental_1946
21017971,fundamental_1946
21017968,fundamental_1946
21017967,fundamental_1946
21017966,fundamental_1946
21017964,fundamental_1946
21017961,fundamental_1946
21017959,fundamental_1946
21017958,fundamental_1946
21017957,fundamental_1946
21017956,fundamental_1946
21017955,fundamental_1946
21017953,fundamental_1946
21017952,fundamental_1946
21066010,fundamental_1946
21016883,fundamental_1946
21016882,fundamental_1946
21016881,fundamental_1946
21016880,fundamental_1946
21016878,fundamental_1946
21016877,fundamental_1946
21065854,fundamental_1946
21015141,fundamental_1946
21015140,fundamental_1946
21015139,fundamental_1946
21015138,fundamental_1946
21065832,fundamental_1946
21065830,fundamental_1946
21065829,fundamental_1946
21013988,fundamental_1946
21013986,fundamental_1946
21013985,fundamental_1946
21065744,fundamental_1946
21012243,fundamental_1946
21012241,fundamental_1946
21065743,fundamental_1946
21012239,fundamental_1946
21012238,fundamental_1946
21012237,fundamental_1946
21012236,fundamental_1946
21012235,fundamental_1946
21012233,fundamental_1946
21012232,fundamental_1946
21012230,fundamental_1946
21012229,fundamental_1946
21012228,fundamental_1946
21012226,fundamental_1946
21012224,fundamental_1946
21012222,fundamental_1946
21065742,fundamental_1946
21012221,fundamental_1946
21012220,fundamental_1946
21012219,fundamental_1946
21065708,fundamental_1946
21010565,fundamental_1946
21010564,fundamental_1946
21010563,fundamental_1946
21010562,fundamental_1946
21010560,fundamental_1946
21009089,fundamental_1946
21009088,fundamental_1946
21009087,fundamental_1946
21009086,fundamental_1946
21007669,fundamental_1946
21007668,fundamental_1946
21007667,fundamental_1946
21007666,fundamental_1946
21007665,fundamental_1946
21007664,fundamental_1946
21065576,fundamental_1946
21065575,fundamental_1946
21007661,fundamental_1946
21007660,fundamental_1946
21007658,fundamental_1946
21007657,fundamental_1946
21007656,fundamental_1946
21007655,fundamental_1946
20987703,fundamental_1946
20987701,fundamental_1946
20987699,fundamental_1946
20987697,fundamental_1946
20987696,fundamental_1946
21064660,fundamental_1946
20986460,fundamental_1946
20986459,fundamental_1946
20986458,fundamental_1946
20986457,fundamental_1946
20986456,fundamental_1946
20986455,fundamental_1946
20986454,fundamental_1946
20985151,fundamental_1946
20985150,fundamental_1946
20985148,fundamental_1946
20985147,fundamental_1946
20984257,fundamental_1946
21064398,fundamental_1946
20982778,fundamental_1946
20982777,fundamental_1946
20982775,fundamental_1946
21066807,fundamental_1946
21028155,fundamental_1946
21028154,fundamental_1946
21028151,fundamental_1946
21066623,fundamental_1946
21026147,fundamental_1946
21026146,fundamental_1946
21026144,fundamental_1946
21026143,fundamental_1946
21026836,fundamental_1946
21026835,fundamental_1946
21026831,fundamental_1946
21026829,fundamental_1946
21026827,fundamental_1946
21026823,fundamental_1946
21026822,fundamental_1946
21026821,fundamental_1946
21026819,fundamental_1946
21026817,fundamental_1946
21024302,fundamental_1946
21024301,fundamental_1946
21024300,fundamental_1946
21024298,fundamental_1946
21024297,fundamental_1946
21024296,fundamental_1946
21024294,fundamental_1946
21022963,fundamental_1946
21022962,fundamental_1946
21022961,fundamental_1946
21022960,fundamental_1946
21022959,fundamental_1946
21022958,fundamental_1946
21022957,fundamental_1946
21019892,fundamental_1946
21019891,fundamental_1946
21019888,fundamental_1946
21019887,fundamental_1946
21019885,fundamental_1946
21019884,fundamental_1946
21019883,fundamental_1946
21019882,fundamental_1946
21019881,fundamental_1946
21019879,fundamental_1946
21019878,fundamental_1946
21019877,fundamental_1946
21019876,fundamental_1946
21065170,fundamental_1946
21065169,fundamental_1946
20998451,fundamental_1946
20998449,fundamental_1946
20998448,fundamental_1946
20998446,fundamental_1946
21065155,fundamental_1946
20997617,fundamental_1946
20997616,fundamental_1946
20997615,fundamental_1946
20997614,fundamental_1946
20997613,fundamental_1946
20997612,fundamental_1946
20997610,fundamental_1946
20997609,fundamental_1946
21065119,fundamental_1946
20996359,fundamental_1946
20996358,fundamental_1946
20996357,fundamental_1946
20996355,fundamental_1946
20996354,fundamental_1946
20996353,fundamental_1946
21065088,fundamental_1946
20995520,fundamental_1946
20995519,fundamental_1946
20995518,fundamental_1946
20995517,fundamental_1946
20995516,fundamental_1946
20995515,fundamental_1946
20995514,fundamental_1946
20995513,fundamental_1946
20995510,fundamental_1946
20995509,fundamental_1946
20995507,fundamental_1946
20995506,fundamental_1946
20994566,fundamental_1946
20994558,fundamental_1946
20994557,fundamental_1946
20994025,fundamental_1946
20994024,fundamental_1946
21065021,fundamental_1946
20994017,fundamental_1946
20994015,fundamental_1946
20994013,fundamental_1946
20994012,fundamental_1946
20994011,fundamental_1946
20991776,fundamental_1946
20991774,fundamental_1946
20991773,fundamental_1946
20991772,fundamental_1946
20991770,fundamental_1946
20991765,fundamental_1946
20991764,fundamental_1946
20990274,fundamental_1946
20990272,fundamental_1946
20990271,fundamental_1946
20990270,fundamental_1946
20990267,fundamental_1946
20990266,fundamental_1946
21064784,fundamental_1946
20987712,fundamental_1946
20987710,fundamental_1946
20987709,fundamental_1946
20987708,fundamental_1946
20987707,fundamental_1946
20987706,fundamental_1946
20987705,fundamental_1946
17788649,fundamental_1946
17788648,fundamental_1946
17749274,fundamental_1946
17749272,fundamental_1946
17749269,fundamental_1946
17749268,fundamental_1946
17749267,fundamental_1946
17749265,fundamental_1946
17749264,fundamental_1946
17749260,fundamental_1946
17772331,fundamental_1946
17772330,fundamental_1946
17772329,fundamental_1946
17772327,fundamental_1946
17772326,fundamental_1946
17772325,fundamental_1946
17772323,fundamental_1946
17840545,fundamental_1946
17840543,fundamental_1946
17743268,fundamental_1946
17743265,fundamental_1946
17743264,fundamental_1946
17743263,fundamental_1946
17743262,fundamental_1946
17743258,fundamental_1946
21065343,fundamental_1946
21002767,fundamental_1946
21002765,fundamental_1946
17734656,fundamental_1946
17734652,fundamental_1946
17734649,fundamental_1946
21002759,fundamental_1946
21002757,fundamental_1946
21002755,fundamental_1946
21001959,fundamental_1946
21001958,fundamental_1946
21001954,fundamental_1946
17819691,fundamental_1946
21065238,fundamental_1946
21065236,fundamental_1946
21000554,fundamental_1946
21000551,fundamental_1946
21000550,fundamental_1946
21000549,fundamental_1946
21000548,fundamental_1946
21000547,fundamental_1946
21000545,fundamental_1946
21000544,fundamental_1946
21000543,fundamental_1946
21000540,fundamental_1946
21000539,fundamental_1946
21000535,fundamental_1946
21000533,fundamental_1946
21000532,fundamental_1946
21065211,fundamental_1946
20999829,fundamental_1946
20999828,fundamental_1946
20999827,fundamental_1946
20999825,fundamental_1946
20999824,fundamental_1946
20999823,fundamental_1946
20999822,fundamental_1946
20999820,fundamental_1946
20998467,fundamental_1946
20998465,fundamental_1946
20998464,fundamental_1946
20998463,fundamental_1946
21065171,fundamental_1946
20998461,fundamental_1946
20998460,fundamental_1946
20998459,fundamental_1946
20998457,fundamental_1946
20998456,fundamental_1946
20998455,fundamental_1946
20998454,fundamental_1946
20998452,fundamental_1946
17836267,fundamental_1947
17836266,fundamental_1947
17836265,fundamental_1947
17836264,fundamental_1947
17836263,fundamental_1947
17836260,fundamental_1947
17740566,fundamental_1947
17740564,fundamental_1947
17740561,fundamental_1947
17740560,fundamental_1947
17740559,fundamental_1947
17835155,fundamental_1947
17835154,fundamental_1947
17835153,fundamental_1947
17835151,fundamental_1947
17835150,fundamental_1947
17835149,fundamental_1947
17835148,fundamental_1947
17835147,fundamental_1947
17835146,fundamental_1947
17835144,fundamental_1947
17769494,fundamental_1947
17769492,fundamental_1947
17769491,fundamental_1947
17769490,fundamental_1947
17769489,fundamental_1947
17769487,fundamental_1947
17769486,fundamental_1947
17769485,fundamental_1947
17769483,fundamental_1947
17769478,fundamental_1947
17775936,fundamental_1947
17775935,fundamental_1947
17775932,fundamental_1947
17775931,fundamental_1947
17775929,fundamental_1947
17775928,fundamental_1947
17775927,fundamental_1947
17737884,fundamental_1947
17737880,fundamental_1947
17737879,fundamental_1947
17737878,fundamental_1947
17737876,fundamental_1947
20341575,fundamental_1947
20341574,fundamental_1947
17742204,fundamental_1947
17742203,fundamental_1947
17742202,fundamental_1947
17742200,fundamental_1947
17742198,fundamental_1947
17742196,fundamental_1947
17742190,fundamental_1947
17742187,fundamental_1947
17742185,fundamental_1947
17813647,fundamental_1947
17813646,fundamental_1947
17813645,fundamental_1947
17813644,fundamental_1947
17813642,fundamental_1947
17813641,fundamental_1947
17813639,fundamental_1947
17813638,fundamental_1947
17813637,fundamental_1947
17813636,fundamental_1947
17813635,fundamental_1947
17809769,fundamental_1947
17809767,fundamental_1947
17809764,fundamental_1947
17809762,fundamental_1947
17809758,fundamental_1947
17843387,fundamental_1947
17843386,fundamental_1947
17843385,fundamental_1947
17843384,fundamental_1947
17843378,fundamental_1947
17797197,fundamental_1947
17797196,fundamental_1947
17797195,fundamental_1947
17797194,fundamental_1947
17797191,fundamental_1947
17797190,fundamental_1947
17797189,fundamental_1947
17797182,fundamental_1947
17797181,fundamental_1947
17796166,fundamental_1947
17796164,fundamental_1947
17796163,fundamental_1947
17796162,fundamental_1947
17796161,fundamental_1947
17796160,fundamental_1947
17809953,fundamental_1947
17809952,fundamental_1947
17809951,fundamental_1947
17809950,fundamental_1947
17809949,fundamental_1947
20342456,fundamental_1947
20342454,fundamental_1947
20342453,fundamental_1947
20342452,fundamental_1947
20342451,fundamental_1947
20342450,fundamental_1947
20342448,fundamental_1947
20342445,fundamental_1947
17820076,fundamental_1947
17820075,fundamental_1947
17820073,fundamental_1947
17820072,fundamental_1947
17820071,fundamental_1947
17820070,fundamental_1947
17820066,fundamental_1947
17788567,fundamental_1947
17788566,fundamental_1947
17788563,fundamental_1947
17788562,fundamental_1947
17788557,fundamental_1947
17813145,fundamental_1947
17813144,fundamental_1947
17813141,fundamental_1947
17813137,fundamental_1947
17746230,fundamental_1947
17746229,fundamental_1947
17746227,fundamental_1947
17746225,fundamental_1947
17746224,fundamental_1947
17752781,fundamental_1947
17752779,fundamental_1947
17752778,fundamental_1947
17752777,fundamental_1947
17752776,fundamental_1947
17752775,fundamental_1947
17752773,fundamental_1947
17752768,fundamental_1947
17794100,fundamental_1947
17794099,fundamental_1947
17794098,fundamental_1947
17794097,fundamental_1947
17794094,fundamental_1947
17794093,fundamental_1947
17794091,fundamental_1947
17794090,fundamental_1947
17794089,fundamental_1947
17796179,fundamental_1947
17796173,fundamental_1947
17796169,fundamental_1947
17731132,fundamental_1947
17731131,fundamental_1947
17731130,fundamental_1947
17731129,fundamental_1947
17731126,fundamental_1947
17731122,fundamental_1947
17752492,fundamental_1947
17752491,fundamental_1947
17752488,fundamental_1947
17752487,fundamental_1947
17752486,fundamental_1947
17752485,fundamental_1947
17771934,fundamental_1947
17771929,fundamental_1947
17771928,fundamental_1947
17771926,fundamental_1947
17841589,fundamental_1947
17841586,fundamental_1947
17841585,fundamental_1947
17841580,fundamental_1947
17841578,fundamental_1947
17800886,fundamental_1947
17800885,fundamental_1947
17800884,fundamental_1947
17800881,fundamental_1947
17800879,fundamental_1947
17800876,fundamental_1947
17800874,fundamental_1947
20344693,fundamental_1947
17840751,fundamental_1947
17840749,fundamental_1947
17840747,fundamental_1947
17840746,fundamental_1947
17840745,fundamental_1947
17840744,fundamental_1947
17840742,fundamental_1947
17840740,fundamental_1947
17840739,fundamental_1947
17777083,fundamental_1947
17777082,fundamental_1947
17777080,fundamental_1947
17777079,fundamental_1947
17777078,fundamental_1947
