pmid,query_name
4376055,diseases_1974
4472327,diseases_1974
4370551,diseases_1974
4370107,diseases_1974
4414966,diseases_1974
4370432,diseases_1974
4370294,diseases_1974
4369847,diseases_1974
4472165,diseases_1974
4370517,diseases_1974
4370059,diseases_1974
4369902,diseases_1974
4416368,diseases_1974
4442124,diseases_1974
4373174,diseases_1974
4373172,diseases_1974
4214616,diseases_1974
164289,diseases_1975
1170023,diseases_1975
806346,diseases_1975
164291,diseases_1975
170002,diseases_1975
1097123,diseases_1975
807334,diseases_1975
167984,diseases_1975
167983,diseases_1975
167981,diseases_1975
125153,diseases_1975
1052770,diseases_1975
1052769,diseases_1975
1182804,diseases_1975
171081,diseases_1975
947550,diseases_1976
947549,diseases_1976
947544,diseases_1976
133760,diseases_1976
181139,diseases_1976
782721,diseases_1976
987856,diseases_1976
975241,diseases_1976
975240,diseases_1976
61820,diseases_1976
954096,diseases_1976
821618,diseases_1976
182381,diseases_1976
189941,diseases_1976
64304,diseases_1976
184963,diseases_1976
184961,diseases_1976
184960,diseases_1976
61821,diseases_1976
191197,diseases_1977
837450,diseases_1977
189938,diseases_1977
189937,diseases_1977
837442,diseases_1977
837440,diseases_1977
189934,diseases_1977
65230,diseases_1977
70276,diseases_1977
406048,diseases_1977
326414,diseases_1977
326413,diseases_1977
194709,diseases_1977
194702,diseases_1977
862025,diseases_1977
902316,diseases_1977
332382,diseases_1977
408015,diseases_1977
196771,diseases_1977
196769,diseases_1977
196768,diseases_1977
196767,diseases_1977
196766,diseases_1977
196765,diseases_1977
196764,diseases_1977
195741,diseases_1977
202395,diseases_1977
74286,diseases_1977
922888,diseases_1977
562717,diseases_1977
411575,diseases_1977
200369,diseases_1977
200367,diseases_1977
72612,diseases_1977
912746,diseases_1977
199356,diseases_1977
199352,diseases_1977
207435,diseases_1978
207433,diseases_1978
77735,diseases_1978
627038,diseases_1978
627036,diseases_1978
203405,diseases_1978
203404,diseases_1978
340048,diseases_1978
202400,diseases_1978
202397,diseases_1978
74288,diseases_1978
667942,diseases_1978
667941,diseases_1978
208777,diseases_1978
657271,diseases_1978
657270,diseases_1978
350415,diseases_1978
207439,diseases_1978
207438,diseases_1978
699048,diseases_1978
699047,diseases_1978
699043,diseases_1978
699038,diseases_1978
359167,diseases_1978
279411,diseases_1978
212198,diseases_1978
567532,diseases_1978
210958,diseases_1978
688383,diseases_1978
210955,diseases_1978
210954,diseases_1978
99243,diseases_1978
728999,diseases_1978
365355,diseases_1978
282012,diseases_1978
215325,diseases_1978
215323,diseases_1978
215322,diseases_1978
215321,diseases_1978
83198,diseases_1978
569552,diseases_1978
215318,diseases_1978
83197,diseases_1978
31979,diseases_1978
719754,diseases_1978
569022,diseases_1978
281261,diseases_1978
214242,diseases_1978
214241,diseases_1978
214240,diseases_1978
214239,diseases_1978
214238,diseases_1978
214237,diseases_1978
455444,diseases_1979
287567,diseases_1979
222466,diseases_1979
222465,diseases_1979
222463,diseases_1979
287566,diseases_1979
222460,diseases_1979
222456,diseases_1979
222455,diseases_1979
222454,diseases_1979
88263,diseases_1979
36985,diseases_1979
570461,diseases_1979
369704,diseases_1979
217543,diseases_1979
217542,diseases_1979
84715,diseases_1979
455469,diseases_1979
110464,diseases_1979
110463,diseases_1979
88267,diseases_1979
556552,diseases_1979
455460,diseases_1979
378404,diseases_1979
222476,diseases_1979
222475,diseases_1979
222474,diseases_1979
222473,diseases_1979
455456,diseases_1979
455447,diseases_1979
455446,diseases_1979
378399,diseases_1979
378398,diseases_1979
378396,diseases_1979
222472,diseases_1979
222471,diseases_1979
222470,diseases_1979
222469,diseases_1979
88265,diseases_1979
509522,diseases_1979
