pmid,query_name
4616752,fundamental_1974
4477047,fundamental_1974
4455378,fundamental_1974
4376054,fundamental_1974
4376053,fundamental_1974
4607002,fundamental_1974
4606676,fundamental_1974
4472208,fundamental_1974
4411655,fundamental_1974
4370211,fundamental_1974
4369914,fundamental_1974
4138028,fundamental_1974
4607106,fundamental_1974
4472286,fundamental_1974
4471968,fundamental_1974
4415761,fundamental_1974
4370553,fundamental_1974
4370425,fundamental_1974
4370249,fundamental_1974
4369966,fundamental_1974
4369780,fundamental_1974
4213457,fundamental_1974
4528581,fundamental_1974
4472240,fundamental_1974
4472137,fundamental_1974
4413763,fundamental_1974
4370527,fundamental_1974
4370191,fundamental_1974
4369984,fundamental_1974
4369950,fundamental_1974
4369717,fundamental_1974
4607242,fundamental_1974
4547236,fundamental_1974
4472030,fundamental_1974
4415110,fundamental_1974
4370441,fundamental_1974
4369770,fundamental_1974
4137519,fundamental_1974
4474922,fundamental_1974
4374316,fundamental_1974
4374315,fundamental_1974
4374314,fundamental_1974
4216403,fundamental_1974
4140770,fundamental_1974
4140769,fundamental_1974
4611645,fundamental_1974
4611644,fundamental_1974
4611643,fundamental_1974
4474059,fundamental_1974
4474058,fundamental_1974
4434476,fundamental_1974
4434475,fundamental_1974
4434474,fundamental_1974
4434473,fundamental_1974
4434472,fundamental_1974
4434471,fundamental_1974
4434470,fundamental_1974
4373173,fundamental_1974
4373171,fundamental_1974
4373170,fundamental_1974
4609619,fundamental_1974
4609618,fundamental_1974
4473273,fundamental_1974
4473272,fundamental_1974
4473271,fundamental_1974
4473270,fundamental_1974
4426091,fundamental_1974
4426090,fundamental_1974
4371984,fundamental_1974
4214619,fundamental_1974
4214618,fundamental_1974
4214617,fundamental_1974
1122557,fundamental_1975
1122556,fundamental_1975
1122555,fundamental_1975
1122554,fundamental_1975
1122553,fundamental_1975
1091361,fundamental_1975
1091360,fundamental_1975
804354,fundamental_1975
235371,fundamental_1975
47271,fundamental_1975
1168545,fundamental_1975
1168544,fundamental_1975
1125979,fundamental_1975
