pmid,query_name
18380066,fundamental_2007
18371348,fundamental_2007
18371340,fundamental_2007
18371339,fundamental_2007
18371338,fundamental_2007
18371337,fundamental_2007
18371336,fundamental_2007
18371335,fundamental_2007
18371333,fundamental_2007
18371332,fundamental_2007
18371331,fundamental_2007
18371330,fundamental_2007
18371328,fundamental_2007
18371326,fundamental_2007
18371325,fundamental_2007
18383627,fundamental_2007
18371368,fundamental_2007
18371367,fundamental_2007
18371366,fundamental_2007
18371364,fundamental_2007
18371363,fundamental_2007
18371362,fundamental_2007
18371361,fundamental_2007
18371360,fundamental_2007
18371357,fundamental_2007
18371356,fundamental_2007
18371355,fundamental_2007
18371354,fundamental_2007
18371352,fundamental_2007
18371351,fundamental_2007
18371350,fundamental_2007
18371348,fundamental_2007
18371346,fundamental_2007
18371345,fundamental_2007
18371344,fundamental_2007
18371343,fundamental_2007
18371342,fundamental_2007
18371341,fundamental_2007
18938741,fundamental_2007
18371409,fundamental_2007
18371408,fundamental_2007
18371407,fundamental_2007
18371405,fundamental_2007
18371403,fundamental_2007
18371402,fundamental_2007
18371401,fundamental_2007
18371400,fundamental_2007
18371399,fundamental_2007
18371396,fundamental_2007
18371395,fundamental_2007
18371392,fundamental_2007
18371391,fundamental_2007
18371390,fundamental_2007
18371382,fundamental_2007
18371381,fundamental_2007
18371380,fundamental_2007
18371379,fundamental_2007
18371378,fundamental_2007
18371376,fundamental_2007
18371373,fundamental_2007
18371372,fundamental_2007
18371371,fundamental_2007
18371369,fundamental_2007
18345353,fundamental_2007
18213359,fundamental_2007
18159219,fundamental_2007
18383624,fundamental_2008
18371452,fundamental_2008
18371451,fundamental_2008
18371450,fundamental_2008
18371449,fundamental_2008
18371448,fundamental_2008
18371447,fundamental_2008
18371446,fundamental_2008
18371445,fundamental_2008
18371444,fundamental_2008
18371443,fundamental_2008
18371442,fundamental_2008
18371441,fundamental_2008
18371439,fundamental_2008
18371438,fundamental_2008
18371437,fundamental_2008
18371436,fundamental_2008
18371435,fundamental_2008
18371433,fundamental_2008
18371432,fundamental_2008
18371429,fundamental_2008
18371428,fundamental_2008
18371427,fundamental_2008
18371426,fundamental_2008
18371425,fundamental_2008
18371424,fundamental_2008
18371423,fundamental_2008
18371422,fundamental_2008
18371421,fundamental_2008
18371420,fundamental_2008
18371418,fundamental_2008
18371417,fundamental_2008
18522853,fundamental_2008
18522852,fundamental_2008
18522851,fundamental_2008
18522849,fundamental_2008
18522848,fundamental_2008
18522843,fundamental_2008
18522841,fundamental_2008
18522840,fundamental_2008
18522839,fundamental_2008
18462699,fundamental_2008
18462698,fundamental_2008
18462697,fundamental_2008
18462696,fundamental_2008
18462695,fundamental_2008
18462694,fundamental_2008
18462693,fundamental_2008
18462692,fundamental_2008
18462690,fundamental_2008
18462689,fundamental_2008
18462687,fundamental_2008
18397758,fundamental_2008
18397757,fundamental_2008
18397756,fundamental_2008
18397755,fundamental_2008
18397754,fundamental_2008
18397751,fundamental_2008
18397750,fundamental_2008
18804426,fundamental_2008
18786421,fundamental_2008
18786420,fundamental_2008
18786419,fundamental_2008
18786418,fundamental_2008
18786417,fundamental_2008
18786416,fundamental_2008
18786415,fundamental_2008
18786414,fundamental_2008
18786413,fundamental_2008
18786410,fundamental_2008
18786409,fundamental_2008
18786407,fundamental_2008
18786406,fundamental_2008
18682243,fundamental_2008
18682241,fundamental_2008
18682239,fundamental_2008
18682237,fundamental_2008
18682233,fundamental_2008
18682232,fundamental_2008
18682231,fundamental_2008
18682230,fundamental_2008
18593563,fundamental_2008
18593562,fundamental_2008
18593561,fundamental_2008
18593560,fundamental_2008
18593559,fundamental_2008
18593558,fundamental_2008
18593557,fundamental_2008
18593554,fundamental_2008
18593553,fundamental_2008
18593552,fundamental_2008
18593551,fundamental_2008
18593550,fundamental_2008
18593549,fundamental_2008
19097957,fundamental_2008
19041783,fundamental_2008
19041779,fundamental_2008
19041778,fundamental_2008
19041776,fundamental_2008
19041773,fundamental_2008
19041772,fundamental_2008
19041771,fundamental_2008
19041770,fundamental_2008
18983970,fundamental_2008
18983969,fundamental_2008
18983968,fundamental_2008
18983967,fundamental_2008
18983966,fundamental_2008
18983965,fundamental_2008
18983964,fundamental_2008
18983963,fundamental_2008
18983961,fundamental_2008
18983960,fundamental_2008
18983959,fundamental_2008
18983958,fundamental_2008
18983957,fundamental_2008
