pmid,query_name
27085860,diseases_2012
26254176,diseases_2012
26254175,diseases_2012
26154756,diseases_2012
26002429,diseases_2012
25839773,diseases_2012
25839772,diseases_2012
25777978,diseases_2012
25777977,diseases_2012
25765822,diseases_2012
25678183,diseases_2012
25678182,diseases_2012
25678181,diseases_2012
25678180,diseases_2012
25678179,diseases_2012
25678178,diseases_2012
25678177,diseases_2012
25678176,diseases_2012
25651600,diseases_2012
25640885,diseases_2012
25618588,diseases_2012
25618587,diseases_2012
25554668,diseases_2012
25554667,diseases_2012
25548090,diseases_2012
25548087,diseases_2012
25548086,diseases_2012
25530067,diseases_2012
25530066,diseases_2012
25474826,diseases_2012
25443354,diseases_2012
25443353,diseases_2012
25443352,diseases_2012
25350600,diseases_2012
25300439,diseases_2012
25300438,diseases_2012
25240304,diseases_2012
25211210,diseases_2012
25208947,diseases_2012
25103079,diseases_2012
25103078,diseases_2012
25103077,diseases_2012
25103076,diseases_2012
25059414,diseases_2012
25053219,diseases_2012
25053133,diseases_2012
25041802,diseases_2012
25041800,diseases_2012
25037762,diseases_2012
25037760,diseases_2012
25037758,diseases_2012
25037757,diseases_2012
24970837,diseases_2012
24967447,diseases_2012
24967446,diseases_2012
24961190,diseases_2012
24961188,diseases_2012
24961186,diseases_2012
24961185,diseases_2012
24961182,diseases_2012
24961181,diseases_2012
24882032,diseases_2012
24882030,diseases_2012
24882029,diseases_2012
24882028,diseases_2012
24882025,diseases_2012
24882024,diseases_2012
24820635,diseases_2012
24820634,diseases_2012
24820632,diseases_2012
24820631,diseases_2012
24820629,diseases_2012
24795125,diseases_2012
24781969,diseases_2012
24781967,diseases_2012
24781966,diseases_2012
24776338,diseases_2012
24776336,diseases_2012
24776210,diseases_2012
24776209,diseases_2012
24775818,diseases_2012
24775817,diseases_2012
24775617,diseases_2012
24775616,diseases_2012
24775615,diseases_2012
24775614,diseases_2012
24775452,diseases_2012
24775451,diseases_2012
24775450,diseases_2012
24774268,diseases_2012
24774267,diseases_2012
24774266,diseases_2012
24774114,diseases_2012
24774113,diseases_2012
24774112,diseases_2012
24774000,diseases_2012
24773999,diseases_2012
24773998,diseases_2012
24773865,diseases_2012
24773864,diseases_2012
24773863,diseases_2012
24773683,diseases_2012
24773682,diseases_2012
24773681,diseases_2012
24770946,diseases_2012
24770945,diseases_2012
24754750,diseases_2012
24720432,diseases_2012
24717736,diseases_2012
24716869,diseases_2012
24716868,diseases_2012
24716867,diseases_2012
24694506,diseases_2012
24694505,diseases_2012
24694504,diseases_2012
24694503,diseases_2012
24694502,diseases_2012
24694501,diseases_2012
24694500,diseases_2012
24694499,diseases_2012
24694498,diseases_2012
24694497,diseases_2012
24694496,diseases_2012
24694495,diseases_2012
24694494,diseases_2012
24694493,diseases_2012
24694492,diseases_2012
24694491,diseases_2012
24694490,diseases_2012
24694489,diseases_2012
24694488,diseases_2012
24694487,diseases_2012
24694486,diseases_2012
24694485,diseases_2012
24694484,diseases_2012
24694483,diseases_2012
24694482,diseases_2012
24694481,diseases_2012
24694480,diseases_2012
24694479,diseases_2012
24694478,diseases_2012
24694477,diseases_2012
24694476,diseases_2012
24694474,diseases_2012
24694473,diseases_2012
24694472,diseases_2012
24694471,diseases_2012
24685302,diseases_2012
24685301,diseases_2012
24685299,diseases_2012
24685298,diseases_2012
24685297,diseases_2012
24656146,diseases_2012
24644754,diseases_2012
24644752,diseases_2012
24644749,diseases_2012
24644748,diseases_2012
24644335,diseases_2012
24644334,diseases_2012
24644332,diseases_2012
24644330,diseases_2012
24630037,diseases_2012
24630035,diseases_2012
24630033,diseases_2012
24630032,diseases_2012
24629743,diseases_2012
24629742,diseases_2012
24602442,diseases_2012
24602441,diseases_2012
24602440,diseases_2012
24602439,diseases_2012
24602437,diseases_2012
24602436,diseases_2012
24602434,diseases_2012
24602433,diseases_2012
24602432,diseases_2012
24602431,diseases_2012
24602429,diseases_2012
24602428,diseases_2012
24602427,diseases_2012
24602426,diseases_2012
24602425,diseases_2012
24602424,diseases_2012
24602423,diseases_2012
24602422,diseases_2012
24602421,diseases_2012
24602420,diseases_2012
24602419,diseases_2012
24599816,diseases_2012
24599815,diseases_2012
24599814,diseases_2012
24599813,diseases_2012
24599812,diseases_2012
24599811,diseases_2012
24599810,diseases_2012
24576115,diseases_2012
24565497,diseases_2012
24565453,diseases_2012
24533567,diseases_2012
24533500,diseases_2012
24533496,diseases_2012
24533490,diseases_2012
24530248,diseases_2012
24530247,diseases_2012
24530243,diseases_2012
24530241,diseases_2012
24497397,diseases_2012
24484950,diseases_2012
24484949,diseases_2012
24468304,diseases_2012
24468302,diseases_2012
24468301,diseases_2012
24460602,diseases_2012
24460601,diseases_2012
24460600,diseases_2012
24460599,diseases_2012
24445012,diseases_2012
24445008,diseases_2012
24445007,diseases_2012
24444251,diseases_2012
24444216,diseases_2012
24444208,diseases_2012
24444200,diseases_2012
24444198,diseases_2012
24436245,diseases_2012
24436244,diseases_2012
24429462,diseases_2012
24429461,diseases_2012
24429460,diseases_2012
24429459,diseases_2012
24429458,diseases_2012
24429457,diseases_2012
24429456,diseases_2012
24429455,diseases_2012
24429454,diseases_2012
24429453,diseases_2012
24429452,diseases_2012
24429451,diseases_2012
24429450,diseases_2012
24429449,diseases_2012
24429448,diseases_2012
24429447,diseases_2012
24429445,diseases_2012
24429444,diseases_2012
24429075,diseases_2012
24382371,diseases_2012
24382370,diseases_2012
24382369,diseases_2012
24382366,diseases_2012
24381044,diseases_2012
24381043,diseases_2012
24381042,diseases_2012
24381041,diseases_2012
24381040,diseases_2012
24381039,diseases_2012
24381038,diseases_2012
24381037,diseases_2012
24381036,diseases_2012
24373450,diseases_2012
24373443,diseases_2012
24373442,diseases_2012
24373441,diseases_2012
24364137,diseases_2012
24364136,diseases_2012
24364135,diseases_2012
24364132,diseases_2012
24350764,diseases_2012
24350763,diseases_2012
24343963,diseases_2012
24343938,diseases_2012
24343923,diseases_2012
24343921,diseases_2012
24343902,diseases_2012
24337643,diseases_2012
24337642,diseases_2012
24337641,diseases_2012
24337640,diseases_2012
24337639,diseases_2012
24337638,diseases_2012
24337637,diseases_2012
24337636,diseases_2012
24337635,diseases_2012
24337634,diseases_2012
24337337,diseases_2012
24337336,diseases_2012
24337334,diseases_2012
24337333,diseases_2012
24337332,diseases_2012
24337331,diseases_2012
24337329,diseases_2012
24336957,diseases_2012
24336956,diseases_2012
24336955,diseases_2012
24336954,diseases_2012
24336953,diseases_2012
24331110,diseases_2012
24323340,diseases_2012
24323339,diseases_2012
24323337,diseases_2012
24323303,diseases_2012
24323301,diseases_2012
24323277,diseases_2012
24323276,diseases_2012
24323275,diseases_2012
24323189,diseases_2012
24323188,diseases_2012
24323187,diseases_2012
24321807,diseases_2012
24321805,diseases_2012
24321790,diseases_2012
24321789,diseases_2012
24315281,diseases_2012
24315279,diseases_2012
24315277,diseases_2012
24315276,diseases_2012
24315275,diseases_2012
24315274,diseases_2012
24315272,diseases_2012
24315270,diseases_2012
24315264,diseases_2012
24315261,diseases_2012
24315260,diseases_2012
24315258,diseases_2012
24315083,diseases_2012
24315082,diseases_2012
24315081,diseases_2012
24315080,diseases_2012
24315079,diseases_2012
24315078,diseases_2012
24315077,diseases_2012
24313022,diseases_2012
24313018,diseases_2012
24279666,diseases_2012
24279660,diseases_2012
24278990,diseases_2012
24278989,diseases_2012
24278988,diseases_2012
24278987,diseases_2012
24269411,diseases_2012
24269409,diseases_2012
24269408,diseases_2012
24269407,diseases_2012
24269406,diseases_2012
24269405,diseases_2012
24269404,diseases_2012
24269403,diseases_2012
24269402,diseases_2012
24269401,diseases_2012
24269400,diseases_2012
24269399,diseases_2012
24269398,diseases_2012
24269397,diseases_2012
24269396,diseases_2012
24269395,diseases_2012
24269394,diseases_2012
24269393,diseases_2012
24269392,diseases_2012
24269391,diseases_2012
24269390,diseases_2012
24269389,diseases_2012
24269388,diseases_2012
23380437,diseases_2012
23380436,diseases_2012
23380434,diseases_2012
24262582,diseases_2012
24261195,diseases_2012
24261194,diseases_2012
24261193,diseases_2012
24261192,diseases_2012
24261191,diseases_2012
24261128,diseases_2012
24261127,diseases_2012
24261126,diseases_2012
24261124,diseases_2012
24261119,diseases_2012
24261114,diseases_2012
24260798,diseases_2012
24257260,diseases_2012
24257259,diseases_2012
24257258,diseases_2012
24252609,diseases_2012
24238291,diseases_2012
24238116,diseases_2012
24237730,diseases_2012
24236945,diseases_2012
24236944,diseases_2012
24236942,diseases_2012
24236938,diseases_2012
24236937,diseases_2012
24236929,diseases_2012
