pmid,query_name
2957263,diseases_1987
3609609,diseases_1987
3111928,diseases_1987
3609608,diseases_1987
3301497,diseases_1987
3678700,diseases_1987
2824268,diseases_1987
3350236,diseases_1988
3258258,diseases_1988
2965047,diseases_1988
3342967,diseases_1988
3275562,diseases_1988
3275560,diseases_1988
3371592,diseases_1988
2836253,diseases_1988
3360241,diseases_1988
3360239,diseases_1988
3282959,diseases_1988
2452112,diseases_1988
3280378,diseases_1988
3396809,diseases_1988
3384240,diseases_1988
3290026,diseases_1988
2838365,diseases_1988
3056766,diseases_1988
3056765,diseases_1988
3181653,diseases_1988
3053308,diseases_1988
2972579,diseases_1988
2846397,diseases_1988
2846395,diseases_1988
3169467,diseases_1988
2844618,diseases_1988
2844616,diseases_1988
2784116,diseases_1989
2644147,diseases_1989
2536629,diseases_1989
2910739,diseases_1989
2910738,diseases_1989
2783411,diseases_1989
2642869,diseases_1989
2562947,diseases_1989
2785942,diseases_1989
2721857,diseases_1989
2721856,diseases_1989
2565839,diseases_1989
2703107,diseases_1989
2649402,diseases_1989
2467835,diseases_1989
2467834,diseases_1989
2673897,diseases_1989
2787765,diseases_1989
2663582,diseases_1989
2568302,diseases_1989
2556313,diseases_1989
2556312,diseases_1989
2480260,diseases_1989
2553522,diseases_1989
2553521,diseases_1989
2792646,diseases_1989
2676678,diseases_1989
2529161,diseases_1989
2404820,diseases_1990
2404816,diseases_1990
2298342,diseases_1990
2153592,diseases_1990
2295371,diseases_1990
2153085,diseases_1990
2189775,diseases_1990
2140806,diseases_1990
2335274,diseases_1990
2185973,diseases_1990
2110538,diseases_1990
2156744,diseases_1990
2156743,diseases_1990
2394321,diseases_1990
2168325,diseases_1990
2199283,diseases_1990
2197156,diseases_1990
2197154,diseases_1990
2197153,diseases_1990
2197152,diseases_1990
2197151,diseases_1990
2165014,diseases_1990
2165012,diseases_1990
2165011,diseases_1990
2165010,diseases_1990
2165009,diseases_1990
1695593,diseases_1990
1695592,diseases_1990
2253850,diseases_1990
2253849,diseases_1990
2253847,diseases_1990
2253845,diseases_1990
2227215,diseases_1990
2172062,diseases_1990
2210155,diseases_1990
2210153,diseases_1990
2001792,diseases_1991
2001789,diseases_1991
2001787,diseases_1991
2001786,diseases_1991
1825816,diseases_1991
2004665,diseases_1991
2004664,diseases_1991
1991596,diseases_1991
1846832,diseases_1991
1846831,diseases_1991
1907252,diseases_1991
1860619,diseases_1991
1860616,diseases_1991
1673664,diseases_1991
2022312,diseases_1991
2010056,diseases_1991
2010055,diseases_1991
1868980,diseases_1991
1868978,diseases_1991
1714409,diseases_1991
2065894,diseases_1991
2065892,diseases_1991
2065891,diseases_1991
2065890,diseases_1991
2065889,diseases_1991
2065888,diseases_1991
2065887,diseases_1991
2065886,diseases_1991
2065885,diseases_1991
1712327,diseases_1991
1712326,diseases_1991
1676689,diseases_1991
1835945,diseases_1991
1743436,diseases_1991
1752365,diseases_1991
1752364,diseases_1991
1661246,diseases_1991
1661245,diseases_1991
1916106,diseases_1991
1740239,diseases_1992
1740235,diseases_1992
1740233,diseases_1992
1740232,diseases_1992
1371260,diseases_1992
1537464,diseases_1992
1537461,diseases_1992
1612296,diseases_1992
1612294,diseases_1992
1377140,diseases_1992
1592211,diseases_1992
1375569,diseases_1992
1317309,diseases_1992
1563598,diseases_1992
1521741,diseases_1992
1521740,diseases_1992
1521739,diseases_1992
1387859,diseases_1992
1386585,diseases_1992
1644264,diseases_1992
1644262,diseases_1992
