pmid,query_name
3127263,therapeutics_1988
2846397,therapeutics_1988
2649402,therapeutics_1989
2792646,therapeutics_1989
2295381,therapeutics_1990
2197152,therapeutics_1990
2210155,therapeutics_1990
1860616,therapeutics_1991
1537465,therapeutics_1992
1537464,therapeutics_1992
1537457,therapeutics_1992
1612296,therapeutics_1992
1644254,therapeutics_1992
8500688,therapeutics_1993
8097173,therapeutics_1993
7693535,therapeutics_1993
7958628,therapeutics_1994
9068609,therapeutics_1997
9271360,therapeutics_1997
9472988,therapeutics_1998
10094921,therapeutics_1999
10619143,therapeutics_1999
10973928,therapeutics_2000
11259379,therapeutics_2001
11387254,therapeutics_2001
11344122,therapeutics_2001
11344120,therapeutics_2001
11427514,therapeutics_2001
11641255,therapeutics_2001
11923220,therapeutics_2002
11923220,therapeutics_2002
12586732,therapeutics_2003
12554690,therapeutics_2003
12514107,therapeutics_2003
12738811,therapeutics_2003
12692087,therapeutics_2003
12692081,therapeutics_2003
12586732,therapeutics_2003
12958193,therapeutics_2003
12738811,therapeutics_2003
14688195,therapeutics_2003
14525938,therapeutics_2003
14734642,therapeutics_2004
14734641,therapeutics_2004
14734635,therapeutics_2004
14715698,therapeutics_2004
14688195,therapeutics_2004
15385436,therapeutics_2004
15319362,therapeutics_2004
15522911,therapeutics_2004
15498893,therapeutics_2004
15385436,therapeutics_2004
15319362,therapeutics_2004
15764649,therapeutics_2005
15738004,therapeutics_2005
15665035,therapeutics_2005
15498893,therapeutics_2005
15955841,therapeutics_2005
15791008,therapeutics_2005
15764649,therapeutics_2005
15738004,therapeutics_2005
15665035,therapeutics_2005
16150801,therapeutics_2005
16051686,therapeutics_2005
15955841,therapeutics_2005
16284304,therapeutics_2005
16260644,therapeutics_2005
16150801,therapeutics_2005
16455754,therapeutics_2006
16284304,therapeutics_2006
16641197,therapeutics_2006
16455754,therapeutics_2006
16873881,therapeutics_2006
17142793,therapeutics_2006
17116742,therapeutics_2006
17077311,therapeutics_2006
17065229,therapeutics_2006
17012251,therapeutics_2006
17356006,therapeutics_2007
17218538,therapeutics_2007
17116742,therapeutics_2007
17463227,therapeutics_2007
17413000,therapeutics_2007
17218538,therapeutics_2007
17644610,therapeutics_2007
17625071,therapeutics_2007
17592155,therapeutics_2007
17463227,therapeutics_2007
17413000,therapeutics_2007
17356006,therapeutics_2007
17928359,therapeutics_2007
17644610,therapeutics_2007
17625071,therapeutics_2007
18234972,therapeutics_2008
18184721,therapeutics_2008
17928359,therapeutics_2008
18234972,therapeutics_2008
18184721,therapeutics_2008
19056839,therapeutics_2008
19299480,therapeutics_2009
19279139,therapeutics_2009
19218499,therapeutics_2009
19124558,therapeutics_2009
19535683,therapeutics_2009
19218499,therapeutics_2009
19124558,therapeutics_2009
19056839,therapeutics_2009
19299480,therapeutics_2009
19279139,therapeutics_2009
20019239,therapeutics_2009
20008545,therapeutics_2009
19837866,therapeutics_2009
19535683,therapeutics_2009
20335225,therapeutics_2010
20219983,therapeutics_2010
20179144,therapeutics_2010
20097877,therapeutics_2010
20081094,therapeutics_2010
19837866,therapeutics_2010
20430797,therapeutics_2010
20385622,therapeutics_2010
20385618,therapeutics_2010
20097877,therapeutics_2010
20081094,therapeutics_2010
20019239,therapeutics_2010
20008545,therapeutics_2010
20643906,therapeutics_2010
20385622,therapeutics_2010
20385618,therapeutics_2010
20335225,therapeutics_2010
20219983,therapeutics_2010
20179144,therapeutics_2010
21048043,therapeutics_2010
20643906,therapeutics_2010
21350116,therapeutics_2011
21048043,therapeutics_2011
21350116,therapeutics_2011
22459147,therapeutics_2012
22345405,therapeutics_2012
22253475,therapeutics_2012
22223750,therapeutics_2012
22539639,therapeutics_2012
22345405,therapeutics_2012
22253475,therapeutics_2012
22223750,therapeutics_2012
22964302,therapeutics_2012
22539639,therapeutics_2012
22459147,therapeutics_2012
23195035,therapeutics_2012
23193174,therapeutics_2012
23047895,therapeutics_2012
22964302,therapeutics_2012
23195035,therapeutics_2013
23193174,therapeutics_2013
23047895,therapeutics_2013
23965841,therapeutics_2013
23964077,therapeutics_2013
23921377,therapeutics_2013
24249635,therapeutics_2013
23965841,therapeutics_2013
23964077,therapeutics_2013
23921377,therapeutics_2013
24671708,therapeutics_2014
24599970,therapeutics_2014
24571921,therapeutics_2014
24497581,therapeutics_2014
24481968,therapeutics_2014
24443373,therapeutics_2014
24443372,therapeutics_2014
24249635,therapeutics_2014
24760752,therapeutics_2014
24599970,therapeutics_2014
24571921,therapeutics_2014
24497581,therapeutics_2014
24481968,therapeutics_2014
24443373,therapeutics_2014
24443372,therapeutics_2014
25122557,therapeutics_2014
24760752,therapeutics_2014
24671708,therapeutics_2014
25491308,therapeutics_2014
25466892,therapeutics_2014
25122557,therapeutics_2014
25782989,therapeutics_2015
25491308,therapeutics_2015
25466892,therapeutics_2015
25953848,therapeutics_2015
26195590,therapeutics_2015
25953848,therapeutics_2015
25782989,therapeutics_2015
26546130,therapeutics_2015
26443826,therapeutics_2015
26195590,therapeutics_2015
26887440,therapeutics_2016
26849960,therapeutics_2016
26546130,therapeutics_2016
26443826,therapeutics_2016
26887440,therapeutics_2016
26849960,therapeutics_2016
27895105,therapeutics_2016
28082354,therapeutics_2017
27895105,therapeutics_2017
28404742,therapeutics_2017
28360375,therapeutics_2017
28082354,therapeutics_2017
28899879,therapeutics_2017
28855275,therapeutics_2017
28404742,therapeutics_2017
28855275,therapeutics_2017
29455575,therapeutics_2018
29401602,therapeutics_2018
29217665,therapeutics_2018
29196499,therapeutics_2018
29146734,therapeutics_2018
29133340,therapeutics_2018
28899879,therapeutics_2018
29750574,therapeutics_2018
29401602,therapeutics_2018
29217665,therapeutics_2018
29196499,therapeutics_2018
30230922,therapeutics_2018
30188756,therapeutics_2018
29455575,therapeutics_2018
30566374,therapeutics_2018
30514107,therapeutics_2018
30452879,therapeutics_2018
30277821,therapeutics_2018
29750574,therapeutics_2018
30917009,therapeutics_2019
30870010,therapeutics_2019
30860868,therapeutics_2019
30566374,therapeutics_2019
30514107,therapeutics_2019
30452879,therapeutics_2019
30277821,therapeutics_2019
30230922,therapeutics_2019
30188756,therapeutics_2019
31238007,therapeutics_2019
31136203,therapeutics_2019
30870010,therapeutics_2019
30860868,therapeutics_2019
31462106,therapeutics_2019
31450979,therapeutics_2019
31291788,therapeutics_2019
31238007,therapeutics_2019
31136203,therapeutics_2019
30917009,therapeutics_2019
31914682,therapeutics_2019
31914675,therapeutics_2019
31914668,therapeutics_2019
31908035,therapeutics_2019
31908001,therapeutics_2019
31462106,therapeutics_2019
31450979,therapeutics_2019
31291788,therapeutics_2019
32134529,therapeutics_2020
32043634,therapeutics_2020
32027421,therapeutics_2020
31914682,therapeutics_2020
31914675,therapeutics_2020
31914668,therapeutics_2020
31908035,therapeutics_2020
31908001,therapeutics_2020
32564472,therapeutics_2020
32519766,therapeutics_2020
32501606,therapeutics_2020
32475023,therapeutics_2020
32445534,therapeutics_2020
32421247,therapeutics_2020
32337805,therapeutics_2020
32333610,therapeutics_2020
32293073,therapeutics_2020
32134529,therapeutics_2020
32043634,therapeutics_2020
33411401,therapeutics_2020
32985731,therapeutics_2020
32918763,therapeutics_2020
32812255,therapeutics_2020
32780893,therapeutics_2020
32738178,therapeutics_2020
32683743,therapeutics_2020
32652768,therapeutics_2020
32638415,therapeutics_2020
32614469,therapeutics_2020
32564472,therapeutics_2020
32519766,therapeutics_2020
32501606,therapeutics_2020
32475023,therapeutics_2020
32445534,therapeutics_2020
32421247,therapeutics_2020
33230951,therapeutics_2020
33200449,therapeutics_2020
33155736,therapeutics_2020
32985731,therapeutics_2020
32918763,therapeutics_2020
32812255,therapeutics_2020
32780893,therapeutics_2020
33595155,therapeutics_2021
33566373,therapeutics_2021
33543540,therapeutics_2021
33495994,therapeutics_2021
33230951,therapeutics_2021
33200449,therapeutics_2021
33155736,therapeutics_2021
34004056,therapeutics_2021
33999448,therapeutics_2021
33913198,therapeutics_2021
33891350,therapeutics_2021
33855766,therapeutics_2021
33788972,therapeutics_2021
33788304,therapeutics_2021
33774872,therapeutics_2021
34436790,therapeutics_2021
34423880,therapeutics_2021
34416029,therapeutics_2021
34405464,therapeutics_2021
34320242,therapeutics_2021
34169576,therapeutics_2021
34644426,therapeutics_2021
34478585,therapeutics_2021
35192728,therapeutics_2022
35044707,therapeutics_2022
34972243,therapeutics_2022
34958158,therapeutics_2022
34939692,therapeutics_2022
35971745,therapeutics_2022
36374263,therapeutics_2022
36786723,therapeutics_2023
36468768,therapeutics_2023
37249913,therapeutics_2023
37994729,therapeutics_2023
37855727,therapeutics_2023
