pmid,query_name
17636580,fundamental_1996
9159187,fundamental_1996
10172749,fundamental_1996
10163173,fundamental_1996
10163060,fundamental_1996
10161473,fundamental_1996
10178395,fundamental_1996
10163352,fundamental_1996
10163351,fundamental_1996
10163349,fundamental_1996
10160395,fundamental_1996
10159490,fundamental_1996
9244192,fundamental_1996
9244191,fundamental_1996
9244190,fundamental_1996
9244189,fundamental_1996
9244188,fundamental_1996
9244187,fundamental_1996
9244186,fundamental_1996
9244185,fundamental_1996
9244184,fundamental_1996
9244183,fundamental_1996
9244182,fundamental_1996
9244181,fundamental_1996
9244180,fundamental_1996
9244179,fundamental_1996
9244178,fundamental_1996
9244177,fundamental_1996
9244176,fundamental_1996
9244174,fundamental_1996
9244173,fundamental_1996
9244172,fundamental_1996
9244170,fundamental_1996
9244169,fundamental_1996
9244168,fundamental_1996
9244167,fundamental_1996
10172721,fundamental_1996
10160536,fundamental_1996
10160210,fundamental_1996
10160208,fundamental_1996
10160207,fundamental_1996
10160206,fundamental_1996
10160202,fundamental_1996
10160200,fundamental_1996
10160199,fundamental_1996
10159043,fundamental_1996
10157973,fundamental_1996
9041695,fundamental_1996
9041694,fundamental_1996
9041693,fundamental_1996
9041688,fundamental_1996
9041687,fundamental_1996
9041686,fundamental_1996
9041685,fundamental_1996
9041684,fundamental_1996
9116650,fundamental_1996
9116649,fundamental_1996
9116643,fundamental_1996
9116639,fundamental_1996
9116638,fundamental_1996
9116635,fundamental_1996
9116634,fundamental_1996
9116633,fundamental_1996
9116632,fundamental_1996
9097049,fundamental_1996
9097048,fundamental_1996
9097047,fundamental_1996
9097046,fundamental_1996
9097044,fundamental_1996
9097043,fundamental_1996
9097042,fundamental_1996
9097041,fundamental_1996
9097040,fundamental_1996
9097039,fundamental_1996
9097038,fundamental_1996
9037555,fundamental_1996
9037554,fundamental_1996
9037553,fundamental_1996
9037551,fundamental_1996
9037550,fundamental_1996
9037548,fundamental_1996
9037547,fundamental_1996
9037546,fundamental_1996
9037545,fundamental_1996
9037544,fundamental_1996
9037543,fundamental_1996
9037542,fundamental_1996
9037541,fundamental_1996
9037540,fundamental_1996
9037539,fundamental_1996
9037537,fundamental_1996
9037536,fundamental_1996
9037533,fundamental_1996
9037532,fundamental_1996
9037531,fundamental_1996
9037530,fundamental_1996
9037529,fundamental_1996
9037527,fundamental_1996
9037525,fundamental_1996
9037524,fundamental_1996
9037521,fundamental_1996
9037520,fundamental_1996
9037519,fundamental_1996
9037517,fundamental_1996
9037516,fundamental_1996
9037514,fundamental_1996
9037513,fundamental_1996
9017863,fundamental_1996
9016754,fundamental_1996
9016753,fundamental_1996
9016752,fundamental_1996
9016751,fundamental_1996
9016749,fundamental_1996
9016747,fundamental_1996
9016746,fundamental_1996
9016744,fundamental_1996
9016739,fundamental_1996
9016738,fundamental_1996
9001595,fundamental_1996
9001593,fundamental_1996
9001592,fundamental_1996
9001591,fundamental_1996
9001590,fundamental_1996
9001588,fundamental_1996
9001587,fundamental_1996
9001586,fundamental_1996
