pmid,query_name
9630947,diseases_1996
9630935,diseases_1996
9630921,diseases_1996
9631058,diseases_1996
9631042,diseases_1996
9631009,diseases_1996
9631006,diseases_1996
9634821,diseases_1996
9634819,diseases_1996
9631093,diseases_1996
9631091,diseases_1996
9631086,diseases_1996
9062924,diseases_1997
9035141,diseases_1997
9035104,diseases_1997
9181577,diseases_1997
9181576,diseases_1997
9131627,diseases_1997
9131618,diseases_1997
9094107,diseases_1997
9306403,diseases_1997
9255794,diseases_1997
9219268,diseases_1997
9415892,diseases_1997
9415890,diseases_1997
9415889,diseases_1997
9359110,diseases_1997
9335054,diseases_1997
9335046,diseases_1997
9528009,diseases_1998
9487524,diseases_1998
9447590,diseases_1998
9624687,diseases_1998
9592394,diseases_1998
9592393,diseases_1998
9743120,diseases_1998
9743113,diseases_1998
9702771,diseases_1998
9661203,diseases_1998
9853620,diseases_1998
9853612,diseases_1998
9853591,diseases_1998
9788349,diseases_1998
9788325,diseases_1998
10096296,diseases_1999
10096292,diseases_1999
10052355,diseases_1999
10052349,diseases_1999
9920269,diseases_1999
9920266,diseases_1999
10385324,diseases_1999
10385320,diseases_1999
10331803,diseases_1999
10207887,diseases_1999
10207881,diseases_1999
10471943,diseases_1999
10429242,diseases_1999
10429241,diseases_1999
10409361,diseases_1999
10404158,diseases_1999
10545930,diseases_1999
10504714,diseases_1999
10504711,diseases_1999
10504699,diseases_1999
10504695,diseases_1999
10700143,diseases_2000
10657120,diseases_2000
10657070,diseases_2000
10625409,diseases_2000
10625390,diseases_2000
10625389,diseases_2000
10802619,diseases_2000
10802618,diseases_2000
10802617,diseases_2000
10748537,diseases_2000
10748517,diseases_2000
10973224,diseases_2000
10973217,diseases_2000
10932157,diseases_2000
10932156,diseases_2000
10888840,diseases_2000
10888838,diseases_2000
11221722,diseases_2000
11221711,diseases_2000
11221709,diseases_2000
11221708,diseases_2000
11221707,diseases_2000
11221706,diseases_2000
11062439,diseases_2000
11062437,diseases_2000
11062435,diseases_2000
11062430,diseases_2000
11062427,diseases_2000
11055592,diseases_2000
11017044,diseases_2000
11017043,diseases_2000
11175734,diseases_2001
11135558,diseases_2001
11135555,diseases_2001
11135549,diseases_2001
11135548,diseases_2001
11135547,diseases_2001
11385459,diseases_2001
11283589,diseases_2001
11479570,diseases_2001
11479558,diseases_2001
11433275,diseases_2001
11689848,diseases_2001
11875427,diseases_2002
11821866,diseases_2002
11821846,diseases_2002
11753361,diseases_2002
11753354,diseases_2002
11753346,diseases_2002
11923847,diseases_2002
11923846,diseases_2002
12205508,diseases_2002
12089552,diseases_2002
12089545,diseases_2002
12496764,diseases_2002
12426577,diseases_2002
12415288,diseases_2002
12389035,diseases_2002
12379869,diseases_2002
12379868,diseases_2002
12379867,diseases_2002
12355109,diseases_2002
12652312,diseases_2003
12627168,diseases_2003
12598909,diseases_2003
12598908,diseases_2003
12524552,diseases_2003
12511900,diseases_2003
12511899,diseases_2003
12496764,diseases_2003
12833071,diseases_2003
12833070,diseases_2003
12819790,diseases_2003
12794639,diseases_2003
12778055,diseases_2003
12721560,diseases_2003
12704395,diseases_2003
12665817,diseases_2003
12652312,diseases_2003
12627168,diseases_2003
14502203,diseases_2003
12910246,diseases_2003
12910244,diseases_2003
12894204,diseases_2003
12872133,diseases_2003
12845330,diseases_2003
12833090,diseases_2003
12833071,diseases_2003
12833070,diseases_2003
12819790,diseases_2003
12794639,diseases_2003
12778055,diseases_2003
14661028,diseases_2003
14661026,diseases_2003
14647305,diseases_2003
14634668,diseases_2003
14555956,diseases_2003
14502203,diseases_2003
14990955,diseases_2004
14990953,diseases_2004
14704699,diseases_2004
14661028,diseases_2004
14661026,diseases_2004
14647305,diseases_2004
15122300,diseases_2004
15122293,diseases_2004
15448703,diseases_2004
15300260,diseases_2004
15273693,diseases_2004
15258595,diseases_2004
15258594,diseases_2004
15592455,diseases_2004
15558048,diseases_2004
15543133,diseases_2004
15529155,diseases_2004
15502817,diseases_2004
15470455,diseases_2004
15448703,diseases_2004
15793574,diseases_2005
15637611,diseases_2005
15592455,diseases_2005
15877064,diseases_2005
15867911,diseases_2005
15834405,diseases_2005
15834403,diseases_2005
15815668,diseases_2005
15815667,diseases_2005
15815655,diseases_2005
15815649,diseases_2005
15806099,diseases_2005
15793574,diseases_2005
16186811,diseases_2005
16186810,diseases_2005
16170313,diseases_2005
16151408,diseases_2005
16151391,diseases_2005
16082366,diseases_2005
16041363,diseases_2005
16003375,diseases_2005
16003374,diseases_2005
16003373,diseases_2005
16378095,diseases_2005
16327811,diseases_2005
16258544,diseases_2005
16200062,diseases_2005
16186811,diseases_2005
16186810,diseases_2005
16170313,diseases_2005
16501577,diseases_2006
16465155,diseases_2006
16444269,diseases_2006
16415855,diseases_2006
16378095,diseases_2006
16327811,diseases_2006
16823373,diseases_2006
16732270,diseases_2006
16699500,diseases_2006
16680138,diseases_2006
16980974,diseases_2006
16900147,diseases_2006
16900130,diseases_2006
16900126,diseases_2006
16823373,diseases_2006
17160056,diseases_2006
17160051,diseases_2006
17115055,diseases_2006
17093488,diseases_2006
17086173,diseases_2006
16980974,diseases_2006
17344885,diseases_2007
17322873,diseases_2007
17287758,diseases_2007
17287747,diseases_2007
17259977,diseases_2007
17211407,diseases_2007
17546028,diseases_2007
17529972,diseases_2007
17515910,diseases_2007
17483842,diseases_2007
17468768,diseases_2007
17721512,diseases_2007
17664940,diseases_2007
17621280,diseases_2007
18157119,diseases_2007
18084279,diseases_2007
18066041,diseases_2007
18066040,diseases_2007
18066039,diseases_2007
18066038,diseases_2007
18066034,diseases_2007
18066033,diseases_2007
18066032,diseases_2007
17989688,diseases_2007
17952057,diseases_2007
17934452,diseases_2007
18376399,diseases_2008
18376398,diseases_2008
18362881,diseases_2008
18246062,diseases_2008
18183024,diseases_2008
18183019,diseases_2008
18183018,diseases_2008
18176556,diseases_2008
18176555,diseases_2008
18157119,diseases_2008
18084279,diseases_2008
18587387,diseases_2008
18587386,diseases_2008
18587385,diseases_2008
18536689,diseases_2008
18536688,diseases_2008
18536681,diseases_2008
18536680,diseases_2008
18438402,diseases_2008
18437154,diseases_2008
18425125,diseases_2008
18376399,diseases_2008
18376398,diseases_2008
18362881,diseases_2008
18806783,diseases_2008
18758449,diseases_2008
18688246,diseases_2008
18641636,diseases_2008
18587387,diseases_2008
18587386,diseases_2008
18587385,diseases_2008
19098899,diseases_2008
19060872,diseases_2008
19060862,diseases_2008
19029913,diseases_2008
19029912,diseases_2008
18953353,diseases_2008
18846077,diseases_2008
18846074,diseases_2008
18806783,diseases_2008
19270676,diseases_2009
19252483,diseases_2009
19234449,diseases_2009
19204689,diseases_2009
19182785,diseases_2009
19122652,diseases_2009
19098899,diseases_2009
19561595,diseases_2009
19412185,diseases_2009
19352371,diseases_2009
19352362,diseases_2009
19701187,diseases_2009
19587665,diseases_2009
19561595,diseases_2009
20037583,diseases_2009
20023657,diseases_2009
20010599,diseases_2009
19935656,diseases_2009
19881495,diseases_2009
19816443,diseases_2009
20351690,diseases_2010
20212481,diseases_2010
20190738,diseases_2010
20160717,diseases_2010
20037583,diseases_2010
20023657,diseases_2010
20495549,diseases_2010
20458319,diseases_2010
20458317,diseases_2010
20458311,diseases_2010
20379176,diseases_2010
20351690,diseases_2010
20829823,diseases_2010
20676074,diseases_2010
20601939,diseases_2010
21151124,diseases_2010
20944599,diseases_2010
20944598,diseases_2010
20944596,diseases_2010
20944590,diseases_2010
21390011,diseases_2011
21317907,diseases_2011
21297616,diseases_2011
