pmid,query_name
9631071,therapeutics_1996
9035145,therapeutics_1997
9255795,therapeutics_1997
9255791,therapeutics_1997
9415889,therapeutics_1997
9335043,therapeutics_1997
9335033,therapeutics_1997
9487525,therapeutics_1998
9487523,therapeutics_1998
9487522,therapeutics_1998
9487521,therapeutics_1998
9487516,therapeutics_1998
9447597,therapeutics_1998
9592392,therapeutics_1998
9853592,therapeutics_1998
9788357,therapeutics_1998
10471943,therapeutics_1999
10657120,therapeutics_2000
11062435,therapeutics_2000
11175723,therapeutics_2001
11329021,therapeutics_2001
11731788,therapeutics_2001
11689847,therapeutics_2001
11821860,therapeutics_2002
12134168,therapeutics_2002
12652312,therapeutics_2003
12612587,therapeutics_2003
12524549,therapeutics_2003
12652312,therapeutics_2003
12612587,therapeutics_2003
12845330,therapeutics_2003
14990955,therapeutics_2004
14716317,therapeutics_2004
14704682,therapeutics_2004
15122293,therapeutics_2004
15060556,therapeutics_2004
15583680,therapeutics_2004
15583670,therapeutics_2004
15529157,therapeutics_2004
15470455,therapeutics_2004
15765079,therapeutics_2005
15940237,therapeutics_2005
15908939,therapeutics_2005
15895075,therapeutics_2005
16151408,therapeutics_2005
16151407,therapeutics_2005
16151394,therapeutics_2005
16041363,therapeutics_2005
16565728,therapeutics_2006
16525383,therapeutics_2006
16525381,therapeutics_2006
16525374,therapeutics_2006
16444269,therapeutics_2006
16565728,therapeutics_2006
16964200,therapeutics_2006
16900115,therapeutics_2006
17160050,therapeutics_2006
17483824,therapeutics_2007
18183015,therapeutics_2008
18688246,therapeutics_2008
19060861,therapeutics_2008
18997767,therapeutics_2008
18997760,therapeutics_2008
18997759,therapeutics_2008
19561595,therapeutics_2009
19513055,therapeutics_2009
19430443,therapeutics_2009
19587665,therapeutics_2009
19587663,therapeutics_2009
19581876,therapeutics_2009
19561595,therapeutics_2009
20829823,therapeutics_2010
21139609,therapeutics_2010
21057497,therapeutics_2010
21747388,therapeutics_2011
22175076,therapeutics_2011
22158370,therapeutics_2011
22231094,therapeutics_2012
22231084,therapeutics_2012
22965061,therapeutics_2012
22781696,therapeutics_2012
22781695,therapeutics_2012
22781680,therapeutics_2012
23302933,therapeutics_2013
23563425,therapeutics_2013
24811513,therapeutics_2014
25211370,therapeutics_2014
25194818,therapeutics_2014
25093890,therapeutics_2014
25093882,therapeutics_2014
25093881,therapeutics_2014
25489835,therapeutics_2014
25419740,therapeutics_2014
25402614,therapeutics_2014
25380444,therapeutics_2014
25211370,therapeutics_2014
25194818,therapeutics_2014
25748918,therapeutics_2015
26076429,therapeutics_2015
26252119,therapeutics_2015
26252117,therapeutics_2015
26076429,therapeutics_2015
26974511,therapeutics_2016
26849520,therapeutics_2016
27281407,therapeutics_2016
27054992,therapeutics_2016
26974511,therapeutics_2016
27606458,therapeutics_2016
27842061,therapeutics_2016
28244992,therapeutics_2017
28244990,therapeutics_2017
28398323,therapeutics_2017
28398313,therapeutics_2017
28898228,therapeutics_2017
28898209,therapeutics_2017
29220033,therapeutics_2017
29220017,therapeutics_2017
29121012,therapeutics_2017
29121010,therapeutics_2017
29020007,therapeutics_2017
29509742,therapeutics_2018
29505028,therapeutics_2018
29431737,therapeutics_2018
29406499,therapeutics_2018
29319699,therapeutics_2018
29505028,therapeutics_2018
30188548,therapeutics_2018
30188529,therapeutics_2018
30080845,therapeutics_2018
30080824,therapeutics_2018
30833775,therapeutics_2019
30605149,therapeutics_2019
30936563,therapeutics_2019
31570898,therapeutics_2019
31477925,therapeutics_2019
31712773,therapeutics_2019
31578504,therapeutics_2019
31570898,therapeutics_2019
32440005,therapeutics_2020
32440005,therapeutics_2020
33361824,therapeutics_2020
33361824,therapeutics_2021
34663921,therapeutics_2021
35102292,therapeutics_2022
34663921,therapeutics_2022
35654979,therapeutics_2022
35102292,therapeutics_2022
36085511,therapeutics_2022
36085501,therapeutics_2022
36347984,therapeutics_2022
35654979,therapeutics_2022
36593414,therapeutics_2023
37308687,therapeutics_2023
36593414,therapeutics_2023
38082082,therapeutics_2023
38491282,therapeutics_2024
37308687,therapeutics_2024
