pmid,query_name
10559897,fundamental_1999
10559887,fundamental_1999
10559886,fundamental_1999
10559885,fundamental_1999
10559884,fundamental_1999
10559882,fundamental_1999
10559881,fundamental_1999
10559880,fundamental_1999
10559879,fundamental_1999
10559878,fundamental_1999
10559877,fundamental_1999
10559876,fundamental_1999
10559875,fundamental_1999
10559868,fundamental_1999
10559867,fundamental_1999
10559866,fundamental_1999
10559864,fundamental_1999
10559863,fundamental_1999
10559862,fundamental_1999
10559861,fundamental_1999
10559860,fundamental_1999
10559859,fundamental_1999
10559858,fundamental_1999
10559857,fundamental_1999
10559856,fundamental_1999
10559956,fundamental_1999
10559945,fundamental_1999
10559944,fundamental_1999
10559943,fundamental_1999
10559942,fundamental_1999
10559941,fundamental_1999
10559940,fundamental_1999
10559939,fundamental_1999
10559938,fundamental_1999
10559936,fundamental_1999
10559935,fundamental_1999
10559934,fundamental_1999
10559924,fundamental_1999
10559923,fundamental_1999
10559922,fundamental_1999
10559921,fundamental_1999
10559920,fundamental_1999
10559918,fundamental_1999
10559917,fundamental_1999
10559916,fundamental_1999
10559915,fundamental_1999
10559914,fundamental_1999
10559907,fundamental_1999
10559906,fundamental_1999
10559905,fundamental_1999
10559904,fundamental_1999
10559903,fundamental_1999
10559902,fundamental_1999
10559901,fundamental_1999
10559900,fundamental_1999
10559899,fundamental_1999
10559898,fundamental_1999
10587660,fundamental_1999
10587659,fundamental_1999
10587658,fundamental_1999
10587649,fundamental_1999
10587648,fundamental_1999
10587646,fundamental_1999
10587645,fundamental_1999
10587644,fundamental_1999
10587643,fundamental_1999
10587642,fundamental_1999
10587641,fundamental_1999
10587640,fundamental_1999
10559992,fundamental_1999
10559991,fundamental_1999
10559990,fundamental_1999
10559989,fundamental_1999
10559988,fundamental_1999
10559987,fundamental_1999
10559986,fundamental_1999
10559985,fundamental_1999
10559984,fundamental_1999
10559983,fundamental_1999
10559982,fundamental_1999
10559981,fundamental_1999
10559980,fundamental_1999
10559979,fundamental_1999
10559969,fundamental_1999
10559967,fundamental_1999
10559966,fundamental_1999
10559965,fundamental_1999
10559964,fundamental_1999
10559963,fundamental_1999
10559962,fundamental_1999
10559961,fundamental_1999
10559960,fundamental_1999
10559959,fundamental_1999
10559958,fundamental_1999
10559957,fundamental_1999
10707091,fundamental_2000
10707090,fundamental_2000
10707089,fundamental_2000
10707088,fundamental_2000
10707087,fundamental_2000
10707086,fundamental_2000
10707085,fundamental_2000
10707084,fundamental_2000
10707083,fundamental_2000
10707082,fundamental_2000
10655601,fundamental_2000
10655594,fundamental_2000
10655593,fundamental_2000
10655592,fundamental_2000
10655591,fundamental_2000
10655590,fundamental_2000
10655589,fundamental_2000
10655588,fundamental_2000
10655586,fundamental_2000
10655585,fundamental_2000
10655584,fundamental_2000
10655583,fundamental_2000
10620818,fundamental_2000
10620808,fundamental_2000
10620807,fundamental_2000
10620806,fundamental_2000
10620805,fundamental_2000
10620804,fundamental_2000
10620803,fundamental_2000
10620802,fundamental_2000
10620801,fundamental_2000
10620800,fundamental_2000
10620799,fundamental_2000
10854340,fundamental_2000
10854330,fundamental_2000
10854329,fundamental_2000
