pmid,query_name
16408008,diseases_2005
16408008,diseases_2005
16408072,diseases_2005
16565714,diseases_2006
16474381,diseases_2006
16767086,diseases_2006
16565714,diseases_2006
16474381,diseases_2006
16921367,diseases_2006
16862141,diseases_2006
16850017,diseases_2006
16767086,diseases_2006
17195849,diseases_2006
17187079,diseases_2006
17108988,diseases_2006
17108987,diseases_2006
17108978,diseases_2006
16983387,diseases_2006
16921367,diseases_2006
17195849,diseases_2007
17187079,diseases_2007
17486044,diseases_2007
17435769,diseases_2007
17603540,diseases_2007
17576417,diseases_2007
17952066,diseases_2007
18327252,diseases_2008
18246061,diseases_2008
18587388,diseases_2008
18454143,diseases_2008
18391949,diseases_2008
18327252,diseases_2008
18690216,diseases_2008
18641620,diseases_2008
18587388,diseases_2008
19031531,diseases_2008
18849972,diseases_2008
19136975,diseases_2009
19125156,diseases_2009
19648933,diseases_2009
19597508,diseases_2009
19597507,diseases_2009
19465932,diseases_2009
19966789,diseases_2009
19946274,diseases_2009
19935658,diseases_2009
19597507,diseases_2009
20190765,diseases_2010
19966789,diseases_2010
19946274,diseases_2010
19935658,diseases_2010
20190765,diseases_2010
20802491,diseases_2010
20729855,diseases_2010
20711196,diseases_2010
20676085,diseases_2010
21186347,diseases_2010
21113169,diseases_2010
21079601,diseases_2010
20802491,diseases_2010
20729855,diseases_2010
21445057,diseases_2011
21378983,diseases_2011
21217689,diseases_2011
21186347,diseases_2011
21164513,diseases_2011
21113169,diseases_2011
21685895,diseases_2011
21623356,diseases_2011
21445057,diseases_2011
21378983,diseases_2011
21946277,diseases_2011
21946274,diseases_2011
21822274,diseases_2011
22198733,diseases_2011
22198730,diseases_2011
22037470,diseases_2011
22002720,diseases_2011
22286129,diseases_2012
22286128,diseases_2012
22267119,diseases_2012
22231271,diseases_2012
22706200,diseases_2012
22484541,diseases_2012
23023262,diseases_2012
23023260,diseases_2012
23001033,diseases_2012
22907081,diseases_2012
22797665,diseases_2012
22706200,diseases_2012
23292651,diseases_2012
23103940,diseases_2012
23023262,diseases_2012
23023260,diseases_2012
23001033,diseases_2012
22922757,diseases_2012
23455543,diseases_2013
23292651,diseases_2013
