pmid,query_name
16408007,fundamental_2005
16408006,fundamental_2005
16408005,fundamental_2005
16407994,fundamental_2005
16407993,fundamental_2005
16407992,fundamental_2005
16407991,fundamental_2005
16407990,fundamental_2005
16407989,fundamental_2005
16407988,fundamental_2005
16407987,fundamental_2005
16408071,fundamental_2005
16408059,fundamental_2005
16408058,fundamental_2005
16408057,fundamental_2005
16408056,fundamental_2005
16408055,fundamental_2005
16408054,fundamental_2005
16408039,fundamental_2005
16408038,fundamental_2005
16408037,fundamental_2005
16408036,fundamental_2005
16408035,fundamental_2005
16408022,fundamental_2005
16408021,fundamental_2005
16408020,fundamental_2005
16408019,fundamental_2005
16408018,fundamental_2005
16408017,fundamental_2005
16408016,fundamental_2005
16408007,fundamental_2005
16408006,fundamental_2005
16408005,fundamental_2005
16408004,fundamental_2005
16415859,fundamental_2005
16408092,fundamental_2005
16408091,fundamental_2005
16408089,fundamental_2005
16408088,fundamental_2005
16408074,fundamental_2005
16408073,fundamental_2005
16408071,fundamental_2005
16408070,fundamental_2005
16408059,fundamental_2005
16408058,fundamental_2005
16408057,fundamental_2005
16408056,fundamental_2005
16408055,fundamental_2005
16408054,fundamental_2005
16408053,fundamental_2005
16372404,fundamental_2005
16372403,fundamental_2005
16370373,fundamental_2005
16370372,fundamental_2005
16370371,fundamental_2005
16565716,fundamental_2006
16565715,fundamental_2006
16532013,fundamental_2006
16532012,fundamental_2006
16520733,fundamental_2006
16505807,fundamental_2006
16485005,fundamental_2006
16484997,fundamental_2006
16474387,fundamental_2006
16474386,fundamental_2006
16462751,fundamental_2006
16462750,fundamental_2006
16446709,fundamental_2006
16421586,fundamental_2006
16415863,fundamental_2006
16415862,fundamental_2006
16415861,fundamental_2006
16415860,fundamental_2006
16415859,fundamental_2006
16408092,fundamental_2006
16408091,fundamental_2006
16408089,fundamental_2006
16408088,fundamental_2006
16408087,fundamental_2006
16408085,fundamental_2006
16408084,fundamental_2006
16408083,fundamental_2006
16408082,fundamental_2006
16408081,fundamental_2006
16408080,fundamental_2006
16799554,fundamental_2006
16799553,fundamental_2006
16767085,fundamental_2006
16751762,fundamental_2006
16732295,fundamental_2006
16732294,fundamental_2006
16710339,fundamental_2006
16710330,fundamental_2006
16699520,fundamental_2006
16699519,fundamental_2006
16680160,fundamental_2006
16680159,fundamental_2006
16680158,fundamental_2006
16633351,fundamental_2006
16619023,fundamental_2006
16619016,fundamental_2006
16604066,fundamental_2006
16582919,fundamental_2006
16565716,fundamental_2006
16565715,fundamental_2006
16547481,fundamental_2006
16547473,fundamental_2006
16532013,fundamental_2006
16532012,fundamental_2006
16520733,fundamental_2006
16505807,fundamental_2006
16998480,fundamental_2006
16980961,fundamental_2006
16969373,fundamental_2006
16969372,fundamental_2006
16936720,fundamental_2006
16936719,fundamental_2006
16906151,fundamental_2006
16906150,fundamental_2006
16892050,fundamental_2006
16878128,fundamental_2006
16829954,fundamental_2006
16829953,fundamental_2006
16816845,fundamental_2006
16799554,fundamental_2006
16799553,fundamental_2006
16783341,fundamental_2006
16767085,fundamental_2006
16751762,fundamental_2006
16732295,fundamental_2006
16732294,fundamental_2006
17143270,fundamental_2006
