pmid,query_name
1303229,diseases_1992
1303239,diseases_1992
1303238,diseases_1992
1303237,diseases_1992
1303236,diseases_1992
1303235,diseases_1992
1303234,diseases_1992
1303233,diseases_1992
1303232,diseases_1992
1303231,diseases_1992
1303230,diseases_1992
1303228,diseases_1992
1284639,diseases_1992
1338767,diseases_1992
1302016,diseases_1992
1302009,diseases_1992
1302008,diseases_1992
1302003,diseases_1992
1363810,diseases_1992
1363809,diseases_1992
1338766,diseases_1992
1302001,diseases_1992
1302000,diseases_1992
1301995,diseases_1992
1301993,diseases_1992
1301992,diseases_1992
1303253,diseases_1992
1363881,diseases_1992
1303254,diseases_1992
1303251,diseases_1992
1303248,diseases_1992
1303246,diseases_1992
1284644,diseases_1992
1284642,diseases_1992
1363816,diseases_1992
1338771,diseases_1992
1302033,diseases_1992
1302032,diseases_1992
1302031,diseases_1992
1302030,diseases_1992
1284550,diseases_1992
1284549,diseases_1992
1284548,diseases_1992
1284547,diseases_1992
1363812,diseases_1992
1338769,diseases_1992
1302026,diseases_1992
1302022,diseases_1992
1302021,diseases_1992
1302019,diseases_1992
1284546,diseases_1992
1303291,diseases_1992
1303290,diseases_1992
1303289,diseases_1992
1303286,diseases_1992
1303285,diseases_1992
1303284,diseases_1992
1303283,diseases_1992
1303282,diseases_1992
1303281,diseases_1992
1303278,diseases_1992
1303277,diseases_1992
1303276,diseases_1992
1345175,diseases_1992
1345174,diseases_1992
1345173,diseases_1992
1345172,diseases_1992
1345171,diseases_1992
1345170,diseases_1992
1285365,diseases_1992
1338909,diseases_1992
1338910,diseases_1992
1338908,diseases_1992
1303271,diseases_1992
1303265,diseases_1992
1303264,diseases_1992
1303262,diseases_1992
1303261,diseases_1992
1303259,diseases_1992
1303258,diseases_1992
1303257,diseases_1992
8485581,diseases_1993
8485580,diseases_1993
8485579,diseases_1993
8485576,diseases_1993
8485575,diseases_1993
8485574,diseases_1993
8485573,diseases_1993
8485569,diseases_1993
8387379,diseases_1993
8097946,diseases_1993
8499952,diseases_1993
8499951,diseases_1993
8499949,diseases_1993
8499948,diseases_1993
