pmid,query_name
1303241,fundamental_1992
1303240,fundamental_1992
1302015,fundamental_1992
1302014,fundamental_1992
1302007,fundamental_1992
1302006,fundamental_1992
1302005,fundamental_1992
1302004,fundamental_1992
1363808,fundamental_1992
1301999,fundamental_1992
1301998,fundamental_1992
1301997,fundamental_1992
1301994,fundamental_1992
1303252,fundamental_1992
1303250,fundamental_1992
1303247,fundamental_1992
1303245,fundamental_1992
1284640,fundamental_1992
1363815,fundamental_1992
1338772,fundamental_1992
1302034,fundamental_1992
1363813,fundamental_1992
1307241,fundamental_1992
1302025,fundamental_1992
1302024,fundamental_1992
1302023,fundamental_1992
1302020,fundamental_1992
1303288,fundamental_1992
1303287,fundamental_1992
1303280,fundamental_1992
1303279,fundamental_1992
1345169,fundamental_1992
1345168,fundamental_1992
1345167,fundamental_1992
1345166,fundamental_1992
1345165,fundamental_1992
1345164,fundamental_1992
1303266,fundamental_1992
1303263,fundamental_1992
1303260,fundamental_1992
8485583,fundamental_1993
8485582,fundamental_1993
8485578,fundamental_1993
8485577,fundamental_1993
8387378,fundamental_1993
8499950,fundamental_1993
8499947,fundamental_1993
8499943,fundamental_1993
8490662,fundamental_1993
8490661,fundamental_1993
8490654,fundamental_1993
8098250,fundamental_1993
8348158,fundamental_1993
8348153,fundamental_1993
8348150,fundamental_1993
8348148,fundamental_1993
8513330,fundamental_1993
8513319,fundamental_1993
8099843,fundamental_1993
8099841,fundamental_1993
7685651,fundamental_1993
7981759,fundamental_1993
7981751,fundamental_1993
7981749,fundamental_1993
8220434,fundamental_1993
8220428,fundamental_1993
8220426,fundamental_1993
8220418,fundamental_1993
8106079,fundamental_1993
8401591,fundamental_1993
8401586,fundamental_1993
8401585,fundamental_1993
8401584,fundamental_1993
8401583,fundamental_1993
8395283,fundamental_1993
8358436,fundamental_1993
8358434,fundamental_1993
8358431,fundamental_1993
8298650,fundamental_1993
8252037,fundamental_1993
8252035,fundamental_1993
8012396,fundamental_1994
8012395,fundamental_1994
8012384,fundamental_1994
8012383,fundamental_1994
8162067,fundamental_1994
8162066,fundamental_1994
8162065,fundamental_1994
8136842,fundamental_1994
8136841,fundamental_1994
8136839,fundamental_1994
8136836,fundamental_1994
8136835,fundamental_1994
8136831,fundamental_1994
8136829,fundamental_1994
8136827,fundamental_1994
7511023,fundamental_1994
7920646,fundamental_1994
7920643,fundamental_1994
7920641,fundamental_1994
7920635,fundamental_1994
7920630,fundamental_1994
7920629,fundamental_1994
7545953,fundamental_1994
8075642,fundamental_1994
8075639,fundamental_1994
8075638,fundamental_1994
8075635,fundamental_1994
8075634,fundamental_1994
8075633,fundamental_1994
8054981,fundamental_1994
8054980,fundamental_1994
8054979,fundamental_1994
8054973,fundamental_1994
7987398,fundamental_1994
7987395,fundamental_1994
7987393,fundamental_1994
7987390,fundamental_1994
7951325,fundamental_1994
7951319,fundamental_1994
7951318,fundamental_1994
7920662,fundamental_1994
7920657,fundamental_1994
7920656,fundamental_1994
7920655,fundamental_1994
7894489,fundamental_1994
7894488,fundamental_1994
7874172,fundamental_1994
7533029,fundamental_1994
7842017,fundamental_1994
7842015,fundamental_1994
7842010,fundamental_1994
7842009,fundamental_1994
7773296,fundamental_1995
7773295,fundamental_1995
7773289,fundamental_1995
7773286,fundamental_1995
7773285,fundamental_1995
7719349,fundamental_1995
7719348,fundamental_1995
7719347,fundamental_1995
7719346,fundamental_1995
7704027,fundamental_1995
7704020,fundamental_1995
7704017,fundamental_1995
7663520,fundamental_1995
7663519,fundamental_1995
7663518,fundamental_1995
7663514,fundamental_1995
7663508,fundamental_1995
7545056,fundamental_1995
7647795,fundamental_1995
7647789,fundamental_1995
7647784,fundamental_1995
7795651,fundamental_1995
7795647,fundamental_1995
7795644,fundamental_1995
7795642,fundamental_1995
7550326,fundamental_1995
7550325,fundamental_1995
7550314,fundamental_1995
7550308,fundamental_1995
7670499,fundamental_1995
7670498,fundamental_1995
7670497,fundamental_1995
7670496,fundamental_1995
7670491,fundamental_1995
7670490,fundamental_1995
7670473,fundamental_1995
7670470,fundamental_1995
7670467,fundamental_1995
7670463,fundamental_1995
7493023,fundamental_1995
7493020,fundamental_1995
7493019,fundamental_1995
7581465,fundamental_1995
7581459,fundamental_1995
7581458,fundamental_1995
7581457,fundamental_1995
7581456,fundamental_1995
7581455,fundamental_1995
7581454,fundamental_1995
7581452,fundamental_1995
7581447,fundamental_1995
7581446,fundamental_1995
7550351,fundamental_1995
7550348,fundamental_1995
7550341,fundamental_1995
7550338,fundamental_1995
7550337,fundamental_1995
8589730,fundamental_1996
8589729,fundamental_1996
8589727,fundamental_1996
8589718,fundamental_1996
8589716,fundamental_1996
8563762,fundamental_1996
8563759,fundamental_1996
8563758,fundamental_1996
8563757,fundamental_1996
8563756,fundamental_1996
8528262,fundamental_1996
8528258,fundamental_1996
8528256,fundamental_1996
8528255,fundamental_1996
8528241,fundamental_1996
8640232,fundamental_1996
8640231,fundamental_1996
8640222,fundamental_1996
8640220,fundamental_1996
8640219,fundamental_1996
8673112,fundamental_1996
8673109,fundamental_1996
8673108,fundamental_1996
8673102,fundamental_1996
8673100,fundamental_1996
8630501,fundamental_1996
8630500,fundamental_1996
8630496,fundamental_1996
8630494,fundamental_1996
8630493,fundamental_1996
8630489,fundamental_1996
8630488,fundamental_1996
8782830,fundamental_1996
8782828,fundamental_1996
8782827,fundamental_1996
8782825,fundamental_1996
8782822,fundamental_1996
8782821,fundamental_1996
8782820,fundamental_1996
8782818,fundamental_1996
8696349,fundamental_1996
8696347,fundamental_1996
8696339,fundamental_1996
8696338,fundamental_1996
8673140,fundamental_1996
8673135,fundamental_1996
8673133,fundamental_1996
8673132,fundamental_1996
8673130,fundamental_1996
8673128,fundamental_1996
8944033,fundamental_1996
8944031,fundamental_1996
8944025,fundamental_1996
8944024,fundamental_1996
8944023,fundamental_1996
8944022,fundamental_1996
8896566,fundamental_1996
8896558,fundamental_1996
8896553,fundamental_1996
8841201,fundamental_1996
8841192,fundamental_1996
8841191,fundamental_1996
8841186,fundamental_1996
8841183,fundamental_1996
8841181,fundamental_1996
9054949,fundamental_1997
9054937,fundamental_1997
9054936,fundamental_1997
9020853,fundamental_1997
9020839,fundamental_1997
9020838,fundamental_1997
9020837,fundamental_1997
9020836,fundamental_1997
8988180,fundamental_1997
8988178,fundamental_1997
8988174,fundamental_1997
8988173,fundamental_1997
8988169,fundamental_1997
9171830,fundamental_1997
9171829,fundamental_1997
9171828,fundamental_1997
9171826,fundamental_1997
9171825,fundamental_1997
9171824,fundamental_1997
9140404,fundamental_1997
9140402,fundamental_1997
9140400,fundamental_1997
9140399,fundamental_1997
9140394,fundamental_1997
9140393,fundamental_1997
9140391,fundamental_1997
9090380,fundamental_1997
9090378,fundamental_1997
9288111,fundamental_1997
9288100,fundamental_1997
9288093,fundamental_1997
9241272,fundamental_1997
9241271,fundamental_1997
