pmid,query_name
10195133,fundamental_1998
10195132,fundamental_1998
10195131,fundamental_1998
10195130,fundamental_1998
10195128,fundamental_1998
10195126,fundamental_1998
10195125,fundamental_1998
10195124,fundamental_1998
10195123,fundamental_1998
10195122,fundamental_1998
10195114,fundamental_1998
10195113,fundamental_1998
10195111,fundamental_1998
10195110,fundamental_1998
10195109,fundamental_1998
10195108,fundamental_1998
10195107,fundamental_1998
10195106,fundamental_1998
10195105,fundamental_1998
10195104,fundamental_1998
10195103,fundamental_1998
10195102,fundamental_1998
10195101,fundamental_1998
10196534,fundamental_1998
10196533,fundamental_1998
10196532,fundamental_1998
10196531,fundamental_1998
10196530,fundamental_1998
10196529,fundamental_1998
10196528,fundamental_1998
10196527,fundamental_1998
10196526,fundamental_1998
10196525,fundamental_1998
10196524,fundamental_1998
10196522,fundamental_1998
10196521,fundamental_1998
10195166,fundamental_1998
10195165,fundamental_1998
10195164,fundamental_1998
10195163,fundamental_1998
10195161,fundamental_1998
10195160,fundamental_1998
10195158,fundamental_1998
10195157,fundamental_1998
10195152,fundamental_1998
10195151,fundamental_1998
10195149,fundamental_1998
10195148,fundamental_1998
10195147,fundamental_1998
10195146,fundamental_1998
10195145,fundamental_1998
10195144,fundamental_1998
10195143,fundamental_1998
10195142,fundamental_1998
10195141,fundamental_1998
10196591,fundamental_1998
10196590,fundamental_1998
10196589,fundamental_1998
10196588,fundamental_1998
10196587,fundamental_1998
10196586,fundamental_1998
10196585,fundamental_1998
10196584,fundamental_1998
10196583,fundamental_1998
10196582,fundamental_1998
10196581,fundamental_1998
10196578,fundamental_1998
10196573,fundamental_1998
10196572,fundamental_1998
10196571,fundamental_1998
10196570,fundamental_1998
10196569,fundamental_1998
10196568,fundamental_1998
10196567,fundamental_1998
10196566,fundamental_1998
10196565,fundamental_1998
10196564,fundamental_1998
10196563,fundamental_1998
10196562,fundamental_1998
10196561,fundamental_1998
10196560,fundamental_1998
10196553,fundamental_1998
10196551,fundamental_1998
10196550,fundamental_1998
10196548,fundamental_1998
10196547,fundamental_1998
10196546,fundamental_1998
10196545,fundamental_1998
10196544,fundamental_1998
