pmid,query_name
21006491,diseases_1945
21006490,diseases_1945
21006486,diseases_1945
21007631,diseases_1945
21007625,diseases_1945
21007618,diseases_1945
21065522,diseases_1945
21024268,diseases_1946
21019871,diseases_1946
21019863,diseases_1946
21066116,diseases_1946
21066073,diseases_1946
21066068,diseases_1946
21017937,diseases_1946
21017935,diseases_1946
21066006,diseases_1946
21016867,diseases_1946
21016866,diseases_1946
21016864,diseases_1946
21066066,diseases_1946
21017930,diseases_1946
21017923,diseases_1946
21017920,diseases_1946
21065852,diseases_1946
21015119,diseases_1946
21065849,diseases_1946
21015101,diseases_1946
21015100,diseases_1946
21015086,diseases_1946
21064779,diseases_1946
21064774,diseases_1946
20987679,diseases_1946
21064771,diseases_1946
21064657,diseases_1946
20986439,diseases_1946
20986431,diseases_1946
21064394,diseases_1946
21064513,diseases_1946
21066801,diseases_1946
21066800,diseases_1946
21066729,diseases_1946
21026808,diseases_1946
21026797,diseases_1946
21066721,diseases_1946
21026792,diseases_1946
21066578,diseases_1946
21066576,diseases_1946
21024275,diseases_1946
21024274,diseases_1946
21024273,diseases_1946
21065192,diseases_1946
20999102,diseases_1946
20999100,diseases_1946
20999099,diseases_1946
21065145,diseases_1946
20997597,diseases_1946
21065142,diseases_1946
20997588,diseases_1946
20997585,diseases_1946
21065080,diseases_1946
20995496,diseases_1946
20995487,diseases_1946
21065075,diseases_1946
20994555,diseases_1946
21065007,diseases_1946
20993342,diseases_1946
21065003,diseases_1946
20993338,diseases_1946
20991742,diseases_1946
21064941,diseases_1946
20991735,diseases_1946
20277887,diseases_1946
20341307,diseases_1946
20279063,diseases_1946
20279061,diseases_1946
20341304,diseases_1946
20279056,diseases_1946
20279050,diseases_1946
20276892,diseases_1946
20276884,diseases_1946
20276879,diseases_1946
20341206,diseases_1946
20276862,diseases_1946
20341171,diseases_1946
20275759,diseases_1946
20275758,diseases_1946
20341078,diseases_1946
20274359,diseases_1946
21065341,diseases_1946
21002749,diseases_1946
21065334,diseases_1946
21002737,diseases_1946
21002736,diseases_1946
21002735,diseases_1946
21002734,diseases_1946
21001941,diseases_1946
21065199,diseases_1946
20999116,diseases_1946
21065197,diseases_1946
20293527,diseases_1947
20293525,diseases_1947
20287531,diseases_1947
20285662,diseases_1947
20256132,diseases_1947
20341621,diseases_1947
20285657,diseases_1947
20285648,diseases_1947
20285647,diseases_1947
20281240,diseases_1947
20341370,diseases_1947
20279078,diseases_1947
20279067,diseases_1947
20252550,diseases_1947
20342443,diseases_1947
20241611,diseases_1947
20241610,diseases_1947
20241609,diseases_1947
20241592,diseases_1947
