pmid,query_name
3272167,diseases_1988
3272163,diseases_1988
2856088,diseases_1988
3272191,diseases_1988
2483105,diseases_1988
2483104,diseases_1988
2978786,diseases_1988
2908447,diseases_1988
2908446,diseases_1988
2696500,diseases_1989
2483108,diseases_1989
2576373,diseases_1989
2560638,diseases_1989
2518370,diseases_1989
2576211,diseases_1989
2560392,diseases_1989
2484345,diseases_1989
2561974,diseases_1989
2484340,diseases_1989
2106330,diseases_1990
2106906,diseases_1990
2361014,diseases_1990
2361011,diseases_1990
2344411,diseases_1990
2344410,diseases_1990
2322464,diseases_1990
2400606,diseases_1990
1976015,diseases_1990
2196069,diseases_1990
2114885,diseases_1990
1702645,diseases_1990
2206531,diseases_1990
1986774,diseases_1991
2054188,diseases_1991
1711350,diseases_1991
1827266,diseases_1991
1849724,diseases_1991
1901718,diseases_1991
1673054,diseases_1991
1654947,diseases_1991
1654946,diseases_1991
1908253,diseases_1991
1873033,diseases_1991
1873028,diseases_1991
1829904,diseases_1991
1676894,diseases_1991
1742020,diseases_1991
1718333,diseases_1991
1739461,diseases_1992
1310864,diseases_1992
1530909,diseases_1992
1309648,diseases_1992
1610568,diseases_1992
1610567,diseases_1992
1610565,diseases_1992
1316765,diseases_1992
1375035,diseases_1992
1632967,diseases_1992
1385966,diseases_1992
1419002,diseases_1992
1418997,diseases_1992
8461133,diseases_1993
8461130,diseases_1993
8439408,diseases_1993
8382500,diseases_1993
8382499,diseases_1993
8382498,diseases_1993
7678965,diseases_1993
8391281,diseases_1993
8318230,diseases_1993
8494644,diseases_1993
8476611,diseases_1993
8386527,diseases_1993
8394722,diseases_1993
8102532,diseases_1993
8274284,diseases_1993
8240819,diseases_1993
8398153,diseases_1993
8398150,diseases_1993
8398148,diseases_1993
8110464,diseases_1994
8110459,diseases_1994
7917302,diseases_1994
7520255,diseases_1994
8043280,diseases_1994
7946361,diseases_1994
7946342,diseases_1994
7946341,diseases_1994
7946326,diseases_1994
7946325,diseases_1994
7695914,diseases_1995
7695903,diseases_1995
7857653,diseases_1995
7826639,diseases_1995
7605627,diseases_1995
7748555,diseases_1995
7748554,diseases_1995
7718248,diseases_1995
7546729,diseases_1995
7646898,diseases_1995
7619530,diseases_1995
7619526,diseases_1995
7619525,diseases_1995
8845169,diseases_1995
8845168,diseases_1995
8845167,diseases_1995
7576662,diseases_1995
7576661,diseases_1995
7576660,diseases_1995
8785063,diseases_1996
8789939,diseases_1996
8562095,diseases_1996
8562093,diseases_1996
8663983,diseases_1996
8630250,diseases_1996
8630248,diseases_1996
8630247,diseases_1996
8630246,diseases_1996
8630245,diseases_1996
8630244,diseases_1996
8630243,diseases_1996
8608006,diseases_1996
8816718,diseases_1996
8816708,diseases_1996
8755487,diseases_1996
8755480,diseases_1996
8938131,diseases_1996
8893025,diseases_1996
9115743,diseases_1997
9115732,diseases_1997
9052802,diseases_1997
9010205,diseases_1997
9010203,diseases_1997
9010201,diseases_1997
9010199,diseases_1997
9182800,diseases_1997
9182797,diseases_1997
9182794,diseases_1997
9292723,diseases_1997
9292714,diseases_1997
9247276,diseases_1997
9247275,diseases_1997
9247269,diseases_1997
9247268,diseases_1997
9247267,diseases_1997
9427256,diseases_1997
9427255,diseases_1997
9427238,diseases_1997
9427237,diseases_1997
9354338,diseases_1997
9539133,diseases_1998
9539132,diseases_1998
9539131,diseases_1998
9539130,diseases_1998
9539113,diseases_1998
9491982,diseases_1998
9491978,diseases_1998
9459443,diseases_1998
9655494,diseases_1998
9581771,diseases_1998
9581758,diseases_1998
9581756,diseases_1998
9768840,diseases_1998
9768834,diseases_1998
9728921,diseases_1998
9728909,diseases_1998
9697856,diseases_1998
9883727,diseases_1998
9883726,diseases_1998
9883725,diseases_1998
9883720,diseases_1998
9883716,diseases_1998
9856453,diseases_1998
9808466,diseases_1998
9808451,diseases_1998
9808447,diseases_1998
9808445,diseases_1998
10197519,diseases_1999
10069331,diseases_1999
10069329,diseases_1999
10069328,diseases_1999
10402204,diseases_1999
10402195,diseases_1999
10399936,diseases_1999
10399934,diseases_1999
10399926,diseases_1999
10230794,diseases_1999
10230778,diseases_1999
10677044,diseases_1999
10482240,diseases_1999
10482224,diseases_1999
10433272,diseases_1999
10433252,diseases_1999
10433250,diseases_1999
10624951,diseases_1999
10595524,diseases_1999
10595523,diseases_1999
10595515,diseases_1999
10595506,diseases_1999
10595505,diseases_1999
10595504,diseases_1999
10595503,diseases_1999
10595502,diseases_1999
10595501,diseases_1999
10571236,diseases_1999
10774721,diseases_2000
10719902,diseases_2000
10719896,diseases_2000
10719883,diseases_2000
10839371,diseases_2000
10839370,diseases_2000
10839369,diseases_2000
10839351,diseases_2000
10839348,diseases_2000
10839345,diseases_2000
10798401,diseases_2000
11055438,diseases_2000
11055432,diseases_2000
11055430,diseases_2000
11055423,diseases_2000
11055422,diseases_2000
11055420,diseases_2000
10985358,diseases_2000
10985344,diseases_2000
11163280,diseases_2000
11144356,diseases_2000
11144355,diseases_2000
11144349,diseases_2000
11144345,diseases_2000
11144336,diseases_2000
11086990,diseases_2000
11086989,diseases_2000
11086988,diseases_2000
11086978,diseases_2000
11086977,diseases_2000
11182093,diseases_2001
11182090,diseases_2001
11182083,diseases_2001
11182078,diseases_2001
11430802,diseases_2001
11430801,diseases_2001
11430794,diseases_2001
11394998,diseases_2001
11343659,diseases_2001
11343650,diseases_2001
11343644,diseases_2001
11343641,diseases_2001
11343640,diseases_2001
11343639,diseases_2001
11343635,diseases_2001
11580890,diseases_2001
11580886,diseases_2001
11567622,diseases_2001
11567612,diseases_2001
11545713,diseases_2001
11545706,diseases_2001
11516393,diseases_2001
11516392,diseases_2001
11498052,diseases_2001
11498051,diseases_2001
11498050,diseases_2001
11498049,diseases_2001
11498048,diseases_2001
11498045,diseases_2001
11498043,diseases_2001
11754832,diseases_2001
11738036,diseases_2001
11738029,diseases_2001
11738021,diseases_2001
11709147,diseases_2001
11683989,diseases_2001
11906693,diseases_2002
11906690,diseases_2002
11879646,diseases_2002
11856537,diseases_2002
11856531,diseases_2002
11856524,diseases_2002
11804567,diseases_2002
12086643,diseases_2002
12086640,diseases_2002
12086639,diseases_2002
12086637,diseases_2002
12086636,diseases_2002
12086633,diseases_2002
12062037,diseases_2002
12062036,diseases_2002
12062028,diseases_2002
12062019,diseases_2002
12062018,diseases_2002
12062015,diseases_2002
12062012,diseases_2002
11970862,diseases_2002
12372286,diseases_2002
12372281,diseases_2002
12372280,diseases_2002
12372277,diseases_2002
12372275,diseases_2002
12367514,diseases_2002
12367506,diseases_2002
12367505,diseases_2002
12354406,diseases_2002
12354403,diseases_2002
12354397,diseases_2002
12354390,diseases_2002
12194871,diseases_2002
12194869,diseases_2002
12165467,diseases_2002
12165466,diseases_2002
12160755,diseases_2002
12160743,diseases_2002
12160740,diseases_2002
12123606,diseases_2002
12123603,diseases_2002
12123602,diseases_2002
12495618,diseases_2002
12441059,diseases_2002
12441049,diseases_2002
12441045,diseases_2002
12408854,diseases_2002
12408853,diseases_2002
12408842,diseases_2002
12408841,diseases_2002
12670420,diseases_2003
12670416,diseases_2003
12597857,diseases_2003
12597853,diseases_2003
12575950,diseases_2003
12575948,diseases_2003
12526782,diseases_2003
12526767,diseases_2003
