pmid,query_name
3272156,fundamental_1988
3272155,fundamental_1988
3272154,fundamental_1988
3272153,fundamental_1988
3152287,fundamental_1988
3078409,fundamental_1988
2856087,fundamental_1988
2856086,fundamental_1988
2483091,fundamental_1988
3272739,fundamental_1988
3272738,fundamental_1988
3152420,fundamental_1988
3078520,fundamental_1988
3078519,fundamental_1988
3078518,fundamental_1988
2856162,fundamental_1988
2483324,fundamental_1988
2483323,fundamental_1988
3272171,fundamental_1988
3272170,fundamental_1988
3272169,fundamental_1988
3272168,fundamental_1988
3152289,fundamental_1988
2856094,fundamental_1988
2856093,fundamental_1988
2483096,fundamental_1988
2483095,fundamental_1988
3272166,fundamental_1988
3272165,fundamental_1988
3272164,fundamental_1988
3272162,fundamental_1988
3272161,fundamental_1988
3272160,fundamental_1988
3152288,fundamental_1988
2856092,fundamental_1988
3272181,fundamental_1988
3272180,fundamental_1988
3078413,fundamental_1988
2856100,fundamental_1988
2856099,fundamental_1988
2856098,fundamental_1988
2483103,fundamental_1988
2483102,fundamental_1988
2483101,fundamental_1988
3272179,fundamental_1988
3272178,fundamental_1988
3272177,fundamental_1988
3272176,fundamental_1988
3078412,fundamental_1988
2908445,fundamental_1988
2856097,fundamental_1988
2856096,fundamental_1988
2483100,fundamental_1988
2483099,fundamental_1988
3272175,fundamental_1988
3272174,fundamental_1988
3272173,fundamental_1988
3272172,fundamental_1988
3078411,fundamental_1988
3078410,fundamental_1988
2856095,fundamental_1988
2483098,fundamental_1988
2483097,fundamental_1988
3272159,fundamental_1988
3272158,fundamental_1988
3272157,fundamental_1988
2908444,fundamental_1988
2908443,fundamental_1988
2856091,fundamental_1988
2856090,fundamental_1988
2856089,fundamental_1988
2483094,fundamental_1988
2483093,fundamental_1988
2483092,fundamental_1988
3272190,fundamental_1988
3272189,fundamental_1988
3272188,fundamental_1988
3152290,fundamental_1988
3078414,fundamental_1988
2908450,fundamental_1988
2908449,fundamental_1988
2856104,fundamental_1988
2856103,fundamental_1988
2483106,fundamental_1988
3272187,fundamental_1988
3272186,fundamental_1988
3272185,fundamental_1988
3272184,fundamental_1988
3272183,fundamental_1988
3272182,fundamental_1988
2908448,fundamental_1988
2856102,fundamental_1988
2856101,fundamental_1988
2696504,fundamental_1989
2624748,fundamental_1989
2624747,fundamental_1989
2624746,fundamental_1989
2576210,fundamental_1989
2516449,fundamental_1989
2483112,fundamental_1989
2483111,fundamental_1989
2483110,fundamental_1989
2696503,fundamental_1989
2696502,fundamental_1989
2624745,fundamental_1989
2624744,fundamental_1989
2576209,fundamental_1989
2560387,fundamental_1989
2560386,fundamental_1989
2560385,fundamental_1989
2483109,fundamental_1989
2696501,fundamental_1989
2624743,fundamental_1989
2624742,fundamental_1989
2624741,fundamental_1989
2624740,fundamental_1989
2624739,fundamental_1989
2483107,fundamental_1989
2697237,fundamental_1989
2627381,fundamental_1989
2627380,fundamental_1989
2627379,fundamental_1989
2627378,fundamental_1989
2576376,fundamental_1989
2576375,fundamental_1989
2576374,fundamental_1989
2560650,fundamental_1989
2560649,fundamental_1989
2560648,fundamental_1989
2516729,fundamental_1989
2483327,fundamental_1989
2697236,fundamental_1989
2627377,fundamental_1989
2560647,fundamental_1989
2560646,fundamental_1989
2560645,fundamental_1989
2560644,fundamental_1989
2560643,fundamental_1989
2560642,fundamental_1989
2560641,fundamental_1989
2516728,fundamental_1989
2483326,fundamental_1989
2483325,fundamental_1989
2627376,fundamental_1989
2627375,fundamental_1989
2627374,fundamental_1989
2627373,fundamental_1989
2627372,fundamental_1989
2576372,fundamental_1989
2576371,fundamental_1989
2560640,fundamental_1989
2560639,fundamental_1989
2560637,fundamental_1989
2516727,fundamental_1989
2516726,fundamental_1989
2642002,fundamental_1989
2642001,fundamental_1989
2642000,fundamental_1989
2641999,fundamental_1989
2561971,fundamental_1989
2561970,fundamental_1989
2561969,fundamental_1989
2561968,fundamental_1989
2534964,fundamental_1989
2518369,fundamental_1989
2484339,fundamental_1989
2484338,fundamental_1989
2576215,fundamental_1989
2576214,fundamental_1989
2576213,fundamental_1989
2576212,fundamental_1989
2562784,fundamental_1989
2560393,fundamental_1989
2560391,fundamental_1989
2560390,fundamental_1989
2560389,fundamental_1989
