pmid,query_name
3438083,diseases_1987
3325875,diseases_1987
2830575,diseases_1987
2830574,diseases_1987
3502572,diseases_1987
3438085,diseases_1987
3330790,diseases_1987
3330787,diseases_1987
3330785,diseases_1987
3330784,diseases_1987
3330783,diseases_1987
3330780,diseases_1987
3330779,diseases_1987
3330777,diseases_1987
3330775,diseases_1987
3325885,diseases_1987
3325884,diseases_1987
3125508,diseases_1987
2963990,diseases_1987
2898746,diseases_1987
2894003,diseases_1987
2894002,diseases_1987
2838785,diseases_1987
2838782,diseases_1987
2838780,diseases_1987
2838779,diseases_1987
2838778,diseases_1987
2830582,diseases_1987
3438084,diseases_1987
3325881,diseases_1987
3325880,diseases_1987
3325879,diseases_1987
3325878,diseases_1987
3325877,diseases_1987
2894001,diseases_1987
2894000,diseases_1987
2830580,diseases_1987
2830578,diseases_1987
2830577,diseases_1987
2449645,diseases_1987
3281095,diseases_1988
3281094,diseases_1988
3281093,diseases_1988
3127778,diseases_1988
3127777,diseases_1988
2895446,diseases_1988
2895445,diseases_1988
2832803,diseases_1988
2451200,diseases_1988
3285295,diseases_1988
3285294,diseases_1988
3285293,diseases_1988
3285292,diseases_1988
3285291,diseases_1988
2966921,diseases_1988
2966920,diseases_1988
2835724,diseases_1988
2453011,diseases_1988
3290808,diseases_1988
3290807,diseases_1988
3290806,diseases_1988
3133627,diseases_1988
2968534,diseases_1988
2968533,diseases_1988
2838790,diseases_1988
2838788,diseases_1988
2838787,diseases_1988
2455265,diseases_1988
3374960,diseases_1988
3287279,diseases_1988
3287278,diseases_1988
3131719,diseases_1988
3131718,diseases_1988
3131717,diseases_1988
2967455,diseases_1988
2836781,diseases_1988
2836780,diseases_1988
2836779,diseases_1988
2453828,diseases_1988
3362552,diseases_1988
3283658,diseases_1988
3283656,diseases_1988
3283655,diseases_1988
3283653,diseases_1988
3129686,diseases_1988
2896330,diseases_1988
2896329,diseases_1988
2834683,diseases_1988
3060796,diseases_1988
3060795,diseases_1988
3060794,diseases_1988
3060792,diseases_1988
3060790,diseases_1988
2974527,diseases_1988
2849743,diseases_1988
2849740,diseases_1988
2462704,diseases_1988
3412772,diseases_1988
3166123,diseases_1988
2842717,diseases_1988
2842716,diseases_1988
2842714,diseases_1988
2842712,diseases_1988
2457861,diseases_1988
2577877,diseases_1988
2577875,diseases_1988
2577874,diseases_1988
2577872,diseases_1988
2577871,diseases_1988
2577870,diseases_1988
2577869,diseases_1988
2577866,diseases_1988
3274086,diseases_1988
3152601,diseases_1988
3078959,diseases_1988
2978867,diseases_1988
2856253,diseases_1988
2856252,diseases_1988
2484016,diseases_1988
3078955,diseases_1988
3078952,diseases_1988
3078951,diseases_1988
3078949,diseases_1988
2856251,diseases_1988
2856249,diseases_1988
2856247,diseases_1988
2484015,diseases_1988
2784851,diseases_1989
2784850,diseases_1989
2704557,diseases_1989
2649848,diseases_1989
2649846,diseases_1989
2523032,diseases_1989
2523031,diseases_1989
2468126,diseases_1989
2468124,diseases_1989
2468123,diseases_1989
2927947,diseases_1989
2927944,diseases_1989
2648257,diseases_1989
2648256,diseases_1989
2648254,diseases_1989
2648253,diseases_1989
2564657,diseases_1989
2538792,diseases_1989
2538791,diseases_1989
2538790,diseases_1989
2494631,diseases_1989
2915904,diseases_1989
2915903,diseases_1989
2915900,diseases_1989
2915899,diseases_1989
2644612,diseases_1989
2644611,diseases_1989
2563577,diseases_1989
2536919,diseases_1989
2536918,diseases_1989
2536917,diseases_1989
2786619,diseases_1989
2734021,diseases_1989
2660072,diseases_1989
2567500,diseases_1989
2543945,diseases_1989
2543943,diseases_1989
2543942,diseases_1989
2471953,diseases_1989
2657579,diseases_1989
2657578,diseases_1989
2657576,diseases_1989
2657575,diseases_1989
2657573,diseases_1989
2657572,diseases_1989
2542865,diseases_1989
2542863,diseases_1989
2498807,diseases_1989
2471131,diseases_1989
2717184,diseases_1989
2654810,diseases_1989
2566146,diseases_1989
2566145,diseases_1989
2566144,diseases_1989
2541391,diseases_1989
2541390,diseases_1989
2541389,diseases_1989
2541388,diseases_1989
2524023,diseases_1989
2497422,diseases_1989
2470007,diseases_1989
2470006,diseases_1989
2780050,diseases_1989
2674857,diseases_1989
2674856,diseases_1989
2674855,diseases_1989
2674854,diseases_1989
2506501,diseases_1989
2476705,diseases_1989
2761986,diseases_1989
2668848,diseases_1989
2668847,diseases_1989
2668844,diseases_1989
2569708,diseases_1989
2569707,diseases_1989
2548145,diseases_1989
2548144,diseases_1989
2548143,diseases_1989
2474786,diseases_1989
2787901,diseases_1989
2755702,diseases_1989
2755701,diseases_1989
2755700,diseases_1989
2666911,diseases_1989
2666909,diseases_1989
2666908,diseases_1989
2666907,diseases_1989
2666906,diseases_1989
2547184,diseases_1989
2474139,diseases_1989
2474138,diseases_1989
2687771,diseases_1989
2687770,diseases_1989
2687767,diseases_1989
2687765,diseases_1989
2594369,diseases_1989
2594368,diseases_1989
