pmid,query_name
10171760,therapeutics_1993
10133711,therapeutics_1993
10130911,therapeutics_1993
10130910,therapeutics_1993
10130907,therapeutics_1993
10130869,therapeutics_1993
10130540,therapeutics_1993
10130539,therapeutics_1993
10130317,therapeutics_1993
10130313,therapeutics_1993
10130312,therapeutics_1993
10130311,therapeutics_1993
10130247,therapeutics_1993
10129817,therapeutics_1993
10171815,therapeutics_1993
10146313,therapeutics_1993
10146252,therapeutics_1993
10133324,therapeutics_1993
10133112,therapeutics_1993
10131180,therapeutics_1993
10129269,therapeutics_1993
10129268,therapeutics_1993
10127891,therapeutics_1993
10127823,therapeutics_1993
10127817,therapeutics_1993
10171474,therapeutics_1993
10148524,therapeutics_1993
10145810,therapeutics_1993
10130585,therapeutics_1993
10130580,therapeutics_1993
10126838,therapeutics_1993
10126834,therapeutics_1993
10126833,therapeutics_1993
10126830,therapeutics_1993
10126828,therapeutics_1993
10126388,therapeutics_1993
10126338,therapeutics_1993
10124663,therapeutics_1993
8192311,therapeutics_1993
8171741,therapeutics_1993
8171738,therapeutics_1993
8171737,therapeutics_1993
8171736,therapeutics_1993
8153036,therapeutics_1993
8149227,therapeutics_1993
8149223,therapeutics_1993
8138332,therapeutics_1993
8129310,therapeutics_1993
8280173,therapeutics_1993
8247075,therapeutics_1993
8282116,therapeutics_1993
8282115,therapeutics_1993
8257247,therapeutics_1993
8289944,therapeutics_1993
8289937,therapeutics_1993
8108248,therapeutics_1993
8277502,therapeutics_1993
8152604,therapeutics_1993
8287789,therapeutics_1993
8287783,therapeutics_1993
8287777,therapeutics_1993
8018138,therapeutics_1993
8254842,therapeutics_1993
8127727,therapeutics_1993
8059370,therapeutics_1993
8280745,therapeutics_1993
8268170,therapeutics_1993
8268165,therapeutics_1993
8165625,therapeutics_1993
8165593,therapeutics_1993
8292961,therapeutics_1993
8292946,therapeutics_1993
8278003,therapeutics_1993
7902917,therapeutics_1993
7902907,therapeutics_1993
7902905,therapeutics_1993
8305296,therapeutics_1993
8298995,therapeutics_1993
8298584,therapeutics_1993
8292983,therapeutics_1993
8279365,therapeutics_1993
8279364,therapeutics_1993
8279363,therapeutics_1993
8279362,therapeutics_1993
8279361,therapeutics_1993
8279358,therapeutics_1993
8279357,therapeutics_1993
8279356,therapeutics_1993
8279352,therapeutics_1993
8279351,therapeutics_1993
8247036,therapeutics_1993
7945941,therapeutics_1993
7945940,therapeutics_1993
8312180,therapeutics_1993
8265634,therapeutics_1993
8265619,therapeutics_1993
8261405,therapeutics_1993
8260707,therapeutics_1993
8260695,therapeutics_1993
8252509,therapeutics_1993
8252508,therapeutics_1993
8252506,therapeutics_1993
8252473,therapeutics_1993
8250072,therapeutics_1993
8239245,therapeutics_1993
8157141,therapeutics_1993
8157140,therapeutics_1993
8146568,therapeutics_1993
8146567,therapeutics_1993
8146566,therapeutics_1993
8146558,therapeutics_1993
8124548,therapeutics_1993
7904059,therapeutics_1993
7902445,therapeutics_1993
7504576,therapeutics_1993
8274165,therapeutics_1993
8274153,therapeutics_1993
8273228,therapeutics_1993
8250662,therapeutics_1993
8274502,therapeutics_1993
8274495,therapeutics_1993
