pmid,query_name
17195298,basic_2006
17192536,basic_2006
17190607,basic_2006
17190606,basic_2006
17190605,basic_2006
17190604,basic_2006
17190603,basic_2006
17190602,basic_2006
17190601,basic_2006
17190600,basic_2006
17190599,basic_2006
17190597,basic_2006
17190596,basic_2006
17190594,basic_2006
17190593,basic_2006
17190591,basic_2006
17190001,basic_2006
17187057,basic_2006
17187056,basic_2006
17187055,basic_2006
17187054,basic_2006
17187053,basic_2006
17185729,basic_2006
17185722,basic_2006
17185721,basic_2006
17185713,basic_2006
17185711,basic_2006
17185605,basic_2006
17185604,basic_2006
17185603,basic_2006
17185602,basic_2006
17185601,basic_2006
17185600,basic_2006
17185599,basic_2006
17185597,basic_2006
17185595,basic_2006
17185594,basic_2006
17185593,basic_2006
17185590,basic_2006
17185588,basic_2006
17185587,basic_2006
17185586,basic_2006
17185563,basic_2006
17185562,basic_2006
17185561,basic_2006
17185560,basic_2006
17185559,basic_2006
17183322,basic_2006
17183311,basic_2006
17183310,basic_2006
17183308,basic_2006
17183269,basic_2006
17183268,basic_2006
17183267,basic_2006
17183266,basic_2006
17183265,basic_2006
17182986,basic_2006
17179446,basic_2006
17175567,basic_2006
17174900,basic_2006
17174899,basic_2006
17174898,basic_2006
17174897,basic_2006
17174896,basic_2006
17174895,basic_2006
17174894,basic_2006
17174893,basic_2006
17174892,basic_2006
17174890,basic_2006
17174889,basic_2006
17174887,basic_2006
17174886,basic_2006
17174885,basic_2006
17174884,basic_2006
17174883,basic_2006
17174708,basic_2006
17173029,basic_2006
17170310,basic_2006
17170309,basic_2006
17170308,basic_2006
17170307,basic_2006
17170305,basic_2006
17170304,basic_2006
17170303,basic_2006
17170302,basic_2006
17170301,basic_2006
17170296,basic_2006
17170293,basic_2006
17170292,basic_2006
17170291,basic_2006
17170285,basic_2006
17170282,basic_2006
17170280,basic_2006
17170279,basic_2006
17170278,basic_2006
17170256,basic_2006
17170255,basic_2006
17170253,basic_2006
17167490,basic_2006
17167488,basic_2006
17167486,basic_2006
17167485,basic_2006
17167478,basic_2006
17167473,basic_2006
17167472,basic_2006
17167469,basic_2006
17167430,basic_2006
17167427,basic_2006
17167425,basic_2006
17167423,basic_2006
17167422,basic_2006
17167421,basic_2006
17167420,basic_2006
17167418,basic_2006
17167417,basic_2006
17167416,basic_2006
17167415,basic_2006
17167414,basic_2006
17167413,basic_2006
17164297,basic_2006
17158331,basic_2006
17158330,basic_2006
17158328,basic_2006
17158327,basic_2006
17158326,basic_2006
17158324,basic_2006
17158323,basic_2006
17158321,basic_2006
17158320,basic_2006
17158319,basic_2006
17158317,basic_2006
17158315,basic_2006
17158313,basic_2006
17158312,basic_2006
17158311,basic_2006
17158291,basic_2006
17158290,basic_2006
17158289,basic_2006
17158288,basic_2006
17151666,basic_2006
17151665,basic_2006
17151658,basic_2006
17151656,basic_2006
17151655,basic_2006
17151629,basic_2006
17151628,basic_2006
17151627,basic_2006
17151626,basic_2006
17151608,basic_2006
17151605,basic_2006
17151604,basic_2006
17151603,basic_2006
17151602,basic_2006
17151600,basic_2006
17151363,basic_2006
17143999,basic_2006
17138901,basic_2006
17138900,basic_2006
17138898,basic_2006
17138894,basic_2006
17138893,basic_2006
17138892,basic_2006
17138891,basic_2006
17138885,basic_2006
17138883,basic_2006
17138868,basic_2006
17138866,basic_2006
17136100,basic_2006
17136099,basic_2006
17136098,basic_2006
17136096,basic_2006
17136094,basic_2006
17136092,basic_2006
17136086,basic_2006
17129789,basic_2006
17129788,basic_2006
17129787,basic_2006
17129786,basic_2006
17129785,basic_2006
17129784,basic_2006
17129783,basic_2006
17129782,basic_2006
17129781,basic_2006
17129780,basic_2006
17129777,basic_2006
17129776,basic_2006
17129775,basic_2006
17129774,basic_2006
17129773,basic_2006
17129772,basic_2006
17129771,basic_2006
17129770,basic_2006
17128255,basic_2006
17126720,basic_2006
17126699,basic_2006
17124325,basic_2006
17124323,basic_2006
17124321,basic_2006
17124320,basic_2006
17124319,basic_2006
17124316,basic_2006
17124315,basic_2006
17124314,basic_2006
17124312,basic_2006
17124311,basic_2006
17124291,basic_2006
17124290,basic_2006
17124012,basic_2006
17123592,basic_2006
17123591,basic_2006
17122856,basic_2006
17122855,basic_2006
17122853,basic_2006
17122850,basic_2006
17122848,basic_2006
17122778,basic_2006
17122777,basic_2006
17122776,basic_2006
17122775,basic_2006
17122774,basic_2006
17122770,basic_2006
17113427,basic_2006
17113404,basic_2006
17113138,basic_2006
17110582,basic_2006
17110579,basic_2006
17110578,basic_2006
17110577,basic_2006
17110576,basic_2006
17110574,basic_2006
17110570,basic_2006
17110569,basic_2006
17110568,basic_2006
17110563,basic_2006
17110561,basic_2006
17110537,basic_2006
17110535,basic_2006
17110341,basic_2006
17110340,basic_2006
17110339,basic_2006
17110337,basic_2006
17110336,basic_2006
17110335,basic_2006
17110334,basic_2006
17110333,basic_2006
17110332,basic_2006
17110331,basic_2006
17110330,basic_2006
17110328,basic_2006
17110327,basic_2006
17110326,basic_2006
17110324,basic_2006
17108971,basic_2006
17108970,basic_2006
17108969,basic_2006
17108966,basic_2006
17108965,basic_2006
17108964,basic_2006
17108962,basic_2006
17108958,basic_2006
17108957,basic_2006
17108956,basic_2006
17108955,basic_2006
17108953,basic_2006
17108952,basic_2006
17105801,basic_2006
17105799,basic_2006
17105797,basic_2006
17098090,basic_2006
17095783,basic_2006
17095703,basic_2006
17095702,basic_2006
17095701,basic_2006
17095699,basic_2006
17095695,basic_2006
17095694,basic_2006
17095693,basic_2006
17095692,basic_2006
17095691,basic_2006
17095690,basic_2006
17095689,basic_2006
17095688,basic_2006
17095686,basic_2006
17095684,basic_2006
17095683,basic_2006
17095682,basic_2006
17095680,basic_2006
17095679,basic_2006
17095659,basic_2006
17095657,basic_2006
17095656,basic_2006
17093447,basic_2006
17093424,basic_2006
17093408,basic_2006
17093407,basic_2006
17093405,basic_2006
17093257,basic_2006
17093251,basic_2006
17086205,basic_2006
17086204,basic_2006
17086203,basic_2006
17086202,basic_2006
17086201,basic_2006
17086199,basic_2006
17086198,basic_2006
17086195,basic_2006
17086194,basic_2006
17086193,basic_2006
17086192,basic_2006
17086191,basic_2006
17082547,basic_2006
17082460,basic_2006
17082459,basic_2006
17082458,basic_2006
17082457,basic_2006
17082456,basic_2006
17082450,basic_2006
17082449,basic_2006
17082446,basic_2006
17082444,basic_2006
17082441,basic_2006
17082440,basic_2006
17082422,basic_2006
17082421,basic_2006
17082420,basic_2006
17081983,basic_2006
17081982,basic_2006
17081981,basic_2006
17081980,basic_2006
17081979,basic_2006
17081978,basic_2006
17081977,basic_2006
17081976,basic_2006
17081975,basic_2006
17081974,basic_2006
17081973,basic_2006
17081972,basic_2006
17081971,basic_2006
17081969,basic_2006
17081967,basic_2006
17081966,basic_2006
17081965,basic_2006
17081964,basic_2006
17080091,basic_2006
17080090,basic_2006
17080089,basic_2006
17080081,basic_2006
17078117,basic_2006
17073008,basic_2006
17068267,basic_2006
17068266,basic_2006
17068265,basic_2006
17068264,basic_2006
17068263,basic_2006
17068262,basic_2006
17068261,basic_2006
17068257,basic_2006
17068255,basic_2006
17068254,basic_2006
17068252,basic_2006
17068251,basic_2006
17068250,basic_2006
17068249,basic_2006
17068246,basic_2006
17068245,basic_2006
17066037,basic_2006
17066035,basic_2006
17066034,basic_2006
17066033,basic_2006
17066030,basic_2006
17066027,basic_2006
17065986,basic_2006
17065984,basic_2006
17065983,basic_2006
17065982,basic_2006
17062862,basic_2006
17057705,basic_2006
17055441,basic_2006
17055440,basic_2006
17055438,basic_2006
17055437,basic_2006
17055436,basic_2006
17055435,basic_2006
17055434,basic_2006
17055433,basic_2006
17055432,basic_2006
17055428,basic_2006
17055426,basic_2006
17055425,basic_2006
17055424,basic_2006
17055423,basic_2006
17055422,basic_2006
17053150,basic_2006
17053149,basic_2006
17053148,basic_2006
17053147,basic_2006
17053146,basic_2006
17053145,basic_2006
17053144,basic_2006
17053143,basic_2006
17053140,basic_2006
17053138,basic_2006
17053137,basic_2006
17053132,basic_2006
17051221,basic_2006
17051220,basic_2006
17051219,basic_2006
17051218,basic_2006
17051217,basic_2006
17051211,basic_2006
17051210,basic_2006
17051209,basic_2006
17051161,basic_2006
17051160,basic_2006
17051159,basic_2006
17051158,basic_2006
17051157,basic_2006
17051155,basic_2006
17051154,basic_2006
17051153,basic_2006
17051152,basic_2006
17051151,basic_2006
17051150,basic_2006
17051149,basic_2006
17050899,basic_2006
17050885,basic_2006
17050884,basic_2006
17047219,basic_2006
17046471,basic_2006
17044144,basic_2006
17038739,basic_2006
17038625,basic_2006
17038624,basic_2006
17038623,basic_2006
17038622,basic_2006
17038621,basic_2006
17038620,basic_2006
17038615,basic_2006
17038611,basic_2006
17038609,basic_2006
17038608,basic_2006
17038590,basic_2006
17038589,basic_2006
17038587,basic_2006
17036007,basic_2006
17036006,basic_2006
17036005,basic_2006
17036004,basic_2006
17036002,basic_2006
17036001,basic_2006
17035996,basic_2006
17035995,basic_2006
17035994,basic_2006
17032991,basic_2006
17032987,basic_2006
17028106,basic_2006
17027735,basic_2006
17027733,basic_2006
17024725,basic_2006
17024090,basic_2006
17024087,basic_2006
17024083,basic_2006
17024043,basic_2006
17023663,basic_2006
17023662,basic_2006
17023658,basic_2006
17023657,basic_2006
17023655,basic_2006
17023653,basic_2006
17023652,basic_2006
17023651,basic_2006
17023650,basic_2006
17023649,basic_2006
17023644,basic_2006
17023640,basic_2006
17023639,basic_2006
17023638,basic_2006
17023614,basic_2006
17023613,basic_2006
17021317,basic_2006
17018806,basic_2006
17018287,basic_2006
17018286,basic_2006
17018285,basic_2006
17018284,basic_2006
17018282,basic_2006
17018281,basic_2006
17018280,basic_2006
17018279,basic_2006
17018278,basic_2006
17018276,basic_2006
17018275,basic_2006
17018273,basic_2006
17018272,basic_2006
17018271,basic_2006
17018270,basic_2006
17008532,basic_2006
17008528,basic_2006
17008526,basic_2006
17008524,basic_2006
17008523,basic_2006
17008522,basic_2006
17008518,basic_2006
17008517,basic_2006
17008516,basic_2006
17008515,basic_2006
17008511,basic_2006
17008490,basic_2006
17006516,basic_2006
17006515,basic_2006
17006514,basic_2006
17006513,basic_2006
17006512,basic_2006
17006511,basic_2006
17006507,basic_2006
17006505,basic_2006
17006468,basic_2006
17006453,basic_2006
17006450,basic_2006
17006448,basic_2006
17005959,basic_2006
17005945,basic_2006
17003400,basic_2006
17003384,basic_2006
16998468,basic_2006
16997663,basic_2006
16997651,basic_2006
16990550,basic_2006
16990549,basic_2006
16990546,basic_2006
16990545,basic_2006
16990543,basic_2006
16990541,basic_2006
16990539,basic_2006
16990537,basic_2006
16990536,basic_2006
16990535,basic_2006
16990534,basic_2006
16990515,basic_2006
16990514,basic_2006
16990513,basic_2006
16990382,basic_2006
16990381,basic_2006
16990141,basic_2006
16990140,basic_2006
16990139,basic_2006
16990138,basic_2006
16990137,basic_2006
16990136,basic_2006
16990135,basic_2006
16990134,basic_2006
16990133,basic_2006
16990132,basic_2006
16990130,basic_2006
16990129,basic_2006
16990127,basic_2006
16990126,basic_2006
16988714,basic_2006
16988712,basic_2006
16988711,basic_2006
16988704,basic_2006
16988658,basic_2006
16983129,basic_2006
16980956,basic_2006
16980314,basic_2006
16977705,basic_2006
16973882,basic_2006
16973881,basic_2006
16973880,basic_2006
16973879,basic_2006
16973878,basic_2006
16973876,basic_2006
16973872,basic_2006
16973870,basic_2006
16973868,basic_2006
16973867,basic_2006
16973866,basic_2006
16973865,basic_2006
16973864,basic_2006
16973862,basic_2006
16971952,basic_2006
16971951,basic_2006
16971948,basic_2006
16971940,basic_2006
16971901,basic_2006
16971725,basic_2006
16971722,basic_2006
16968851,basic_2006
16964240,basic_2006
16964239,basic_2006
16962864,basic_2006
16962654,basic_2006
16962653,basic_2006
16960009,basic_2006
16960008,basic_2006
16960007,basic_2006
16960006,basic_2006
16960005,basic_2006
16960004,basic_2006
16960000,basic_2006
16959999,basic_2006
16959995,basic_2006
16959994,basic_2006
16959991,basic_2006
16959973,basic_2006
16959972,basic_2006
16959577,basic_2006
16959575,basic_2006
16959574,basic_2006
16959573,basic_2006
16959572,basic_2006
16959571,basic_2006
16959570,basic_2006
16959569,basic_2006
16959568,basic_2006
16959567,basic_2006
16959565,basic_2006
16959563,basic_2006
16959562,basic_2006
16959561,basic_2006
16959560,basic_2006
16959559,basic_2006
16959558,basic_2006
16957738,basic_2006
16957737,basic_2006
16957736,basic_2006
16957735,basic_2006
16957732,basic_2006
16957731,basic_2006
16957730,basic_2006
16957728,basic_2006
16957727,basic_2006
16957723,basic_2006
16957716,basic_2006
16957711,basic_2006
16957702,basic_2006
16957148,basic_2006
16954361,basic_2006
16950338,basic_2006
16949657,basic_2006
16946075,basic_2006
16946073,basic_2006
16946072,basic_2006
16946071,basic_2006
16946070,basic_2006
16946064,basic_2006
16946063,basic_2006
16946062,basic_2006
16946057,basic_2006
16946054,basic_2006
16943835,basic_2006
16943834,basic_2006
16943829,basic_2006
16943775,basic_2006
16943774,basic_2006
16943773,basic_2006
16943409,basic_2006
16936718,basic_2006
16936717,basic_2006
16936716,basic_2006
16931766,basic_2006
16931764,basic_2006
16931763,basic_2006
16931762,basic_2006
16931761,basic_2006
16931760,basic_2006
16931759,basic_2006
16931757,basic_2006
16931756,basic_2006
16931755,basic_2006
16931752,basic_2006
16931750,basic_2006
16931749,basic_2006
16931746,basic_2006
16931744,basic_2006
16931741,basic_2006
16931739,basic_2006
16931721,basic_2006
16931720,basic_2006
16931718,basic_2006
16929308,basic_2006
16929306,basic_2006
16929305,basic_2006
16929304,basic_2006
16929303,basic_2006
16929302,basic_2006
16929299,basic_2006
16929298,basic_2006
16929297,basic_2006
16929296,basic_2006
16929290,basic_2006
16929289,basic_2006
16929288,basic_2006
16929253,basic_2006
16923398,basic_2006
16923397,basic_2006
16923395,basic_2006
16923394,basic_2006
16923393,basic_2006
16923392,basic_2006
16923391,basic_2006
16923390,basic_2006
16923389,basic_2006
16923388,basic_2006
16923385,basic_2006
16923384,basic_2006
16923383,basic_2006
16923382,basic_2006
16923381,basic_2006
16923380,basic_2006
16921386,basic_2006
16921385,basic_2006
16921383,basic_2006
16920476,basic_2006
16920454,basic_2006
16917065,basic_2006
16917063,basic_2006
16917062,basic_2006
16917061,basic_2006
16917055,basic_2006
16917051,basic_2006
16917050,basic_2006
16917048,basic_2006
16917046,basic_2006
16917045,basic_2006
16917044,basic_2006
16917027,basic_2006
16915287,basic_2006
16915237,basic_2006
16915236,basic_2006
16914711,basic_2006
16914704,basic_2006
16908919,basic_2006
16908487,basic_2006
16906647,basic_2006
16906137,basic_2006
16906136,basic_2006
16906135,basic_2006
16906133,basic_2006
16905026,basic_2006
16904174,basic_2006
16902143,basic_2006
16902142,basic_2006
16902141,basic_2006
16902140,basic_2006
16902139,basic_2006
16902138,basic_2006
16902137,basic_2006
16902136,basic_2006
16902131,basic_2006
16902129,basic_2006
16902128,basic_2006
16902127,basic_2006
16902126,basic_2006
16902118,basic_2006
16902117,basic_2006
16902113,basic_2006
16902112,basic_2006
16902111,basic_2006
16902091,basic_2006
16902090,basic_2006
16902088,basic_2006
16901791,basic_2006
16901790,basic_2006
16901789,basic_2006
16901788,basic_2006
16901787,basic_2006
16901786,basic_2006
16901785,basic_2006
16901781,basic_2006
16901779,basic_2006
16901778,basic_2006
16901775,basic_2006
16901774,basic_2006
16900200,basic_2006
16900199,basic_2006
16900198,basic_2006
16900181,basic_2006
16900171,basic_2006
16900102,basic_2006
16900101,basic_2006
16892047,basic_2006
16888142,basic_2006
16888141,basic_2006
16888139,basic_2006
16888133,basic_2006
16888132,basic_2006
16888130,basic_2006
16888129,basic_2006
16888124,basic_2006
16888123,basic_2006
16888122,basic_2006
16888119,basic_2006
16888103,basic_2006
16887178,basic_2006
16885985,basic_2006
16885984,basic_2006
16885982,basic_2006
16885981,basic_2006
16885976,basic_2006
16885975,basic_2006
16885956,basic_2006
16885937,basic_2006
16885545,basic_2006
16878143,basic_2006
16878142,basic_2006
16878138,basic_2006
16878137,basic_2006
16876646,basic_2006
16873667,basic_2006
16873666,basic_2006
16873665,basic_2006
