pmid,query_name
22277542,diseases_2011
22236596,diseases_2011
22217630,diseases_2011
22209822,diseases_2011
22209820,diseases_2011
22207158,diseases_2011
22207042,diseases_2011
22205707,diseases_2011
22204736,diseases_2011
22204729,diseases_2011
22204728,diseases_2011
22204727,diseases_2011
22204672,diseases_2011
22203543,diseases_2011
22203542,diseases_2011
22203541,diseases_2011
22203540,diseases_2011
22203539,diseases_2011
22203537,diseases_2011
22203536,diseases_2011
22203530,diseases_2011
22196944,diseases_2011
22196943,diseases_2011
22196831,diseases_2011
22194562,diseases_2011
22194560,diseases_2011
22193102,diseases_2011
22192487,diseases_2011
22190037,diseases_2011
22188944,diseases_2011
22188943,diseases_2011
22188008,diseases_2011
22188007,diseases_2011
22187989,diseases_2011
22187988,diseases_2011
22187987,diseases_2011
22187986,diseases_2011
22187985,diseases_2011
22187984,diseases_2011
22187960,diseases_2011
22187392,diseases_2011
22187391,diseases_2011
22187325,diseases_2011
22187324,diseases_2011
22187322,diseases_2011
22187284,diseases_2011
22187282,diseases_2011
22187280,diseases_2011
22187279,diseases_2011
22187277,diseases_2011
22187276,diseases_2011
22187192,diseases_2011
22187188,diseases_2011
22187186,diseases_2011
22185868,diseases_2011
22184711,diseases_2011
22184692,diseases_2011
22184691,diseases_2011
22184690,diseases_2011
22184689,diseases_2011
22180453,diseases_2011
22177535,diseases_2011
22177513,diseases_2011
22177260,diseases_2011
22174386,diseases_2011
22174326,diseases_2011
22174325,diseases_2011
22174321,diseases_2011
22174320,diseases_2011
22174255,diseases_2011
22174234,diseases_2011
22174130,diseases_2011
22172245,diseases_2011
22171350,diseases_2011
22171344,diseases_2011
22170610,diseases_2011
22169808,diseases_2011
22169807,diseases_2011
22169806,diseases_2011
22169805,diseases_2011
22169804,diseases_2011
22169803,diseases_2011
22169802,diseases_2011
22169801,diseases_2011
22169800,diseases_2011
22169799,diseases_2011
22169798,diseases_2011
22169797,diseases_2011
22169796,diseases_2011
22169105,diseases_2011
22169104,diseases_2011
22168664,diseases_2011
22168648,diseases_2011
22168646,diseases_2011
22168645,diseases_2011
22168644,diseases_2011
22168643,diseases_2011
22168640,diseases_2011
22168587,diseases_2011
22167792,diseases_2011
22166901,diseases_2011
22166900,diseases_2011
22166609,diseases_2011
22166607,diseases_2011
22166606,diseases_2011
22166605,diseases_2011
22162503,diseases_2011
22162501,diseases_2011
22162381,diseases_2011
22161946,diseases_2011
22158822,diseases_2011
22158299,diseases_2011
22158298,diseases_2011
22158296,diseases_2011
22158295,diseases_2011
22158294,diseases_2011
22158293,diseases_2011
22158250,diseases_2011
22158121,diseases_2011
22158103,diseases_2011
22157079,diseases_2011
22155336,diseases_2011
22153781,diseases_2011
22153566,diseases_2011
22153078,diseases_2011
22153077,diseases_2011
22153076,diseases_2011
22153075,diseases_2011
22153071,diseases_2011
22152853,diseases_2011
22152852,diseases_2011
22150058,diseases_2011
22150041,diseases_2011
22150040,diseases_2011
22150039,diseases_2011
22150037,diseases_2011
22150034,diseases_2011
22150006,diseases_2011
22147729,diseases_2011
22147719,diseases_2011
22147714,diseases_2011
22147713,diseases_2011
22147711,diseases_2011
22147386,diseases_2011
22147381,diseases_2011
22147380,diseases_2011
22147379,diseases_2011
22146902,diseases_2011
22144628,diseases_2011
22144610,diseases_2011
22144608,diseases_2011
22144604,diseases_2011
22144601,diseases_2011
22144408,diseases_2011
22139420,diseases_2011
22138695,diseases_2011
22137798,diseases_2011
22137797,diseases_2011
22137033,diseases_2011
22134968,diseases_2011
22134966,diseases_2011
22134965,diseases_2011
22133539,diseases_2011
22133538,diseases_2011
22133537,diseases_2011
22133536,diseases_2011
