pmid,query_name
28452321,fundamental_2016
28100431,fundamental_2016
28054622,fundamental_2016
28041852,fundamental_2016
28041851,fundamental_2016
28041850,fundamental_2016
28041849,fundamental_2016
28041848,fundamental_2016
28030773,fundamental_2016
28027351,fundamental_2016
28024300,fundamental_2016
28024299,fundamental_2016
28024297,fundamental_2016
28024296,fundamental_2016
28017400,fundamental_2016
28017329,fundamental_2016
28017328,fundamental_2016
28008087,fundamental_2016
28008086,fundamental_2016
28008069,fundamental_2016
28008068,fundamental_2016
28008067,fundamental_2016
28008064,fundamental_2016
28008038,fundamental_2016
28008037,fundamental_2016
28008030,fundamental_2016
28008029,fundamental_2016
28008019,fundamental_2016
28008018,fundamental_2016
28008008,fundamental_2016
28007347,fundamental_2016
28005056,fundamental_2016
28002713,fundamental_2016
28002411,fundamental_2016
28002408,fundamental_2016
28002405,fundamental_2016
28002402,fundamental_2016
28002401,fundamental_2016
28002400,fundamental_2016
28002395,fundamental_2016
28002392,fundamental_2016
27997635,fundamental_2016
27992923,fundamental_2016
27992921,fundamental_2016
27992920,fundamental_2016
27992900,fundamental_2016
27992898,fundamental_2016
27992877,fundamental_2016
27988139,fundamental_2016
27984738,fundamental_2016
27984731,fundamental_2016
27984730,fundamental_2016
27984729,fundamental_2016
27984727,fundamental_2016
27984726,fundamental_2016
27984725,fundamental_2016
27984722,fundamental_2016
27984720,fundamental_2016
27984719,fundamental_2016
27984718,fundamental_2016
27984717,fundamental_2016
27984716,fundamental_2016
27984715,fundamental_2016
27980211,fundamental_2016
27980210,fundamental_2016
27980209,fundamental_2016
27980208,fundamental_2016
27980171,fundamental_2016
27980169,fundamental_2016
27980167,fundamental_2016
27980089,fundamental_2016
27980088,fundamental_2016
27980086,fundamental_2016
27974804,fundamental_2016
27974801,fundamental_2016
27974795,fundamental_2016
27974778,fundamental_2016
27974774,fundamental_2016
27974772,fundamental_2016
27974769,fundamental_2016
27974767,fundamental_2016
27974763,fundamental_2016
27974755,fundamental_2016
27974754,fundamental_2016
27974748,fundamental_2016
27968740,fundamental_2016
27965211,fundamental_2016
27959987,fundamental_2016
27959986,fundamental_2016
27940876,fundamental_2016
27940874,fundamental_2016
27940872,fundamental_2016
27940871,fundamental_2016
27940870,fundamental_2016
27940867,fundamental_2016
27940866,fundamental_2016
27940834,fundamental_2016
27940833,fundamental_2016
27940821,fundamental_2016
27940581,fundamental_2016
27940580,fundamental_2016
27940577,fundamental_2016
27934767,fundamental_2016
27934766,fundamental_2016
27934763,fundamental_2016
27934762,fundamental_2016
27934728,fundamental_2016
27934726,fundamental_2016
27934724,fundamental_2016
27934723,fundamental_2016
27934722,fundamental_2016
27934717,fundamental_2016
27934715,fundamental_2016
27934711,fundamental_2016
27934709,fundamental_2016
27934708,fundamental_2016
27934701,fundamental_2016
27929026,fundamental_2016
27929021,fundamental_2016
27929020,fundamental_2016
27929019,fundamental_2016
27929010,fundamental_2016
27926737,fundamental_2016
27926736,fundamental_2016
