pmid,query_name
20042755,therapeutics_2009
20040544,therapeutics_2009
20018960,therapeutics_2009
20008765,therapeutics_2009
20008442,therapeutics_2009
20008435,therapeutics_2009
19996391,therapeutics_2009
19954833,therapeutics_2009
19954831,therapeutics_2009
19949133,therapeutics_2009
19945998,therapeutics_2009
19939444,therapeutics_2009
19917578,therapeutics_2009
19907043,therapeutics_2009
19906740,therapeutics_2009
19890122,therapeutics_2009
19887653,therapeutics_2009
19843890,therapeutics_2009
19828529,therapeutics_2009
19809014,therapeutics_2009
19808748,therapeutics_2009
19804760,therapeutics_2009
19801381,therapeutics_2009
19773568,therapeutics_2009
19755367,therapeutics_2009
19755363,therapeutics_2009
19748386,therapeutics_2009
19724047,therapeutics_2009
19710482,therapeutics_2009
19709734,therapeutics_2009
19706850,therapeutics_2009
19700510,therapeutics_2009
19699994,therapeutics_2009
19666684,therapeutics_2009
19656830,therapeutics_2009
19643825,therapeutics_2009
19625722,therapeutics_2009
19622822,therapeutics_2009
19608622,therapeutics_2009
19602676,therapeutics_2009
19589992,therapeutics_2009
19571283,therapeutics_2009
19564180,therapeutics_2009
19560587,therapeutics_2009
19553937,therapeutics_2009
19553645,therapeutics_2009
19516028,therapeutics_2009
19504667,therapeutics_2009
19487715,therapeutics_2009
19482871,therapeutics_2009
19482202,therapeutics_2009
19474015,therapeutics_2009
19454642,therapeutics_2009
19446327,therapeutics_2009
19437603,therapeutics_2009
19406889,therapeutics_2009
19383963,therapeutics_2009
19383958,therapeutics_2009
19351928,therapeutics_2009
19342581,therapeutics_2009
19339721,therapeutics_2009
19325182,therapeutics_2009
19325181,therapeutics_2009
19318656,therapeutics_2009
19299604,therapeutics_2009
19293074,therapeutics_2009
19282436,therapeutics_2009
19279342,therapeutics_2009
19278947,therapeutics_2009
19261674,therapeutics_2009
19246551,therapeutics_2009
19246549,therapeutics_2009
19246548,therapeutics_2009
19244196,therapeutics_2009
19239878,therapeutics_2009
19228616,therapeutics_2009
19228615,therapeutics_2009
19225522,therapeutics_2009
19224740,therapeutics_2009
19221375,therapeutics_2009
19213768,therapeutics_2009
19211472,therapeutics_2009
19179313,therapeutics_2009
19167055,therapeutics_2009
19167054,therapeutics_2009
19042013,therapeutics_2009
18848353,therapeutics_2009
