pmid,query_name
28452321,basic_2016
28100431,basic_2016
28054622,basic_2016
28041852,basic_2016
28041851,basic_2016
28041850,basic_2016
28041849,basic_2016
28041848,basic_2016
28030773,basic_2016
28027351,basic_2016
28024300,basic_2016
28024299,basic_2016
28024297,basic_2016
28024296,basic_2016
28017400,basic_2016
28017329,basic_2016
28017328,basic_2016
28008087,basic_2016
28008086,basic_2016
28008069,basic_2016
28008068,basic_2016
28008067,basic_2016
28008064,basic_2016
28008038,basic_2016
28008037,basic_2016
28008030,basic_2016
28008029,basic_2016
28008019,basic_2016
28008018,basic_2016
28008008,basic_2016
28007347,basic_2016
28005056,basic_2016
28002713,basic_2016
28002411,basic_2016
28002408,basic_2016
28002405,basic_2016
28002402,basic_2016
28002401,basic_2016
28002400,basic_2016
28002395,basic_2016
28002392,basic_2016
27997635,basic_2016
27992923,basic_2016
27992921,basic_2016
27992920,basic_2016
27992900,basic_2016
27992898,basic_2016
27992877,basic_2016
27988139,basic_2016
27984738,basic_2016
27984731,basic_2016
27984730,basic_2016
27984729,basic_2016
27984727,basic_2016
27984726,basic_2016
27984725,basic_2016
27984722,basic_2016
27984720,basic_2016
27984719,basic_2016
27984718,basic_2016
27984717,basic_2016
27984716,basic_2016
27984715,basic_2016
27980211,basic_2016
27980210,basic_2016
27980209,basic_2016
27980208,basic_2016
27980171,basic_2016
27980169,basic_2016
27980167,basic_2016
27980089,basic_2016
27980088,basic_2016
27980086,basic_2016
27974804,basic_2016
27974801,basic_2016
27974795,basic_2016
27974778,basic_2016
27974774,basic_2016
27974772,basic_2016
27974769,basic_2016
27974767,basic_2016
27974763,basic_2016
27974755,basic_2016
27974754,basic_2016
27974748,basic_2016
27974348,basic_2016
27974346,basic_2016
27968740,basic_2016
27965211,basic_2016
27965195,basic_2016
27959987,basic_2016
27959986,basic_2016
27940876,basic_2016
27940874,basic_2016
27940872,basic_2016
27940871,basic_2016
27940870,basic_2016
27940867,basic_2016
27940866,basic_2016
27940834,basic_2016
27940833,basic_2016
27940821,basic_2016
27940581,basic_2016
27940580,basic_2016
27940577,basic_2016
27934767,basic_2016
27934766,basic_2016
27934763,basic_2016
27934762,basic_2016
27934728,basic_2016
27934726,basic_2016
27934724,basic_2016
27934723,basic_2016
27934722,basic_2016
27934717,basic_2016
27934715,basic_2016
27934711,basic_2016
27934709,basic_2016
27934708,basic_2016
27934701,basic_2016
27929026,basic_2016
27929021,basic_2016
27929020,basic_2016
27929019,basic_2016
27929010,basic_2016
27926737,basic_2016
27926736,basic_2016
27926733,basic_2016
27926732,basic_2016
27926729,basic_2016
27926702,basic_2016
27926699,basic_2016
27919089,basic_2016
27919088,basic_2016
27919081,basic_2016
27919079,basic_2016
27919077,basic_2016
27919075,basic_2016
27919074,basic_2016
27919072,basic_2016
27919071,basic_2016
27919070,basic_2016
27919069,basic_2016
27919068,basic_2016
27919067,basic_2016
27919066,basic_2016
27919065,basic_2016
27916276,basic_2016
27914658,basic_2016
27912066,basic_2016
27912064,basic_2016
27912063,basic_2016
27912062,basic_2016
27912059,basic_2016
27912058,basic_2016
27912056,basic_2016
27912055,basic_2016
27912053,basic_2016
27912050,basic_2016
27912049,basic_2016
27908888,basic_2016
27906161,basic_2016
27906160,basic_2016
27905460,basic_2016
27905453,basic_2016
27905445,basic_2016
27905442,basic_2016
27905440,basic_2016
27905439,basic_2016
27905431,basic_2016
27905428,basic_2016
27905422,basic_2016
27905420,basic_2016
27905412,basic_2016
27898975,basic_2016
27894123,basic_2016
27893138,basic_2016
27889239,basic_2016
27889238,basic_2016
27885032,basic_2016
27885030,basic_2016
27885029,basic_2016
27885005,basic_2016
27885002,basic_2016
27884996,basic_2016
27884991,basic_2016
27884990,basic_2016
27884988,basic_2016
27884981,basic_2016
27884980,basic_2016
27884940,basic_2016
27884939,basic_2016
27882995,basic_2016
27882994,basic_2016
27882978,basic_2016
27882966,basic_2016
27882964,basic_2016
27882959,basic_2016
27881304,basic_2016
27881303,basic_2016
27881302,basic_2016
27881301,basic_2016
27881300,basic_2016
27880763,basic_2016
27880762,basic_2016
27880761,basic_2016
27880759,basic_2016
27871758,basic_2016
27871090,basic_2016
27871088,basic_2016
27869821,basic_2016
27863813,basic_2016
27863250,basic_2016
27863247,basic_2016
27863246,basic_2016
27863245,basic_2016
27863243,basic_2016
27863242,basic_2016
27863241,basic_2016
27863240,basic_2016
27863239,basic_2016
27863238,basic_2016
27863237,basic_2016
27863235,basic_2016
27863232,basic_2016
27856912,basic_2016
27856910,basic_2016
27856909,basic_2016
27856908,basic_2016
27856907,basic_2016
27856903,basic_2016
27856901,basic_2016
27856900,basic_2016
27856870,basic_2016
27856868,basic_2016
27856866,basic_2016
27856865,basic_2016
27856864,basic_2016
27856861,basic_2016
27856860,basic_2016
27856859,basic_2016
27856856,basic_2016
27856085,basic_2016
27853231,basic_2016
27853228,basic_2016
27853219,basic_2016
27853213,basic_2016
27853208,basic_2016
27853204,basic_2016
27853201,basic_2016
27852632,basic_2016
27851739,basic_2016
27851738,basic_2016
27851737,basic_2016
27851736,basic_2016
27851733,basic_2016
27846607,basic_2016
27846604,basic_2016
27846595,basic_2016
27846593,basic_2016
27846591,basic_2016
27846577,basic_2016
27846572,basic_2016
27846571,basic_2016
27846570,basic_2016
27846569,basic_2016
27846568,basic_2016
27846567,basic_2016
27846566,basic_2016
27846565,basic_2016
27846560,basic_2016
27846520,basic_2016
27846519,basic_2016
27846518,basic_2016
27846515,basic_2016
27846514,basic_2016
27846513,basic_2016
27846511,basic_2016
27846509,basic_2016
27846507,basic_2016
27846502,basic_2016
27846501,basic_2016
27846500,basic_2016
27846493,basic_2016
27846492,basic_2016
27846491,basic_2016
27846490,basic_2016
27846487,basic_2016
27846486,basic_2016
27846485,basic_2016
27846484,basic_2016
27846481,basic_2016
27846479,basic_2016
27846475,basic_2016
27846470,basic_2016
27846469,basic_2016
27845087,basic_2016
27845084,basic_2016
27842412,basic_2016
27842411,basic_2016
27842410,basic_2016
27842409,basic_2016
27842395,basic_2016
27842394,basic_2016
27842393,basic_2016
27842381,basic_2016
27841871,basic_2016
27839867,basic_2016
27839866,basic_2016
27839865,basic_2016
27836190,basic_2016
27834278,basic_2016
27834276,basic_2016
27832878,basic_2016
27832874,basic_2016
27832873,basic_2016
27831468,basic_2016
27830825,basic_2016
27830820,basic_2016
27830798,basic_2016
27830796,basic_2016
27830794,basic_2016
27830791,basic_2016
27830782,basic_2016
27828948,basic_2016
27828945,basic_2016
27828941,basic_2016
27828940,basic_2016
27825510,basic_2016
27825008,basic_2016
27821701,basic_2016
27820944,basic_2016
27815249,basic_2016
27814523,basic_2016
27814522,basic_2016
27814521,basic_2016
27814520,basic_2016
27814519,basic_2016
27814517,basic_2016
27814515,basic_2016
27814512,basic_2016
27814508,basic_2016
27811286,basic_2016
27811270,basic_2016
27811260,basic_2016
27811259,basic_2016
27811257,basic_2016
27811256,basic_2016
27811255,basic_2016
27811254,basic_2016
27811253,basic_2016
27811252,basic_2016
27811251,basic_2016
27811250,basic_2016
27811249,basic_2016
27811248,basic_2016
27811246,basic_2016
27811239,basic_2016
27811238,basic_2016
27806379,basic_2016
27806378,basic_2016
27806375,basic_2016
27806374,basic_2016
27708059,basic_2016
27708055,basic_2016
27708052,basic_2016
27808217,basic_2016
27808206,basic_2016
27808204,basic_2016
27808202,basic_2016
27808186,basic_2016
27806950,basic_2016
27806901,basic_2016
27806898,basic_2016
27799656,basic_2016
27799655,basic_2016
27783602,basic_2016
27783598,basic_2016
27783597,basic_2016
27783595,basic_2016
27783592,basic_2016
27776357,basic_2016
27776356,basic_2016
27776355,basic_2016
27776354,basic_2016
27760117,basic_2016
27760114,basic_2016
27760112,basic_2016
27750280,basic_2016
27750278,basic_2016
27749819,basic_2016
27749818,basic_2016
27732585,basic_2016
27732580,basic_2016
27706142,basic_2016
27706137,basic_2016
27680699,basic_2016
27654915,basic_2016
27806221,basic_2016
27802545,basic_2016
27802482,basic_2016
27799145,basic_2016
27799144,basic_2016
27583699,basic_2016
27798602,basic_2016
27798601,basic_2016
27797312,basic_2016
27775718,basic_2016
27775717,basic_2016
27749817,basic_2016
27749816,basic_2016
27749815,basic_2016
27652894,basic_2016
27642729,basic_2016
27792809,basic_2016
27789843,basic_2016
27789841,basic_2016
27789840,basic_2016
27789839,basic_2016
27789830,basic_2016
27789829,basic_2016
27789828,basic_2016
27789825,basic_2016
27789822,basic_2016
27789813,basic_2016
27789812,basic_2016
27789799,basic_2016
27789798,basic_2016
27789797,basic_2016
27789795,basic_2016
27789004,basic_2016
27708054,basic_2016
27581529,basic_2016
27492478,basic_2016
27786218,basic_2016
27786192,basic_2016
27760116,basic_2016
27760115,basic_2016
27760113,basic_2016
27732583,basic_2016
27732576,basic_2016
27732575,basic_2016
27698420,basic_2016
27698418,basic_2016
27680704,basic_2016
27784102,basic_2016
27784101,basic_2016
27783591,basic_2016
27783589,basic_2016
27668668,basic_2016
27777242,basic_2016
27776361,basic_2016
27773481,basic_2016
27768894,basic_2016
27768893,basic_2016
27768892,basic_2016
27768888,basic_2016
27768887,basic_2016
27768884,basic_2016
27768883,basic_2016
27768882,basic_2016
27768881,basic_2016
27768879,basic_2016
27765781,basic_2016
27745969,basic_2016
27720452,basic_2016
27720450,basic_2016
27720449,basic_2016
27762391,basic_2016
27762389,basic_2016
27762379,basic_2016
27762364,basic_2016
27762363,basic_2016
27762361,basic_2016
27758778,basic_2016
27756761,basic_2016
27732584,basic_2016
27732581,basic_2016
27732573,basic_2016
27698419,basic_2016
27680706,basic_2016
27626386,basic_2016
27595392,basic_2016
27754832,basic_2016
27751400,basic_2016
27479332,basic_2016
27750324,basic_2016
27750323,basic_2016
27750313,basic_2016
27750312,basic_2016
27750311,basic_2016
27750307,basic_2016
27750306,basic_2016
27750300,basic_2016
27479870,basic_2016
27478907,basic_2016
27429182,basic_2016
27738173,basic_2016
27738172,basic_2016
27738171,basic_2016
27738170,basic_2016
27738168,basic_2016
27738163,basic_2016
27738162,basic_2016
27738159,basic_2016
27738157,basic_2016
27738154,basic_2016
27738153,basic_2016
27738152,basic_2016
27738151,basic_2016
27738143,basic_2016
27738016,basic_2016
27738015,basic_2016
27738012,basic_2016
27737834,basic_2016
27737830,basic_2016
27734889,basic_2016
27734877,basic_2016
27734875,basic_2016
27734873,basic_2016
27734871,basic_2016
27734866,basic_2016
27734865,basic_2016
27734862,basic_2016
27734848,basic_2016
27733279,basic_2016
27732722,basic_2016
27732721,basic_2016
27729328,basic_2016
27727382,basic_2016
27727375,basic_2016
27717615,basic_2016
27717614,basic_2016
27717613,basic_2016
27717610,basic_2016
27717608,basic_2016
27717607,basic_2016
27716511,basic_2016
27716510,basic_2016
27716509,basic_2016
27716508,basic_2016
27716506,basic_2016
27716505,basic_2016
27716504,basic_2016
27716503,basic_2016
27716502,basic_2016
27716501,basic_2016
27716500,basic_2016
27716499,basic_2016
27708329,basic_2016
27708318,basic_2016
27708313,basic_2016
27708309,basic_2016
27708304,basic_2016
27708291,basic_2016
27708106,basic_2016
27708104,basic_2016
27708103,basic_2016
27708102,basic_2016
27708101,basic_2016
27708088,basic_2016
27708087,basic_2016
27708083,basic_2016
27708057,basic_2016
27708056,basic_2016
27708038,basic_2016
27708031,basic_2016
27708025,basic_2016
27708023,basic_2016
27708021,basic_2016
27708018,basic_2016
27708016,basic_2016
27708011,basic_2016
27708008,basic_2016
27707476,basic_2016
27706138,basic_2016
27706136,basic_2016
27706134,basic_2016
27705269,basic_2016
27702757,basic_2016
27701114,basic_2016
27701112,basic_2016
27701110,basic_2016
27701103,basic_2016
27699393,basic_2016
27699392,basic_2016
27698417,basic_2016
27698416,basic_2016
27693359,basic_2016
27693358,basic_2016
27693355,basic_2016
27693354,basic_2016
27693351,basic_2016
27682040,basic_2016
27682033,basic_2016
27680940,basic_2016
27680939,basic_2016
27680938,basic_2016
27680937,basic_2016
27680936,basic_2016
27680935,basic_2016
27680934,basic_2016
27680924,basic_2016
27680701,basic_2016
27680698,basic_2016
27680697,basic_2016
27673462,basic_2016
27673459,basic_2016
27671671,basic_2016
27671670,basic_2016
27669025,basic_2016
27669024,basic_2016
27669022,basic_2016
27668671,basic_2016
27667686,basic_2016
27662093,basic_2016
27662092,basic_2016
27662091,basic_2016
27662090,basic_2016
27662088,basic_2016
27662087,basic_2016
27662086,basic_2016
27662085,basic_2016
27662084,basic_2016
27662082,basic_2016
27654921,basic_2016
27654920,basic_2016
27654919,basic_2016
27654918,basic_2016
27654917,basic_2016
27654914,basic_2016
27654913,basic_2016
27654912,basic_2016
27654910,basic_2016
27653291,basic_2016
27652784,basic_2016
27652783,basic_2016
27652560,basic_2016
27650080,basic_2016
27641505,basic_2016
27641503,basic_2016
27641502,basic_2016
27641500,basic_2016
27634582,basic_2016
