pmid,query_name
11203085,diseases_2000
11191544,diseases_2000
11191540,diseases_2000
11191539,diseases_2000
11191535,diseases_2000
11191534,diseases_2000
11191533,diseases_2000
11191532,diseases_2000
11191531,diseases_2000
11191529,diseases_2000
11191528,diseases_2000
11191527,diseases_2000
11191524,diseases_2000
11191523,diseases_2000
11191522,diseases_2000
11191521,diseases_2000
11191518,diseases_2000
11191515,diseases_2000
11191514,diseases_2000
11191501,diseases_2000
11191500,diseases_2000
11191499,diseases_2000
11191491,diseases_2000
11191490,diseases_2000
11191484,diseases_2000
11191483,diseases_2000
11191482,diseases_2000
11191481,diseases_2000
11191473,diseases_2000
11191467,diseases_2000
11191465,diseases_2000
11188919,diseases_2000
11188918,diseases_2000
11188917,diseases_2000
11188916,diseases_2000
11188915,diseases_2000
11188067,diseases_2000
11188066,diseases_2000
11188065,diseases_2000
11187812,diseases_2000
11187710,diseases_2000
11187128,diseases_2000
11187126,diseases_2000
11187125,diseases_2000
11187092,diseases_2000
11186392,diseases_2000
11186376,diseases_2000
11185518,diseases_2000
11185517,diseases_2000
11185515,diseases_2000
11185508,diseases_2000
11185507,diseases_2000
11185494,diseases_2000
11184782,diseases_2000
11184781,diseases_2000
11184780,diseases_2000
11184779,diseases_2000
11184778,diseases_2000
11184735,diseases_2000
11184470,diseases_2000
11184469,diseases_2000
11184468,diseases_2000
11184467,diseases_2000
11184466,diseases_2000
11184465,diseases_2000
11184464,diseases_2000
11184463,diseases_2000
11184462,diseases_2000
11184461,diseases_2000
11184460,diseases_2000
11184459,diseases_2000
11184458,diseases_2000
11184245,diseases_2000
11184244,diseases_2000
11184242,diseases_2000
11184202,diseases_2000
11184201,diseases_2000
11183897,diseases_2000
11183896,diseases_2000
11183895,diseases_2000
11183892,diseases_2000
11183891,diseases_2000
11183890,diseases_2000
11183889,diseases_2000
11183888,diseases_2000
11183886,diseases_2000
11183885,diseases_2000
11183769,diseases_2000
11183747,diseases_2000
11183745,diseases_2000
11183744,diseases_2000
11183150,diseases_2000
11163181,diseases_2000
11163174,diseases_2000
10787255,diseases_2000
10755509,diseases_2000
10755497,diseases_2000
10755496,diseases_2000
10755484,diseases_2000
10755483,diseases_2000
10755481,diseases_2000
10753157,diseases_2000
10753153,diseases_2000
10753152,diseases_2000
10753150,diseases_2000
10753148,diseases_2000
10753147,diseases_2000
10753146,diseases_2000
10752719,diseases_2000
10752707,diseases_2000
10752706,diseases_2000
10752705,diseases_2000
10752702,diseases_2000
10752701,diseases_2000
10752700,diseases_2000
10752698,diseases_2000
10752697,diseases_2000
10752696,diseases_2000
10712029,diseases_2000
11147992,diseases_2000
11147989,diseases_2000
11147988,diseases_2000
11147987,diseases_2000
11147986,diseases_2000
11147973,diseases_2000
11145505,diseases_2000
11145493,diseases_2000
11145486,diseases_2000
11145485,diseases_2000
11145483,diseases_2000
11145482,diseases_2000
11142265,diseases_2000
11140689,diseases_2000
11140688,diseases_2000
11140686,diseases_2000
11140685,diseases_2000
11140684,diseases_2000
11136267,diseases_2000
11136265,diseases_2000
11136264,diseases_2000
11136262,diseases_2000
11136261,diseases_2000
11135781,diseases_2000
11135779,diseases_2000
11135778,diseases_2000
11135777,diseases_2000
11135776,diseases_2000
11130727,diseases_2000
11130726,diseases_2000
11130705,diseases_2000
11130528,diseases_2000
11130526,diseases_2000
11130525,diseases_2000
11130523,diseases_2000
11130522,diseases_2000
11130521,diseases_2000
11130520,diseases_2000
11130519,diseases_2000
11130518,diseases_2000
11130517,diseases_2000
11130516,diseases_2000
11130388,diseases_2000
11130387,diseases_2000
11130386,diseases_2000
11130384,diseases_2000
11130383,diseases_2000
11130378,diseases_2000
11130376,diseases_2000
11130375,diseases_2000
11125144,diseases_2000
11125143,diseases_2000
11125142,diseases_2000
11125141,diseases_2000
11125140,diseases_2000
11124206,diseases_2000
11124204,diseases_2000
11124203,diseases_2000
11124200,diseases_2000
11124199,diseases_2000
11124197,diseases_2000
11124189,diseases_2000
11124186,diseases_2000
11124176,diseases_2000
11124174,diseases_2000
11124173,diseases_2000
11124170,diseases_2000
11122592,diseases_2000
11122590,diseases_2000
11122588,diseases_2000
11122587,diseases_2000
11122586,diseases_2000
11119415,diseases_2000
11119401,diseases_2000
11119400,diseases_2000
11119397,diseases_2000
11119396,diseases_2000
11119394,diseases_2000
11118179,diseases_2000
11118177,diseases_2000
11118175,diseases_2000
11118174,diseases_2000
11117981,diseases_2000
11117980,diseases_2000
11117979,diseases_2000
11117978,diseases_2000
11117977,diseases_2000
11117976,diseases_2000
11117975,diseases_2000
11117974,diseases_2000
11117973,diseases_2000
11117945,diseases_2000
11117929,diseases_2000
11117916,diseases_2000
11117915,diseases_2000
11117914,diseases_2000
11117911,diseases_2000
11117908,diseases_2000
11117906,diseases_2000
