pmid,query_name
35058659,fundamental_2021
35016196,fundamental_2021
35016195,fundamental_2021
35016194,fundamental_2021
34965378,fundamental_2021
34965336,fundamental_2021
34963057,fundamental_2021
34949858,fundamental_2021
34942633,fundamental_2021
34942099,fundamental_2021
34942097,fundamental_2021
34942094,fundamental_2021
34941418,fundamental_2021
34941417,fundamental_2021
34941416,fundamental_2021
34941413,fundamental_2021
34941412,fundamental_2021
34941390,fundamental_2021
34941388,fundamental_2021
34937945,fundamental_2021
34937943,fundamental_2021
34937942,fundamental_2021
34937941,fundamental_2021
34937940,fundamental_2021
34937939,fundamental_2021
34937936,fundamental_2021
34937935,fundamental_2021
34937895,fundamental_2021
34937892,fundamental_2021
34937053,fundamental_2021
34937052,fundamental_2021
34936741,fundamental_2021
34933320,fundamental_2021
34932090,fundamental_2021
34931044,fundamental_2021
34929721,fundamental_2021
34929720,fundamental_2021
34919356,fundamental_2021
34914532,fundamental_2021
34914525,fundamental_2021
34914523,fundamental_2021
34914519,fundamental_2021
34914514,fundamental_2021
34914507,fundamental_2021
34914498,fundamental_2021
34912123,fundamental_2021
34912119,fundamental_2021
34912118,fundamental_2021
34912117,fundamental_2021
34912116,fundamental_2021
34912114,fundamental_2021
34912112,fundamental_2021
34912111,fundamental_2021
34912090,fundamental_2021
34912089,fundamental_2021
34912086,fundamental_2021
34912083,fundamental_2021
34912082,fundamental_2021
34911738,fundamental_2021
34910860,fundamental_2021
34905027,fundamental_2021
34890577,fundamental_2021
34890552,fundamental_2021
34890550,fundamental_2021
34890549,fundamental_2021
34882479,fundamental_2021
34882477,fundamental_2021
34882475,fundamental_2021
34882474,fundamental_2021
34882469,fundamental_2021
34882458,fundamental_2021
34882457,fundamental_2021
34882454,fundamental_2021
34882453,fundamental_2021
34882451,fundamental_2021
34882450,fundamental_2021
34882190,fundamental_2021
34880504,fundamental_2021
34880503,fundamental_2021
34880500,fundamental_2021
34880499,fundamental_2021
34880494,fundamental_2021
34880493,fundamental_2021
34880492,fundamental_2021
34880491,fundamental_2021
34880440,fundamental_2021
34880431,fundamental_2021
34880429,fundamental_2021
34880427,fundamental_2021
34879391,fundamental_2021
34879231,fundamental_2021
34879191,fundamental_2021
34875227,fundamental_2021
34875226,fundamental_2021
34874637,fundamental_2021
34863370,fundamental_2021
34862159,fundamental_2021
34861190,fundamental_2021
34856602,fundamental_2021
34856192,fundamental_2021
34856191,fundamental_2021
34856126,fundamental_2021
34855504,fundamental_2021
34855498,fundamental_2021
34855487,fundamental_2021
34855485,fundamental_2021
34855484,fundamental_2021
34855483,fundamental_2021
34855481,fundamental_2021
34855479,fundamental_2021
34855475,fundamental_2021
34853475,fundamental_2021
34853474,fundamental_2021
34853473,fundamental_2021
34853471,fundamental_2021
34853470,fundamental_2021
34853469,fundamental_2021
34853468,fundamental_2021
34853457,fundamental_2021
34853416,fundamental_2021
34852237,fundamental_2021
34847568,fundamental_2021
34845006,fundamental_2021
34840353,fundamental_2021
34838160,fundamental_2021
34838159,fundamental_2021
34837071,fundamental_2021
34836914,fundamental_2021
34836891,fundamental_2021
34822783,fundamental_2021
34822782,fundamental_2021
34822310,fundamental_2021
34822297,fundamental_2021
34822296,fundamental_2021
34822295,fundamental_2021
34822292,fundamental_2021
34822283,fundamental_2021
34822281,fundamental_2021
34822267,fundamental_2021
34819681,fundamental_2021
34819674,fundamental_2021
34819673,fundamental_2021
34819672,fundamental_2021
34819671,fundamental_2021
34819670,fundamental_2021
34819669,fundamental_2021
34819666,fundamental_2021
34819665,fundamental_2021
34819664,fundamental_2021
34819307,fundamental_2021
34819297,fundamental_2021
34818477,fundamental_2021
34818476,fundamental_2021
34815563,fundamental_2021
34813726,fundamental_2021
34801097,fundamental_2021
34801095,fundamental_2021
34800426,fundamental_2021
34798059,fundamental_2021
34797614,fundamental_2021
34797377,fundamental_2021
34795452,fundamental_2021
34794168,fundamental_2021
34793701,fundamental_2021
34793232,fundamental_2021
34793231,fundamental_2021
34793229,fundamental_2021
34793227,fundamental_2021
34793213,fundamental_2021
34793210,fundamental_2021
34793202,fundamental_2021
34793198,fundamental_2021
34793197,fundamental_2021
34789900,fundamental_2021
34789899,fundamental_2021
34789882,fundamental_2021
34789881,fundamental_2021
34789880,fundamental_2021
34789879,fundamental_2021
34789878,fundamental_2021
34789877,fundamental_2021
34789876,fundamental_2021
34788513,fundamental_2021
34782376,fundamental_2021
34776412,fundamental_2021
34774139,fundamental_2021
34774134,fundamental_2021
34774128,fundamental_2021
34772760,fundamental_2021
34767774,fundamental_2021
34767773,fundamental_2021
34767757,fundamental_2021
34764154,fundamental_2021
34762491,fundamental_2021
34762490,fundamental_2021
34762489,fundamental_2021
34762488,fundamental_2021
34762487,fundamental_2021
34762484,fundamental_2021
34762481,fundamental_2021
34762476,fundamental_2021
34762472,fundamental_2021
34762470,fundamental_2021
34762468,fundamental_2021
34762458,fundamental_2021
34762456,fundamental_2021
34762450,fundamental_2021
34759364,fundamental_2021
34759323,fundamental_2021
34759320,fundamental_2021
34759318,fundamental_2021
34759317,fundamental_2021
34759316,fundamental_2021
34759315,fundamental_2021
34759314,fundamental_2021
34759313,fundamental_2021
34759010,fundamental_2021
34759005,fundamental_2021
34758294,fundamental_2021
34754107,fundamental_2021
34753746,fundamental_2021
34752731,fundamental_2021
34751732,fundamental_2021
34751595,fundamental_2021
34750118,fundamental_2021
34740894,fundamental_2021
34739833,fundamental_2021
34739832,fundamental_2021
34739333,fundamental_2021
34739326,fundamental_2021
34739041,fundamental_2021
34737409,fundamental_2021
34735797,fundamental_2021
34735796,fundamental_2021
34735795,fundamental_2021
34735259,fundamental_2021
34735256,fundamental_2021
34735253,fundamental_2021
34735250,fundamental_2021
34735246,fundamental_2021
34735239,fundamental_2021
34735234,fundamental_2021
34735229,fundamental_2021
34735222,fundamental_2021
34735219,fundamental_2021
34735217,fundamental_2021
34732894,fundamental_2021
34732893,fundamental_2021
34732891,fundamental_2021
34732889,fundamental_2021
34732888,fundamental_2021
34732868,fundamental_2021
34731541,fundamental_2021
34728860,fundamental_2021
34726715,fundamental_2021
34726705,fundamental_2021
34726479,fundamental_2021
34725475,fundamental_2021
34725474,fundamental_2021
34725097,fundamental_2021
34715025,fundamental_2021
34715020,fundamental_2021
34715019,fundamental_2021
