pmid,query_name
17192543,translational_2006
17192540,translational_2006
17192539,translational_2006
17190897,translational_2006
17190895,translational_2006
17190598,translational_2006
17190592,translational_2006
17189037,translational_2006
17189036,translational_2006
17189017,translational_2006
17189016,translational_2006
17189015,translational_2006
17189013,translational_2006
17189012,translational_2006
17187052,translational_2006
17185717,translational_2006
17185708,translational_2006
17185596,translational_2006
17185589,translational_2006
17183323,translational_2006
17183314,translational_2006
17183313,translational_2006
17183312,translational_2006
17183270,translational_2006
17182998,translational_2006
17182985,translational_2006
17182091,translational_2006
17179460,translational_2006
17179059,translational_2006
17174891,translational_2006
17174888,translational_2006
17174711,translational_2006
17174709,translational_2006
17174707,translational_2006
17174693,translational_2006
17174692,translational_2006
17174691,translational_2006
17171825,translational_2006
17170418,translational_2006
17170417,translational_2006
17170306,translational_2006
17170297,translational_2006
17167487,translational_2006
17167479,translational_2006
17167475,translational_2006
17167474,translational_2006
17167471,translational_2006
17167135,translational_2006
17167133,translational_2006
17164458,translational_2006
17164456,translational_2006
17164454,translational_2006
17164443,translational_2006
17161731,translational_2006
17161715,translational_2006
17158581,translational_2006
17158580,translational_2006
17158403,translational_2006
17158402,translational_2006
17158389,translational_2006
17158387,translational_2006
17158386,translational_2006
17158329,translational_2006
17158318,translational_2006
17151667,translational_2006
17151370,translational_2006
17151366,translational_2006
17148723,translational_2006
17148721,translational_2006
17146063,translational_2006
17141710,translational_2006
17141707,translational_2006
17141688,translational_2006
17141687,translational_2006
17138998,translational_2006
17138902,translational_2006
17136093,translational_2006
17136085,translational_2006
17135588,translational_2006
17135587,translational_2006
17135582,translational_2006
17135581,translational_2006
17135580,translational_2006
17135579,translational_2006
17129779,translational_2006
17126726,translational_2006
17126703,translational_2006
17126702,translational_2006
17126701,translational_2006
17126698,translational_2006
17124324,translational_2006
17124322,translational_2006
17124225,translational_2006
17124224,translational_2006
17124027,translational_2006
17124016,translational_2006
17124014,translational_2006
17122772,translational_2006
17122771,translational_2006
17116918,translational_2006
17116915,translational_2006
17116914,translational_2006
17113430,translational_2006
17113428,translational_2006
17113426,translational_2006
17113407,translational_2006
17113405,translational_2006
17113403,translational_2006
17112576,translational_2006
17110724,translational_2006
17110580,translational_2006
17110338,translational_2006
17108954,translational_2006
17108346,translational_2006
17108338,translational_2006
17098089,translational_2006
17098067,translational_2006
17098066,translational_2006
17098065,translational_2006
17098064,translational_2006
17098062,translational_2006
17098061,translational_2006
17095784,translational_2006
17095700,translational_2006
17095681,translational_2006
17093448,translational_2006
17093443,translational_2006
17093250,translational_2006
17093246,translational_2006
17093245,translational_2006
17088583,translational_2006
17088581,translational_2006
17088580,translational_2006
17088313,translational_2006
17084762,translational_2006
17084760,translational_2006
17084759,translational_2006
17084742,translational_2006
17084739,translational_2006
17084738,translational_2006
17082561,translational_2006
17082548,translational_2006
17082448,translational_2006
17081970,translational_2006
17081968,translational_2006
17081963,translational_2006
17080092,translational_2006
17080083,translational_2006
17079764,translational_2006
17077379,translational_2006
17077377,translational_2006
17077375,translational_2006
17071284,translational_2006
17071283,translational_2006
17071264,translational_2006
17068248,translational_2006
17068223,translational_2006
17068038,translational_2006
17068035,translational_2006
17068034,translational_2006
17066036,translational_2006
17065646,translational_2006
17065642,translational_2006
17065640,translational_2006
17065636,translational_2006
17062633,translational_2006
17060337,translational_2006
17055947,translational_2006
17055944,translational_2006
17055924,translational_2006
17055439,translational_2006
17055431,translational_2006
17055430,translational_2006
17055429,translational_2006
17055427,translational_2006
17053248,translational_2006
17053246,translational_2006
17053236,translational_2006
17053139,translational_2006
17053135,translational_2006
17053109,translational_2006
17053108,translational_2006
17051207,translational_2006
17051206,translational_2006
17051205,translational_2006
17051204,translational_2006
17051202,translational_2006
17051156,translational_2006
17050894,translational_2006
17050887,translational_2006
17047218,translational_2006
17047217,translational_2006
17046469,translational_2006
17046449,translational_2006
17046445,translational_2006
17046444,translational_2006
17046443,translational_2006
17043343,translational_2006
17043340,translational_2006
17038738,translational_2006
17038736,translational_2006
17038735,translational_2006
17035656,translational_2006
17035653,translational_2006
17035650,translational_2006
17027710,translational_2006
17027709,translational_2006
17024086,translational_2006
17023661,translational_2006
17023660,translational_2006
17023659,translational_2006
17023467,translational_2006
17021325,translational_2006
17021323,translational_2006
17021322,translational_2006
17021315,translational_2006
17018805,translational_2006
17018283,translational_2006
17018277,translational_2006
17018274,translational_2006
17015871,translational_2006
17015870,translational_2006
17011948,translational_2006
17011944,translational_2006
17011928,translational_2006
17011926,translational_2006
17008669,translational_2006
17008531,translational_2006
17006452,translational_2006
17006451,translational_2006
17005960,translational_2006
17005950,translational_2006
17005947,translational_2006
17003399,translational_2006
16997665,translational_2006
16997650,translational_2006
16990547,translational_2006
16990542,translational_2006
16990538,translational_2006
16990388,translational_2006
16990325,translational_2006
16990324,translational_2006
16990294,translational_2006
16990131,translational_2006
16990128,translational_2006
16990125,translational_2006
16988702,translational_2006
16985229,translational_2006
16985228,translational_2006
16984924,translational_2006
16983133,translational_2006
16980096,translational_2006
16980092,translational_2006
16974014,translational_2006
16974013,translational_2006
16973841,translational_2006
16971721,translational_2006
16971720,translational_2006
16971715,translational_2006
16968850,translational_2006
16968849,translational_2006
16968832,translational_2006
16968831,translational_2006
16964241,translational_2006
16962885,translational_2006
16962882,translational_2006
16962862,translational_2006
16962861,translational_2006
16960210,translational_2006
16960209,translational_2006
16959974,translational_2006
16959576,translational_2006
16959566,translational_2006
16959564,translational_2006
16957739,translational_2006
16957149,translational_2006
16957146,translational_2006
16954360,translational_2006
16954357,translational_2006
16950367,translational_2006
16950366,translational_2006
16950365,translational_2006
16950362,translational_2006
16950343,translational_2006
16950340,translational_2006
16950339,translational_2006
16946340,translational_2006
16946338,translational_2006
16946033,translational_2006
16943403,translational_2006
16943399,translational_2006
16935691,translational_2006
16935690,translational_2006
16935687,translational_2006
16935670,translational_2006
16935668,translational_2006
16935667,translational_2006
16935666,translational_2006
16931765,translational_2006
16931751,translational_2006
16931742,translational_2006
16929565,translational_2006
16928997,translational_2006
16928994,translational_2006
16928993,translational_2006
16928990,translational_2006
16926357,translational_2006
16926356,translational_2006
16926355,translational_2006
16923396,translational_2006
