pmid,year
13008307,1952
13008306,1952
13008305,1952
13008304,1952
13008303,1952
13008302,1952
13008301,1952
13008300,1952
13008299,1952
13008298,1952
13008297,1952
13008296,1952
13008295,1952
13008294,1952
13008293,1952
13008292,1952
13008291,1952
13008290,1952
13008289,1952
12986617,1952
12986616,1952
12986615,1952
12986614,1952
12986613,1952
12986612,1952
12986611,1952
12986610,1952
12986609,1952
12986608,1952
12986607,1952
12986606,1952
12986605,1952
12986604,1952
12986603,1952
12986602,1952
12986601,1952
12986600,1952
12986599,1952
12976986,1952
12976985,1952
12976984,1952
12976983,1952
12976982,1952
12976981,1952
12976980,1952
12976979,1952
12976978,1952
12976977,1952
12976976,1952
12976975,1952
12976974,1952
12976973,1952
12976972,1952
12976971,1952
12976970,1952
12976969,1952
12976968,1952
12976967,1952
12976966,1952
12976965,1952
12976964,1952
12976963,1952
12976962,1952
12976961,1952
12976960,1952
12976959,1952
12976958,1952
12976957,1952
12976956,1952
12976955,1952
12976954,1952
12976953,1952
12976952,1952
12976951,1952
12976950,1952
12976949,1952
12976948,1952
12976947,1952
12976946,1952
12976945,1952
12976944,1952
12976943,1952
14944128,1952
14944127,1952
14944126,1952
14944125,1952
14944124,1952
14944123,1952
14944122,1952
14944121,1952
14944120,1952
14944119,1952
14944118,1952
14944117,1952
14944116,1952
14944115,1952
14944114,1952
14944113,1952
14944112,1952
14944111,1952
14944110,1952
14944109,1952
14944108,1952
14944107,1952
14944106,1952
14933993,1952
14933992,1952
14933991,1952
14933990,1952
14933989,1952
14933988,1952
14933987,1952
14933986,1952
14933985,1952
14933984,1952
14933983,1952
14933982,1952
14933981,1952
14933980,1952
14933979,1952
14933978,1952
14933977,1952
14933976,1952
14933975,1952
14933974,1952
14933973,1952
14924490,1952
14924489,1952
14924488,1952
14924487,1952
14924486,1952
14924485,1952
14924484,1952
14924483,1952
14924482,1952
14924481,1952
14924480,1952
14924479,1952
14924478,1952
14924477,1952
14924476,1952
14924475,1952
14924474,1952
14924473,1952
14924472,1952
14924471,1952
14924470,1952
14924469,1952
14924468,1952
14924467,1952
14924466,1952
14924465,1952
14924464,1952
14924463,1952
14924462,1952
14924461,1952
14924460,1952
14924459,1952
14924458,1952
14924457,1952
14924456,1952
14924455,1952
14924454,1952
14924453,1952
14924452,1952
14915393,1952
14915392,1952
14915391,1952
14915390,1952
14915389,1952
14915388,1952
14915387,1952
14915386,1952
14915385,1952
14915384,1952
14915383,1952
14915382,1952
14915381,1952
14915380,1952
14915379,1952
14915378,1952
14915377,1952
14915376,1952
14915375,1952
14915374,1952
14915373,1952
14903796,1952
14903795,1952
14903794,1952
14903793,1952
14903792,1952
14903791,1952
14903790,1952
14903789,1952
14903788,1952
14903787,1952
14903786,1952
14903785,1952
14903784,1952
14903783,1952
14903782,1952
14903781,1952
14903780,1952
14895063,1952
14895062,1952
14895061,1952
14895060,1952
14895059,1952
14895058,1952
14895057,1952
14895056,1952
14895055,1952
14895054,1952
14895053,1952
14895052,1952
14895051,1952
14895050,1952
14895049,1952
14895048,1952
14895047,1952
14895046,1952
14895045,1952
14895044,1952
14895043,1952
14895042,1952
14895041,1952
14895040,1952
14895039,1952
14895038,1952
14895037,1952
14895036,1952
14895035,1952
14895034,1952
14895033,1952
14895032,1952
14895031,1952
14895030,1952
14895029,1952
14895028,1952
14895027,1952
14895026,1952
14895025,1952
14895024,1952
14895023,1952
14895022,1952
14895021,1952
14895020,1952
14895019,1952
