pmid,year
20789311,1961
20789310,1961
20789309,1961
20789308,1961
14496862,1961
14482160,1961
14455935,1961
14452236,1961
14037964,1961
13919978,1961
13909941,1961
13905463,1961
13904007,1961
13895592,1961
13883257,1961
13880097,1961
13875827,1961
20789307,1961
20789306,1961
20789305,1961
20789304,1961
14481709,1961
14456163,1961
14455390,1961
13907741,1961
13906426,1961
13903151,1961
13891992,1961
13890367,1961
13887551,1961
13877135,1961
13874237,1961
13868348,1961
13864669,1961
20789303,1961
20789302,1961
20789301,1961
20789300,1961
14495426,1961
14490636,1961
14471813,1961
14466956,1961
14462617,1961
14455595,1961
13911416,1961
13910109,1961
13906532,1961
13892290,1961
13884617,1961
13880254,1961
13879672,1961
13866410,1961
20789299,1961
20789298,1961
20789297,1961
20789296,1961
14464580,1961
14004626,1961
13923028,1961
13921126,1961
13912301,1961
13910160,1961
13888225,1961
13883845,1961
13882443,1961
13876696,1961
13868802,1961
13861143,1961
20789295,1961
20789294,1961
20789293,1961
20789292,1961
20789291,1961
20789290,1961
20789289,1961
14487762,1961
14477491,1961
14455772,1961
14450163,1961
13923194,1961
13906655,1961
13859280,1961
20789288,1961
20789287,1961
20789286,1961
20789285,1961
20789284,1961
20789283,1961
14492777,1961
14488400,1961
14487761,1961
14487678,1961
14457353,1961
14450619,1961
13909975,1961
13908025,1961
13904247,1961
13873311,1961
20789282,1961
20789281,1961
20789280,1961
20789279,1961
20789278,1961
20789277,1961
20789276,1961
20789275,1961
14494711,1961
14488049,1961
14482201,1961
14480933,1961
14477957,1961
14473951,1961
14470051,1961
14456303,1961
14006582,1961
13920964,1961
13917865,1961
13899111,1961
20789274,1961
20789273,1961
20789272,1961
20789271,1961
20789270,1961
20789269,1961
14466060,1961
14448799,1961
13904381,1961
13901318,1961
13901154,1961
13899545,1961
13883986,1961
13880515,1961
13879669,1961
13875830,1961
13871449,1961
13860216,1961
20789268,1961
20789267,1961
20789266,1961
20789265,1961
20789264,1961
14497750,1961
14471934,1961
14452270,1961
14450579,1961
13910517,1961
13908077,1961
13896870,1961
13889122,1961
13881084,1961
20789263,1961
20789262,1961
20789261,1961
20789260,1961
20789259,1961
14496667,1961
14490791,1961
14484180,1961
14448787,1961
13888701,1961
13866411,1961
13865100,1961
13859148,1961
20789258,1961
20789257,1961
20789256,1961
20789255,1961
14496844,1961
14456162,1961
14452136,1961
13909680,1961
13905442,1961
13884608,1961
13880833,1961
20789254,1961
20789253,1961
20789252,1961
20789251,1961
20789250,1961
14474594,1961
14452159,1961
14039156,1961
14037284,1961
13920809,1961
13912713,1961
13894512,1961
13889935,1961
13886968,1961
13883410,1961
13879427,1961
20789249,1961
20789248,1961
20789247,1961
20789246,1961
20789245,1961
14447716,1961
13775627,1961
13758712,1961
13728769,1961
13714204,1961
13697946,1961
13696115,1961
13689099,1961
13681206,1961
20789244,1961
20789243,1961
20789242,1961
20789241,1961
14447806,1961
14447639,1961
13789834,1961
13783458,1961
13769313,1961
13724978,1961
13716859,1961
13706173,1961
13705897,1961
13702560,1961
20789240,1961
20789239,1961
20789238,1961
20789237,1961
20789236,1961
14447727,1961
14447350,1961
13785126,1961
13782962,1961
13774154,1961
13773383,1961
13764753,1961
13757371,1961
13748431,1961
13736398,1961
13726328,1961
13725739,1961
13710817,1961
20789235,1961
20789234,1961
20789233,1961
20789232,1961
20789231,1961
13785815,1961
13781160,1961
13773988,1961
13741092,1961
13728183,1961
13710702,1961
13689147,1961
20789230,1961
20789229,1961
20789228,1961
20789227,1961
14447791,1961
13786487,1961
13785377,1961
13743532,1961
13722386,1961
13720309,1961
13713724,1961
13712594,1961
13702326,1961
13694441,1961
13691022,1961
20789226,1961
20789225,1961
20789224,1961
20789223,1961
20789222,1961
20789221,1961
20789220,1961
14447832,1961
13777277,1961
13776565,1961
13768325,1961
13764965,1961
13737632,1961
13733910,1961
13717353,1961
13696461,1961
13693301,1961
20789219,1961
20789218,1961
20789217,1961
20789216,1961
20789215,1961
20789214,1961
13773989,1961
13764640,1961
13735860,1961
13723224,1961
13720040,1961
13717622,1961
13712620,1961
13708438,1961
13696092,1961
13692266,1961
20789213,1961
20789212,1961
14447765,1961
14447728,1961
14447444,1961
14447406,1961
13789585,1961
13750589,1961
13747030,1961
13737630,1961
13720287,1961
13716892,1961
13703619,1961
13690214,1961
20789211,1961
20789210,1961
20789209,1961
20789208,1961
14447802,1961
14447707,1961
14447351,1961
13786851,1961
13786128,1961
13777764,1961
13765722,1961
13715544,1961
13703617,1961
13691639,1961
13687896,1961
13685954,1961
20789207,1961
20789206,1961
14447757,1961
14447631,1961
14447442,1961
14447288,1961
13786127,1961
13783131,1961
13763958,1961
13737606,1961
13732873,1961
13718565,1961
13713280,1961
13711560,1961
13711541,1961
13701516,1961
13695348,1961
13691330,1961
20789205,1961
20789204,1961
20789203,1961
20789202,1961
20789201,1961
20789200,1961
13765325,1961
13722671,1961
13719567,1961
13719566,1961
13706303,1961
13699369,1961
13683312,1961
20789199,1961
20789198,1961
20789197,1961
20789196,1961
20789195,1961
14447686,1961
14447375,1961
14447266,1961
14447251,1961
13786492,1961
13770705,1961
13768298,1961
13757242,1961
13742934,1961
13724060,1961
13708190,1961
20789194,1961
20789193,1961
20789192,1961
20789191,1961
20789190,1961
13789738,1961
13774841,1961
13774330,1961
13762916,1961
13750653,1961
13733646,1961
13726611,1961
13718550,1961
13699797,1961
13681097,1961
20789189,1961
20789188,1961
20789187,1961
20789186,1961
20789185,1961
20789184,1961
14447787,1961
13774385,1961
13774191,1961
13770930,1961
13767212,1961
13760394,1961
13749449,1961
13742822,1961
13737994,1961
13694879,1961
13691122,1961
20789183,1961
