pmid,year
2261646,1990
2261645,1990
2261644,1990
2261643,1990
2261642,1990
2261641,1990
2261640,1990
2261639,1990
2261638,1990
2261637,1990
2261636,1990
2261635,1990
2261634,1990
2175679,1990
2175678,1990
2175677,1990
2175676,1990
2148123,1990
2124519,1990
2124518,1990
2124517,1990
2124516,1990
1979758,1990
1979757,1990
1702034,1990
1702033,1990
2257629,1990
2257628,1990
2257627,1990
2257626,1990
2257625,1990
2257624,1990
2257623,1990
2257622,1990
2257621,1990
2175256,1990
2175255,1990
2175254,1990
2147873,1990
2147872,1990
2124176,1990
2124175,1990
1979526,1990
1979525,1990
1979524,1990
1979523,1990
1701694,1990
1701693,1990
1701692,1990
1701691,1990
2225078,1990
2225077,1990
2225076,1990
2225075,1990
2225074,1990
2225073,1990
2225072,1990
2225071,1990
2225070,1990
2225069,1990
2171782,1990
2171781,1990
2146029,1990
2121371,1990
2121370,1990
2121369,1990
2121368,1990
2121367,1990
2121366,1990
1977523,1990
1699669,1990
2225068,1990
2225067,1990
2225066,1990
2225065,1990
2225064,1990
2225063,1990
2225062,1990
2225061,1990
2225059,1990
2171780,1990
2171779,1990
2171778,1990
2171777,1990
2146028,1990
2121365,1990
2121364,1990
1977522,1990
1699668,1990
1699667,1990
1699666,1990
2208292,1990
2208291,1990
2208290,1990
2208289,1990
2208288,1990
2208287,1990
2208286,1990
2208285,1990
2208284,1990
2170029,1990
2170028,1990
2170027,1990
2170026,1990
2170025,1990
2170024,1990
2170023,1990
2145076,1990
2119891,1990
2119890,1990
2119889,1990
2242162,1990
2208283,1990
2208282,1990
2208281,1990
2208280,1990
2208279,1990
2208278,1990
2208277,1990
2208276,1990
2208275,1990
2208274,1990
2170022,1990
2170021,1990
2170020,1990
2170019,1990
2170018,1990
2170017,1990
1698558,1990
1698557,1990
1698556,1990
1698555,1990
1698554,1990
1698553,1990
2401011,1990
2401010,1990
2205398,1990
2205397,1990
2205396,1990
2205395,1990
2205394,1990
2169353,1990
2169352,1990
2169351,1990
2169350,1990
2169349,1990
2169348,1990
2144792,1990
2119256,1990
2119255,1990
1976044,1990
1698126,1990
1698125,1990
2393905,1990
2393904,1990
2203541,1990
2203540,1990
2203539,1990
2203538,1990
2203537,1990
2203536,1990
2203535,1990
2203534,1990
2203533,1990
2203532,1990
2203531,1990
2168293,1990
2144212,1990
1975517,1990
1975516,1990
1975515,1990
1697508,1990
2386994,1990
2201453,1990
2201452,1990
2201451,1990
2201450,1990
2201449,1990
2167180,1990
2167179,1990
2167178,1990
2167177,1990
2167176,1990
2167175,1990
2143700,1990
2143699,1990
2143698,1990
2143697,1990
2117501,1990
2117500,1990
1974828,1990
1696852,1990
1696851,1990
2379240,1990
2379239,1990
2379238,1990
2379237,1990
2199065,1990
2199064,1990
2199063,1990
2199062,1990
2165866,1990
2165865,1990
2165864,1990
2165863,1990
2143105,1990
2116238,1990
2116237,1990
2116236,1990
1974172,1990
1696181,1990
1696180,1990
1696179,1990
1696178,1990
1696177,1990
1696176,1990
2372828,1990
2196997,1990
2196996,1990
2196995,1990
2196994,1990
2164891,1990
2164890,1990
2164889,1990
2164888,1990
2164887,1990
2142620,1990
2115402,1990
2115401,1990
1973634,1990
1695552,1990
1695551,1990
1695550,1990
1695549,1990
2364435,1990
2364434,1990
2364433,1990
2364432,1990
2194676,1990
2194675,1990
2194674,1990
2194673,1990
2194672,1990
2163770,1990
2163769,1990
2163768,1990
2163767,1990
2163766,1990
2163765,1990
2163764,1990
2163763,1990
2163762,1990
2114220,1990
2114219,1990
1973075,1990
1694728,1990
1694727,1990
1694726,1990
2364431,1990
2364430,1990
2364429,1990
2364428,1990
2364427,1990
2364426,1990
2194671,1990
2194670,1990
2194669,1990
2194668,1990
2194667,1990
2194666,1990
2194665,1990
2194664,1990
2163761,1990
2163760,1990
2163759,1990
2163758,1990
2142019,1990
2142018,1990
1973074,1990
1694725,1990
1694724,1990
1694723,1990
2350786,1990
2350785,1990
2350784,1990
2350783,1990
2350782,1990
2190694,1990
2190693,1990
2190692,1990
2190691,1990
2190690,1990
2161707,1990
2140958,1990
2140957,1990
2112428,1990
2112427,1990
2112426,1990
2112425,1990
1972037,1990
1972036,1990
1693547,1990
1693546,1990
1693545,1990
2344618,1990
2344617,1990
2344616,1990
2344615,1990
2188737,1990
2188736,1990
2188735,1990
2188734,1990
2160860,1990
2160859,1990
2160858,1990
2160857,1990
2140530,1990
2140529,1990
2140528,1990
2111735,1990
2111734,1990
1971524,1990
1693097,1990
2344614,1990
2344613,1990
2344612,1990
2188733,1990
2188732,1990
2188731,1990
2188730,1990
2188729,1990
2160856,1990
2160855,1990
2160854,1990
2160853,1990
2111733,1990
2111732,1990
2111731,1990
1693096,1990
1693095,1990
2185893,1990
2185892,1990
2185891,1990
2185890,1990
2185889,1990
2185888,1990
2185887,1990
2159385,1990
2159384,1990
2159383,1990
2139805,1990
2110508,1990
2110507,1990
2110506,1990
1970762,1990
1970761,1990
1692263,1990
1691958,1990
2331752,1990
2331751,1990
2331750,1990
2331749,1990
2331748,1990
2184942,1990
2184941,1990
2184940,1990
2158863,1990
2158862,1990
2158861,1990
2158860,1990
2158859,1990
2110031,1990
1970515,1990
1970514,1990
1691957,1990
2317872,1990
2317870,1990
2180585,1990
2180584,1990
2180583,1990
2180582,1990
2180581,1990
2156630,1990
2156629,1990
2156628,1990
2156626,1990
2107982,1990
2107981,1990
2107980,1990
1969332,1990
1690605,1990
1690604,1990
1690603,1990
2317869,1990
2317868,1990
2317867,1990
2317866,1990
2317865,1990
2317864,1990
2317863,1990
2317862,1990
2180580,1990
2180579,1990
2180578,1990
2156625,1990
2156624,1990
2138514,1990
2138513,1990
2138512,1990
2138511,1990
1690602,1990
2311122,1990
2178778,1990
2178777,1990
2178776,1990
2155708,1990
2155707,1990
2155706,1990
2138058,1990
2138057,1990
2107028,1990
2107027,1990
2107026,1990
2107025,1990
2107024,1990
2107023,1990
2107022,1990
1690079,1990
2406030,1990
2406029,1990
2406028,1990
2406027,1990
2406026,1990
2406025,1990
2406023,1990
2302736,1990
2137374,1990
2137373,1990
2105847,1990
2105846,1990
1967983,1990
1967982,1990
1689218,1990
1689217,1990
1689216,1990
2406022,1990
2406021,1990
2406020,1990
2406019,1990
2406018,1990
2406017,1990
2302735,1990
2302734,1990
2302733,1990
2302732,1990
2154335,1990
2154334,1990
2154333,1990
2154332,1990
2137372,1990
1967981,1990
1967980,1990
2404613,1990
2404612,1990
2404611,1990
2404610,1990
2404609,1990
2297790,1990
2297789,1990
2297788,1990
2153463,1990
2153462,1990
2153461,1990
2153460,1990
2137030,1990
2105166,1990
1967554,1990
1688738,1990
1688737,1990
2403844,1990
2403843,1990
2403842,1990
2403841,1990
2295091,1990
2295090,1990
2295089,1990
2295088,1990
2295087,1990
2295086,1990
2153056,1990
2153055,1990
2153054,1990
2153053,1990
2153052,1990
2136805,1990
2104777,1990
1688513,1990
