pmid,year
18938746,2007
18938744,2007
18938743,2007
18938742,2007
18938741,2007
18938740,2007
18399026,2007
18399025,2007
18383627,2007
18380066,2007
18371409,2007
18371408,2007
18371407,2007
18371406,2007
18371405,2007
18371403,2007
18371402,2007
18371401,2007
18371400,2007
18371399,2007
18371398,2007
18371397,2007
18371396,2007
18371395,2007
18371394,2007
18371393,2007
18371392,2007
18371391,2007
18371390,2007
18371382,2007
18371381,2007
18371380,2007
18371379,2007
18371378,2007
18371377,2007
18371376,2007
18371373,2007
18371372,2007
18371371,2007
18371370,2007
18371369,2007
18371368,2007
18371367,2007
18371366,2007
18371365,2007
18371364,2007
18371363,2007
18371362,2007
18371361,2007
18371360,2007
18371359,2007
18371357,2007
18371356,2007
18371355,2007
18371354,2007
18371353,2007
18371352,2007
18371351,2007
18371350,2007
18371349,2007
18371348,2007
18371346,2007
18371345,2007
18371344,2007
18371343,2007
18371342,2007
18371341,2007
18371340,2007
18371339,2007
18371338,2007
18371337,2007
18371336,2007
18371335,2007
18371333,2007
18371332,2007
18371331,2007
18371330,2007
18371328,2007
18371327,2007
18371326,2007
18371325,2007
18345353,2007
18213359,2007
18159219,2007
