pmid,year
37036720,2022
36440960,2022
36421039,2022
36421020,2022
36421017,2022
36421014,2022
36421008,2022
36415994,2022
36412933,2022
36412518,2022
36412513,2022
36412511,2022
36412502,2022
36398584,2022
36398583,2022
36394534,2022
36394528,2022
36394527,2022
36394523,2022
36383399,2022
36374263,2022
36374259,2022
36374251,2022
36374250,2022
36370122,2022
36350008,2022
36349991,2022
36349990,2022
36349989,2022
36342387,2022
36333987,2022
36331561,2022
36331552,2022
36331546,2022
36331537,2022
36322029,2022
36322028,2022
36315192,2022
36315163,2022
36314562,2022
36305891,2022
36305462,2022
36287614,2022
36273308,2022
36269304,2022
36269280,2022
36269019,2022
36260317,2022
36260291,2022
36259445,2022
36251411,2022
36251410,2022
36251357,2022
36250984,2022
36250975,2022
36250963,2022
36250950,2022
36250931,2022
36250925,2022
36250924,2022
36250920,2022
36250916,2022
36250915,2022
36250902,2022
36250393,2022
36250380,2022
36250347,2022
36250337,2022
36208295,2022
36208290,2022
36208289,2022
36205325,2022
36197688,2022
36197455,2022
36197017,2022
36196997,2022
36190443,2022
36190433,2022
36190431,2022
36190314,2022
36189652,2022
36183361,2022
36183353,2022
36183339,2022
36183332,2022
36183323,2022
36165267,2022
36165236,2022
36165231,2022
36165227,2022
36165222,2022
36165221,2022
36165219,2022
36165217,2022
36165194,2022
36165177,2022
36125067,2022
36125047,2022
36125044,2022
36125010,2022
36125006,2022
36121701,2022
36111987,2022
36111980,2022
36111973,2022
36106554,2022
36106538,2022
36106439,2022
36098482,2022
36098469,2022
36098436,2022
36094323,2022
36094052,2022
36094000,2022
36083102,2022
36083096,2022
36070186,2022
36070139,2022
36070077,2022
36065711,2022
36065633,2022
36065631,2022
36063138,2022
36063130,2022
36063128,2022
36063123,2022
36063107,2022
36057093,2022
36052752,2022
36052742,2022
36052712,2022
36036554,2022
36036542,2022
36036527,2022
36006656,2022
36006032,2022
36004615,2022
36004605,2022
36004579,2022
36001064,2022
35998000,2022
35997997,2022
35997299,2022
35983825,2022
35980507,2022
35976173,2022
35976172,2022
35971779,2022
35971776,2022
35971745,2022
35971743,2022
35969180,2022
35969160,2022
35969153,2022
35969149,2022
35969144,2022
35959877,2022
35959876,2022
35959867,2022
35959865,2022
35947136,2022
35947125,2022
35947121,2022
35947115,2022
35947089,2022
35929441,2022
35929438,2022
35929425,2022
35929417,2022
35920299,2022
35920200,2022
35916021,2022
35916017,2022
35913801,2022
35899478,2022
35899468,2022
35899460,2022
35881391,2022
35881071,2022
35881062,2022
35869938,2022
35867348,2022
35867073,2022
35867072,2022
35867070,2022
35867045,2022
35857314,2022
35848638,2022
35839071,2022
35839070,2022
35839067,2022
35838947,2022
35838893,2022
35838582,2022
35830259,2022
35816277,2022
35816276,2022
35816173,2022
35816159,2022
35816155,2022
35816153,2022
35815932,2022
35792898,2022
35792897,2022
35792886,2022
35792869,2022
35792861,2022
35781326,2022
35779042,2022
35775626,2022
35766235,2022
35766190,2022
35747929,2022
35747925,2022
35747924,2022
35747913,2022
35747912,2022
35734962,2022
35726676,2022
35723884,2022
35723877,2022
35723876,2022
35723872,2022
35723871,2022
35716070,2022
35713937,2022
35713935,2022
35713934,2022
35713587,2022
35713583,2022
35713568,2022
35713567,2022
35713543,2022
35704337,2022
35704312,2022
35704036,2022
35699080,2022
35696068,2022
35696055,2022
35695814,2022
35695811,2022
35695805,2022
35691001,2022
35690926,2022
35670763,2022
35670755,2022
35670745,2022
35665537,2022
35661421,2022
35661419,2022
35661268,2022
35657606,2022
35657599,2022
35657209,2022
35648632,2022
35648586,2022
35639425,2022
35639422,2022
35639414,2022
35639289,2022
35639049,2022
35639028,2022
35635726,2022
35635723,2022
35635715,2022
35621716,2022
35621709,2022
35621522,2022
35621121,2022
35616366,2022
35616355,2022
35616343,2022
35608902,2022
35608889,2022
35608871,2022
35604751,2022
35596683,2022
35596679,2022
35593742,2022
35593740,2022
35593587,2022
35593531,2022
35583908,2022
35583907,2022
35579890,2022
35579877,2022
35579659,2022
35579628,2022
35567505,2022
35535564,2022
35532744,2022
35532550,2022
35524750,2022
35524736,2022
35522243,2022
35506590,2022
35506565,2022
35503088,2022
35486025,2022
35486004,2022
35486003,2022
35485981,2022
35478358,2022
35476363,2022
35476303,2022
35474468,2022
35471771,2022
