pmid,query_name
13013339,fundamental_1952
13013337,fundamental_1952
13013336,fundamental_1952
13013335,fundamental_1952
13013333,fundamental_1952
13013332,fundamental_1952
13013331,fundamental_1952
13013330,fundamental_1952
13013329,fundamental_1952
13028257,fundamental_1952
13028256,fundamental_1952
13028255,fundamental_1952
13028254,fundamental_1952
13028253,fundamental_1952
13028252,fundamental_1952
13028251,fundamental_1952
13013327,fundamental_1952
13013325,fundamental_1952
13013324,fundamental_1952
13013323,fundamental_1952
13013321,fundamental_1952
13013320,fundamental_1952
13013318,fundamental_1952
13013317,fundamental_1952
13013316,fundamental_1952
13013314,fundamental_1952
13013312,fundamental_1952
13013311,fundamental_1952
13013310,fundamental_1952
13013308,fundamental_1952
13013307,fundamental_1952
13028250,fundamental_1952
13028249,fundamental_1952
13028248,fundamental_1952
13028247,fundamental_1952
13028245,fundamental_1952
13028244,fundamental_1952
13013306,fundamental_1952
13013305,fundamental_1952
13013304,fundamental_1952
13013303,fundamental_1952
13013302,fundamental_1952
13013301,fundamental_1952
13013300,fundamental_1952
13013299,fundamental_1952
13013298,fundamental_1952
13013297,fundamental_1952
13013296,fundamental_1952
13013295,fundamental_1952
13013294,fundamental_1952
13013293,fundamental_1952
13013292,fundamental_1952
13013291,fundamental_1952
13013290,fundamental_1952
13013289,fundamental_1952
13028243,fundamental_1952
13028242,fundamental_1952
13028241,fundamental_1952
13028240,fundamental_1952
13028237,fundamental_1952
13013285,fundamental_1952
13013284,fundamental_1952
13013283,fundamental_1952
13013280,fundamental_1952
13013279,fundamental_1952
13013278,fundamental_1952
13013275,fundamental_1952
13028236,fundamental_1952
13028234,fundamental_1952
13028233,fundamental_1952
13028232,fundamental_1952
13028231,fundamental_1952
13028230,fundamental_1952
13022701,fundamental_1952
13022699,fundamental_1952
13022698,fundamental_1952
13022697,fundamental_1952
13022696,fundamental_1952
13022695,fundamental_1952
13022694,fundamental_1952
13022693,fundamental_1952
13022692,fundamental_1952
13022691,fundamental_1952
13022690,fundamental_1952
13022688,fundamental_1952
13022687,fundamental_1952
13022686,fundamental_1952
13022685,fundamental_1952
13022684,fundamental_1952
13022683,fundamental_1952
13022681,fundamental_1952
13022680,fundamental_1952
13022679,fundamental_1952
13022678,fundamental_1952
13022677,fundamental_1952
13022676,fundamental_1952
13022675,fundamental_1952
13022674,fundamental_1952
13022671,fundamental_1952
13022670,fundamental_1952
13022669,fundamental_1952
13022668,fundamental_1952
13022667,fundamental_1952
13022666,fundamental_1952
13022665,fundamental_1952
13022664,fundamental_1952
13022663,fundamental_1952
13022662,fundamental_1952
13022660,fundamental_1952
13022659,fundamental_1952
13022658,fundamental_1952
13022657,fundamental_1952
13022656,fundamental_1952
13022655,fundamental_1952
13022654,fundamental_1952
13022653,fundamental_1952
13022652,fundamental_1952
13013273,fundamental_1952
13013272,fundamental_1952
13013271,fundamental_1952
13013270,fundamental_1952
13013269,fundamental_1952
13013268,fundamental_1952
13013267,fundamental_1952
13013265,fundamental_1952
13013264,fundamental_1952
13013263,fundamental_1952
13013262,fundamental_1952
13013261,fundamental_1952
13013260,fundamental_1952
13013259,fundamental_1952
13013258,fundamental_1952
13013257,fundamental_1952
13013256,fundamental_1952
13013255,fundamental_1952
13013254,fundamental_1952
13013251,fundamental_1952
13015123,fundamental_1952
13015122,fundamental_1952
13015120,fundamental_1952
13015118,fundamental_1952
13015117,fundamental_1952
13013250,fundamental_1952
13013248,fundamental_1952
13013246,fundamental_1952
13013245,fundamental_1952
13013244,fundamental_1952
13013243,fundamental_1952
13013242,fundamental_1952
13013241,fundamental_1952
13013240,fundamental_1952
13013238,fundamental_1952
13013237,fundamental_1952
13015115,fundamental_1952
13015114,fundamental_1952
13015113,fundamental_1952
13015112,fundamental_1952
13015111,fundamental_1952
