pmid,year
4800954,1973
4800953,1973
4800952,1973
4800951,1973
4800950,1973
4800949,1973
4800948,1973
4800947,1973
4800946,1973
4800945,1973
4800944,1973
4800943,1973
4800942,1973
4800941,1973
4800940,1973
4800939,1973
4800938,1973
4800937,1973
4800936,1973
4800935,1973
4800934,1973
4800933,1973
4800932,1973
4800931,1973
4587318,1973
4587316,1973
4587315,1973
4587314,1973
4587313,1973
4543507,1973
4800820,1973
4800819,1973
4800818,1973
4800817,1973
4800816,1973
4800815,1973
4800814,1973
4800813,1973
4800812,1973
4800811,1973
4800810,1973
4800809,1973
4800808,1973
4800807,1973
4800806,1973
4586428,1973
4586427,1973
4586426,1973
4357297,1973
4271431,1973
4271430,1973
4271429,1973
4800776,1973
4800775,1973
4800774,1973
4800773,1973
4800772,1973
4800771,1973
4800770,1973
4800769,1973
4800768,1973
4800767,1973
4800766,1973
4800765,1973
4800764,1973
4800763,1973
4800762,1973
4800761,1973
4800760,1973
4800759,1973
4586195,1973
4543329,1973
4519048,1973
4491199,1973
4202390,1973
4202389,1973
4128146,1973
4800507,1973
4800506,1973
4800505,1973
4800504,1973
4800503,1973
4800502,1973
4800501,1973
4800500,1973
4800499,1973
4800498,1973
4800497,1973
4800496,1973
4584418,1973
4584417,1973
4584416,1973
4584415,1973
4584414,1973
4584413,1973
4584412,1973
4584411,1973
4518517,1973
4148014,1973
11643558,1973
4800483,1973
4800482,1973
4800481,1973
4800480,1973
4800479,1973
4800478,1973
4800477,1973
4800476,1973
4800475,1973
4800474,1973
4800473,1973
4800472,1973
4800471,1973
4800470,1973
4800469,1973
4584354,1973
4584353,1973
4127225,1973
11643557,1973
4800343,1973
4800342,1973
4800341,1973
4800340,1973
4800339,1973
4800338,1973
4800337,1973
4800336,1973
4800335,1973
4800334,1973
4800333,1973
4800332,1973
4800331,1973
4800330,1973
4800329,1973
4800328,1973
4800327,1973
4800326,1973
4800325,1973
4800324,1973
4800323,1973
4800322,1973
4800321,1973
4800320,1973
4583280,1973
4583279,1973
4583278,1973
4355512,1973
12306441,1973
4808111,1973
4800642,1973
4800641,1973
4800640,1973
4800639,1973
4800638,1973
4800637,1973
4800636,1973
4800635,1973
4800634,1973
4800633,1973
4800632,1973
4800631,1973
4800630,1973
4800629,1973
4800628,1973
4800627,1973
4585340,1973
4585339,1973
4518723,1973
4800626,1973
4800625,1973
4800624,1973
4800623,1973
4800622,1973
4800621,1973
4800620,1973
4800619,1973
4800618,1973
4800617,1973
4800616,1973
4800615,1973
4800614,1973
4800613,1973
4800612,1973
4800611,1973
4800610,1973
4800609,1973
4800608,1973
4800607,1973
4800606,1973
4585338,1973
4585337,1973
4356848,1973
4356847,1973
4356846,1973
4271085,1973
4800319,1973
4800318,1973
4800317,1973
4800316,1973
4800315,1973
4800314,1973
4800313,1973
4800312,1973
4800311,1973
4800310,1973
4800309,1973
4800308,1973
4800307,1973
4800306,1973
4800305,1973
4800304,1973
4800303,1973
4270453,1973
4200875,1973
4147662,1973
4126829,1973
4800251,1973
4800250,1973
4800249,1973
4800248,1973
4800247,1973
4800246,1973
4800245,1973
4800244,1973
4800243,1973
4800242,1973
4800241,1973
4800240,1973
4800239,1973
4800238,1973
4800237,1973
4800236,1973
4800235,1973
4800234,1973
4800233,1973
4200458,1973
4126368,1973
12259297,1973
4740947,1973
4740946,1973
4740945,1973
4740944,1973
4740943,1973
4740942,1973
4740941,1973
4740940,1973
4740939,1973
4740938,1973
4740937,1973
4740936,1973
4740935,1973
4740934,1973
4740933,1973
4740932,1973
4740931,1973
4740930,1973
4740929,1973
4740928,1973
4199608,1973
4199607,1973
4147068,1973
4125718,1973
4801848,1973
4740927,1973
4740926,1973
4740925,1973
4740924,1973
4740923,1973
4740922,1973
4740921,1973
4740920,1973
4740919,1973
4740918,1973
4740917,1973
4740916,1973
4740915,1973
4740914,1973
4740913,1973
4740912,1973
4740911,1973
4740910,1973
4740909,1973
4740908,1973
4740907,1973
4740906,1973
4542315,1973
4269653,1973
4801652,1973
4801651,1973
4801650,1973
4801649,1973
4801648,1973
4801647,1973
4801646,1973
4801645,1973
4801644,1973
4801643,1973
4801642,1973
4801641,1973
4801640,1973
4801639,1973
4593023,1973
4593022,1973
4593021,1973
4361134,1973
4361133,1973
4361132,1973
4205770,1973
4740747,1973
4740746,1973
4740745,1973
4740744,1973
4740743,1973
4740742,1973
4740741,1973
4740740,1973
4740739,1973
4740738,1973
4740737,1973
4579914,1973
4579913,1973
4579912,1973
4269387,1973
4269386,1973
4146885,1973
12333570,1973
4740736,1973
4740735,1973
4740734,1973
4740733,1973
4740732,1973
4740731,1973
4740730,1973
4740729,1973
4740728,1973
4740727,1973
4740726,1973
4740725,1973
4740724,1973
4740723,1973
4740722,1973
4740721,1973
4740720,1973
4740719,1973
4740718,1973
4740717,1973
4579911,1973
4199183,1973
4740671,1973
4740670,1973
4740669,1973
4740668,1973
4740667,1973
4740666,1973
4740665,1973
4740664,1973
4740663,1973
4740662,1973
4740661,1973
4740660,1973
4740659,1973
4740658,1973
4740657,1973
4740656,1973
4740655,1973
4579555,1973
4198940,1973
4146774,1973
4146773,1973
12259298,1973
4740997,1973
4740996,1973
4740995,1973
4740994,1973
4740993,1973
4740992,1973
4740991,1973
4740990,1973
4740989,1973
4740988,1973
4740987,1973
4740986,1973
4740985,1973
4740984,1973
4740983,1973
4581525,1973
4542440,1973
4354481,1973
4269924,1973
4147298,1973
11643549,1973
4740632,1973
4740631,1973
4740630,1973
4740629,1973
4740628,1973
4740627,1973
4740626,1973
4740625,1973
4740624,1973
4740623,1973
4740622,1973
4740621,1973
4740620,1973
4740619,1973
4740618,1973
4740617,1973
4740616,1973
4740615,1973
4740614,1973
4740613,1973
4740612,1973
4740611,1973
4740610,1973
4740609,1973
4740608,1973
4579144,1973
4541834,1973
4269196,1973
4198723,1973
4146661,1973
11643548,1973
4740577,1973
4740576,1973
4740575,1973
4740574,1973
4740573,1973
4740572,1973
4740571,1973
4740570,1973
4740569,1973
4740568,1973
4740567,1973
4740566,1973
4740565,1973
4740564,1973
4740563,1973
4740562,1973
4740561,1973
4740560,1973
4740559,1973
4740558,1973
4740557,1973
4269058,1973
4740982,1973
4740495,1973
4740494,1973
4740493,1973
4740492,1973
4740491,1973
4740490,1973
4740489,1973
4740488,1973
4740487,1973
4740486,1973
4740485,1973
4740484,1973
4740483,1973
4740482,1973
4740481,1973
4740480,1973
4740479,1973
4740478,1973
4740477,1973
4740476,1973
4740475,1973
4578168,1973
4578167,1973
4541634,1973
4515739,1973
4352471,1973
4269923,1973
4268898,1973
4198114,1973
4146286,1973
12333199,1973
12306559,1973
4740541,1973
4740540,1973
4740539,1973
4740538,1973
4740537,1973
4740536,1973
4740535,1973
4740534,1973
4740533,1973
4740532,1973
4740531,1973
4740530,1973
4740529,1973
4740528,1973
4740527,1973
4740526,1973
4740525,1973
4740524,1973
4740523,1973
4578399,1973
4515904,1973
4124248,1973
4124247,1973
12306756,1973
12306755,1973
4740359,1973
4740358,1973
4740357,1973
4740356,1973
4740355,1973
4740354,1973
4740353,1973
4740352,1973
4740351,1973
4740350,1973
4740349,1973
4740348,1973
4740347,1973
