pmid,year
31914418,2019
31914417,2019
31914416,2019
31914415,2019
31914414,2019
31914413,2019
31914412,2019
31914411,2019
31914410,2019
31914409,2019
31914408,2019
31914407,2019
31914406,2019
31914405,2019
31914404,2019
31914403,2019
31892517,2019
31892516,2019
31882546,2019
31882545,2019
31882544,2019
31882543,2019
31882542,2019
31882541,2019
31882540,2019
31882539,2019
31882538,2019
31882537,2019
31882536,2019
31882535,2019
31882523,2019
31882522,2019
31882521,2019
31882520,2019
31879273,2019
31871054,2019
31871053,2019
31871052,2019
31871051,2019
31871050,2019
31871049,2019
31862735,2019
31862734,2019
31862733,2019
31857375,2019
31857374,2019
31852739,2019
31852738,2019
31852737,2019
31848226,2019
31848225,2019
31848224,2019
31848223,2019
31844019,2019
31844018,2019
31843971,2019
31843970,2019
31843969,2019
31843968,2019
31839596,2019
31836677,2019
31836676,2019
31836675,2019
31836674,2019
31836673,2019
31836672,2019
31836671,2019
31836670,2019
31836667,2019
31836666,2019
31836665,2019
31836664,2019
31836663,2019
31831624,2019
31831623,2019
31831622,2019
31831621,2019
31831620,2019
31826919,2019
31826918,2019
31822564,2019
31822563,2019
31822562,2019
31822561,2019
31822560,2019
31822559,2019
31822558,2019
31822509,2019
31822504,2019
31822503,2019
31819012,2019
31819011,2019
31819010,2019
31819009,2019
31819008,2019
31819007,2019
31819006,2019
31819005,2019
31819004,2019
31819003,2019
31811090,2019
31811089,2019
31811088,2019
31811051,2019
31811050,2019
31811049,2019
31811048,2019
31811047,2019
31806709,2019
31806708,2019
31806707,2019
31806706,2019
31806705,2019
31806704,2019
31806703,2019
31806702,2019
31806701,2019
31801828,2019
31801827,2019
31801826,2019
31801825,2019
31796629,2019
31796628,2019
31796627,2019
31792058,2019
31792057,2019
31792056,2019
31792055,2019
31792054,2019
31792053,2019
31792031,2019
31784480,2019
31784479,2019
31784478,2019
31784477,2019
31784450,2019
31780563,2019
31776190,2019
31776189,2019
31776188,2019
31776187,2019
31776186,2019
31771982,2019
31771981,2019
31771980,2019
31771979,2019
31771978,2019
31767684,2019
31767683,2019
31767682,2019
31767681,2019
31767680,2019
31757810,2019
31757809,2019
31757808,2019
31757807,2019
31757803,2019
31757802,2019
31757801,2019
31753921,2019
31753920,2019
31753919,2019
31753918,2019
31753917,2019
31753916,2019
31748416,2019
31748415,2019
31748414,2019
31748413,2019
31748412,2019
31748411,2019
31748410,2019
31748409,2019
