pmid,year
63888,1976
63861,1976
63860,1976
63854,1976
63853,1976
63852,1976
63851,1976
63850,1976
63849,1976
63848,1976
63847,1976
63846,1976
63845,1976
63814,1976
63813,1976
63807,1976
63806,1976
63805,1976
63804,1976
63803,1976
63802,1976
63801,1976
63800,1976
63799,1976
63797,1976
63796,1976
63795,1976
63757,1976
63756,1976
63754,1976
63750,1976
63749,1976
63748,1976
63747,1976
63746,1976
63745,1976
63744,1976
63743,1976
63062,1976
63059,1976
63056,1976
63055,1976
63054,1976
63046,1976
63045,1976
63044,1976
63043,1976
63042,1976
63041,1976
63040,1976
63039,1976
63038,1976
63009,1976
63008,1976
63007,1976
63000,1976
62999,1976
62998,1976
62997,1976
62996,1976
62995,1976
62994,1976
62993,1976
62992,1976
62991,1976
62990,1976
62988,1976
62961,1976
62960,1976
62959,1976
62952,1976
62951,1976
62950,1976
62949,1976
62948,1976
62947,1976
62946,1976
62945,1976
62944,1976
62943,1976
62942,1976
62941,1976
62927,1976
62925,1976
62920,1976
62912,1976
62911,1976
62910,1976
62904,1976
62903,1976
62902,1976
62901,1976
62900,1976
62899,1976
62898,1976
62897,1976
62896,1976
62267,1976
62266,1976
62265,1976
62264,1976
62263,1976
62262,1976
62261,1976
62231,1976
62226,1976
62225,1976
62224,1976
62218,1976
62217,1976
62216,1976
62215,1976
62196,1976
62176,1976
62175,1976
62174,1976
62169,1976
62166,1976
62165,1976
62164,1976
62163,1976
62162,1976
62161,1976
62160,1976
62159,1976
62158,1976
62125,1976
62124,1976
62123,1976
62118,1976
62116,1976
62115,1976
62114,1976
62113,1976
62112,1976
62111,1976
62110,1976
61534,1976
61530,1976
61512,1976
61511,1976
61502,1976
61501,1976
61500,1976
61499,1976
61498,1976
61497,1976
61496,1976
61495,1976
61494,1976
61493,1976
61479,1976
61454,1976
61453,1976
61452,1976
61445,1976
61444,1976
61443,1976
61442,1976
61441,1976
61440,1976
61439,1976
61438,1976
61437,1976
61424,1976
61409,1976
61408,1976
61407,1976
61399,1976
61398,1976
61397,1976
61396,1976
61395,1976
61394,1976
61393,1976
61392,1976
61391,1976
61390,1976
61389,1976
60563,1976
60562,1976
60561,1976
60560,1976
60559,1976
60558,1976
60557,1976
60556,1976
60555,1976
60554,1976
60553,1976
60552,1976
60551,1976
60550,1976
60549,1976
60548,1976
60547,1976
60546,1976
60545,1976
60544,1976
60543,1976
60542,1976
60541,1976
60540,1976
60539,1976
60538,1976
60537,1976
60536,1976
60535,1976
60534,1976
60533,1976
60532,1976
60531,1976
60530,1976
60529,1976
60528,1976
60527,1976
60526,1976
60525,1976
60524,1976
60523,1976
60522,1976
60521,1976
60520,1976
60519,1976
60518,1976
60517,1976
60516,1976
60515,1976
60514,1976
60513,1976
61380,1976
61370,1976
61356,1976
61355,1976
61354,1976
61353,1976
61346,1976
61345,1976
61344,1976
61343,1976
61342,1976
61341,1976
61340,1976
