pmid,year
34949778,2021
34931002,2021
34921308,2021
34887556,2021
34880463,2021
34880462,2021
34880460,2021
34873327,2021
34873326,2021
34857927,2021
34845373,2021
34845372,2021
34795433,2021
34782741,2021
34782740,2021
34782739,2021
34773124,2021
34764492,2021
34764491,2021
34754119,2021
34754115,2021
34754114,2021
34754112,2021
34750572,2021
34725503,2021
34725502,2021
34711990,2021
34711989,2021
34697476,2021
34675424,2021
34675423,2021
34663921,2021
34663920,2021
34650271,2021
34650270,2021
34650269,2021
34650268,2021
34635839,2021
34635838,2021
34635837,2021
34635836,2021
34635835,2021
34621067,2021
34621065,2021
34621062,2021
34608327,2021
34608326,2021
34608325,2021
34594043,2021
34580478,2021
34531539,2021
34504351,2021
34504347,2021
34504346,2021
34504343,2021
34504341,2021
34504339,2021
34504337,2021
34489601,2021
34489600,2021
34475560,2021
34462590,2021
34462589,2021
34462588,2021
34462587,2021
34426704,2021
34426703,2021
34408314,2021
34385692,2021
34385691,2021
34376843,2021
34376841,2021
34376840,2021
34376839,2021
34373643,2021
34341557,2021
34326549,2021
34326548,2021
34312500,2021
34294912,2021
34294911,2021
34282325,2021
34282324,2021
34257455,2021
34257454,2021
34239088,2021
34239087,2021
34226710,2021
34211162,2021
34211161,2021
34188222,2021
34183861,2021
34183860,2021
34183859,2021
34168346,2021
34155407,2021
34140681,2021
34140680,2021
34113043,2021
34113042,2021
34113032,2021
34089038,2021
34083793,2021
34083792,2021
34083791,2021
34017141,2021
34012094,2021
34002098,2021
33986546,2021
33981075,2021
33981074,2021
33981072,2021
33958785,2021
33948001,2021
33941932,2021
33941931,2021
33941928,2021
33927418,2021
33927417,2021
33927416,2021
33927415,2021
33875866,2021
33875865,2021
33859403,2021
33859402,2021
33859401,2021
33859400,2021
33846650,2021
33846649,2021
33846647,2021
33846646,2021
33846645,2021
33846644,2021
33795889,2021
33795888,2021
33785909,2021
33782612,2021
33782610,2021
33767397,2021
33767396,2021
33767395,2021
33767394,2021
33767393,2021
33707777,2021
33692518,2021
33692517,2021
33692507,2021
33692506,2021
33692505,2021
33649568,2021
33623157,2021
33619394,2021
33603203,2021
33589817,2021
33574610,2021
33574609,2021
33564157,2021
33564156,2021
33558698,2021
33558697,2021
33536629,2021
33462509,2021
33462508,2021
33462507,2021
33432226,2021
33432216,2021
33432215,2021
33432199,2021
33432198,2021
33432197,2021
33398154,2021
33398153,2021
33398152,2021
33398151,2021
33361824,2021
33349700,2021
33349699,2021
33318652,2021
33288906,2021
33288905,2021
33288904,2021
33257864,2021
33257863,2021
33257862,2021
33257861,2021
33230293,2021
33230292,2021
33199877,2021
33199876,2021
33199875,2021
33169036,2021
33169034,2021
33106685,2021
33106681,2021
33077962,2021
33077961,2021
33077960,2021
33020604,2021
32958958,2021
32958957,2021
32929263,2021
32895550,2021
32895549,2021
32895548,2021
32879467,2021
32868914,2021
32868913,2021
32839564,2021
32788668,2021
32778840,2021
32719479,2021
32719478,2021
32690973,2021
32690972,2021
32690971,2021
32690970,2021
32661440,2021
32661438,2021
