pmid,year
36543981,2022
36543979,2022
36536177,2022
36536176,2022
36536175,2022
36474074,2022
36474073,2022
36474072,2022
36474071,2022
36474070,2022
36471127,2022
36456828,2022
36443426,2022
36396978,2022
36357620,2022
36357619,2022
36344776,2022
36344775,2022
36302972,2022
36302971,2022
36302970,2022
36302969,2022
36302968,2022
36302967,2022
36280705,2022
36266490,2022
36266489,2022
36266488,2022
36266487,2022
36253535,2022
36229606,2022
36202976,2022
36202975,2022
36202974,2022
36202973,2022
36202972,2022
36202971,2022
36192633,2022
36192632,2022
36168042,2022
36109671,2022
36109670,2022
36100738,2022
36097073,2022
36097072,2022
36097071,2022
36097070,2022
36075977,2022
36075976,2022
36075975,2022
36075974,2022
36075973,2022
36075972,2022
36064968,2022
36050470,2022
36050469,2022
36042293,2022
36008480,2022
35941369,2022
35941368,2022
35941367,2022
35941366,2022
35941365,2022
35941364,2022
35927452,2022
35927451,2022
35927450,2022
35915160,2022
35915159,2022
35902769,2022
35896733,2022
35864314,2022
35851616,2022
35821081,2022
35821080,2022
35817961,2022
35817960,2022
35817959,2022
35798844,2022
35798843,2022
35798842,2022
35790800,2022
35787684,2022
35787683,2022
35773433,2022
35773432,2022
35768723,2022
35739319,2022
35739318,2022
35739317,2022
35725770,2022
35725769,2022
35725768,2022
35711061,2022
35697785,2022
35697784,2022
35697783,2022
35697782,2022
35697781,2022
35697780,2022
35681011,2022
35681010,2022
35681009,2022
35681008,2022
35681007,2022
35668135,2022
35654841,2022
35654840,2022
35654839,2022
35654838,2022
35637409,2022
35637408,2022
35618746,2022
35606490,2022
35590106,2022
35562485,2022
35562484,2022
35562483,2022
35562482,2022
35550615,2022
35550614,2022
35550613,2022
35550612,2022
35550611,2022
35534577,2022
35513711,2022
35513710,2022
35513709,2022
35501370,2022
35501369,2022
35484250,2022
35484249,2022
35484248,2022
35484247,2022
35484246,2022
35469018,2022
35469017,2022
35449456,2022
35418624,2022
35418623,2022
35414020,2022
35414019,2022
35414018,2022
35414017,2022
35414016,2022
35414015,2022
35411088,2022
35411087,2022
35411086,2022
35411085,2022
35411084,2022
35411083,2022
35411082,2022
35411081,2022
35393539,2022
35332264,2022
35332263,2022
35315435,2022
35301437,2022
35292784,2022
35292783,2022
35292782,2022
35292781,2022
35292780,2022
35292779,2022
35292778,2022
35292777,2022
35288657,2022
35288656,2022
35256778,2022
35256777,2022
35256776,2022
35256775,2022
35256774,2022
35210568,2022
35210567,2022
35177822,2022
35177821,2022
35165420,2022
35165419,2022
35165418,2022
35165417,2022
35165416,2022
35165415,2022
35165414,2022
35165413,2022
35145225,2022
35145224,2022
35145223,2022
35145222,2022
35145221,2022
35132226,2022
35132225,2022
35102268,2022
35102267,2022
35027739,2022
35027738,2022
35027737,2022
35027736,2022
35027735,2022
35027734,2022
35027733,2022
35027732,2022
35027731,2022
35027730,2022
35013558,2022
35013557,2022
35013556,2022
35013555,2022
34969962,2022
34961795,2022
34961794,2022
