pmid,year
36577875,2022
36522463,2022
36509904,2022
36482094,2022
36470996,2022
36470994,2022
36443574,2022
36443572,2022
36411392,2022
36411391,2022
36400998,2022
36400997,2022
36400996,2022
36400995,2022
36400994,2022
36400993,2022
36400992,2022
36400991,2022
36400990,2022
36396955,2022
36396954,2022
36376475,2022
36357533,2022
36329119,2022
36316571,2022
36316570,2022
36302899,2022
36302898,2022
36302897,2022
36302896,2022
36280795,2022
36280794,2022
36280791,2022
36266361,2022
36266360,2022
36266359,2022
36266358,2022
36266357,2022
36266356,2022
36266355,2022
36266354,2022
36266353,2022
36266352,2022
36266351,2022
36266349,2022
36266348,2022
36253550,2022
36253549,2022
36229686,2022
36229685,2022
36229684,2022
36229683,2022
36229682,2022
36229681,2022
36216995,2022
36175661,2022
36175659,2022
36163386,2022
36163385,2022
36163384,2022
36163383,2022
36138142,2022
36138141,2022
36138140,2022
36138139,2022
36131154,2022
36131153,2022
36131152,2022
36131151,2022
36131150,2022
36131149,2022
36131148,2022
36109649,2022
36109648,2022
36109647,2022
36097297,2022
36097296,2022
36097295,2022
36076082,2022
36065018,2022
36050494,2022
36050493,2022
36008487,2022
35996003,2022
35996002,2022
35996001,2022
35996000,2022
35995866,2022
35995865,2022
35995864,2022
35995863,2022
35995862,2022
35982227,2022
35982226,2022
35970997,2022
35970996,2022
35953550,2022
35953549,2022
35953548,2022
35953547,2022
35941237,2022
35927585,2022
35915259,2022
35915258,2022
35896829,2022
35879552,2022
35879551,2022
35879550,2022
35879549,2022
35879548,2022
35879547,2022
35879546,2022
35879545,2022
35864335,2022
35864334,2022
35864333,2022
35864332,2022
35864331,2022
35864330,2022
35836020,2022
35836019,2022
35836018,2022
35836017,2022
35817967,2022
35799064,2022
35799063,2022
35788181,2022
35788180,2022
35788179,2022
35761089,2022
35761080,2022
35761079,2022
35761078,2022
35761077,2022
35761076,2022
35761075,2022
35739357,2022
35725942,2022
35725941,2022
35710619,2022
35710618,2022
35710617,2022
35710616,2022
35697798,2022
35681030,2022
35681029,2022
35676539,2022
35668191,2022
35668190,2022
35654847,2022
35654846,2022
35654845,2022
35654844,2022
35637351,2022
35637350,2022
35637349,2022
35618932,2022
35618931,2022
35618930,2022
35618929,2022
35618928,2022
35606559,2022
35606558,2022
35606557,2022
35606556,2022
35590003,2022
35590002,2022
35578033,2022
35578032,2022
35551261,2022
35513512,2022
35513511,2022
35484435,2022
35484434,2022
35484263,2022
35484262,2022
35484261,2022
35484260,2022
35484258,2022
35484257,2022
35484256,2022
35484255,2022
35484254,2022
35468951,2022
35468950,2022
35393575,2022
35393574,2022
35393573,2022
35361991,2022
35361990,2022
35352068,2022
35352067,2022
35352066,2022
35352065,2022
35332333,2022
35332332,2022
35332331,2022
35332330,2022
35314816,2022
35314815,2022
35314814,2022
35301482,2022
35301481,2022
35301480,2022
35301479,2022
35289328,2022
35289327,2022
35273398,2022
35228724,2022
35228723,2022
35228722,2022
35228721,2022
35210620,2022
35210619,2022
35210618,2022
35210617,2022
35197625,2022
35194207,2022
35177840,2022
35177839,2022
35177838,2022
35177837,2022
35165445,2022
35165444,2022
35165443,2022
35145274,2022
35102316,2022
35102315,2022
35102314,2022
35102313,2022
35058646,2022
35058645,2022
35046612,2022
35046611,2022
35027744,2022
34969973,2022
34969972,2022
34969971,2022
34969970,2022
34952934,2022
34949839,2022
34949838,2022
34949837,2022
34949836,2022
34937913,2022
34937912,2022
34937911,2022
34937910,2022
34937909,2022
34937908,2022
34937907,2022
34937906,2022
34934192,2022
34934191,2022
34934190,2022
34934189,2022
34934188,2022
34934187,2022
34934186,2022
34934185,2022
34931066,2022
34931065,2022
34931064,2022
34931063,2022
34931062,2022
34916620,2022
34916619,2022
34916618,2022
34903851,2022
34887587,2022
34857958,2022
34857957,2022
34811517,2022
34811516,2022
34782744,2022
34782743,2022
34782742,2022
34754101,2022
34754100,2022
34711982,2022
34711981,2022
34711980,2022
