pmid,year
9398860,1997
9398859,1997
9398858,1997
9398857,1997
9398856,1997
9398855,1997
9398854,1997
9398853,1997
9398852,1997
9398851,1997
9398850,1997
9398849,1997
9398848,1997
9398847,1997
9398846,1997
9398845,1997
9398844,1997
9398843,1997
9398842,1997
9398841,1997
9398840,1997
9398839,1997
9398838,1997
9398831,1997
9354807,1997
9354806,1997
9354805,1997
9354804,1997
9354803,1997
9354802,1997
9354801,1997
9354800,1997
9354799,1997
9354798,1997
9354797,1997
9354796,1997
9354795,1997
9354794,1997
9354793,1997
9354792,1997
9354791,1997
9354790,1997
9354789,1997
9326952,1997
9326951,1997
9326950,1997
9326949,1997
9326948,1997
9326947,1997
9326946,1997
9326945,1997
9326944,1997
9326943,1997
9326942,1997
9326941,1997
9326940,1997
9326939,1997
9326938,1997
9326937,1997
9326936,1997
9326935,1997
9326934,1997
9326933,1997
9288111,1997
9288110,1997
9288109,1997
9288108,1997
9288107,1997
9288106,1997
9288105,1997
9288104,1997
9288103,1997
9288102,1997
9288101,1997
9288100,1997
9288099,1997
9288098,1997
9288097,1997
9288096,1997
9288095,1997
9288094,1997
9288093,1997
9241283,1997
9241282,1997
9241281,1997
9241280,1997
9241279,1997
9241278,1997
9241277,1997
9241276,1997
9241275,1997
9241274,1997
9241273,1997
9241272,1997
9241271,1997
9241270,1997
9241269,1997
9207801,1997
9207800,1997
9207799,1997
9207798,1997
9207797,1997
9207796,1997
9207795,1997
9207794,1997
9207793,1997
9207792,1997
9207791,1997
9207790,1997
9207789,1997
9207788,1997
9207787,1997
9207786,1997
9171836,1997
9171835,1997
9171834,1997
9171833,1997
9171832,1997
9171831,1997
9171830,1997
9171829,1997
9171828,1997
9171827,1997
9171826,1997
9171825,1997
9171824,1997
9171823,1997
9140405,1997
9140404,1997
9140403,1997
9140402,1997
9140401,1997
9140400,1997
9140399,1997
9140398,1997
9140397,1997
9140396,1997
9140395,1997
9140394,1997
9140393,1997
9140392,1997
9140391,1997
9140409,1997
9090389,1997
9090388,1997
9090387,1997
9090386,1997
9090385,1997
9090384,1997
9090383,1997
9090382,1997
9090381,1997
9090380,1997
9090379,1997
9090378,1997
9090377,1997
9054950,1997
9054949,1997
9054948,1997
9054947,1997
9054946,1997
9054945,1997
9054944,1997
9054943,1997
9054942,1997
9054941,1997
9054940,1997
9054939,1997
9054938,1997
9054937,1997
9054936,1997
9054935,1997
9054934,1997
9020854,1997
9020853,1997
9020852,1997
9020851,1997
9020850,1997
9020849,1997
9020848,1997
9020847,1997
9020846,1997
9020845,1997
9020844,1997
9020843,1997
9020842,1997
9020841,1997
9020840,1997
9020839,1997
9020838,1997
9020837,1997
9020836,1997
8988180,1997
8988179,1997
8988178,1997
8988177,1997
8988176,1997
8988175,1997
8988174,1997
8988173,1997
8988172,1997
8988171,1997
8988170,1997
8988169,1997
8988168,1997
8988167,1997
8988166,1997
8988165,1997
8988164,1997
8988163,1997
