pmid,year
33335323,2020
33335322,2020
33311702,2020
33288946,2020
33288945,2020
33288944,2020
33288943,2020
33288942,2020
33288941,2020
33288940,2020
33288939,2020
33288938,2020
33288937,2020
33288936,2020
33288934,2020
33288933,2020
33288932,2020
33288931,2020
33288930,2020
33288929,2020
33288928,2020
33288927,2020
33288926,2020
33288925,2020
33288923,2020
33257893,2020
33230342,2020
33230341,2020
33230339,2020
33188278,2020
33184509,2020
33169017,2020
33169016,2020
33154589,2020
33154588,2020
33154587,2020
33154586,2020
33154585,2020
33139949,2020
33139948,2020
33122860,2020
33106667,2020
33106666,2020
33106665,2020
33106664,2020
33097835,2020
33093683,2020
33082575,2020
33077958,2020
33077957,2020
33077956,2020
33077955,2020
33077954,2020
33060852,2020
33060851,2020
33057181,2020
33046870,2020
33046869,2020
33046868,2020
33029025,2020
33029024,2020
33029023,2020
33029022,2020
33029021,2020
33029017,2020
33029016,2020
33029015,2020
33020651,2020
33020650,2020
33020649,2020
33020648,2020
33020647,2020
33020646,2020
33020645,2020
33020644,2020
32989314,2020
32989313,2020
32968236,2020
32968235,2020
32943787,2020
32934372,2020
32929268,2020
32929267,2020
32929266,2020
32929265,2020
32908284,2020
32908283,2020
32908282,2020
32908281,2020
32908280,2020
32908279,2020
32908278,2020
32908277,2020
32908275,2020
32908274,2020
32908273,2020
32908272,2020
32895573,2020
32895572,2020
32895571,2020
32895570,2020
32895569,2020
32884153,2020
32868878,2020
32839624,2020
32839623,2020
32839622,2020
32839620,2020
32839619,2020
32826990,2020
32812013,2020
32812012,2020
32807937,2020
32807934,2020
32807933,2020
32807932,2020
32807931,2020
32807930,2020
32778828,2020
32778827,2020
32778826,2020
32778825,2020
32770169,2020
32770167,2020
32770166,2020
32770165,2020
32770164,2020
32770163,2020
32770162,2020
32770161,2020
32770160,2020
32770159,2020
32747830,2020
32747829,2020
32747828,2020
32747827,2020
32733075,2020
32733074,2020
32719489,2020
32719488,2020
32719487,2020
32719486,2020
32719484,2020
32678356,2020
32665655,2020
32661401,2020
32661399,2020
32661398,2020
32661393,2020
32661392,2020
32661391,2020
32661390,2020
32651581,2020
32651580,2020
32651579,2020
32651577,2020
32651576,2020
32651575,2020
32651574,2020
32651573,2020
32651572,2020
32647358,2020
32641783,2020
32632194,2020
32632193,2020
32632192,2020
32632191,2020
32601339,2020
32601338,2020
32601337,2020
32601336,2020
32601335,2020
32591764,2020
32581323,2020
32572268,2020
32572267,2020
32572266,2020
32572265,2020
32572264,2020
32555515,2020
32555514,2020
32555424,2020
32546824,2020
32546823,2020
32528156,2020
32528155,2020
32528154,2020
32528153,2020
32528152,2020
32528151,2020
32528150,2020
32528149,2020
32528148,2020
32528147,2020
32528146,2020
32514174,2020
32514172,2020
32514171,2020
32514170,2020
32514169,2020
32504052,2020
32494062,2020
32488218,2020
32483362,2020
32483361,2020
32483360,2020
32483359,2020
32483358,2020
32472114,2020
32461699,2020
32461698,2020
32461697,2020
32457445,2020
32457444,2020
32457443,2020
32451500,2020
32451499,2020
32451498,2020
32451497,2020
32451496,2020
32451495,2020
32427924,2020
32424212,2020
32424211,2020
32409732,2020
32405070,2020
32405069,2020
32405068,2020
32405067,2020
32405066,2020
32405065,2020
32405064,2020
32405063,2020
32405062,2020
32405061,2020
32405060,2020
32405059,2020
32405058,2020
32405057,2020
32405056,2020
32405055,2020
32405028,2020
32398876,2020
32398875,2020
32393804,2020
32393803,2020
32393801,2020
32393800,2020
32393799,2020
32382154,2020
32382153,2020
32382151,2020
32371934,2020
32367061,2020
32367060,2020
32350462,2020
32350461,2020
32341581,2020
32341580,2020
32341579,2020
32341578,2020
32327758,2020
32327757,2020
32322102,2020
32313250,2020
32313249,2020
32296168,2020
32291416,2020
32291415,2020
32284619,2020
32284618,2020
32284617,2020
32284613,2020
32284612,2020
32284611,2020
32284590,2020
32284589,2020
32284588,2020
32273610,2020
32273609,2020
32273608,2020
32273607,2020
32273606,2020
32273605,2020
32273604,2020
32273603,2020
32273602,2020
32273601,2020
32273600,2020
32273599,2020
32269357,2020
32251406,2020
32251405,2020
32251404,2020
32251400,2020
32235930,2020
32235883,2020
32231295,2020
32161413,2020
32161412,2020
32161411,2020
32161410,2020
32161409,2020
32161408,2020
32161407,2020
32161406,2020
32161405,2020
32161403,2020
32161402,2020
32152585,2020
32152584,2020
32152583,2020
32152582,2020
32152581,2020
32139890,2020
32132717,2020
32132716,2020
32132715,2020
32127716,2020
32123386,2020
32123385,2020
32108160,2020
32094927,2020
32094926,2020
32094925,2020
32094924,2020
32066978,2020
32066977,2020
32066976,2020
32066975,2020
32066974,2020
32066973,2020
32047322,2020
32047321,2020
32047320,2020
32047319,2020
32047318,2020
32047317,2020
32042196,2020
32042195,2020
32042194,2020
32042193,2020
32042192,2020
32042191,2020
32020086,2020
32020085,2020
32015559,2020
32015558,2020
32015557,2020
32015556,2020
32015555,2020
31992876,2020
31988464,2020
31988463,2020
31988462,2020
31988461,2020
31959992,2020
31959991,2020
31959990,2020
31959989,2020
31959988,2020
31932807,2020
31932806,2020
31932805,2020
31932804,2020
31932803,2020
31932802,2020
31932801,2020
31932800,2020
31932799,2020
31932798,2020
31932797,2020
31932796,2020
31932795,2020
31932794,2020
31932793,2020
31932792,2020
31932791,2020
31932790,2020
31932789,2020
31932788,2020
31932785,2020
31932783,2020
31932779,2020
31932778,2020
31907460,2020
31907459,2020
31907458,2020
31873313,2020
31873312,2020
31873310,2020
31873309,2020
