pmid,year
36585486,2022
36581730,2022
36581729,2022
36564546,2022
36564545,2022
36550293,2022
36550292,2022
36550291,2022
36550290,2022
36536245,2022
36536243,2022
36536242,2022
36536241,2022
36536240,2022
36522498,2022
36522497,2022
36510113,2022
36510112,2022
36510111,2022
36482247,2022
36446934,2022
36446933,2022
36446932,2022
36446931,2022
36446930,2022
36443610,2022
36443609,2022
36424433,2022
36424432,2022
36424431,2022
36424430,2022
36396977,2022
36396976,2022
36396975,2022
36376483,2022
36357811,2022
36344699,2022
36319771,2022
36319770,2022
36303072,2022
36303071,2022
36303070,2022
36303069,2022
36303068,2022
36280800,2022
36280799,2022
36280798,2022
36280797,2022
36266472,2022
36266471,2022
36266470,2022
36258039,2022
36216999,2022
36216998,2022
36216997,2022
36180791,2022
36180790,2022
36180789,2022
36175793,2022
36171432,2022
36171431,2022
36171430,2022
36171429,2022
36171428,2022
36171427,2022
36171426,2022
36171425,2022
36163284,2022
36163283,2022
36045265,2022
36042314,2022
36042313,2022
36042312,2022
36042311,2022
36042310,2022
36042309,2022
36042308,2022
36042307,2022
36042306,2022
35995878,2022
35995877,2022
35982154,2022
35982153,2022
35974230,2022
35953545,2022
35915180,2022
35915179,2022
35915178,2022
35915177,2022
35915176,2022
35915175,2022
35915174,2022
35915173,2022
35902650,2022
35902649,2022
35902648,2022
35879464,2022
35856095,2022
35856094,2022
35835882,2022
35817847,2022
35798981,2022
35798980,2022
35798979,2022
35790861,2022
35790860,2022
35790859,2022
35788196,2022
35773544,2022
35773543,2022
35760864,2022
35760863,2022
35750858,2022
35739273,2022
35739272,2022
35726059,2022
35726058,2022
35726057,2022
35710985,2022
35710984,2022
35710983,2022
35672492,2022
35672491,2022
35672490,2022
35668175,2022
35668174,2022
35668173,2022
35654957,2022
35654956,2022
35637373,2022
35637372,2022
35637371,2022
35637370,2022
35637369,2022
35637368,2022
35618951,2022
35618950,2022
35606420,2022
35606419,2022
35590075,2022
35578133,2022
35578132,2022
35578131,2022
35524141,2022
35524140,2022
35524139,2022
35524138,2022
35524137,2022
35524136,2022
35524135,2022
35524134,2022
35513516,2022
35513515,2022
35513514,2022
35501383,2022
35501382,2022
35501381,2022
35501380,2022
35501379,2022
35484406,2022
35449356,2022
35449355,2022
35383335,2022
35383334,2022
35383333,2022
35383332,2022
35383331,2022
35383330,2022
35379995,2022
35379994,2022
35361974,2022
35361973,2022
35361972,2022
35332326,2022
35314824,2022
35314823,2022
35301477,2022
35288716,2022
35260865,2022
35260864,2022
35260863,2022
35260862,2022
35260861,2022
35260860,2022
35260859,2022
35260858,2022
35260857,2022
35260856,2022
35260855,2022
35241806,2022
35241805,2022
35241804,2022
35241803,2022
35241802,2022
35228700,2022
35210624,2022
35190729,2022
35165460,2022
35132236,2022
35132235,2022
35132234,2022
35132233,2022
35132232,2022
35132231,2022
35132230,2022
35115731,2022
35115730,2022
35115729,2022
35102334,2022
35102333,2022
35087247,2022
35087246,2022
35027762,2022
35027761,2022
34992290,2022
34992289,2022
34992288,2022
34992287,2022
34980926,2022
34980925,2022
34980924,2022
34931071,2022
34931070,2022
34916660,2022
34916659,2022
34916658,2022
34907396,2022
34903881,2022
34903880,2022
34887590,2022
34887589,2022
34887588,2022
34857950,2022
34857949,2022
34815557,2022
34811521,2022
